Movie,trunc,Release Date,Distributor,Genre
Barbie,Barbie,"Jul 21, 2023",Warner Bros.,Comedy
The Super Mario Bros. Movie,The Super Mario Bros,"Apr 5, 2023",Universal,Adventure
Jurassic Park,Jurassic Park,"Aug 26, 1994",Universal,Adventure
Spider-Man: Across the Spid…,Spider-Man: Across t,"Jun 2, 2023",Sony Pictures,Adventure
Guardians of the Galaxy Vol 3,Guardians of the Gal,"May 5, 2023",Walt Disney,Action
Oppenheimer,Oppenheimer,"Jul 21, 2023",Universal,Drama
The Little Mermaid,The Little Mermaid,"May 26, 2023",Walt Disney,Musical
Avatar: The Way of Water,Avatar: The Way of W,"Dec 16, 2022",20th Century Studios,Action
The Exorcist,The Exorcist,"Dec 26, 1973",Fathom Events,Horror
Ant-Man and the Wasp: Quant…,Ant-Man and the Wasp,"Feb 17, 2023",Walt Disney,Action
John Wick: Chapter 4,John Wick: Chapter 4,"Mar 24, 2023",Lionsgate,Action
Sound of Freedom,Sound of Freedom,"Jul 4, 2023",Angel Studios,Thriller/Suspense
TAYLOR SWIFT | THE ERAS TOUR,TAYLOR SWIFT | THE E,"Oct 13, 2023",AMC Theatres Dist…,Concert/Perfor…
Indiana Jones and the Dial …,Indiana Jones and th,"Jun 30, 2023",Walt Disney,Adventure
Mission: Impossible Dead Re…,Mission: Impossible ,"Jul 12, 2023",Paramount Pictures,Action
The Hunger Games: The Balla…,The Hunger Games: Th,"Nov 17, 2023",Lionsgate,Action
Transformers: Rise of the B…,Transformers: Rise o,"Jun 9, 2023",Paramount Pictures,Action
Creed III,Creed III,"Mar 3, 2023",MGM,Drama
Elemental,Elemental,"Jun 16, 2023",Walt Disney,Adventure
Fast X,Fast X,"May 19, 2023",Universal,Action
Five Nights at Freddy’s,Five Nights at Fredd,"Oct 27, 2023",Universal,Horror
Wonka,Wonka,"Dec 15, 2023",Warner Bros.,Musical
Puss in Boots: The Last Wish,Puss in Boots: The L,"Dec 21, 2022",Universal,Adventure
"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hid","Dec 8, 2000",Sony Pictures Cla…,Action
Teenage Mutant Ninja Turtle…,Teenage Mutant Ninja,"Aug 2, 2023",Paramount Pictures,Action
Scream VI,Scream VI,"Mar 10, 2023",Paramount Pictures,Horror
The Flash,The Flash,"Jun 16, 2023",Warner Bros.,Action
Trolls Band Together,Trolls Band Together,"Nov 17, 2023",Universal,Adventure
The Others,The Others,"Aug 10, 2001",Rialto Pictures,Horror
M3GAN,M3GAN,"Jan 6, 2023",Universal,Horror
Dungeons & Dragons: Honor A…,Dungeons & Dragons: ,"Mar 31, 2023",Paramount Pictures,Adventure
The Equalizer 3,The Equalizer 3,"Sep 1, 2023",Sony Pictures,Action
The Nun II,The Nun II,"Sep 8, 2023",Warner Bros.,Horror
The Marvels,The Marvels,"Nov 10, 2023",Walt Disney,Adventure
Meg 2: The Trench,Meg 2: The Trench,"Aug 4, 2023",Warner Bros.,Action
Insidious: The Red Door,Insidious: The Red D,"Jul 7, 2023",Sony Pictures,Horror
Aquaman and the Lost Kingdom,Aquaman and the Lost,"Dec 22, 2023",Warner Bros.,Action
Blue Beetle,Blue Beetle,"Aug 18, 2023",Warner Bros.,Action
Haunted Mansion,Haunted Mansion,"Jul 28, 2023",Walt Disney,Comedy
Evil Dead Rise,Evil Dead Rise,"Apr 21, 2023",Warner Bros.,Horror
Killers of the Flower Moon,Killers of the Flowe,"Oct 20, 2023",Paramount Pictures,Western
The Exorcist: Believer,The Exorcist: Believ,"Oct 6, 2023",Universal,Horror
PAW Patrol: The Mighty Movie,PAW Patrol: The Migh,"Sep 29, 2023",Paramount Pictures,Adventure
Cocaine Bear,Cocaine Bear,"Feb 24, 2023",Universal,Black Comedy
A Man Called Otto,A Man Called Otto,"Dec 30, 2022",Sony Pictures,Comedy
Wish,Wish,"Nov 22, 2023",Walt Disney,Adventure
Napoleon,Napoleon,"Nov 22, 2023",Sony Pictures,Drama
Love Actually,Love Actually,"Nov 7, 2003",Universal,Romantic Comedy
Shazam! Fury of the Gods,Shazam! Fury of the ,"Mar 17, 2023",Warner Bros.,Action
Migration,Migration,"Dec 22, 2023",Universal,Adventure
Saw X,Saw X,"Sep 29, 2023",Lionsgate,Horror
AIR,AIR,"Apr 5, 2023",Amazon Studios,Drama
Jesus Revolution,Jesus Revolution,"Feb 24, 2023",Lionsgate,Drama
No Hard Feelings,No Hard Feelings,"Jun 23, 2023",Sony Pictures,Romantic Comedy
Talk To Me,Talk To Me,"Jul 28, 2023",A24,Horror
Godzilla Minus One,Godzilla Minus One,"Dec 1, 2023",Toho International,Action
Gran Turismo: Based on a Tr…,Gran Turismo: Based ,"Aug 25, 2023",Sony Pictures,Action
The Color Purple,The Color Purple,"Dec 25, 2023",Warner Bros.,Musical
The Boogeyman,The Boogeyman,"Jun 2, 2023",20th Century Studios,Horror
A Haunting in Venice,A Haunting in Venice,"Sep 15, 2023",20th Century Studios,Thriller/Suspense
The Creator,The Creator,"Sep 29, 2023",20th Century Studios,Thriller/Suspense
80 for Brady,80 for Brady,"Feb 3, 2023",Paramount Pictures,Comedy
The Boy and the Heron,The Boy and the Hero,"Dec 8, 2023",GKIDS,Adventure
Knock at the Cabin,Knock at the Cabin,"Feb 3, 2023",Universal,Thriller/Suspense
RENAISSANCE: A FILM BY BEYO…,RENAISSANCE: A FILM ,"Dec 1, 2023",AMC Theatres Dist…,Concert/Perfor…
Missing,Missing,"Jan 20, 2023",Sony Pictures,Thriller/Suspense
Plane,Plane,"Jan 13, 2023",Lionsgate,Action
65,65,"Mar 10, 2023",Sony Pictures,Thriller/Suspense
Thanksgiving,Thanksgiving,"Nov 17, 2023",Sony Pictures,Horror
My Big Fat Greek Wedding 3,My Big Fat Greek Wed,"Sep 8, 2023",Focus Features,Romantic Comedy
Asteroid City,Asteroid City,"Jun 16, 2023",Focus Features,Comedy
Magic Mike’s Last Dance,Magic Mike’s Last Da,"Feb 10, 2023",Warner Bros.,Comedy
Anyone But You,Anyone But You,"Dec 22, 2023",Sony Pictures,Romantic Comedy
Strays,Strays,"Aug 18, 2023",Universal,Comedy
The Boys in the Boat,The Boys in the Boat,"Dec 25, 2023",Amazon MGM Studios,Drama
Priscilla,Priscilla,"Nov 3, 2023",A24,Drama
"Are You There God? It’s Me,…",Are You There God? I,"Apr 28, 2023",Lionsgate,Comedy
The Pope’s Exorcist,The Pope’s Exorcist,"Apr 14, 2023",Sony Pictures,Horror
The Holdovers,The Holdovers,"Oct 27, 2023",Focus Features,Comedy
The Blackening,The Blackening,"Jun 16, 2023",Lionsgate,Horror
Book Club: The Next Chapter,Book Club: The Next ,"May 12, 2023",Focus Features,Romantic Comedy
Pathaan,Pathaan,"Jan 25, 2023",Yash Raj Films,Thriller/Suspense
Black Panther: Wakanda Forever,Black Panther: Wakan,"Nov 11, 2022",Walt Disney,Action
Renfield,Renfield,"Apr 14, 2023",Universal,Black Comedy
The Blind,The Blind,"Sep 28, 2023",Fathom Events,Drama
Demon Slayer: Kimetsu No Ya…,Demon Slayer: Kimets,"Mar 3, 2023",Crunchyroll,Adventure
Guy Ritchie’s The Covenant,Guy Ritchie’s The Co,"Apr 21, 2023",MGM,Action
Expend4bles,Expend4bles,"Sep 22, 2023",Lionsgate,Action
Champions,Champions,"Mar 10, 2023",Focus Features,Comedy
The Iron Claw,The Iron Claw,"Dec 22, 2023",A24,Drama
"Ruby Gillman, Teenage Kraken","Ruby Gillman, Teenag","Jun 30, 2023",Universal,Comedy
Jawan,Jawan,"Sep 7, 2023",Yash Raj Films,Action
Titanic,Titanic,"Dec 19, 1997",Paramount Pictures,Drama
Animal,Animal,"Dec 1, 2023",Moksha Movies,Action
Dumb Money,Dumb Money,"Sep 15, 2023",Sony Pictures,Comedy
The Last Voyage of the Demeter,The Last Voyage of t,"Aug 11, 2023",Universal,Horror
Joy Ride,Joy Ride,"Jul 7, 2023",Lionsgate,Comedy
The Whale,The Whale,"Dec 9, 2022",A24,Drama
About My Father,About My Father,"May 26, 2023",Lionsgate,Comedy
His Only Son,His Only Son,"Mar 31, 2023",Angel Studios,Drama
Bottoms,Bottoms,"Aug 25, 2023",MGM,Comedy
The Shift,The Shift,"Dec 1, 2023",Angel Studios,Thriller/Suspense
After Death,After Death,"Oct 27, 2023",Angel Studios,Documentary
Saltburn,Saltburn,"Nov 17, 2023",Amazon MGM Studios,Thriller/Suspense
Past Lives,Past Lives,"Jun 2, 2023",A24,Drama
Brotherhood of the Wolf,Brotherhood of the W,"Jan 11, 2002",Rialto Pictures,Action
Suzume,Suzume,"Apr 14, 2023",Sony Pictures,Adventure
Ferrari,Ferrari,"Dec 25, 2023",Neon,Drama
The Machine,The Machine,"May 26, 2023",Sony Pictures,Action
Whitney Houston I Wanna Dan…,Whitney Houston I Wa,"Dec 23, 2022",Sony Pictures,Drama
Poor Things,Poor Things,"Dec 8, 2023",Searchlight Pictures,Black Comedy
The Nightmare Before Christmas,The Nightmare Before,"Oct 13, 1993",Walt Disney,Musical
House Party,House Party,"Jan 13, 2023",Warner Bros.,Comedy
Radical,Radical,"Nov 3, 2023",Pantelion Films,Drama
Salaar: Part 1 Ceasefire,Salaar: Part 1 Cease,"Dec 22, 2023",Prathyangira Cine…,Action
Beau is Afraid,Beau is Afraid,"Apr 21, 2023",A24,Horror
Silent Night,Silent Night,"Dec 1, 2023",Lionsgate,Action
BTS: Yet to Come in Cinemas,BTS: Yet to Come in ,"Feb 1, 2023",Trafalgar Releasing,Concert/Perfor…
The Hill,The Hill,"Aug 25, 2023",Briarcliff Entert…,Drama
Sisu,Sisu,"Apr 28, 2023",Lionsgate,Action
Star Wars Ep. VI: Return of…,Star Wars Ep. VI: Re,"Mar 14, 1997",20th Century Studios,Adventure
Everything Everywhere All A…,Everything Everywher,"Mar 25, 2022",A24,Action
Dunki,Dunki,"Dec 21, 2023",Yash Raj Films,Comedy
Retribution,Retribution,"Aug 25, 2023",Roadside Attractions,Action
Next Goal Wins,Next Goal Wins,"Nov 17, 2023",Searchlight Pictures,Comedy
Babylon,Babylon,"Dec 23, 2022",Paramount Pictures,Drama
Operation Fortune: Ruse de …,Operation Fortune: R,"Dec 31, 2022",Lionsgate,Action
Coraline,Coraline,"Feb 6, 2009",Fathom Events,Adventure
Love Again,Love Again,"May 5, 2023",Sony Pictures,Romantic Comedy
Journey to Bethlehem,Journey to Bethlehem,"Nov 10, 2023",Sony Pictures,Musical
Dream Scenario,Dream Scenario,"Nov 10, 2023",A24,Black Comedy
The Fabelmans,The Fabelmans,"Nov 23, 2022",Universal,Drama
The Chosen Season 3 Finale,The Chosen Season 3 ,"Feb 2, 2023",Fathom Events,Drama
Nefarious,Nefarious,"Apr 14, 2023",SDG Releasing,Thriller/Suspense
Big George Foreman: The Mir…,Big George Foreman: ,"Apr 28, 2023",Sony Pictures,Drama
Waitress: The Musical,Waitress: The Musica,"Dec 7, 2023",Bleecker Street,Concert/Perfor…
Tiger 3,Tiger 3,"Nov 11, 2023",Yash Raj Films,Action
Women Talking,Women Talking,"Dec 23, 2022",United Artists,Drama
Freelance,Freelance,"Oct 27, 2023",Relativity,Action
Infinity Pool,Infinity Pool,"Jan 27, 2023",Neon,Horror
Stop Making Sense,Stop Making Sense,"Oct 19, 1984",A24,Concert/Perfor…
The Wandering Earth 2,The Wandering Earth ,"Jan 22, 2023",Well Go USA,Action
The Way,The Way,"Oct 7, 2011",Fathom Events,Drama
Mummies,Mummies,"Feb 24, 2023",Warner Bros.,Adventure
Hocus Pocus,Hocus Pocus,"Jul 16, 1993",Walt Disney,Comedy
You Hurt My Feelings,You Hurt My Feelings,"May 26, 2023",A24,Comedy
Kandahar,Kandahar,"May 26, 2023",Briarcliff Entert…,Action
Golda,Golda,"Aug 25, 2023",,Drama
Christmas with the Chosen: …,Christmas with the C,"Dec 12, 2023",Fathom Events,Concert/Perfor…
It Lives Inside,It Lives Inside,"Sep 22, 2023",Neon,Horror
Hypnotic,Hypnotic,"May 12, 2023",Ketchup Entertain…,Thriller/Suspense
Marlowe,Marlowe,"Feb 15, 2023",Open Road,Thriller/Suspense
The Amazing Maurice,The Amazing Maurice,"Feb 3, 2023",Viva Pictures,Adventure
Monty Python and the Holy G…,Monty Python and the,"May 10, 1975",Iconic Releasing,Comedy
Jailer,Jailer,"Aug 9, 2023",Ayngaran Internat…,Action
Theater Camp,Theater Camp,"Jul 14, 2023",Searchlight Pictures,Comedy
Ponniyin Selvan: Part II,Ponniyin Selvan: Par,"Apr 28, 2023",Zee Studios,Action
Anatomy of a Fall,Anatomy of a Fall,"Oct 13, 2023",Neon,Drama
Left Behind: Rise of the An…,Left Behind: Rise of,"Jan 26, 2023",Fathom Events,Thriller/Suspense
The Journey: A Music Special,The Journey: A Music,"Apr 2, 2023",Fathom Events,Documentary
Chevalier,Chevalier,"Apr 21, 2023",Searchlight Pictures,Drama
Mafia Mamma,Mafia Mamma,"Apr 14, 2023",Bleecker Street,Comedy
A Thousand and One,A Thousand and One,"Mar 31, 2023",Focus Features,Drama
Violent Night,Violent Night,"Dec 2, 2022",Universal,Comedy
What Happens Later,What Happens Later,"Nov 3, 2023",Bleecker Street,Romantic Comedy
Rocky Aur Rani Kii Prem Kah…,Rocky Aur Rani Kii P,"Jul 28, 2023",Viacom18 Motion P…,Comedy
2023 Oscar Shorts,2023 Oscar Shorts,"Feb 17, 2023",ShortsHD,Multiple Genres
Elf,Elf,"Nov 7, 2003",New Line,Comedy
Living,Living,"Dec 23, 2022",Sony Pictures Cla…,Drama
The Menu,The Menu,"Nov 18, 2022",Searchlight Pictures,Black Comedy
Come Out in Jesus Name,Come Out in Jesus Na,"Mar 13, 2023",Fathom Events,Documentary
Tu Jhoothi Main Makkaar,Tu Jhoothi Main Makk,"Mar 8, 2023",Yash Raj Films,Romantic Comedy
The Miracle Club,The Miracle Club,"Jul 14, 2023",Sony Pictures Cla…,Comedy
