Movie,trunc,Release Date,Distributor,Genre
Oldboy,Oldboy,"Mar 25, 2005",Neon,Thriller/Suspense
Blackberry,Blackberry,"May 12, 2023",IFC Films,Comedy
Chocolat,Chocolat,"Sep 18, 2015",Janus Films,Drama
A Good Person,A Good Person,"Mar 24, 2023",MGM,Drama
Fear,Fear,"Jan 27, 2023",Hidden Empire Rel…,Horror
Moving On,Moving On,"Mar 17, 2023",Roadside Attractions,Comedy
Winnie-The-Pooh: Blood and …,Winnie-The-Pooh: Blo,"Feb 15, 2023",Fathom Events,Horror
Skinamarink,Skinamarink,"Jan 13, 2023",IFC Midnight,Horror
Die Hard,Die Hard,"Jul 15, 1988",20th Century Studios,Action
Jules,Jules,"Aug 11, 2023",Bleecker Street,Drama
That Time I Got Reincarnate…,That Time I Got Rein,"Jan 20, 2023",Crunchyroll,Adventure
Somewhere in Queens,Somewhere in Queens,"Apr 21, 2023",Roadside Attractions,Comedy
Delicatessen,Delicatessen,"Apr 3, 1992",Rialto Pictures,Comedy
The Marsh King’s Daughter,The Marsh King’s Dau,"Nov 3, 2023",Roadside Attractions,Thriller/Suspense
Creation of the Gods I: Kin…,Creation of the Gods,"Sep 20, 2023",Well Go USA,Adventure
American Fiction,American Fiction,"Dec 15, 2023",Amazon MGM Studios,Comedy
The Retirement Plan,The Retirement Plan,"Sep 15, 2023",Falling Forward F…,Action
Route 60: The Biblical Highway,Route 60: The Biblic,"Sep 18, 2023",Fathom Events,Documentary
Princess Mononoke,Princess Mononoke,"Oct 29, 1999",Fathom Events,Action
Polite Society,Polite Society,"Apr 28, 2023",Focus Features,Action
The Banshees of Inisherin,The Banshees of Inis,"Oct 21, 2022",Searchlight Pictures,Drama
The Polar Express,The Polar Express,"Nov 10, 2004",Warner Bros.,Adventure
The Quiet Girl,The Quiet Girl,"Dec 16, 2022",Super LTD,Drama
Spirited Away: Live on Stage,Spirited Away: Live ,"Apr 23, 2023",Fathom Events,Concert/Perfor…
Dicks: The Musical,Dicks: The Musical,"Oct 6, 2023",A24,Musical
Eileen,Eileen,"Dec 1, 2023",Neon,Drama
Maybe I Do,Maybe I Do,"Jan 27, 2023",Vertical Entertai…,Romantic Comedy
The First Slam Dunk,The First Slam Dunk,"Jul 28, 2023",GKIDS,Comedy
Billie Eilish Live at the 0…,Billie Eilish Live a,"Jan 27, 2023",Trafalgar Releasing,Concert/Perfor…
The Big Lebowski,The Big Lebowski,"Mar 6, 1998",Fathom Events,Comedy
Back to the Future,Back to the Future,"Jul 3, 1985",Fathom Events,Adventure
TÁR,TÁR,"Oct 7, 2022",Focus Features,Drama
The Lost King,The Lost King,"Mar 24, 2023",IFC Films,Comedy
Sword Art Online Progressiv…,Sword Art Online Pro,"Feb 3, 2023",Crunchyroll,Action
The Lord of the Rings: The …,The Lord of the Ring,"Dec 17, 2003",Fathom Events,Adventure
Gadar 2,Gadar 2,"Aug 11, 2023",Zee Studios,Action
Camp Hideout,Camp Hideout,"Sep 15, 2023",Roadside Attractions,Adventure
Strange World,Strange World,"Nov 23, 2022",Walt Disney,Adventure
Close,Close,"Dec 2, 2022",A24,Drama
National Lampoon’s Christma…,National Lampoon’s C,"Dec 1, 1989",Warner Bros.,Comedy
Emily,Emily,"Feb 17, 2023",Bleecker Street,Drama
Knights of the Zodiac,Knights of the Zodia,"May 12, 2023",Sony Pictures,Action
Waltair Veerayya,Waltair Veerayya,"Jan 13, 2023",Friday Entertainment,Drama
Broker,Broker,"Dec 26, 2022",Neon,Drama
Contempt,Contempt,"Mar 14, 2008",Rialto Pictures,Drama
Inside,Inside,"Mar 17, 2023",Focus Features,Thriller/Suspense
The Roundup: No Way Out,The Roundup: No Way ,"Jun 2, 2023",Capelight Pictures,Action
Dr. Seuss’ The Grinch,Dr. Seuss’ The Grinc,"Nov 9, 2018",Universal,Adventure
Fool’s Paradise,Fool’s Paradise,"May 12, 2023",Roadside Attractions,Comedy
The Domino Revival,The Domino Revival,"Oct 24, 2023",Fathom Events,Documentary
Lost in the Stars,Lost in the Stars,"Jul 7, 2023",CMC Pictures,Thriller/Suspense
It’s A Wonderful Knife,It’s A Wonderful Kni,"Nov 10, 2023",RLJ Entertainment,Horror
Paint,Paint,"Apr 7, 2023",IFC Films,Comedy
Hidden Blade,Hidden Blade,"Feb 17, 2023",Well Go USA,Drama
Return to Seoul,Return to Seoul,"Dec 2, 2022",Sony Pictures Cla…,Drama
The Royal Hotel,The Royal Hotel,"Oct 6, 2023",Neon,Thriller/Suspense
The Devil Conspiracy,The Devil Conspiracy,"Jan 13, 2023",Third Day Product…,Horror
ODESZA: The Last Goodbye Ci…,ODESZA: The Last Goo,"Jul 7, 2023",Trafalgar Releasing,Concert/Perfor…
Showing Up,Showing Up,"Apr 7, 2023",A24,Drama
How to Blow Up a Pipeline,How to Blow Up a Pip,"Apr 7, 2023",Neon,Drama
Rally Road Racers,Rally Road Racers,"May 12, 2023",Viva Pictures,Adventure
Jaws,Jaws,"Jun 20, 1975",Fathom Events,Thriller/Suspense
Harry Potter and the Deathl…,Harry Potter and the,"Nov 19, 2010",Warner Bros.,Adventure
It Ain’t Over,It Ain’t Over,"May 12, 2023",Sony Pictures Cla…,Documentary
How the Grinch Stole Christmas,How the Grinch Stole,"Nov 17, 2000",Universal,Adventure
The Goonies,The Goonies,"Jun 7, 1985",Warner Bros.,Adventure
Shortcomings,Shortcomings,"Aug 4, 2023",Sony Pictures Cla…,Comedy
Devotion,Devotion,"Nov 23, 2022",Sony Pictures,Action
Master Gardener,Master Gardener,"May 19, 2023",Magnolia Pictures,Thriller/Suspense
Fallen Leaves,Fallen Leaves,"Nov 17, 2023",MUBI,Drama
She Came to Me,She Came to Me,"Oct 6, 2023",Vertical Entertai…,Romantic Comedy
Beetle Juice,Beetle Juice,"Mar 30, 1988",Warner Bros.,Comedy
Joan Baez I Am a Noise,Joan Baez I Am a Noi,"Oct 6, 2023",Magnolia Pictures,Documentary
EO,EO,"Nov 18, 2022",Janus Films,Drama
Corsage,Corsage,"Dec 23, 2022",IFC Films,Drama
Aftersun,Aftersun,"Oct 21, 2022",A24,Drama
CatVideoFest 2023,CatVideoFest 2023,"Aug 4, 2023",Oscilloscope Pict…,Documentary
Shin Ultraman,Shin Ultraman,"Jan 11, 2023",Fathom Events,Action
Mirando al Cielo,Mirando al Cielo,"Apr 17, 2023",Fathom Events,Drama
Minions: The Rise of Gru,Minions: The Rise of,"Jul 1, 2022",Universal,Adventure
The Persian Version,The Persian Version,"Oct 20, 2023",Sony Pictures Cla…,Romantic Comedy
Scarface,Scarface,"Dec 9, 1983",Fathom Events,Drama
Of an Age,Of an Age,"Feb 17, 2023",Focus Features,Drama
Passages,Passages,"Aug 4, 2023",MUBI,Drama
When Evil Lurks,When Evil Lurks,"Oct 6, 2023",IFC Films,Horror
"RRR: Rise, Roar, Revolt","RRR: Rise, Roar, Rev","Mar 24, 2022",Variance Films,Action
Sweetwater,Sweetwater,"Apr 14, 2023",Briarcliff Entert…,Drama
Consecration,Consecration,"Feb 10, 2023",IFC Films,Horror
Sanctuary,Sanctuary,"May 19, 2023",Neon,Thriller/Suspense
The Abyss,The Abyss,"Aug 9, 1989",20th Century Fox,Adventure
The Dark Knight,The Dark Knight,"Jul 18, 2008",Warner Bros.,Action
Strange Way of Life,Strange Way of Life,"Oct 6, 2023",Sony Pictures Cla…,Western
The Good Mother,The Good Mother,"Sep 1, 2023",Vertical Entertai…,Thriller/Suspense
Triangle of Sadness,Triangle of Sadness,"Oct 7, 2022",Neon,Black Comedy
The Shining,The Shining,"May 23, 1980",Fathom Events,Horror
The Oath,The Oath,"Dec 8, 2023",Freestyle Releasing,Action
The Zone of Interest,The Zone of Interest,"Dec 15, 2023",A24,Drama
Under the Sea 3D,Under the Sea 3D,"Feb 13, 2009",Warner Bros.,Documentary
The Son,The Son,"Nov 25, 2022",Sony Pictures Cla…,Drama
A Father’s Heart,A Father’s Heart,"May 1, 2023",Fathom Events,Documentary
They Live,They Live,"Nov 4, 1988",Fathom Events,Thriller/Suspense
Carlos,Carlos,"Sep 23, 2023",Sony Pictures Cla…,Documentary
Amerikatsi,Amerikatsi,"Sep 8, 2023",Variance Films,Comedy
Aristotle and Dante Discove…,Aristotle and Dante ,"Sep 8, 2023",Blue Fox Entertai…,Drama
Mending the Line,Mending the Line,"Jun 9, 2023",Blue Fox Entertai…,Drama
Elvis,Elvis,"Jun 24, 2022",Warner Bros.,Drama
The Wizard of Oz,The Wizard of Oz,"Sep 23, 2009",Warner Bros.,Musical
All of Us Strangers,All of Us Strangers,"Dec 22, 2023",Searchlight Pictures,Drama
Mother Teresa & Me,Mother Teresa & Me,"Oct 5, 2023",Fathom Events,Drama
Go West,Go West,"Jul 19, 2023",Purdie Distribution,Western
Terrifier,Terrifier,"Jul 19, 2023",Iconic Releasing,Horror
UFC 293: Adesyana vs. Stric…,UFC 293: Adesyana vs,"Sep 9, 2023",Iconic Releasing,Concert/Perfor…
Selfiee,Selfiee,"Feb 24, 2023",Star Studios,Action
Turn Every Page: The Advent…,Turn Every Page: The,"Dec 30, 2022",Sony Pictures Cla…,Documentary
Wild Life,Wild Life,"Apr 14, 2023",National Geograph…,Documentary
Children of the Corn,Children of the Corn,"Mar 3, 2023",RLJ Entertainment,Horror
Terrifier 2,Terrifier 2,"Oct 6, 2022",Iconic Releasing,Horror
Farewell My Concubine,Farewell My Concubin,"Oct 13, 1993",Film Movement,Drama
Monster,Monster,"Nov 22, 2023",Well Go USA,Thriller/Suspense
Outlaw Johnny Black,Outlaw Johnny Black,"Sep 15, 2023",Samuel Goldwyn Films,Western
The Lesson,The Lesson,"Jul 7, 2023",Bleecker Street,Thriller/Suspense
Psycho-Pass Providence,Psycho-Pass Providen,"Jul 14, 2023",Crunchyroll,Thriller/Suspense
UFC 291: Poirier vs. Gaethje 2,UFC 291: Poirier vs.,"Jul 29, 2023",Iconic Releasing,Concert/Perfor…
The Inventor,The Inventor,"Sep 15, 2023",Blue Fox Entertai…,Adventure
Joyland,Joyland,"Apr 7, 2023",Oscilloscope Pict…,Drama
Dreamin’ Wild,Dreamin’ Wild,"Aug 4, 2023",Roadside Attractions,Drama
The Eight Mountains,The Eight Mountains,"Apr 28, 2023",Janus Films,Drama
Southern Gospel,Southern Gospel,"Mar 10, 2023",Iconic Releasing,Drama
School of Magical Animals,School of Magical An,"Mar 24, 2023",Blue Fox Entertai…,Adventure
Born to Fly,Born to Fly,"Apr 28, 2023",Well Go USA,Action
Every Body,Every Body,"Jun 30, 2023",Focus Features,Documentary
Fremont,Fremont,"Aug 25, 2023",Music Box Films,Documentary
Blue Giant,Blue Giant,"Oct 8, 2023",GKIDS,Drama
American Graffiti,American Graffiti,"Aug 11, 1973",Fathom Events,Drama
Empire of Light,Empire of Light,"Dec 9, 2022",Searchlight Pictures,Drama
The Essential Church,The Essential Church,"Jul 28, 2023",Atlas Distribution,Documentary
Common Ground,Common Ground,"Sep 29, 2023",Area 23a,Documentary
Afire,Afire,"Jul 14, 2023",Janus Films,Drama
The Land Before Time,The Land Before Time,"Nov 18, 1988",Universal,Adventure
The Secret Life of Pets,The Secret Life of P,"Jul 8, 2016",Universal,Adventure
Shelter in Solitude,Shelter in Solitude,"Oct 6, 2023",,Comedy
Il conformista,Il conformista,"Aug 29, 2014",Kino Lorber,Drama
The Thing,The Thing,"Jun 25, 1982",Universal,Horror
The Bad Guys,The Bad Guys,"Apr 22, 2022",Universal,Comedy
Malum,Malum,"Mar 31, 2023",Welcome Villain F…,Horror
All The Beauty And The Bloo…,All The Beauty And T,"Nov 23, 2022",Neon,Documentary
One Fine Morning,One Fine Morning,"Jan 27, 2023",Sony Pictures Cla…,Drama
Scrapper,Scrapper,"Aug 25, 2023",Kino Lorber,Drama
Saint Omer,Saint Omer,"Dec 9, 2022",Super LTD,Drama
The Wicker Man,The Wicker Man,"Aug 7, 1974",Rialto Pictures,Horror
ET: The Extra-Terrestrial,ET: The Extra-Terres,"Jun 11, 1982",NCM Fathom,Adventure
I Can,I Can,"Sep 22, 2023",Atlas Distribution,Drama
Landscape with Invisible Hand,Landscape with Invis,"Aug 18, 2023",MGM,Drama
Shrek 2,Shrek 2,"May 19, 2004",Dreamworks SKG,Adventure
Born to be Wild 3D,Born to be Wild 3D,"Apr 8, 2011",Warner Bros.,Documentary
Lourdes,Lourdes,"Jun 25, 2021",Fathom Events,Documentary
When You Finish Saving the …,When You Finish Savi,"Jan 20, 2023",A24,Comedy
The Canterville Ghost,The Canterville Ghos,"Oct 20, 2023",Blue Fox Entertai…,Adventure
Enys Men,Enys Men,"Mar 31, 2023",Neon,Horror
Shrek,Shrek,"May 18, 2001",Dreamworks SKG,Adventure
"Lyle, Lyle, Crocodile","Lyle, Lyle, Crocodil","Oct 7, 2022",Sony Pictures,Musical
Onyx the Fortuitous and the…,Onyx the Fortuitous ,"Oct 19, 2023",Fathom Events,Comedy
Close to Vermeer,Close to Vermeer,"May 26, 2023",Kino Lorber,Documentary
The Wrath of Becky,The Wrath of Becky,"May 26, 2023",Quiver,Horror
The Other Zoey,The Other Zoey,"Oct 20, 2023",Brainstorm Media,Romantic Comedy
Chile ‘76,Chile ‘76,"May 5, 2023",Kino Lorber,Thriller/Suspense
Anselm,Anselm,"Dec 8, 2023",Janus Films,Documentary
The Highest of Stakes,The Highest of Stake,"Aug 4, 2023",Indican Pictures,Documentary
The Starling Girl,The Starling Girl,"May 12, 2023",Bleecker Street,Drama
¡Que viva México!,¡Que viva México!,"Mar 24, 2023",Sony Pictures,Comedy
Mamma Mia!,Mamma Mia!,"Jul 18, 2008",Universal,Musical
La Usurpadora,La Usurpadora,"Apr 7, 2023",Pantelion Films,Musical
Hubble 3D,Hubble 3D,"Mar 19, 2010",Warner Bros.,Documentary
Monica,Monica,"May 12, 2023",IFC Films,Drama
