Movie,trunc,Release Date,Distributor,Genre
Spider-Man: No Way Home,Spider-Man: No Way H,"Dec 17, 2021",Sony Pictures,Action
Shang-Chi and the Legend of…,Shang-Chi and the Le,"Sep 3, 2021",Walt Disney,Action
Venom: Let There be Carnage,Venom: Let There be ,"Oct 1, 2021",Sony Pictures,Action
Black Widow,Black Widow,"Jul 9, 2021",Walt Disney,Action
F9: The Fast Saga,F9: The Fast Saga,"Jun 25, 2021",Universal,Action
Eternals,Eternals,"Nov 5, 2021",Walt Disney,Action
No Time to Die,No Time to Die,"Oct 8, 2021",United Artists,Action
A Quiet Place: Part II,A Quiet Place: Part ,"May 28, 2021",Paramount Pictures,Horror
Ghostbusters: Afterlife,Ghostbusters: Afterl,"Nov 19, 2021",Sony Pictures,Comedy
Free Guy,Free Guy,"Aug 13, 2021",20th Century Studios,Action
Jungle Cruise,Jungle Cruise,"Jul 30, 2021",Walt Disney,Adventure
Dune,Dune,"Oct 22, 2021",Warner Bros.,Action
Godzilla vs. Kong,Godzilla vs. Kong,"Mar 31, 2021",Warner Bros.,Action
Halloween Kills,Halloween Kills,"Oct 15, 2021",Universal,Horror
Encanto,Encanto,"Nov 24, 2021",Walt Disney,Adventure
Cruella,Cruella,"May 28, 2021",Walt Disney,Comedy
Sing 2,Sing 2,"Dec 22, 2021",Universal,Musical
Space Jam: A New Legacy,Space Jam: A New Leg,"Jul 16, 2021",Warner Bros.,Comedy
The Conjuring: The Devil Ma…,The Conjuring: The D,"Jun 4, 2021",Warner Bros.,Horror
Candyman,Candyman,"Aug 27, 2021",Universal,Horror
The Boss Baby: Family Business,The Boss Baby: Famil,"Jul 2, 2021",Universal,Adventure
The Addams Family 2,The Addams Family 2,"Oct 1, 2021",United Artists,Adventure
The Suicide Squad,The Suicide Squad,"Aug 6, 2021",Warner Bros.,Action
Raya and the Last Dragon,Raya and the Last Dr,"Mar 5, 2021",Walt Disney,Adventure
Demon Slayer The Movie: Mug…,Demon Slayer The Mov,"Apr 23, 2021",FUNimation,Adventure
House of Gucci,House of Gucci,"Nov 24, 2021",United Artists,Drama
Clifford the Big Red Dog,Clifford the Big Red,"Nov 10, 2021",Paramount Pictures,Adventure
Old,Old,"Jul 23, 2021",Universal,Thriller/Suspense
Tom and Jerry,Tom and Jerry,"Feb 26, 2021",Warner Bros.,Adventure
The Forever Purge,The Forever Purge,"Jul 2, 2021",Universal,Horror
Mortal Kombat,Mortal Kombat,"Apr 23, 2021",Warner Bros.,Action
Peter Rabbit 2: The Runaway,Peter Rabbit 2: The ,"Jun 11, 2021",Sony Pictures,Adventure
PAW Patrol: The Movie,PAW Patrol: The Movi,"Aug 20, 2021",Paramount Pictures,Adventure
The Hitman’s Wife’s Bodygua…,The Hitman’s Wife’s ,"Jun 16, 2021",Lionsgate,Comedy
Don’t Breathe 2,Don’t Breathe 2,"Aug 13, 2021",Sony Pictures,Horror
In the Heights,In the Heights,"Jun 10, 2021",Warner Bros.,Musical
Snake Eyes: G.I. Joe Origins,Snake Eyes: G.I. Joe,"Jul 23, 2021",Paramount Pictures,Action
West Side Story,West Side Story,"Dec 10, 2021",20th Century Studios,Musical
The Matrix Resurrections,The Matrix Resurrect,"Dec 22, 2021",Warner Bros.,Action
Nobody,Nobody,"Mar 26, 2021",Universal,Thriller/Suspense
Wrath of Man,Wrath of Man,"May 7, 2021",United Artists,Action
The Croods: A New Age,The Croods: A New Ag,"Nov 25, 2020",Universal,Adventure
Escape Room: Tournament of …,Escape Room: Tournam,"Jul 16, 2021",Sony Pictures,Horror
Respect,Respect,"Aug 13, 2021",United Artists,Drama
Wonder Woman 1984,Wonder Woman 1984,"Dec 25, 2020",Warner Bros.,Action
Spiral,Spiral,"May 14, 2021",Lionsgate,Horror
Ron’s Gone Wrong,Ron’s Gone Wrong,"Oct 22, 2021",20th Century Studios,Adventure
Spirit Untamed,Spirit Untamed,"Jun 4, 2021",Universal,Adventure
The Green Knight,The Green Knight,"Jul 30, 2021",A24,Adventure
Resident Evil: Welcome to R…,Resident Evil: Welco,"Nov 24, 2021",Sony Pictures,Horror
The King’s Man,The King’s Man,"Dec 22, 2021",20th Century Studios,Action
The French Dispatch,The French Dispatch,"Oct 22, 2021",Searchlight Pictures,Comedy
The Marksman,The Marksman,"Jan 15, 2021",Open Road,Action
The Unholy,The Unholy,"Apr 2, 2021",Sony Pictures,Horror
The Little Things,The Little Things,"Jan 29, 2021",Warner Bros.,Thriller/Suspense
Dear Evan Hansen,Dear Evan Hansen,"Sep 24, 2021",Universal,Musical
King Richard,King Richard,"Nov 19, 2021",Warner Bros.,Drama
Stillwater,Stillwater,"Dec 31, 2020",Focus Features,Drama
Malignant,Malignant,"Sep 10, 2021",Warner Bros.,Horror
Christmas with the Chosen: …,Christmas with the C,"Dec 1, 2021",Fathom Events,Concert/Perfor…
Chaos Walking,Chaos Walking,"Mar 5, 2021",Lionsgate,Action
American Underdog: The Kurt…,American Underdog: T,"Dec 25, 2021",Lionsgate,Drama
The Last Duel,The Last Duel,"Oct 15, 2021",20th Century Studios,Drama
Antlers,Antlers,"Oct 29, 2021",Searchlight Pictures,Horror
Cry Macho,Cry Macho,"Sep 17, 2021",Warner Bros.,Drama
Monster Hunter,Monster Hunter,"Dec 18, 2020",Sony Pictures,Action
Last Night in Soho,Last Night in Soho,"Oct 29, 2021",Focus Features,Thriller/Suspense
My Hero Academia: World Her…,My Hero Academia: Wo,"Oct 29, 2021",FUNimation,Adventure
News of the World,News of the World,"Dec 25, 2020",Universal,Western
The Many Saints of Newark,The Many Saints of N,"Oct 1, 2021",Warner Bros.,Drama
Dazed and Confused,Dazed and Confused,"Sep 24, 1993",,Comedy
Nightmare Alley,Nightmare Alley,"Dec 17, 2021",Searchlight Pictures,Thriller/Suspense
The Protégé,The Protégé,"Aug 20, 2021",Lionsgate,Action
Those Who Wish Me Dead,Those Who Wish Me De,"May 14, 2021",Warner Bros.,Thriller/Suspense
The Night House,The Night House,"Aug 20, 2021",Searchlight Pictures,Horror
Spencer,Spencer,"Nov 5, 2021",Neon,Drama
Belfast,Belfast,"Nov 12, 2021",Focus Features,Drama
The Courier,The Courier,"Mar 19, 2021",Roadside Attractions,Thriller/Suspense
Licorice Pizza,Licorice Pizza,"Nov 26, 2021",United Artists,Drama
Judas and the Black Messiah,Judas and the Black ,"Feb 12, 2021",Warner Bros.,Drama
Roadrunner: A Film About An…,Roadrunner: A Film A,"Jul 16, 2021",Focus Features,Documentary
Promising Young Woman,Promising Young Woma,"Dec 25, 2020",Focus Features,Black Comedy
CopShop,CopShop,"Sep 17, 2021",Open Road,Action
Zola,Zola,"Jun 30, 2021",A24,Black Comedy
Separation,Separation,"Apr 30, 2021",Open Road,Horror
Boogie,Boogie,"Mar 5, 2021",Focus Features,Drama
A Journal for Jordan,A Journal for Jordan,"Dec 10, 2021",Sony Pictures,Drama
Reminiscence,Reminiscence,"Aug 20, 2021",Warner Bros.,Thriller/Suspense
Nomadland,Nomadland,"Feb 19, 2021",Searchlight Pictures,Drama
12 Mighty Orphans,12 Mighty Orphans,"Jun 11, 2021",Sony Pictures Cla…,Drama
Fatale,Fatale,"Dec 18, 2020",Lionsgate,Thriller/Suspense
Pig,Pig,"Jul 16, 2021",Neon,Drama
The Girl Who Believes In Mi…,The Girl Who Believe,"Apr 2, 2021",Atlas Distribution,Drama
Voyagers,Voyagers,"Apr 9, 2021",Lionsgate,Thriller/Suspense
Minari,Minari,"Dec 11, 2020",A24,Drama
Dream Horse,Dream Horse,"May 21, 2021",Bleecker Street,Drama
The House Next Door: Meet t…,The House Next Door:,"Jun 11, 2021",HEFG Releasing,Comedy
Here Today,Here Today,"May 7, 2021",Sony Pictures,Comedy
Finding You,Finding You,"May 14, 2021",Roadside Attractions,Drama
Lamb,Lamb,"Oct 8, 2021",A24,Horror
The Card Counter,The Card Counter,"Sep 10, 2021",Focus Features,Thriller/Suspense
Land,Land,"Feb 12, 2021",Focus Features,Drama
The War with Grandpa,The War with Grandpa,"Oct 9, 2020",101 Studios,Comedy
The Eyes of Tammy Faye,The Eyes of Tammy Fa,"Sep 17, 2021",Searchlight Pictures,Drama
"Summer of Soul (…Or, When t…","Summer of Soul (…Or,","Jul 2, 2021",Searchlight Pictures,Documentary
Scoob!,Scoob!,"May 15, 2020",Warner Bros.,Adventure
After We Fell,After We Fell,"Sep 10, 2021",Vertical Entertai…,Drama
The Father,The Father,"Mar 12, 2021",Sony Pictures Cla…,Drama
C’mon C’mon,C’mon C’mon,"Nov 19, 2021",A24,Drama
Queen Bees,Queen Bees,"Jun 18, 2021",Gravitas Ventures,Comedy
Show Me the Father,Show Me the Father,"Sep 10, 2021",Sony Pictures,Documentary
Profile,Profile,"May 14, 2021",Focus Features,Thriller/Suspense
Titane,Titane,"Oct 1, 2021",Neon,Horror
Together Together,Together Together,"Apr 23, 2021",Bleecker Street,Comedy
Back to the Future,Back to the Future,"Jul 3, 1985",,Adventure
Joe Bell,Joe Bell,"Jul 23, 2021",Roadside Attractions,Drama
Honsla Rakh,Honsla Rakh,"Oct 15, 2021",,Comedy
Wrong Turn,Wrong Turn,"Jan 26, 2021",Saban Films,Horror
Scott Pilgrim vs. The World,Scott Pilgrim vs. Th,"Aug 13, 2010",Universal,Comedy
CS Lewis: The Most Reluctan…,CS Lewis: The Most R,"Nov 3, 2021",Trafalgar Releasing,Drama
God’s Not Dead: We the Peop…,God’s Not Dead: We t,"Oct 4, 2021",Pinnacle Peak,Drama
Jurassic World,Jurassic World,"Jun 12, 2015",,Action
In the Earth,In the Earth,"Apr 16, 2021",Neon,Horror
Pinocchio,Pinocchio,"Dec 25, 2020",Roadside Attractions,Adventure
True To The Game 3,True To The Game 3,"Dec 3, 2021",Faith Media Distr…,Thriller/Suspense
Long Weekend,Long Weekend,"Mar 12, 2021",Sony Pictures,Romantic Comedy
The Jesus Music,The Jesus Music,"Oct 1, 2021",Lionsgate,Documentary
Come Play,Come Play,"Oct 30, 2020",Focus Features,Horror
A Rescue of Little Eggs,A Rescue of Little E,"Aug 27, 2021",Lionsgate,Comedy
Witnesses,Witnesses,"Jun 4, 2021",Purdie Distribution,Drama
The Alpinist,The Alpinist,"Sep 10, 2021",,Documentary
Four Good Days,Four Good Days,"Apr 30, 2021",Vertical Entertai…,Drama
The Mauritanian,The Mauritanian,"Feb 12, 2021",STX Entertainment,Drama
Blue Bayou,Blue Bayou,"Sep 17, 2021",Focus Features,Drama
The Rescue,The Rescue,"Oct 8, 2021",Greenwich,Documentary
Lamb of God: The Concert Film,Lamb of God: The Con,"Mar 12, 2021",Purdie Distribution,Concert/Perfor…
French Exit,French Exit,"Feb 12, 2021",Sony Pictures Cla…,Comedy
Red Rocket,Red Rocket,"Dec 10, 2021",A24,Drama
Nine Days,Nine Days,"Jul 30, 2021",Sony Pictures Cla…,Drama
Our Friend,Our Friend,"Jan 22, 2021",Gravitas Ventures,Drama
The Sparks Brothers,The Sparks Brothers,"Jun 18, 2021",Focus Features,Documentary
Met Opera: Fire Shut Up in …,Met Opera: Fire Shut,"Oct 23, 2021",Fathom Events,Concert/Perfor…
The Matrix,The Matrix,"Mar 31, 1999",,Action
Werewolves Within,Werewolves Within,"Jun 25, 2021",IFC Films,Horror
City of Lies,City of Lies,"Mar 19, 2021",Saban Films,Drama
Anita,Anita,"Nov 12, 2021",CMC Pictures,Drama
The Truffle Hunters,The Truffle Hunters,"Mar 5, 2021",Sony Pictures Cla…,Documentary
Ghostbusters,Ghostbusters,"Jun 8, 1984",Sony Pictures,Comedy
Courageous,Courageous,"Sep 30, 2011",Sony Pictures,Drama
For the Love of Money,For the Love of Mone,"Nov 24, 2021",Freestyle Releasing,Drama
National Champions,National Champions,"Dec 10, 2021",STX Entertainment,Drama
Jathi Ratnalu,Jathi Ratnalu,"Mar 12, 2021",Self Distributed,Comedy
Tenet,Tenet,"Sep 3, 2020",Warner Bros.,Action
Top Gun,Top Gun,"May 16, 1986",Paramount Pictures,Action
The Lost Leonardo,The Lost Leonardo,"Aug 13, 2021",Sony Pictures Cla…,Documentary
2021 Oscar Shorts,2021 Oscar Shorts,"Apr 2, 2021",ShortsHD,Multiple Genres
Flag Day,Flag Day,"Aug 20, 2021",United Artists,Drama
Coraline,Coraline,"Feb 6, 2009",Fathom Events,Adventure
Willy’s Wonderland,Willy’s Wonderland,"Feb 12, 2021",Screen Media Films,Horror
Crisis,Crisis,"Feb 25, 2021",Quiver,Thriller/Suspense
Julia,Julia,"Nov 12, 2021",Sony Pictures Cla…,Documentary
Raging Fire,Raging Fire,"Aug 13, 2021",Well Go USA,Action
Ghost in the Shell,Ghost in the Shell,"Mar 29, 1996",Lionsgate,Action
The Dry,The Dry,"May 21, 2021",IFC Films,Thriller/Suspense
The Water Man,The Water Man,"May 7, 2021",RLJ Entertainment,Drama
Bo Gia,Bo Gia,"May 28, 2021",,Comedy
