Movie,trunc,Release Date,Distributor,Genre
A Minecraft Movie,A Minecraft Movie,"Apr 4, 2025",Warner Bros.,Adventure
Lilo & Stitch,Lilo & Stitch,"May 23, 2025",Walt Disney,Adventure
Superman,Superman,"Jul 11, 2025",Warner Bros.,Action
Jurassic World Rebirth,Jurassic World Rebir,"Jul 2, 2025",Universal,Action
Sinners,Sinners,"Apr 18, 2025",Warner Bros.,Horror
The Fantastic Four: First S…,The Fantastic Four: ,"Jul 25, 2025",Walt Disney,Action
How to Train Your Dragon,How to Train Your Dr,"Jun 13, 2025",Universal,Adventure
Captain America: Brave New …,Captain America: Bra,"Feb 14, 2025",Walt Disney,Action
Mission: Impossible—The Fin…,Mission: Impossible—,"May 23, 2025",Paramount Pictures,Action
Thunderbolts*,Thunderbolts*,"May 2, 2025",Walt Disney,Action
F1: The Movie,F1: The Movie,"Jun 27, 2025",Warner Bros.,Action
The Conjuring: Last Rites,The Conjuring: Last ,"Sep 5, 2025",Warner Bros.,Horror
Weapons,Weapons,"Aug 8, 2025",Warner Bros.,Horror
Final Destination: Bloodlines,Final Destination: B,"May 16, 2025",Warner Bros.,Horror
Demon Slayer -Kimetsu no Ya…,Demon Slayer -Kimets,"Sep 12, 2025",Sony Pictures,Action
Mufasa: The Lion King,Mufasa: The Lion Kin,"Dec 20, 2024",Walt Disney,Musical
Dog Man,Dog Man,"Jan 31, 2025",Universal,Adventure
Freakier Friday,Freakier Friday,"Aug 8, 2025",Walt Disney,Comedy
Disney’s Snow White,Disney’s Snow White,"Mar 21, 2025",Walt Disney,Musical
Sonic the Hedgehog 3,Sonic the Hedgehog 3,"Dec 20, 2024",Paramount Pictures,Adventure
The Bad Guys 2,The Bad Guys 2,"Aug 1, 2025",Universal,Comedy
Elio,Elio,"Jun 20, 2025",Walt Disney,Adventure
28 Years Later,28 Years Later,"Jun 20, 2025",Sony Pictures,Horror
The Accountant 2,The Accountant 2,"Apr 25, 2025",Amazon MGM Studios,Thriller/Suspense
The King of Kings,The King of Kings,"Apr 11, 2025",Angel Studios,Drama
From the World of John Wick…,From the World of Jo,"Jun 6, 2025",Lionsgate,Action
One Battle After Another,One Battle After Ano,"Sep 26, 2025",Warner Bros.,Action
Moana 2,Moana 2,"Nov 27, 2024",Walt Disney,Musical
The Naked Gun,The Naked Gun,"Aug 1, 2025",Paramount Pictures,Comedy
Karate Kid: Legends,Karate Kid: Legends,"May 30, 2025",Sony Pictures,Drama
