Movie,trunc,Release Date,Distributor,Genre
Harry Potter and the Deathl…,Harry Potter and the,"Jul 15, 2011",Warner Bros.,Adventure
Transformers: Dark of the Moon,Transformers: Dark o,"Jun 29, 2011",Paramount Pictures,Action
The Twilight Saga: Breaking…,The Twilight Saga: B,"Nov 18, 2011",Summit Entertainment,Drama
The Hangover Part II,The Hangover Part II,"May 26, 2011",Warner Bros.,Comedy
Pirates of the Caribbean: O…,Pirates of the Carib,"May 20, 2011",Walt Disney,Adventure
Fast Five,Fast Five,"Apr 29, 2011",Universal,Action
Cars 2,Cars 2,"Jun 24, 2011",Walt Disney,Adventure
Thor,Thor,"May 6, 2011",Paramount Pictures,Action
Rise of the Planet of the Apes,Rise of the Planet o,"Aug 5, 2011",20th Century Fox,Adventure
Captain America: The First …,Captain America: The,"Jul 22, 2011",Paramount Pictures,Action
The Help,The Help,"Aug 10, 2011",Walt Disney,Drama
Bridesmaids,Bridesmaids,"May 13, 2011",Universal,Comedy
Kung Fu Panda 2,Kung Fu Panda 2,"May 26, 2011",Paramount Pictures,Adventure
X-Men: First Class,X-Men: First Class,"Jun 3, 2011",20th Century Fox,Action
Puss in Boots,Puss in Boots,"Oct 28, 2011",Paramount Pictures,Adventure
Rio,Rio,"Apr 15, 2011",20th Century Fox,Adventure
The Smurfs,The Smurfs,"Jul 29, 2011",Sony Pictures,Adventure
Mission: Impossible—Ghost P…,Mission: Impossible—,"Dec 21, 2011",Paramount Pictures,Action
Sherlock Holmes: A Game of …,Sherlock Holmes: A G,"Dec 16, 2011",Warner Bros.,Action
Super 8,Super 8,"Jun 10, 2011",Paramount Pictures,Thriller/Suspense
Rango,Rango,"Mar 4, 2011",Paramount Pictures,Western
Horrible Bosses,Horrible Bosses,"Jul 8, 2011",Warner Bros.,Comedy
Green Lantern,Green Lantern,"Jun 17, 2011",Warner Bros.,Action
The King’s Speech,The King’s Speech,"Nov 26, 2010",Weinstein Co.,Drama
Hop,Hop,"Apr 1, 2011",Universal,Adventure
Paranormal Activity 3,Paranormal Activity ,"Oct 21, 2011",Paramount Pictures,Horror
Just Go With It,Just Go With It,"Feb 11, 2011",Sony Pictures,Romantic Comedy
Cowboys and Aliens,Cowboys and Aliens,"Jul 29, 2011",Universal,Action
Bad Teacher,Bad Teacher,"Jun 24, 2011",Sony Pictures,Comedy
Gnomeo and Juliet,Gnomeo and Juliet,"Feb 11, 2011",Walt Disney,Romantic Comedy
The Green Hornet,The Green Hornet,"Jan 14, 2011",Sony Pictures,Action
Alvin and the Chipmunks: Ch…,Alvin and the Chipmu,"Dec 16, 2011",20th Century Fox,Adventure
The Lion King,The Lion King,"Jun 15, 1994",Walt Disney,Adventure
True Grit,True Grit,"Dec 22, 2010",Paramount Pictures,Western
Real Steel,Real Steel,"Oct 7, 2011",Walt Disney,Action
"Crazy, Stupid, Love","Crazy, Stupid, Love","Jul 29, 2011",Warner Bros.,Romantic Comedy
Battle: Los Angeles,Battle: Los Angeles,"Mar 11, 2011",Sony Pictures,Action
Immortals,Immortals,"Nov 11, 2011",Relativity,Action
The Muppets,The Muppets,"Nov 23, 2011",Walt Disney,Adventure
Zookeeper,Zookeeper,"Jul 8, 2011",Sony Pictures,Romantic Comedy
Limitless,Limitless,"Mar 18, 2011",Relativity,Thriller/Suspense
Tower Heist,Tower Heist,"Nov 4, 2011",Universal,Comedy
Contagion,Contagion,"Sep 9, 2011",Warner Bros.,Thriller/Suspense
Moneyball,Moneyball,"Sep 23, 2011",Sony Pictures,Drama
