Movie,trunc,Release Date,Distributor,Genre
Guardians of the Galaxy,Guardians of the Gal,"Aug 1, 2014",Walt Disney,Action
The Hunger Games: Mockingja…,The Hunger Games: Mo,"Nov 21, 2014",Lionsgate,Action
Captain America: The Winter…,Captain America: The,"Apr 4, 2014",Walt Disney,Action
The Lego Movie,The Lego Movie,"Feb 7, 2014",Warner Bros.,Adventure
Transformers: Age of Extinc…,Transformers: Age of,"Jun 27, 2014",Paramount Pictures,Action
Maleficent,Maleficent,"May 30, 2014",Walt Disney,Adventure
X-Men: Days of Future Past,X-Men: Days of Futur,"May 23, 2014",20th Century Fox,Action
The Hobbit: The Battle of t…,The Hobbit: The Batt,"Dec 17, 2014",Warner Bros.,Adventure
Big Hero 6,Big Hero 6,"Nov 7, 2014",Walt Disney,Adventure
Dawn of the Planet of the Apes,Dawn of the Planet o,"Jul 11, 2014",20th Century Fox,Adventure
The Amazing Spider-Man 2,The Amazing Spider-M,"May 2, 2014",Sony Pictures,Action
Godzilla,Godzilla,"May 16, 2014",Warner Bros.,Action
22 Jump Street,22 Jump Street,"Jun 13, 2014",Sony Pictures,Comedy
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja,"Aug 8, 2014",Paramount Pictures,Action
Interstellar,Interstellar,"Nov 7, 2014",Paramount Pictures,Adventure
How to Train Your Dragon 2,How to Train Your Dr,"Jun 13, 2014",20th Century Fox,Adventure
Gone Girl,Gone Girl,"Oct 3, 2014",20th Century Fox,Thriller/Suspense
Divergent,Divergent,"Mar 21, 2014",Lionsgate,Adventure
Neighbors,Neighbors,"May 9, 2014",Universal,Comedy
Ride Along,Ride Along,"Jan 17, 2014",Universal,Comedy
Rio 2,Rio 2,"Apr 11, 2014",20th Century Fox,Adventure
Lucy,Lucy,"Jul 25, 2014",Universal,Action
The Fault in Our Stars,The Fault in Our Sta,"Jun 6, 2014",20th Century Fox,Drama
Lone Survivor,Lone Survivor,"Jan 10, 2014",Universal,Action
Mr. Peabody & Sherman,Mr. Peabody & Sherma,"Mar 7, 2014",20th Century Fox,Adventure
300: Rise of an Empire,300: Rise of an Empi,"Mar 7, 2014",Warner Bros.,Action
Frozen,Frozen,"Nov 27, 2013",Walt Disney,Musical
The Maze Runner,The Maze Runner,"Sep 19, 2014",20th Century Fox,Action
The Equalizer,The Equalizer,"Sep 26, 2014",Sony Pictures,Action
Noah,Noah,"Mar 28, 2014",Paramount Pictures,Drama
Edge of Tomorrow,Edge of Tomorrow,"Jun 6, 2014",Warner Bros.,Action
Non-Stop,Non-Stop,"Feb 28, 2014",Universal,Action
Heaven is for Real,Heaven is for Real,"Apr 16, 2014",Sony Pictures,Drama
Into the Woods,Into the Woods,"Dec 25, 2014",Walt Disney,Musical
Fury,Fury,"Oct 17, 2014",Sony Pictures,Drama
Dumb and Dumber To,Dumb and Dumber To,"Nov 14, 2014",Universal,Comedy
Tammy,Tammy,"Jul 2, 2014",Warner Bros.,Comedy
Annabelle,Annabelle,"Oct 3, 2014",Warner Bros.,Horror
The Other Woman,The Other Woman,"Apr 25, 2014",20th Century Fox,Comedy
Let’s Be Cops,Let’s Be Cops,"Aug 13, 2014",20th Century Fox,Comedy
The Monuments Men,The Monuments Men,"Feb 7, 2014",Sony Pictures,Drama
Penguins of Madagascar,Penguins of Madagasc,"Nov 26, 2014",20th Century Fox,Adventure
Hercules,Hercules,"Jul 25, 2014",Paramount Pictures,Adventure
The Purge: Anarchy,The Purge: Anarchy,"Jul 18, 2014",Universal,Thriller/Suspense
Night at the Museum: Secret…,Night at the Museum:,"Dec 19, 2014",20th Century Fox,Adventure
"Alexander and the Terrible,…",Alexander and the Te,"Oct 10, 2014",Walt Disney,Comedy
Think Like a Man Too,Think Like a Man Too,"Jun 20, 2014",Sony Pictures,Romantic Comedy
The Nut Job,The Nut Job,"Jan 17, 2014",Open Road,Adventure
Unbroken,Unbroken,"Dec 25, 2014",Universal,Drama
American Hustle,American Hustle,"Dec 13, 2013",Sony Pictures,Black Comedy
God’s Not Dead,God’s Not Dead,"Mar 21, 2014",Pure Flix Enterta…,Drama
Son of God,Son of God,"Feb 28, 2014",20th Century Fox,Drama
Planes: Fire and Rescue,Planes: Fire and Res,"Jul 18, 2014",Walt Disney,Adventure
The Grand Budapest Hotel,The Grand Budapest H,"Mar 7, 2014",Fox Searchlight,Comedy
RoboCop,RoboCop,"Feb 12, 2014",Sony Pictures,Action
Annie,Annie,"Dec 19, 2014",Sony Pictures,Musical
Dracula Untold,Dracula Untold,"Oct 10, 2014",Universal,Action
Exodus: Gods and Kings,Exodus: Gods and Kin,"Dec 12, 2014",20th Century Fox,Drama
The Hundred-Foot Journey,The Hundred-Foot Jou,"Aug 8, 2014",Walt Disney,Comedy
The Wolf of Wall Street,The Wolf of Wall Str,"Dec 25, 2013",Paramount Pictures,Black Comedy
Horrible Bosses 2,Horrible Bosses 2,"Nov 26, 2014",Warner Bros.,Black Comedy
No Good Deed,No Good Deed,"Sep 12, 2014",Sony Pictures,Thriller/Suspense
Muppets Most Wanted,Muppets Most Wanted,"Mar 21, 2014",Walt Disney,Adventure
Ouija,Ouija,"Oct 24, 2014",Universal,Horror
The Boxtrolls,The Boxtrolls,"Sep 26, 2014",Focus Features,Adventure
Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Re,"Jan 17, 2014",Paramount Pictures,Action
If I Stay,If I Stay,"Aug 22, 2014",Warner Bros.,Drama
The Book of Life,The Book of Life,"Oct 17, 2014",20th Century Fox,Adventure
About Last Night,About Last Night,"Feb 14, 2014",Sony Pictures,Romantic Comedy
Into the Storm,Into the Storm,"Aug 8, 2014",Warner Bros.,Thriller/Suspense
The Judge,The Judge,"Oct 10, 2014",Warner Bros.,Drama
Jersey Boys,Jersey Boys,"Jun 20, 2014",Warner Bros.,Drama
Blended,Blended,"May 23, 2014",Warner Bros.,Romantic Comedy
The Giver,The Giver,"Aug 15, 2014",Weinstein Co.,Drama
Need for Speed,Need for Speed,"Mar 14, 2014",Walt Disney,Action
St. Vincent,St. Vincent,"Oct 24, 2014",Weinstein Co.,Comedy
John Wick,John Wick,"Oct 24, 2014",Lionsgate,Action
A Million Ways to Die in Th…,A Million Ways to Di,"May 30, 2014",Universal,Western
Dolphin Tale 2,Dolphin Tale 2,"Sep 12, 2014",Warner Bros.,Drama
The Expendables 3,The Expendables 3,"Aug 15, 2014",Lionsgate,Action
Earth to Echo,Earth to Echo,"Jul 2, 2014",Relativity,Adventure
Sex Tape,Sex Tape,"Jul 18, 2014",Sony Pictures,Comedy
August: Osage County,August: Osage County,"Dec 25, 2013",Weinstein Co.,Black Comedy
Million Dollar Arm,Million Dollar Arm,"May 16, 2014",Walt Disney,Drama
This is Where I Leave You,This is Where I Leav,"Sep 19, 2014",Warner Bros.,Comedy
Nightcrawler,Nightcrawler,"Oct 31, 2014",Open Road,Thriller/Suspense
Chef,Chef,"May 9, 2014",Open Road,Comedy
3 Days to Kill,3 Days to Kill,"Feb 21, 2014",Relativity,Thriller/Suspense
Deliver Us from Evil,Deliver Us from Evil,"Jul 2, 2014",Sony Pictures,Horror
Get on Up,Get on Up,"Aug 1, 2014",Universal,Drama
The Imitation Game,The Imitation Game,"Nov 28, 2014",Weinstein Co.,Drama
When the Game Stands Tall,When the Game Stands,"Aug 22, 2014",Sony Pictures,Drama
The Hobbit: The Desolation …,The Hobbit: The Deso,"Dec 13, 2013",Warner Bros.,Adventure
Draft Day,Draft Day,"Apr 11, 2014",Lionsgate,Drama
Oculus,Oculus,"Apr 11, 2014",Relativity,Horror
The Gambler,The Gambler,"Dec 10, 2014",Paramount Pictures,Drama
The Best of Me,The Best of Me,"Oct 17, 2014",Relativity,Drama
That Awkward Moment,That Awkward Moment,"Jan 31, 2014",FilmDistrict,Romantic Comedy
A Walk Among the Tombstones,A Walk Among the Tom,"Sep 19, 2014",Universal,Action
Her,Her,"Jan 10, 2014",Warner Bros.,Drama
