Movie,trunc,Release Date,Distributor,Genre
Iron Man 3,Iron Man 3,"May 3, 2013",Walt Disney,Action
The Hunger Games: Catching …,The Hunger Games: Ca,"Nov 22, 2013",Lionsgate,Adventure
Despicable Me 2,Despicable Me 2,"Jul 3, 2013",Universal,Adventure
Frozen,Frozen,"Nov 27, 2013",Walt Disney,Musical
Man of Steel,Man of Steel,"Jun 14, 2013",Warner Bros.,Action
Monsters University,Monsters University,"Jun 21, 2013",Walt Disney,Adventure
Gravity,Gravity,"Oct 4, 2013",Warner Bros.,Thriller/Suspense
Fast and Furious 6,Fast and Furious 6,"May 24, 2013",Universal,Action
Oz the Great and Powerful,Oz the Great and Pow,"Mar 8, 2013",Walt Disney,Adventure
The Hobbit: The Desolation …,The Hobbit: The Deso,"Dec 13, 2013",Warner Bros.,Adventure
Star Trek Into Darkness,Star Trek Into Darkn,"May 16, 2013",Paramount Pictures,Adventure
Thor: The Dark World,Thor: The Dark World,"Nov 8, 2013",Walt Disney,Action
World War Z,World War Z,"Jun 21, 2013",Paramount Pictures,Action
The Croods,The Croods,"Mar 22, 2013",20th Century Fox,Adventure
The Heat,The Heat,"Jun 28, 2013",20th Century Fox,Comedy
We’re the Millers,We’re the Millers,"Aug 7, 2013",Warner Bros.,Comedy
The Great Gatsby,The Great Gatsby,"May 10, 2013",Warner Bros.,Drama
The Conjuring,The Conjuring,"Jul 19, 2013",Warner Bros.,Horror
Identity Thief,Identity Thief,"Feb 8, 2013",Universal,Comedy
Grown Ups 2,Grown Ups 2,"Jul 12, 2013",Sony Pictures,Comedy
The Wolverine,The Wolverine,"Jul 26, 2013",20th Century Fox,Action
G.I. Joe: Retaliation,G.I. Joe: Retaliatio,"Mar 27, 2013",Paramount Pictures,Action
Now You See Me,Now You See Me,"May 31, 2013",Lionsgate,Thriller/Suspense
Cloudy with a Chance of Mea…,Cloudy with a Chance,"Sep 27, 2013",Sony Pictures,Adventure
Lee Daniels' The Butler,Lee Daniels' The But,"Aug 16, 2013",Weinstein Co.,Drama
The Hangover 3,The Hangover 3,"May 23, 2013",Warner Bros.,Comedy
Anchorman 2: The Legend Con…,Anchorman 2: The Leg,"Dec 18, 2013",Paramount Pictures,Comedy
Epic,Epic,"May 24, 2013",20th Century Fox,Adventure
Captain Phillips,Captain Phillips,"Oct 11, 2013",Sony Pictures,Drama
Pacific Rim,Pacific Rim,"Jul 12, 2013",Warner Bros.,Action
Jackass Presents: Bad Grandpa,Jackass Presents: Ba,"Oct 25, 2013",Paramount Pictures,Comedy
This is the End,This is the End,"Jun 12, 2013",Sony Pictures,Comedy
Olympus Has Fallen,Olympus Has Fallen,"Mar 22, 2013",FilmDistrict,Thriller/Suspense
Silver Linings Playbook,Silver Linings Playb,"Nov 16, 2012",Weinstein Co.,Drama
42,42,"Apr 12, 2013",Warner Bros.,Drama
Elysium,Elysium,"Aug 9, 2013",Sony Pictures,Action
Zero Dark Thirty,Zero Dark Thirty,"Dec 19, 2012",Sony Pictures,Thriller/Suspense
Disney Planes,Disney Planes,"Aug 9, 2013",Walt Disney,Adventure
The Lone Ranger,The Lone Ranger,"Jul 2, 2013",Walt Disney,Western
Oblivion,Oblivion,"Apr 19, 2013",Universal,Action
American Hustle,American Hustle,"Dec 13, 2013",Sony Pictures,Black Comedy
Insidious Chapter 2,Insidious Chapter 2,"Sep 13, 2013",FilmDistrict,Horror
Turbo,Turbo,"Jul 17, 2013",20th Century Fox,Adventure
2 Guns,2 Guns,"Aug 2, 2013",Universal,Action
White House Down,White House Down,"Jun 28, 2013",Sony Pictures,Thriller/Suspense
Mama,Mama,"Jan 18, 2013",Universal,Horror
Safe Haven,Safe Haven,"Feb 14, 2013",Relativity,Drama
The Smurfs 2,The Smurfs 2,"Jul 31, 2013",Sony Pictures,Adventure
The Best Man Holiday,The Best Man Holiday,"Nov 15, 2013",Universal,Comedy
Percy Jackson: Sea of Monsters,Percy Jackson: Sea o,"Aug 7, 2013",20th Century Fox,Adventure
A Good Day to Die Hard,A Good Day to Die Ha,"Feb 14, 2013",20th Century Fox,Action
Warm Bodies,Warm Bodies,"Feb 1, 2013",Lionsgate,Romantic Comedy
Jack the Giant Slayer,Jack the Giant Slaye,"Mar 1, 2013",Warner Bros.,Adventure
The Purge,The Purge,"Jun 7, 2013",Universal,Horror
The Wolf of Wall Street,The Wolf of Wall Str,"Dec 25, 2013",Paramount Pictures,Black Comedy
Last Vegas,Last Vegas,"Nov 1, 2013",CBS Films,Comedy
Ender’s Game,Ender’s Game,"Nov 1, 2013",Lionsgate,Adventure
Prisoners,Prisoners,"Sep 20, 2013",Warner Bros.,Thriller/Suspense
After Earth,After Earth,"May 31, 2013",Sony Pictures,Action
Saving Mr. Banks,Saving Mr. Banks,"Dec 20, 2013",Walt Disney,Drama
Escape From Planet Earth,Escape From Planet E,"Feb 15, 2013",Weinstein Co.,Adventure
Django Unchained,Django Unchained,"Dec 25, 2012",Weinstein Co.,Western
Hansel & Gretel: Witch Hunters,Hansel & Gretel: Wit,"Jan 25, 2013",Paramount Pictures,Action
Free Birds,Free Birds,"Nov 1, 2013",Relativity,Adventure
Evil Dead,Evil Dead,"Apr 5, 2013",Sony Pictures,Horror
RED 2,RED 2,"Jul 19, 2013",Lionsgate,Action
Tyler Perry’s Temptation,Tyler Perry’s Tempta,"Mar 29, 2013",Lionsgate,Drama
The Call,The Call,"Mar 15, 2013",Sony Pictures,Thriller/Suspense
Tyler Perry’s A Madea Chris…,Tyler Perry’s A Made,"Dec 13, 2013",Lionsgate,Comedy
Pain & Gain,Pain & Gain,"Apr 26, 2013",Paramount Pictures,Action
Gangster Squad,Gangster Squad,"Jan 11, 2013",Warner Bros.,Action
The Secret Life of Walter M…,The Secret Life of W,"Dec 25, 2013",20th Century Fox,Adventure
Jurassic Park,Jurassic Park,"Aug 26, 1994",Universal,Adventure
Les Misérables,Les Misérables,"Dec 25, 2012",Universal,Musical
The Internship,The Internship,"Jun 7, 2013",20th Century Fox,Comedy
Instructions Not Included,Instructions Not Inc,"Aug 30, 2013",Lionsgate,Comedy
Snitch,Snitch,"Feb 22, 2013",Lionsgate,Thriller/Suspense
Riddick,Riddick,"Sep 6, 2013",Universal,Action
A Haunted House,A Haunted House,"Jan 11, 2013",Open Road,Comedy
The Hobbit: An Unexpected J…,The Hobbit: An Unexp,"Dec 14, 2012",Warner Bros.,Adventure
12 Years a Slave,12 Years a Slave,"Oct 18, 2013",Fox Searchlight,Drama
Lincoln,Lincoln,"Nov 9, 2012",Walt Disney,Drama
The Family,The Family,"Sep 13, 2013",Relativity,Black Comedy
Carrie,Carrie,"Oct 18, 2013",Sony Pictures,Horror
Life of Pi,Life of Pi,"Nov 21, 2012",20th Century Fox,Drama
R.I.P.D.,R.I.P.D.,"Jul 19, 2013",Universal,Action
Blue Jasmine,Blue Jasmine,"Jul 26, 2013",Sony Pictures Cla…,Comedy
47 Ronin,47 Ronin,"Dec 25, 2013",Universal,Action
Kevin Hart: Let Me Explain,Kevin Hart: Let Me E,"Jul 3, 2013",Lionsgate,Concert/Perfor…
Side Effects,Side Effects,"Feb 8, 2013",Open Road,Thriller/Suspense
Scary Movie 5,Scary Movie 5,"Apr 12, 2013",Weinstein Co.,Comedy
Walking with Dinosaurs,Walking with Dinosau,"Dec 20, 2013",20th Century Fox,Adventure
The Mortal Instruments: Cit…,The Mortal Instrumen,"Aug 21, 2013",Sony Pictures,Adventure
Delivery Man,Delivery Man,"Nov 22, 2013",Walt Disney,Comedy
One Direction: This is Us,One Direction: This ,"Aug 30, 2013",Sony Pictures,Concert/Perfor…
Kick-Ass 2,Kick-Ass 2,"Aug 16, 2013",Universal,Action
Rush,Rush,"Sep 20, 2013",Universal,Drama
The Host,The Host,"Mar 29, 2013",Open Road,Thriller/Suspense
The World's End,The World's End,"Aug 23, 2013",Focus Features,Comedy
Argo,Argo,"Oct 12, 2012",Warner Bros.,Thriller/Suspense
21 and Over,21 and Over,"Mar 1, 2013",Relativity,Comedy
Escape Plan,Escape Plan,"Oct 18, 2013",Lionsgate,Thriller/Suspense
Parental Guidance,Parental Guidance,"Dec 25, 2012",20th Century Fox,Comedy
Grudge Match,Grudge Match,"Dec 25, 2013",Warner Bros.,Comedy
Don Jon,Don Jon,"Sep 27, 2013",Relativity,Romantic Comedy
The Incredible Burt Wonders…,The Incredible Burt ,"Mar 15, 2013",Warner Bros.,Comedy
The Big Wedding,The Big Wedding,"Apr 26, 2013",Lionsgate,Romantic Comedy
Mud,Mud,"Apr 26, 2013",Roadside Attractions,Drama
Baggage Claim,Baggage Claim,"Sep 27, 2013",Fox Searchlight,Romantic Comedy
The Way Way Back,The Way Way Back,"Jul 5, 2013",Fox Searchlight,Comedy
The Place Beyond the Pines,The Place Beyond the,"Mar 29, 2013",Focus Features,Drama
Homefront,Homefront,"Nov 27, 2013",Open Road,Action
Broken City,Broken City,"Jan 18, 2013",20th Century Fox,Thriller/Suspense
Philomena,Philomena,"Nov 22, 2013",Weinstein Co.,Drama
Beautiful Creatures,Beautiful Creatures,"Feb 14, 2013",Warner Bros.,Drama
Runner Runner,Runner Runner,"Oct 4, 2013",20th Century Fox,Thriller/Suspense
The Book Thief,The Book Thief,"Nov 8, 2013",20th Century Fox,Drama
You're Next,You're Next,"Aug 23, 2013",Lionsgate,Horror
Quartet,Quartet,"Jan 11, 2013",Weinstein Co.,Comedy
Paranormal Activity: The Ma…,Paranormal Activity:,,,Horror
Admission,Admission,"Mar 22, 2013",Focus Features,Romantic Comedy
Parker,Parker,"Jan 25, 2013",FilmDistrict,Thriller/Suspense
Enough Said,Enough Said,"Sep 18, 2013",Fox Searchlight,Comedy
Dark Skies,Dark Skies,"Feb 22, 2013",Weinstein Co.,Horror
The Counselor,The Counselor,"Oct 25, 2013",20th Century Fox,Thriller/Suspense
Dallas Buyers Club,Dallas Buyers Club,"Nov 1, 2013",Focus Features,Drama
Jobs,Jobs,"Aug 16, 2013",Open Road,Drama
Fruitvale Station,Fruitvale Station,"Jul 12, 2013",Weinstein Co.,Drama
The Impossible,The Impossible,"Dec 21, 2012",Lionsgate,Drama
Jack Reacher,Jack Reacher,"Dec 21, 2012",Paramount Pictures,Thriller/Suspense
About Time,About Time,"Nov 1, 2013",Universal,Romantic Comedy
The Last Exorcism Part II,The Last Exorcism Pa,"Mar 1, 2013",CBS Films,Horror
Spring Breakers,Spring Breakers,"Mar 15, 2013",A24,Thriller/Suspense
This is 40,This is 40,"Dec 21, 2012",Universal,Comedy
Texas Chainsaw 3D,Texas Chainsaw 3D,"Jan 4, 2013",Lionsgate,Horror
The Last Stand,The Last Stand,"Jan 18, 2013",Lionsgate,Action
Out of the Furnace,Out of the Furnace,"Dec 4, 2013",Relativity,Drama
Wreck-It Ralph,Wreck-It Ralph,"Nov 2, 2012",Walt Disney,Adventure
Dead Man Down,Dead Man Down,"Mar 8, 2013",FilmDistrict,Thriller/Suspense
Getaway,Getaway,"Aug 30, 2013",Warner Bros.,Thriller/Suspense
Bullet to the Head,Bullet to the Head,"Feb 1, 2013",Warner Bros.,Action
Peeples,Peeples,"May 10, 2013",Lionsgate,Romantic Comedy
Battle of the Year 3D,Battle of the Year 3,"Sep 20, 2013",Sony Pictures,Drama
Movie 43,Movie 43,"Jan 25, 2013",Relativity,Comedy
Before Midnight,Before Midnight,"May 24, 2013",Sony Pictures Cla…,Drama
Machete Kills,Machete Kills,"Oct 11, 2013",Open Road,Action
Dhoom 3,Dhoom 3,"Dec 20, 2013",Yash Raj Films,Action
Inside Llewyn Davis,Inside Llewyn Davis,"Dec 6, 2013",CBS Films,Drama
Skyfall,Skyfall,"Nov 9, 2012",Sony Pictures,Action
Paranoia,Paranoia,"Aug 16, 2013",Relativity,Thriller/Suspense
Mandela: Long Walk to Freedom,Mandela: Long Walk t,"Nov 29, 2013",Weinstein Co.,Drama
Black Nativity,Black Nativity,"Nov 27, 2013",20th Century Fox,Musical
Nebraska,Nebraska,"Nov 15, 2013",Paramount Pictures,Drama
The Spectacular Now,The Spectacular Now,"Aug 2, 2013",A24,Drama
The Grandmaster,The Grandmaster,"Aug 23, 2013",Weinstein Co.,Drama
Amour,Amour,"Dec 19, 2012",Sony Pictures Cla…,Drama
Rise of the Guardians,Rise of the Guardian,"Nov 21, 2012",Paramount Pictures,Adventure
All is Lost,All is Lost,"Oct 18, 2013",Roadside Attractions,Thriller/Suspense
The Guilt Trip,The Guilt Trip,"Dec 19, 2012",Paramount Pictures,Comedy
Justin Bieber’s Believe,Justin Bieber’s Beli,"Dec 25, 2013",Open Road,Documentary
The Bling Ring,The Bling Ring,"Jun 14, 2013",A24,Drama
Pulling Strings,Pulling Strings,"Oct 4, 2013",Lionsgate,Romantic Comedy
Closed Circuit,Closed Circuit,"Aug 28, 2013",Focus Features,Thriller/Suspense
"Monsters, Inc.","Monsters, Inc.","Nov 2, 2001",Walt Disney,Adventure
The Wizard of Oz,The Wizard of Oz,"Sep 23, 2009",Warner Bros.,Musical
Top Gun,Top Gun,"May 16, 1986",Paramount Pictures,Action
Hubble 3D,Hubble 3D,"Mar 19, 2010",Warner Bros.,Documentary
Chennai Express,Chennai Express,"Aug 8, 2013",UTV Communications,Romantic Comedy
