Movie,trunc,Release Date,Distributor,Genre
Top Gun: Maverick,Top Gun: Maverick,"May 27, 2022",Paramount Pictures,Action
Black Panther: Wakanda Forever,Black Panther: Wakan,"Nov 11, 2022",Walt Disney,Action
Doctor Strange in the Multi…,Doctor Strange in th,"May 6, 2022",Walt Disney,Action
Avatar: The Way of Water,Avatar: The Way of W,"Dec 16, 2022",20th Century Studios,Action
Jurassic World: Dominion,Jurassic World: Domi,"Jun 10, 2022",Universal,Action
Minions: The Rise of Gru,Minions: The Rise of,"Jul 1, 2022",Universal,Adventure
The Batman,The Batman,"Mar 4, 2022",Warner Bros.,Action
Thor: Love and Thunder,Thor: Love and Thund,"Jul 8, 2022",Walt Disney,Action
Spider-Man: No Way Home,Spider-Man: No Way H,"Dec 17, 2021",Sony Pictures,Action
Sonic the Hedgehog 2,Sonic the Hedgehog 2,"Apr 8, 2022",Paramount Pictures,Adventure
Black Adam,Black Adam,"Oct 21, 2022",Warner Bros.,Action
Elvis,Elvis,"Jun 24, 2022",Warner Bros.,Drama
Uncharted,Uncharted,"Feb 18, 2022",Sony Pictures,Adventure
Nope,Nope,"Jul 22, 2022",Universal,Horror
Lightyear,Lightyear,"Jun 17, 2022",Walt Disney,Adventure
Smile,Smile,"Sep 30, 2022",Paramount Pictures,Horror
The Lost City,The Lost City,"Mar 25, 2022",Paramount Pictures,Adventure
Bullet Train,Bullet Train,"Aug 5, 2022",Sony Pictures,Thriller/Suspense
The Bad Guys,The Bad Guys,"Apr 22, 2022",Universal,Comedy
Fantastic Beasts: The Secre…,Fantastic Beasts: Th,"Apr 15, 2022",Warner Bros.,Adventure
DC League of Super Pets,DC League of Super P,"Jul 29, 2022",Warner Bros.,Adventure
Where the Crawdads Sing,Where the Crawdads S,"Jul 15, 2022",Sony Pictures,Drama
The Black Phone,The Black Phone,"Jun 24, 2022",Universal,Horror
Sing 2,Sing 2,"Dec 22, 2021",Universal,Musical
Scream,Scream,"Jan 14, 2022",Paramount Pictures,Horror
Morbius,Morbius,"Apr 1, 2022",Sony Pictures,Action
Everything Everywhere All A…,Everything Everywher,"Mar 25, 2022",A24,Action
Ticket to Paradise,Ticket to Paradise,"Oct 21, 2022",Universal,Romantic Comedy
The Woman King,The Woman King,"Sep 16, 2022",Sony Pictures,Action
Halloween Ends,Halloween Ends,"Oct 14, 2022",Universal,Horror
Dog,Dog,"Feb 18, 2022",United Artists,Drama
jackass forever,jackass forever,"Feb 4, 2022",Paramount Pictures,Reality
Puss in Boots: The Last Wish,Puss in Boots: The L,"Dec 21, 2022",Universal,Adventure
Violent Night,Violent Night,"Dec 2, 2022",Universal,Comedy
