Movie,trunc,Release Date,Distributor,Genre
Bad Boys For Life,Bad Boys For Life,"Jan 17, 2020",Sony Pictures,Action
1917,1917,"Dec 25, 2019",Universal,Thriller/Suspense
Sonic The Hedgehog,Sonic The Hedgehog,"Feb 14, 2020",Paramount Pictures,Adventure
Jumanji: The Next Level,Jumanji: The Next Le,"Dec 13, 2019",Sony Pictures,Adventure
Star Wars: The Rise of Skyw…,Star Wars: The Rise ,"Dec 20, 2019",Walt Disney,Adventure
Birds of Prey (And the Fant…,Birds of Prey (And t,"Feb 7, 2020",Warner Bros.,Action
Dolittle,Dolittle,"Jan 17, 2020",Universal,Adventure
Little Women,Little Women,"Dec 25, 2019",Sony Pictures,Drama
The Invisible Man,The Invisible Man,"Feb 28, 2020",Universal,Horror
The Call of the Wild,The Call of the Wild,"Feb 21, 2020",20th Century Studios,Adventure
Onward,Onward,"Mar 6, 2020",Walt Disney,Adventure
Tenet,Tenet,"Sep 3, 2020",Warner Bros.,Action
The Gentlemen,The Gentlemen,"Jan 24, 2020",STX Entertainment,Action
Just Mercy,Just Mercy,"Jan 10, 2020",Warner Bros.,Drama
Knives Out,Knives Out,"Nov 27, 2019",Lionsgate,Drama
The Croods: A New Age,The Croods: A New Ag,"Nov 25, 2020",Universal,Adventure
Parasite,Parasite,"Oct 11, 2019",Neon,Black Comedy
Frozen II,Frozen II,"Nov 22, 2019",Walt Disney,Musical
Fantasy Island,Fantasy Island,"Feb 14, 2020",Sony Pictures,Horror
The New Mutants,The New Mutants,"Aug 28, 2020",20th Century Studios,Horror
Wonder Woman 1984,Wonder Woman 1984,"Dec 25, 2020",Warner Bros.,Action
Like a Boss,Like a Boss,"Jan 10, 2020",Paramount Pictures,Comedy
Unhinged,Unhinged,"Aug 21, 2020",Solstice Studios,Thriller/Suspense
The Photograph,The Photograph,"Feb 14, 2020",Universal,Drama
Spies in Disguise,Spies in Disguise,"Dec 25, 2019",20th Century Fox,Adventure
The War with Grandpa,The War with Grandpa,"Oct 9, 2020",101 Studios,Comedy
Underwater,Underwater,"Jan 10, 2020",20th Century Fox,Thriller/Suspense
The Turning,The Turning,"Jan 24, 2020",Universal,Horror
Gretel & Hansel,Gretel & Hansel,"Jan 31, 2020",United Artists,Horror
Honest Thief,Honest Thief,"Oct 16, 2020",Open Road,Thriller/Suspense
The Way Back,The Way Back,"Mar 6, 2020",Warner Bros.,Drama
My Hero Academia: Heroes: R…,My Hero Academia: He,"Feb 26, 2020",FUNimation,Adventure
Uncut Gems,Uncut Gems,"Dec 25, 2019",A24,Thriller/Suspense
Brahms: The Boy II,Brahms: The Boy II,"Feb 21, 2020",STX Entertainment,Horror
Jojo Rabbit,Jojo Rabbit,"Oct 18, 2019",Fox Searchlight,Black Comedy
Impractical Jokers: The Movie,Impractical Jokers: ,"Feb 21, 2020",truTV,Comedy
I Still Believe,I Still Believe,"Mar 13, 2020",Lionsgate,Drama
Emma.,Emma.,"Feb 21, 2020",Focus Features,Drama
Bloodshot,Bloodshot,"Mar 13, 2020",Sony Pictures,Action
The Grudge,The Grudge,"Jan 3, 2020",Sony Pictures,Horror
Come Play,Come Play,"Oct 30, 2020",Focus Features,Horror
Let Him Go,Let Him Go,"Nov 6, 2020",Focus Features,Thriller/Suspense
Freaky,Freaky,"Nov 13, 2020",Universal,Horror
Downhill,Downhill,"Feb 14, 2020",Searchlight Pictures,Drama
Weathering With You,Weathering With You,"Jan 15, 2020",GKIDS,Drama
Ford v. Ferrari,Ford v. Ferrari,"Nov 15, 2019",20th Century Fox,Drama
Cats,Cats,"Dec 20, 2019",Universal,Musical
Bombshell,Bombshell,"Dec 13, 2019",Lionsgate,Drama
It's a Wonderful Life,It's a Wonderful Lif,"Dec 20, 1946",,Drama
The Hunt,The Hunt,"Mar 13, 2020",Universal,Thriller/Suspense
The Rhythm Section,The Rhythm Section,"Jan 31, 2020",Paramount Pictures,Thriller/Suspense
Monster Hunter,Monster Hunter,"Dec 18, 2020",Sony Pictures,Action
The SpongeBob Movie: Sponge…,The SpongeBob Movie:,"Aug 14, 2020",Paramount Pictures,Adventure
Hocus Pocus,Hocus Pocus,"Jul 16, 1993",Walt Disney,Comedy
National Lampoon’s Christma…,National Lampoon’s C,"Dec 1, 1989",Warner Bros.,Comedy
Richard Jewell,Richard Jewell,"Dec 13, 2019",Warner Bros.,Drama
The Broken Hearts Gallery,The Broken Hearts Ga,"Sep 11, 2020",Sony Pictures,Romantic Comedy
Infidel,Infidel,"Sep 18, 2020",Cloudburst Entert…,Thriller/Suspense
A Christmas Story,A Christmas Story,"Nov 18, 1983",MGM,Comedy
Portrait of a Lady on Fire,Portrait of a Lady o,"Dec 6, 2019",Neon,Drama
News of the World,News of the World,"Dec 25, 2020",Universal,Western
Bill & Ted Face the Music,Bill & Ted Face the ,"Aug 28, 2020",United Artists,Comedy
2020 Oscar Shorts,2020 Oscar Shorts,"Jan 29, 2020",ShortsHD,Multiple Genres
Fatale,Fatale,"Dec 18, 2020",Lionsgate,Thriller/Suspense
Queen & Slim,Queen & Slim,"Nov 27, 2019",Universal,Drama
The Empty Man,The Empty Man,"Oct 23, 2020",20th Century Studios,Horror
My Boyfriend’s Meds,My Boyfriend’s Meds,"Feb 21, 2020",Lionsgate,Romantic Comedy
The Last Full Measure,The Last Full Measur,"Jan 24, 2020",Roadside Attractions,Drama
A Beautiful Day in the Neig…,A Beautiful Day in t,"Nov 22, 2019",Sony Pictures,Drama
Words on Bathroom Walls,Words on Bathroom Wa,"Aug 21, 2020",Roadside Attractions,Drama
After We Collided,After We Collided,"Sep 11, 2020",Open Road,Drama
The Nightmare Before Christmas,The Nightmare Before,"Oct 13, 1993",,Musical
The Lodge,The Lodge,"Feb 7, 2020",Neon,Horror
Half Brothers,Half Brothers,"Dec 4, 2020",Focus Features,Comedy
The Personal History of Dav…,The Personal History,"Aug 28, 2020",Searchlight Pictures,Drama
The Wretched,The Wretched,"May 1, 2020",IFC Midnight,Horror
Joker,Joker,"Oct 4, 2019",Warner Bros.,Thriller/Suspense
The Rental,The Rental,"Jul 24, 2020",IFC Films,Thriller/Suspense
Star Wars Ep. V: The Empire…,Star Wars Ep. V: The,"Jul 31, 1981",Walt Disney,Adventure
Once Upon a Time…in Hollywo…,Once Upon a Time…in ,"Jul 26, 2019",Sony Pictures,Thriller/Suspense
2 Hearts,2 Hearts,"Oct 16, 2020",Freestyle Releasing,Drama
Jay and Silent Bob Reboot,Jay and Silent Bob R,"Oct 15, 2019",Fathom Events,Comedy
Train to Busan Presents: Pe…,Train to Busan Prese,"Aug 21, 2020",Well Go USA,Horror
Promising Young Woman,Promising Young Woma,"Dec 25, 2020",Focus Features,Black Comedy
Met Opera — Agrippina,Met Opera — Agrippin,"Feb 29, 2020",Fathom Events,Concert/Perfor…
True to the Game 2: Gena’s …,True to the Game 2: ,"Nov 6, 2020",Faith Media Distr…,Thriller/Suspense
The Assistant,The Assistant,"Jan 31, 2020",Bleecker Street,Drama
IP Man: The Finale,IP Man: The Finale,"Dec 25, 2019",Well Go USA,Action
Love and Monsters,Love and Monsters,"Oct 16, 2020",Paramount Pictures,Adventure
Relic,Relic,"Jul 3, 2020",IFC Midnight,Thriller/Suspense
The Tax Collector,The Tax Collector,"Aug 7, 2020",RLJ Entertainment,Action
Die Hard,Die Hard,"Jul 15, 1988",20th Century Studios,Action
Becky,Becky,"Jun 5, 2020",Quiver,Thriller/Suspense
