Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Star Wars Ep. III: Revenge of the Sith,"$902,891,983","$414,378,291","$488,513,692",45.89%,Star Wars Ep. III: R,https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary
2,Harry Potter and the Goblet of Fire,"$885,923,981","$291,147,424","$594,776,557",32.86%,Harry Potter and the,https://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary
3,"The Chronicles of Narnia: The Lion, the Witch a…","$720,539,572","$291,710,957","$428,828,615",40.49%,The Chronicles of Na,https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary
4,War of the Worlds,"$606,836,535","$234,280,354","$372,556,181",38.61%,War of the Worlds,https://www.the-numbers.com/movie/War-of-the-Worlds#tab=summary
5,King Kong,"$556,906,378","$218,080,025","$338,826,353",39.16%,King Kong,https://www.the-numbers.com/movie/King-Kong-(2005)#tab=summary
6,Madagascar,"$556,559,566","$193,595,521","$362,964,045",34.78%,Madagascar,https://www.the-numbers.com/movie/Madagascar#tab=summary
7,Mr. and Mrs. Smith,"$486,124,090","$186,336,279","$299,787,811",38.33%,Mr. and Mrs. Smith,https://www.the-numbers.com/movie/Mr-and-Mrs-Smith#tab=summary
8,Charlie and the Chocolate Factory,"$475,825,484","$206,459,076","$269,366,408",43.39%,Charlie and the Choc,https://www.the-numbers.com/movie/Charlie-and-the-Chocolate-Factory-(2005)#tab=summary
9,Hitch,"$366,784,257","$177,784,257","$189,000,000",48.47%,Hitch,https://www.the-numbers.com/movie/Hitch#tab=summary
10,Batman Begins,"$356,770,593","$205,343,774","$151,426,819",57.56%,Batman Begins,https://www.the-numbers.com/movie/Batman-Begins#tab=summary
11,Fantastic Four,"$333,132,750","$154,696,080","$178,436,670",46.44%,Fantastic Four,https://www.the-numbers.com/movie/Fantastic-Four-(2005)#tab=summary
12,Chicken Little,"$310,043,823","$135,386,665","$174,657,158",43.67%,Chicken Little,https://www.the-numbers.com/movie/Chicken-Little#tab=summary
13,Wedding Crashers,"$283,218,368","$209,218,368","$74,000,000",73.87%,Wedding Crashers,https://www.the-numbers.com/movie/Wedding-Crashers#tab=summary
14,Robots,"$260,636,271","$128,200,012","$132,436,259",49.19%,Robots,https://www.the-numbers.com/movie/Robots#tab=summary
