Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Star Wars Ep. VII: The Force Awakens,"$2,056,046,835","$936,662,225","$1,119,384,610",45.56%,Star Wars Ep. VII: T,https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary
2,Jurassic World,"$1,671,063,641","$653,406,625","$1,017,657,016",39.10%,Jurassic World,https://www.the-numbers.com/movie/Jurassic-World#tab=summary
3,Furious 7,"$1,510,065,395","$353,007,020","$1,157,058,375",23.38%,Furious 7,https://www.the-numbers.com/movie/Furious-7#tab=summary
4,Avengers: Age of Ultron,"$1,395,316,979","$459,005,868","$936,311,111",32.90%,Avengers: Age of Ult,https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary
5,Minions,"$1,157,271,759","$336,045,770","$821,225,989",29.04%,Minions,https://www.the-numbers.com/movie/Minions#tab=summary
6,Spectre,"$879,077,344","$200,074,175","$679,003,169",22.76%,Spectre,https://www.the-numbers.com/movie/Spectre#tab=summary
7,Inside Out,"$848,469,454","$356,461,711","$492,007,743",42.01%,Inside Out,https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary
8,Mission: Impossible—Rogue Nation,"$688,858,992","$195,042,377","$493,816,615",28.31%,Mission: Impossible—,https://www.the-numbers.com/movie/Mission-Impossible-Rogue-Nation#tab=summary
9,The Martian,"$653,609,107","$228,433,663","$425,175,444",34.95%,The Martian,https://www.the-numbers.com/movie/Martian-The-(2015)#tab=summary
10,The Hunger Games: Mockingjay - Part 2,"$646,125,287","$281,723,902","$364,401,385",43.60%,The Hunger Games: Mo,https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary
11,Fifty Shades of Grey,"$570,794,950","$166,167,230","$404,627,720",29.11%,Fifty Shades of Grey,https://www.the-numbers.com/movie/Fifty-Shades-of-Grey#tab=summary
12,Cinderella,"$542,351,353","$201,151,353","$341,200,000",37.09%,Cinderella,https://www.the-numbers.com/movie/Cinderella-(2015)#tab=summary
13,The Revenant,"$532,938,302","$183,637,894","$349,300,408",34.46%,The Revenant,https://www.the-numbers.com/movie/Revenant-The-(2015)#tab=summary
14,Ant-Man,"$518,858,449","$180,202,163","$338,656,286",34.73%,Ant-Man,https://www.the-numbers.com/movie/Ant-Man#tab=summary
15,Hotel Transylvania 2,"$474,800,000","$169,700,110","$305,099,890",35.74%,Hotel Transylvania 2,https://www.the-numbers.com/movie/Hotel-Transylvania-2#tab=summary
16,San Andreas,"$474,590,832","$155,190,832","$319,400,000",32.70%,San Andreas,https://www.the-numbers.com/movie/San-Andreas#tab=summary
17,Terminator: Genisys,"$432,150,894","$89,760,956","$342,389,938",20.77%,Terminator: Genisys,https://www.the-numbers.com/movie/Terminator-Genisys#tab=summary
18,Kingsman: The Secret Service,"$404,561,724","$128,261,724","$276,300,000",31.70%,Kingsman: The Secret,https://www.the-numbers.com/movie/Kingsman-The-Secret-Service#tab=summary
19,Home,"$385,997,896","$177,397,510","$208,600,386",45.96%,Home,https://www.the-numbers.com/movie/Home-(2015)#tab=summary
20,Mad Max: Fury Road,"$380,463,726","$154,363,726","$226,100,000",40.57%,Mad Max: Fury Road,https://www.the-numbers.com/movie/Mad-Max-Fury-Road#tab=summary
21,Zhuo yao ji,"$340,969,819","$32,766","$340,937,053",0.01%,Zhuo yao ji,https://www.the-numbers.com/movie/Zhuo-yao-ji-(China)-(2015)#tab=summary
22,The Good Dinosaur,"$333,771,037","$123,087,120","$210,683,917",36.88%,The Good Dinosaur,https://www.the-numbers.com/movie/Good-Dinosaur-The#tab=summary
23,Taken 3,"$327,656,424","$89,256,424","$238,400,000",27.24%,Taken 3,https://www.the-numbers.com/movie/Taken-3#tab=summary
24,The SpongeBob Movie: Sponge Out of Water,"$311,013,181","$162,994,032","$148,019,149",52.41%,The SpongeBob Movie:,https://www.the-numbers.com/movie/SpongeBob-Movie-Sponge-Out-of-Water-The#tab=summary
25,Maze Runner: The Scorch Trials,"$310,566,162","$81,697,192","$228,868,970",26.31%,Maze Runner: The Sco,https://www.the-numbers.com/movie/Maze-Runner-The-Scorch-Trials#tab=summary
26,The Divergent Series: Insurgent,"$295,075,882","$130,179,072","$164,896,810",44.12%,The Divergent Series,https://www.the-numbers.com/movie/Divergent-Series-Insurgent-The#tab=summary
27,Pitch Perfect 2,"$287,215,196","$184,296,230","$102,918,966",64.17%,Pitch Perfect 2,https://www.the-numbers.com/movie/Pitch-Perfect-2#tab=summary
28,The Ghouls,"$259,425,249","$1,243,810","$258,181,439",0.48%,The Ghouls,https://www.the-numbers.com/movie/Ghouls-The-(China)#tab=summary
29,The Peanuts Movie,"$250,091,610","$130,178,411","$119,913,199",52.05%,The Peanuts Movie,https://www.the-numbers.com/movie/Peanuts-Movie-The#tab=summary
30,Alvin and the Chipmunks: The Road Chip,"$249,517,956","$85,886,987","$163,630,969",34.42%,Alvin and the Chipmu,https://www.the-numbers.com/movie/Alvin-and-the-Chipmunks-The-Road-Chip#tab=summary
31,Pixels,"$243,492,814","$78,765,986","$164,726,828",32.35%,Pixels,https://www.the-numbers.com/movie/Pixels#tab=summary
32,Daddy’s Home,"$241,504,989","$150,357,137","$91,147,852",62.26%,Daddy’s Home,https://www.the-numbers.com/movie/Daddys-Home-(2015)#tab=summary
33,Gang jiong,"$237,273,381","$1,302,281","$235,971,100",0.55%,Gang jiong,https://www.the-numbers.com/movie/Gang-jiong-(China)#tab=summary
34,Spy!,"$233,844,106","$110,825,712","$123,018,394",47.39%,Spy!,https://www.the-numbers.com/movie/Spy#tab=summary
35,Everest,"$221,297,061","$43,482,270","$177,814,791",19.65%,Everest,https://www.the-numbers.com/movie/Everest-(2015)#tab=summary
36,Ted 2,"$217,214,143","$81,476,385","$135,737,758",37.51%,Ted 2,https://www.the-numbers.com/movie/Ted-2#tab=summary
37,Xia Luo Te Fan Nao,"$213,949,747","$1,289,195","$212,660,552",0.60%,Xia Luo Te Fan Nao,https://www.the-numbers.com/movie/Xia-Luo-Te-Fan-Nao-(China)(2015)#tab=summary
38,Tomorrowland,"$206,627,518","$93,436,322","$113,191,196",45.22%,Tomorrowland,https://www.the-numbers.com/movie/Tomorrowland#tab=summary
39,Straight Outta Compton,"$202,182,981","$161,197,785","$40,985,196",79.73%,Straight Outta Compt,https://www.the-numbers.com/movie/Straight-Outta-Compton#tab=summary
40,The Intern,"$197,115,710","$75,764,672","$121,351,038",38.44%,The Intern,https://www.the-numbers.com/movie/Intern-The#tab=summary
41,Jupiter Ascending,"$184,382,519","$47,482,519","$136,900,000",25.75%,Jupiter Ascending,https://www.the-numbers.com/movie/Jupiter-Ascending#tab=summary
42,Creed,"$174,167,581","$109,767,581","$64,400,000",63.02%,Creed,https://www.the-numbers.com/movie/Creed#tab=summary
43,Jian Bing Man,"$169,842,267",,"$169,842,267",,Jian Bing Man,https://www.the-numbers.com/movie/Jian-Bing-Man-(China)#tab=summary
44,Focus,"$168,065,700","$53,862,963","$114,202,737",32.05%,Focus,https://www.the-numbers.com/movie/Focus-(2015)#tab=summary
45,The Fantastic Four,"$167,849,187","$56,117,548","$111,731,639",33.43%,The Fantastic Four,https://www.the-numbers.com/movie/Fantastic-Four-The-(2015)#tab=summary
46,Xi you ji zhi da sheng gui lai,"$166,968,128",,"$166,968,128",,Xi you ji zhi da she,https://www.the-numbers.com/movie/Xi-you-ji-zhi-da-sheng-gui-lai-(China)-(2015)#tab=summary
47,Bridge of Spies,"$162,498,338","$72,313,754","$90,184,584",44.50%,Bridge of Spies,https://www.the-numbers.com/movie/Bridge-of-Spies#tab=summary
48,Goosebumps,"$158,952,243","$80,069,458","$78,882,785",50.37%,Goosebumps,https://www.the-numbers.com/movie/Goosebumps#tab=summary
49,Yip Man 3,"$157,300,954","$2,679,437","$154,621,517",1.70%,Yip Man 3,https://www.the-numbers.com/movie/Yip-Man-3-(Hong-Kong)-(2015)#tab=summary
50,The Hateful Eight,"$151,813,358","$54,117,416","$97,695,942",35.65%,The Hateful Eight,https://www.the-numbers.com/movie/Hateful-Eight-The#tab=summary
51,Pan,"$151,525,973","$35,088,320","$116,437,653",23.16%,Pan,https://www.the-numbers.com/movie/Pan-(2015)#tab=summary
52,Gun dan ba! Zhong liu jun,"$146,486,639","$286,639","$146,200,000",0.20%,Gun dan ba! Zhong li,https://www.the-numbers.com/movie/Gun-dan-ba-Zhong-liu-jun#tab=summary
53,Du Cheng Feng Yun 2,"$146,203,224",,"$146,203,224",,Du Cheng Feng Yun 2,https://www.the-numbers.com/movie/Du-Cheng-Feng-Yun-2-(Hong-Kong)(2014)#tab=summary
54,Trainwreck,"$141,136,897","$110,225,700","$30,911,197",78.10%,Trainwreck,https://www.the-numbers.com/movie/Trainwreck#tab=summary
55,Lao pao er,"$139,204,612","$1,414,696","$137,789,916",1.02%,Lao pao er,https://www.the-numbers.com/movie/Lao-pao-er#tab=summary
56,Point Break,"$133,782,481","$28,782,481","$105,000,000",21.51%,Point Break,https://www.the-numbers.com/movie/Point-Break-(Remake)#tab=summary
57,The Big Short,"$132,624,681","$70,259,870","$62,364,811",52.98%,The Big Short,https://www.the-numbers.com/movie/Big-Short-The#tab=summary
58,The Last Witch Hunter,"$130,818,912","$27,367,660","$103,451,252",20.92%,The Last Witch Hunte,https://www.the-numbers.com/movie/Last-Witch-Hunter-The#tab=summary
59,Fack ju Gohte 2,"$125,000,000",,"$125,000,000",,Fack ju Gohte 2,https://www.the-numbers.com/movie/Fack-ju-Gohte-2#tab=summary
60,Magic Mike XXL,"$123,580,421","$66,013,057","$57,567,364",53.42%,Magic Mike XXL,https://www.the-numbers.com/movie/Magic-Mike-XXL#tab=summary
61,Bajrangi Bhaijaan,"$122,825,618","$8,178,001","$114,647,617",6.66%,Bajrangi Bhaijaan,https://www.the-numbers.com/movie/Bajrangi-Bhaijaan#tab=summary
62,Tian jiang xiong shi,"$122,519,874","$74,070","$122,445,804",0.06%,Tian jiang xiong shi,https://www.the-numbers.com/movie/Tian-jiang-xiong-shi#tab=summary
63,Insidious Chapter 3,"$120,453,155","$52,218,558","$68,234,597",43.35%,Insidious Chapter 3,https://www.the-numbers.com/movie/Insidious-Chapter-3#tab=summary
64,Lang Tu Teng,"$117,591,252","$212,616","$117,378,636",0.18%,Lang Tu Teng,https://www.the-numbers.com/movie/Lang-Tu-Teng#tab=summary
65,Detective Chinatown (唐人街探案),"$115,602,825","$459,832","$115,142,993",0.40%,Detective Chinatown ,https://www.the-numbers.com/movie/Detective-Chinatown-(2015-China)#tab=summary
66,Get Hard,"$111,811,453","$90,411,453","$21,400,000",80.86%,Get Hard,https://www.the-numbers.com/movie/Get-Hard#tab=summary
67,The Man From U.N.C.L.E.,"$110,045,109","$45,445,109","$64,600,000",41.30%,The Man From U.N.C.L,https://www.the-numbers.com/movie/Man-From-U-N-C-L-E-The#tab=summary
68,Paul Blart: Mall Cop 2,"$107,453,907","$71,091,594","$36,362,313",66.16%,Paul Blart: Mall Cop,https://www.the-numbers.com/movie/Paul-Blart-Mall-Cop-2#tab=summary
69,Sisters,"$106,030,660","$87,044,645","$18,986,015",82.09%,Sisters,https://www.the-numbers.com/movie/Sisters-(2015)#tab=summary
70,Chappie,"$105,002,056","$31,569,268","$73,432,788",30.07%,Chappie,https://www.the-numbers.com/movie/Chappie#tab=summary
71,Vacation,"$104,884,188","$58,884,188","$46,000,000",56.14%,Vacation,https://www.the-numbers.com/movie/Vacation#tab=summary
72,Shaun the Sheep,"$101,850,986","$19,375,982","$82,475,004",19.02%,Shaun the Sheep,https://www.the-numbers.com/movie/Shaun-the-Sheep#tab=summary
73,The Little Prince,"$101,281,211","$1,311,213","$99,969,998",1.29%,The Little Prince,https://www.the-numbers.com/movie/Little-Prince-The-(France)#tab=summary
74,Joy,"$101,134,059","$56,451,232","$44,682,827",55.82%,Joy,https://www.the-numbers.com/movie/Joy#tab=summary
75,Black Mass,"$99,975,678","$62,575,678","$37,400,000",62.59%,Black Mass,https://www.the-numbers.com/movie/Untitled-Whitey-Bulger-Biopic#tab=summary
