Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,The Dark Knight,"$1,010,086,005","$536,625,724","$473,460,281",53.13%,The Dark Knight,https://www.the-numbers.com/movie/Dark-Knight-The#tab=summary
1,The Dark Knight,"$1,010,086,005","$536,625,724","$473,460,281",53.13%,The Dark Knight,https://www.the-numbers.com/movie/Dark-Knight-The-(Unkn)#tab=summary
2,Indiana Jones and the Kingdom of the Crystal Skull,"$786,635,413","$317,101,119","$469,534,294",40.31%,Indiana Jones and th,https://www.the-numbers.com/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull-(2008)#tab=summary
3,Kung Fu Panda,"$632,203,486","$215,727,546","$416,475,940",34.12%,Kung Fu Panda,https://www.the-numbers.com/movie/Kung-Fu-Panda-(2008)#tab=summary
4,Hancock,"$624,234,272","$227,946,274","$396,287,998",36.52%,Hancock,https://www.the-numbers.com/movie/Hancock-(2008)#tab=summary
5,Madagascar: Escape 2 Africa,"$599,680,774","$180,174,880","$419,505,894",30.05%,Madagascar: Escape 2,https://www.the-numbers.com/movie/Madagascar-Escape-2-Africa#tab=summary
6,Quantum of Solace,"$591,692,078","$169,368,427","$422,323,651",28.62%,Quantum of Solace,https://www.the-numbers.com/movie/Quantum-of-Solace#tab=summary
7,Iron Man,"$584,877,827","$318,604,126","$266,273,701",54.47%,Iron Man,https://www.the-numbers.com/movie/Iron-Man#tab=summary
8,Mamma Mia!,"$581,335,584","$144,540,088","$436,795,496",24.86%,Mamma Mia!,https://www.the-numbers.com/movie/Mamma-Mia#tab=summary
9,WALL-E,"$532,508,025","$223,808,164","$308,699,861",42.03%,WALL-E,https://www.the-numbers.com/movie/WALL-E#tab=summary
10,The Chronicles of Narnia: Prince Caspian,"$417,341,288","$141,621,490","$275,719,798",33.93%,The Chronicles of Na,https://www.the-numbers.com/movie/Chronicles-of-Narnia-Prince-Caspian-The#tab=summary
11,Sex and the City,"$415,247,258","$152,647,258","$262,600,000",36.76%,Sex and the City,https://www.the-numbers.com/movie/Sex-and-the-City#tab=summary
12,The Mummy: Tomb of the Dragon Emperor,"$405,760,225","$102,491,776","$303,268,449",25.26%,The Mummy: Tomb of t,https://www.the-numbers.com/movie/Mummy-Tomb-of-the-Dragon-Emperor-The#tab=summary
13,Twilight,"$403,824,348","$194,318,433","$209,505,915",48.12%,Twilight,https://www.the-numbers.com/movie/Twilight-(2008)#tab=summary
14,Slumdog Millionaire,"$383,825,427","$141,330,703","$242,494,724",36.82%,Slumdog Millionaire,https://www.the-numbers.com/movie/Slumdog-Millionaire#tab=summary
15,Wanted,"$342,416,460","$134,508,551","$207,907,909",39.28%,Wanted,https://www.the-numbers.com/movie/Wanted-(2008)#tab=summary
16,The Curious Case of Benjamin Button,"$329,631,958","$127,509,326","$202,122,632",38.68%,The Curious Case of ,https://www.the-numbers.com/movie/Curious-Case-of-Benjamin-Button-The#tab=summary
17,Bolt,"$328,015,029","$114,053,579","$213,961,450",34.77%,Bolt,https://www.the-numbers.com/movie/Bolt#tab=summary
18,Horton Hears a Who,"$299,477,886","$154,529,439","$144,948,447",51.60%,Horton Hears a Who,https://www.the-numbers.com/movie/Horton-Hears-a-Who#tab=summary
19,Gran Torino,"$274,543,085","$148,095,302","$126,447,783",53.94%,Gran Torino,https://www.the-numbers.com/movie/Gran-Torino#tab=summary
20,High School Musical 3: Senior Year,"$274,392,880","$90,559,416","$183,833,464",33.00%,High School Musical ,https://www.the-numbers.com/movie/High-School-Musical-3-Senior-Year#tab=summary
21,"10,000 B.C.","$269,065,678","$94,784,201","$174,281,477",35.23%,"10,000 B.C.",https://www.the-numbers.com/movie/10-000-B-C#tab=summary
22,The Incredible Hulk,"$265,573,859","$134,806,913","$130,766,946",50.76%,The Incredible Hulk,https://www.the-numbers.com/movie/Incredible-Hulk-The#tab=summary
23,Marley & Me,"$247,812,011","$143,153,751","$104,658,260",57.77%,Marley & Me,https://www.the-numbers.com/movie/Marley-and-Me#tab=summary
24,Bienvenue chez les Ch'tis,"$247,474,497","$1,477,650","$245,996,847",0.60%,Bienvenue chez les C,https://www.the-numbers.com/movie/Bienvenue-chez-les-Ch-tis#tab=summary
25,Journey to the Center of the Earth,"$243,180,937","$101,704,370","$141,476,567",41.82%,Journey to the Cente,https://www.the-numbers.com/movie/Journey-to-the-Center-of-the-Earth-(2008)#tab=summary
26,The Day the Earth Stood Still,"$237,370,350","$79,366,978","$158,003,372",33.44%,The Day the Earth St,https://www.the-numbers.com/movie/Day-the-Earth-Stood-Still-The#tab=summary
27,Taken,"$226,941,585","$145,000,989","$81,940,596",63.89%,Taken,https://www.the-numbers.com/movie/Taken-(2009)#tab=summary
28,Get Smart,"$226,739,416","$130,319,208","$96,420,208",57.48%,Get Smart,https://www.the-numbers.com/movie/Get-Smart#tab=summary
29,Yes Man,"$225,990,976","$97,690,976","$128,300,000",43.23%,Yes Man,https://www.the-numbers.com/movie/Yes-Man#tab=summary
30,Jumper,"$222,640,812","$80,172,128","$142,468,684",36.01%,Jumper,https://www.the-numbers.com/movie/Jumper#tab=summary
31,Bedtime Stories,"$221,468,935","$110,101,975","$111,366,960",49.71%,Bedtime Stories,https://www.the-numbers.com/movie/Bedtime-Stories#tab=summary
32,What Happens in Vegas...,"$218,535,708","$80,277,646","$138,258,062",36.73%,What Happens in Vega,https://www.the-numbers.com/movie/What-Happens-in-Vegas#tab=summary
33,Australia,"$215,080,810","$49,554,002","$165,526,808",23.04%,Australia,https://www.the-numbers.com/movie/Australia-(2008)#tab=summary
34,Ponyo (崖の上のポニョ),"$205,162,666","$15,090,399","$190,072,267",7.36%,Ponyo (崖の上のポニョ),https://www.the-numbers.com/movie/Ponyo-(2008-Japan)#tab=summary
35,Valkyrie,"$203,932,174","$83,107,829","$120,824,345",40.75%,Valkyrie,https://www.the-numbers.com/movie/Valkyrie#tab=summary
36,You Don’t Mess With the Zohan,"$202,910,991","$100,018,837","$102,892,154",49.29%,You Don’t Mess With ,https://www.the-numbers.com/movie/You-Dont-Mess-With-the-Zohan-(2008)#tab=summary
37,Tropic Thunder,"$191,145,256","$110,515,313","$80,629,943",57.82%,Tropic Thunder,https://www.the-numbers.com/movie/Tropic-Thunder#tab=summary
38,Eagle Eye,"$180,585,259","$101,440,743","$79,144,516",56.17%,Eagle Eye,https://www.the-numbers.com/movie/Eagle-Eye#tab=summary
39,Cloverfield,"$171,302,226","$80,048,433","$91,253,793",46.73%,Cloverfield,https://www.the-numbers.com/movie/Cloverfield#tab=summary
40,Four Christmases,"$168,311,558","$120,146,040","$48,165,518",71.38%,Four Christmases,https://www.the-numbers.com/movie/Four-Christmases#tab=summary
41,Burn After Reading,"$168,167,798","$60,355,347","$107,812,451",35.89%,Burn After Reading,https://www.the-numbers.com/movie/Burn-After-Reading#tab=summary
42,Seven Pounds,"$166,617,328","$69,951,824","$96,665,504",41.98%,Seven Pounds,https://www.the-numbers.com/movie/Seven-Pounds-(2008)#tab=summary
43,The Spiderwick Chronicles,"$162,839,667","$71,195,053","$91,644,614",43.72%,The Spiderwick Chron,https://www.the-numbers.com/movie/Spiderwick-Chronicles-The#tab=summary
44,The Happening,"$162,778,384","$64,506,874","$98,271,510",39.63%,The Happening,https://www.the-numbers.com/movie/Happening-The#tab=summary
45,Hellboy II: The Golden Army,"$160,388,063","$75,986,503","$84,401,560",47.38%,Hellboy II: The Gold,https://www.the-numbers.com/movie/Hellboy-2-The-Golden-Army#tab=summary
46,27 Dresses,"$160,247,805","$76,808,654","$83,439,151",47.93%,27 Dresses,https://www.the-numbers.com/movie/27-Dresses#tab=summary
47,21,"$159,846,429","$81,159,365","$78,687,064",50.77%,21,https://www.the-numbers.com/movie/21-(2008)#tab=summary
48,Beverly Hills Chihuahua,"$154,218,168","$94,514,402","$59,703,766",61.29%,Beverly Hills Chihua,https://www.the-numbers.com/movie/Beverly-Hills-Chihuahua#tab=summary
