Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Frozen,"$1,269,758,653","$400,953,009","$868,805,644",31.58%,Frozen,https://www.the-numbers.com/movie/Frozen-(2013)#tab=summary
2,Iron Man 3,"$1,214,630,956","$408,992,272","$805,638,684",33.67%,Iron Man 3,https://www.the-numbers.com/movie/Iron-Man-3#tab=summary
3,Despicable Me 2,"$975,216,835","$368,065,385","$607,151,450",37.74%,Despicable Me 2,https://www.the-numbers.com/movie/Despicable-Me-2#tab=summary
4,The Hobbit: The Desolation of Smaug,"$959,358,436","$258,241,522","$701,116,914",26.92%,The Hobbit: The Deso,https://www.the-numbers.com/movie/Hobbit-The-Desolation-of-Smaug-The#tab=summary
5,The Hunger Games: Catching Fire,"$864,808,014","$424,668,047","$440,139,967",49.11%,The Hunger Games: Ca,https://www.the-numbers.com/movie/Hunger-Games-Catching-Fire-The#tab=summary
6,Fast and Furious 6,"$789,300,444","$238,679,850","$550,620,594",30.24%,Fast and Furious 6,https://www.the-numbers.com/movie/Fast-and-Furious-6#tab=summary
7,Monsters University,"$743,455,810","$268,488,329","$474,967,481",36.11%,Monsters University,https://www.the-numbers.com/movie/Monsters-University#tab=summary
8,Gravity,"$684,657,731","$274,092,705","$410,565,026",40.03%,Gravity,https://www.the-numbers.com/movie/Gravity-(2013)#tab=summary
9,Man of Steel,"$667,999,518","$291,045,518","$376,954,000",43.57%,Man of Steel,https://www.the-numbers.com/movie/Man-of-Steel#tab=summary
10,Thor: The Dark World,"$644,602,516","$206,362,140","$438,240,376",32.01%,Thor: The Dark World,https://www.the-numbers.com/movie/Thor-The-Dark-World#tab=summary
11,The Croods,"$573,068,425","$187,168,425","$385,900,000",32.66%,The Croods,https://www.the-numbers.com/movie/Croods-The#tab=summary
12,World War Z,"$531,861,650","$202,706,711","$329,154,939",38.11%,World War Z,https://www.the-numbers.com/movie/World-War-Z#tab=summary
13,Oz the Great and Powerful,"$490,359,051","$234,770,996","$255,588,055",47.88%,Oz the Great and Pow,https://www.the-numbers.com/movie/Oz-The-Great-and-Powerful#tab=summary
