Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Demon Slayer: Kimetsu no Yaiba—The Movie: Mugen…,"$512,704,063","$50,272,044","$462,432,019",9.81%,Demon Slayer: Kimets,https://www.the-numbers.com/movie/Demon-Slayer-Kimetsu-no-Yaiba-The-Movie-Mugen-Train-(2020-Japan)#tab=summary
2,The Eight Hundred (八佰),"$436,779,294",,"$436,779,294",,The Eight Hundred (八,https://www.the-numbers.com/movie/Eight-Hundred-The-(2020-China)#tab=summary
3,Bad Boys For Life,"$424,471,663","$204,417,855","$220,053,808",48.16%,Bad Boys For Life,https://www.the-numbers.com/movie/Bad-Boys-For-Life-(Bad-Boys-3)-(2020)#tab=summary
4,Tenet,"$366,273,550","$59,473,550","$306,800,000",16.24%,Tenet,https://www.the-numbers.com/movie/Tenet-(2020)#tab=summary
5,Wo He Wo De Jia Xiang,"$355,710,787",,"$355,710,787",,Wo He Wo De Jia Xian,https://www.the-numbers.com/movie/Wo-He-Wo-De-Jia-Xiang-(2020-China)#tab=summary
6,Sonic The Hedgehog,"$302,452,077","$146,066,470","$156,385,607",48.29%,Sonic The Hedgehog,https://www.the-numbers.com/movie/Sonic-The-Hedgehog-(Japan)-(2020)#tab=summary
7,Dolittle,"$251,509,294","$77,047,065","$174,462,229",30.63%,Dolittle,https://www.the-numbers.com/movie/Dolittle#tab=summary
8,Legend of Deification (姜子牙),"$243,887,233","$214,670","$243,672,563",0.09%,Legend of Deificatio,https://www.the-numbers.com/movie/Legend-of-Deification-(2020-China)#tab=summary
9,Song Ni Yi Duo Xiao Hong Hua,"$220,490,000",,"$220,490,000",,Song Ni Yi Duo Xiao ,https://www.the-numbers.com/movie/Song-Ni-Yi-Duo-Xiao-Hong-Hua-(2020-China)#tab=summary
10,The Croods: A New Age,"$214,766,238","$58,568,815","$156,197,423",27.27%,The Croods: A New Ag,https://www.the-numbers.com/movie/Croods-A-New-Age-The-(2020)#tab=summary
11,Birds of Prey (And the Fantabulous Emancipation…,"$205,358,461","$84,158,461","$121,200,000",40.98%,Birds of Prey (And t,https://www.the-numbers.com/movie/Birds-of-Prey-(And-the-Fantabulous-Emancipation-of-One-Harley-Quinn)-(2020)#tab=summary
12,Chai Dan Zhuan Jia Er,"$203,481,407",,"$203,481,407",,Chai Dan Zhuan Jia E,https://www.the-numbers.com/movie/Chai-Dan-Zhuan-Jia-Er-(2020-Hong-Kong)#tab=summary
13,Wonder Woman 1984,"$169,601,036","$46,801,036","$122,800,000",27.59%,Wonder Woman 1984,https://www.the-numbers.com/movie/Wonder-Woman-1984-(2020)#tab=summary
14,Jin gang chuan,"$167,007,608",,"$167,007,608",,Jin gang chuan,https://www.the-numbers.com/movie/Jin-gang-chuan-(2020-China)#tab=summary
15,The Invisible Man,"$139,011,965","$64,914,050","$74,097,915",46.70%,The Invisible Man,https://www.the-numbers.com/movie/Invisible-Man-The-(2020)#tab=summary
16,Onward,"$133,357,601","$61,555,145","$71,802,456",46.16%,Onward,https://www.the-numbers.com/movie/Onward-(2020)#tab=summary
17,Warm Hug (温暖的抱抱),"$132,213,520",,"$132,213,520",,Warm Hug (温暖的抱抱),https://www.the-numbers.com/movie/Warm-Hug-(2020-China)#tab=summary
18,Zhong Guo Nu Pai,"$124,965,617",,"$124,965,617",,Zhong Guo Nu Pai,https://www.the-numbers.com/movie/Zhong-Guo-Nu-Pai-(China)#tab=summary
19,Soul,"$120,068,830","$946,154","$119,122,676",0.79%,Soul,https://www.the-numbers.com/movie/Soul-(2020)#tab=summary
20,The Call of the Wild,"$107,351,191","$62,342,368","$45,008,823",58.07%,The Call of the Wild,https://www.the-numbers.com/movie/Call-of-the-Wild-The-(2020)#tab=summary
21,Xiong Chu Mo: Kuang Ye Da Lu,"$93,172,870",,"$93,172,870",,Xiong Chu Mo: Kuang ,https://www.the-numbers.com/movie/Xiong-Chu-Mo-Kuang-Ye-Da-Lu-(China)#tab=summary
22,Chu bao,"$83,153,492",,"$83,153,492",,Chu bao,https://www.the-numbers.com/movie/Chu-bao-(2020-China)#tab=summary
23,Miracle In Cell No. 7,"$76,168,428",,"$76,168,428",,Miracle In Cell No. ,https://www.the-numbers.com/movie/Miracle-In-Cell-No-7-(2020-Philippines)#tab=summary
24,Jin Ji Jiu Yuan,"$74,889,133",,"$74,889,133",,Jin Ji Jiu Yuan,https://www.the-numbers.com/movie/Jin-Ji-Jiu-Yuan-(2020-China)#tab=summary
25,Zhong Guo he huo ren,"$74,648,887",,"$74,648,887",,Zhong Guo he huo ren,https://www.the-numbers.com/movie/Zhong-Guo-he-huo-ren-(2013-China)#tab=summary
26,Wo Zai Shi Jian Jin Tou Deng Ni,"$73,724,082",,"$73,724,082",,Wo Zai Shi Jian Jin ,https://www.the-numbers.com/movie/Wo-Zai-Shi-Jian-Jin-Tou-Deng-Ni-(China)#tab=summary
27,Mulan,"$69,973,540",,"$69,973,540",,Mulan,https://www.the-numbers.com/movie/Mulan-(2020)#tab=summary
28,Yin-Yang Master I,"$69,740,000",,"$69,740,000",,Yin-Yang Master I,https://www.the-numbers.com/movie/Yin-Yang-Master-I-(2021-China)#tab=summary
29,Stand by Me Doraemon 2,"$66,606,471",,"$66,606,471",,Stand by Me Doraemon,https://www.the-numbers.com/movie/Stand-by-Me-Doraemon-2-(2020-Japan)#tab=summary
30,Mu Yu Zhi Wang,"$62,460,000",,"$62,460,000",,Mu Yu Zhi Wang,https://www.the-numbers.com/movie/Mu-Yu-Zhi-Wang-(2020-China)#tab=summary
31,Tolo Tolo,"$52,186,424",,"$52,186,424",,Tolo Tolo,https://www.the-numbers.com/movie/Tolo-Tolo-(2019-Italy)#tab=summary
32,Ru Guo Sheng Yin Bu Ji De,"$51,890,000",,"$51,890,000",,Ru Guo Sheng Yin Bu ,https://www.the-numbers.com/movie/Ru-Guo-Sheng-Yin-Bu-Ji-De-(2020-China)#tab=summary
33,Fantasy Island,"$49,066,276","$26,441,782","$22,624,494",53.89%,Fantasy Island,https://www.the-numbers.com/movie/Fantasy-Island-(2020)#tab=summary
34,Trolls: World Tour,"$48,866,407",,"$48,866,407",,Trolls: World Tour,https://www.the-numbers.com/movie/Trolls-World-Tour-(2020)#tab=summary
35,I’m From Today!,"$47,895,889",,"$47,895,889",,I’m From Today!,https://www.the-numbers.com/movie/Im-From-Today-(2020-Japan)#tab=summary
36,Monster Hunter,"$47,853,893","$15,162,470","$32,691,423",31.68%,Monster Hunter,https://www.the-numbers.com/movie/Monster-Hunter-(2020)#tab=summary
37,The New Mutants,"$47,535,251","$23,855,569","$23,679,682",50.19%,The New Mutants,https://www.the-numbers.com/movie/New-Mutants-The-(2020)#tab=summary
38,The War with Grandpa,"$46,819,069","$21,277,892","$25,541,177",45.45%,The War with Grandpa,https://www.the-numbers.com/movie/War-with-Grandpa-The-(2020)#tab=summary
39,Yi Dian Jiu Dao Jia,"$46,389,109",,"$46,389,109",,Yi Dian Jiu Dao Jia,https://www.the-numbers.com/movie/Yi-Dian-Jiu-Dao-Jia-(2020-China)#tab=summary
40,Ji Xian Feng,"$45,986,345","$793,525","$45,192,820",1.73%,Ji Xian Feng,https://www.the-numbers.com/movie/Ji-Xian-Feng-(China)#tab=summary
41,After We Collided,"$43,306,392","$2,386,483","$40,919,909",5.51%,After We Collided,https://www.the-numbers.com/movie/After-We-Collided-(2020)#tab=summary
42,Eiga Doraemon: Nobita no shin kyôryû,"$43,035,655",,"$43,035,655",,Eiga Doraemon: Nobit,https://www.the-numbers.com/movie/Eiga-Doraemon-Nobita-no-shin-kyoryu-(2020-Japan)#tab=summary
43,Greenland,"$40,629,075",,"$40,629,075",,Greenland,https://www.the-numbers.com/movie/Greenland-(2020)#tab=summary
44,Unhinged,"$37,339,104","$20,831,465","$16,507,639",55.79%,Unhinged,https://www.the-numbers.com/movie/Unhinged-(2020)#tab=summary
45,The Father,"$36,427,155","$2,120,992","$34,306,163",5.82%,The Father,https://www.the-numbers.com/movie/Father-The-(UK)#tab=summary
46,Peninsula,"$35,091,523","$1,224,525","$33,866,998",3.49%,Peninsula,https://www.the-numbers.com/movie/Peninsula-(2020-South-Korea)#tab=summary
47,Namsaneui Bujangdeul,"$34,956,967","$113,527","$34,843,440",0.32%,Namsaneui Bujangdeul,https://www.the-numbers.com/movie/Namsaneui-Bujangdeul-(2020-South-Korea)#tab=summary
48,Daman Akeseo Guhasoseo,"$33,606,785",,"$33,606,785",,Daman Akeseo Guhasos,https://www.the-numbers.com/movie/Daman-Akeseo-Guhasoseo-(2020-South-Korea)#tab=summary
49,Feng sheng,"$32,887,948",,"$32,887,948",,Feng sheng,https://www.the-numbers.com/movie/Fengsheng-(2009-China)#tab=summary
50,Honest Thief,"$32,609,631","$14,163,574","$18,446,057",43.43%,Honest Thief,https://www.the-numbers.com/movie/Honest-Thief-(2020)#tab=summary
51,The Witches,"$29,100,000",,"$29,100,000",,The Witches,https://www.the-numbers.com/movie/Witches-The-(2020)#tab=summary
52,Scoob!,"$28,748,685","$2,188,425","$26,560,260",7.61%,Scoob!,https://www.the-numbers.com/movie/Scoob#tab=summary
53,Soul Snatcher,"$28,501,108",,"$28,501,108",,Soul Snatcher,https://www.the-numbers.com/movie/Soul-Snatcher-(2020-China)#tab=summary
54,Emma.,"$27,365,788","$10,055,355","$17,310,433",36.74%,Emma.,https://www.the-numbers.com/movie/Emma-(UK)#tab=summary
55,Like a Boss,"$26,563,888","$22,169,514","$4,394,374",83.46%,Like a Boss,https://www.the-numbers.com/movie/Like-a-Boss#tab=summary
56,Lyod 2,"$24,599,113",,"$24,599,113",,Lyod 2,https://www.the-numbers.com/movie/Lyod-2-(Russia)#tab=summary
57,Gretel & Hansel,"$22,052,456","$15,347,654","$6,704,802",69.60%,Gretel & Hansel,https://www.the-numbers.com/movie/Gretel-and-Hansel-(2020)#tab=summary
58,Digimon Adventure: Last Evolution Kizuna,"$21,914,375",,"$21,914,375",,Digimon Adventure: L,https://www.the-numbers.com/movie/Digimon-Adventure-Last-Evolution-Kizuna-(Japan)#tab=summary
59,New Interpretations Records of the Three Kingdoms,"$21,843,413",,"$21,843,413",,New Interpretations ,https://www.the-numbers.com/movie/New-Interpretations-Records-of-the-Three-Kingdoms-(2020-Japan)#tab=summary
60,Druk,"$21,698,895","$44,205","$21,654,690",0.20%,Druk,https://www.the-numbers.com/movie/Druk-(Denmark)#tab=summary
61,Jiko Bukken: Kowai Madori,"$21,204,112",,"$21,204,112",,Jiko Bukken: Kowai M,https://www.the-numbers.com/movie/Jiko-Bukken-Kowai-Madori-(2020-Japan)#tab=summary
62,Hamilton,"$20,737,926","$16,946,377","$3,791,549",81.72%,Hamilton,https://www.the-numbers.com/movie/Hamilton-(2020)#tab=summary
63,The Photograph,"$20,704,381","$20,578,185","$126,196",99.39%,The Photograph,https://www.the-numbers.com/movie/Photograph-The-(2020)#tab=summary
64,Eiga Entotsu Machi no Poupelle,"$20,643,297",,"$20,643,297",,Eiga Entotsu Machi n,https://www.the-numbers.com/movie/Eiga-Entotsu-Machi-no-Poupelle-(2021-Japan)#tab=summary
65,Yarn,"$20,474,171",,"$20,474,171",,Yarn,https://www.the-numbers.com/movie/Yarn-(2020-Japan)#tab=summary
66,Yi miao zhong,"$20,327,572",,"$20,327,572",,Yi miao zhong,https://www.the-numbers.com/movie/Yi-miao-zhong-(2020-China)#tab=summary
67,Gekijouban Violet Evergarden,"$20,224,281",,"$20,224,281",,Gekijouban Violet Ev,https://www.the-numbers.com/movie/Gekijouban-Violet-Evergarden-(Japan)#tab=summary
68,Brahms: The Boy II,"$18,968,326","$12,611,536","$6,356,790",66.49%,Brahms: The Boy II,https://www.the-numbers.com/movie/Brahms-The-Boy-II-(2020)#tab=summary
69,Promising Young Woman,"$18,854,166","$6,460,965","$12,393,201",34.27%,Promising Young Woma,https://www.the-numbers.com/movie/Promising-Young-Woman#tab=summary
70,Gekijouban Fate/Stay Night: Heaven’s Feel — III…,"$18,765,310",,"$18,765,310",,Gekijouban Fate/Stay,https://www.the-numbers.com/movie/Gekijouban-Fate-Stay-Night-Heavens-Feel-III-Spring-Song-(2020-Japan)#tab=summary
71,The Turning,"$18,460,739","$15,472,775","$2,987,964",83.81%,The Turning,https://www.the-numbers.com/movie/Turning-The-(2020)#tab=summary
72,Freaky,"$18,073,433","$9,030,855","$9,042,578",49.97%,Freaky,https://www.the-numbers.com/movie/Freaky-(2020)#tab=summary
73,"Ensemble, c’est tout","$17,988,919",,"$17,988,919",,"Ensemble, c’est tout",https://www.the-numbers.com/movie/Ensemble-c-est-tout#tab=summary
74,Kaiji: Fainaru gêmu,"$17,631,172",,"$17,631,172",,Kaiji: Fainaru gêmu,https://www.the-numbers.com/movie/Kaiji-Fainaru-gemu-(Japan)#tab=summary
75,Stillwater,"$17,243,702","$14,465,535","$2,778,167",83.89%,Stillwater,https://www.the-numbers.com/movie/Stillwater#tab=summary
76,The Story of Xi Bao,"$17,060,000",,"$17,060,000",,The Story of Xi Bao,https://www.the-numbers.com/movie/Story-of-Xi-Bao-The-(2020-China)#tab=summary
77,Adieu les cons,"$16,975,942",,"$16,975,942",,Adieu les cons,https://www.the-numbers.com/movie/Adieu-les-cons-(France)#tab=summary
78,Hiteumaen,"$16,821,116",,"$16,821,116",,Hiteumaen,https://www.the-numbers.com/movie/Hiteumaen-(S-korea)#tab=summary
79,I Still Believe,"$16,703,751","$10,410,004","$6,293,747",62.32%,I Still Believe,https://www.the-numbers.com/movie/I-Still-Believe-(2020)#tab=summary
80,Red Dog,"$16,110,694",,"$16,110,694",,Red Dog,https://www.the-numbers.com/movie/Red-Dog-(2020)#tab=summary
81,The Night House,"$15,493,093","$7,100,581","$8,392,512",45.83%,The Night House,https://www.the-numbers.com/movie/Night-House-The#tab=summary
82,The Way Back,"$15,490,514","$13,590,514","$1,900,000",87.73%,The Way Back,https://www.the-numbers.com/movie/Way-Back-The-(2020)#tab=summary
83,Minari,"$15,474,659","$2,964,816","$12,509,843",19.16%,Minari,https://www.the-numbers.com/movie/Minari#tab=summary
84,Padre no hay más que uno 2: La llegada de la su…,"$15,378,662",,"$15,378,662",,Padre no hay más que,https://www.the-numbers.com/movie/Padre-no-hay-mas-que-uno-2-La-Ilegada-de-la-suegra-(2020-Spain)#tab=summary
85,Takizawa Enbujo Zero,"$15,179,804",,"$15,179,804",,Takizawa Enbujo Zero,https://www.the-numbers.com/movie/Takizawa-Enbujo-Zero-(2020-Japan)#tab=summary
86,Firestarter,"$15,030,244","$9,739,250","$5,290,994",64.80%,Firestarter,https://www.the-numbers.com/movie/Firestarter-(2022)#tab=summary
87,Ogon,"$14,746,111",,"$14,746,111",,Ogon,https://www.the-numbers.com/movie/Ogon-(2020-Russia)#tab=summary
