Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Harry Potter and the Deathly Hallows: Part II,"$1,311,412,625","$382,088,758","$929,323,867",29.14%,Harry Potter and the,https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II#tab=summary
2,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543","$771,403,536",31.36%,Transformers: Dark o,https://www.the-numbers.com/movie/Transformers-Dark-of-the-Moon-(2011)#tab=summary
3,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802","$804,642,000",23.05%,Pirates of the Carib,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary
4,Mission: Impossible—Ghost Protocol,"$694,713,230","$209,397,903","$485,315,327",30.14%,Mission: Impossible—,https://www.the-numbers.com/movie/Mission-Impossible-Ghost-Protocol#tab=summary
5,"The Twilight Saga: Breaking Dawn, Part 1","$682,171,944","$281,287,133","$400,884,811",41.23%,The Twilight Saga: B,https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-1-The#tab=summary
6,Kung Fu Panda 2,"$664,837,547","$165,249,063","$499,588,484",24.86%,Kung Fu Panda 2,https://www.the-numbers.com/movie/Kung-Fu-Panda-2#tab=summary
7,Fast Five,"$629,975,898","$210,031,325","$419,944,573",33.34%,Fast Five,https://www.the-numbers.com/movie/Fast-Five#tab=summary
8,The Hangover Part II,"$586,764,305","$254,464,305","$332,300,000",43.37%,The Hangover Part II,https://www.the-numbers.com/movie/Hangover-Part-II-The#tab=summary
9,The Smurfs,"$563,749,323","$142,614,158","$421,135,165",25.30%,The Smurfs,https://www.the-numbers.com/movie/Smurfs-The#tab=summary
10,Cars 2,"$560,155,383","$191,450,875","$368,704,508",34.18%,Cars 2,https://www.the-numbers.com/movie/Cars-2#tab=summary
11,Puss in Boots,"$554,987,477","$149,260,504","$405,726,973",26.89%,Puss in Boots,https://www.the-numbers.com/movie/Puss-in-Boots#tab=summary
12,Sherlock Holmes: A Game of Shadows,"$535,663,443","$186,848,418","$348,815,025",34.88%,Sherlock Holmes: A G,https://www.the-numbers.com/movie/Sherlock-Holmes-A-Game-of-Shadows-(2011)#tab=summary
13,Rio,"$487,517,241","$143,619,809","$343,897,432",29.46%,Rio,https://www.the-numbers.com/movie/Rio-(2011)#tab=summary
14,Les Intouchables,"$484,630,908","$13,182,281","$471,448,627",2.72%,Les Intouchables,https://www.the-numbers.com/movie/Intouchables-Les#tab=summary
15,Rise of the Planet of the Apes,"$470,986,200","$176,760,185","$294,226,015",37.53%,Rise of the Planet o,https://www.the-numbers.com/movie/Rise-of-the-Planet-of-the-Apes#tab=summary
16,Thor,"$449,326,618","$181,030,624","$268,295,994",40.29%,Thor,https://www.the-numbers.com/movie/Thor#tab=summary
17,The Adventures of Tintin,"$373,993,951","$77,591,831","$296,402,120",20.75%,The Adventures of Ti,https://www.the-numbers.com/movie/Adventures-of-Tintin-The#tab=summary
18,Captain America: The First Avenger,"$370,569,776","$176,654,505","$193,915,271",47.67%,Captain America: The,https://www.the-numbers.com/movie/Captain-America-The-First-Avenger#tab=summary
19,X-Men: First Class,"$355,408,305","$146,408,305","$209,000,000",41.19%,X-Men: First Class,https://www.the-numbers.com/movie/X-Men-First-Class#tab=summary
20,Alvin and the Chipmunks: Chipwrecked,"$349,088,523","$133,107,389","$215,981,134",38.13%,Alvin and the Chipmu,https://www.the-numbers.com/movie/Alvin-and-the-Chipmunks-Chipwrecked#tab=summary
21,Bridesmaids,"$289,632,023","$169,211,718","$120,420,305",58.42%,Bridesmaids,https://www.the-numbers.com/movie/Bridesmaids#tab=summary
22,Real Steel,"$263,880,341","$85,463,309","$178,417,032",32.39%,Real Steel,https://www.the-numbers.com/movie/Real-Steel#tab=summary
23,Super 8,"$257,972,745","$127,004,179","$130,968,566",49.23%,Super 8,https://www.the-numbers.com/movie/Super-8#tab=summary
24,Rango,"$245,724,600","$123,477,607","$122,246,993",50.25%,Rango,https://www.the-numbers.com/movie/Rango#tab=summary
25,The Girl with the Dragon Tattoo,"$239,373,970","$102,515,793","$136,858,177",42.83%,The Girl with the Dr,https://www.the-numbers.com/movie/Girl-with-the-Dragon-Tattoo-The-(2011)#tab=summary
