Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,The Avengers,"$1,515,100,211","$623,357,910","$891,742,301",41.14%,The Avengers,https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary
2,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704",27.41%,Skyfall,https://www.the-numbers.com/movie/Skyfall#tab=summary
3,The Dark Knight Rises,"$1,082,228,107","$448,139,099","$634,089,008",41.41%,The Dark Knight Rise,https://www.the-numbers.com/movie/Dark-Knight-Rises-The#tab=summary
4,The Hobbit: An Unexpected Journey,"$1,014,938,545","$303,003,568","$711,934,977",29.85%,The Hobbit: An Unexp,https://www.the-numbers.com/movie/Hobbit-An-Unexpected-Journey-The#tab=summary
5,Ice Age: Continental Drift,"$879,765,137","$161,321,843","$718,443,294",18.34%,Ice Age: Continental,https://www.the-numbers.com/movie/Ice-Age-Continental-Drift#tab=summary
6,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737","$292,324,737","$537,400,000",35.23%,The Twilight Saga: B,https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary
7,The Amazing Spider-Man,"$758,576,824","$262,717,220","$495,859,604",34.63%,The Amazing Spider-M,https://www.the-numbers.com/movie/Amazing-Spider-Man-The#tab=summary
8,Madagascar 3: Europe’s Most Wanted,"$746,921,271","$216,391,482","$530,529,789",28.97%,Madagascar 3: Europe,https://www.the-numbers.com/movie/Madagascar-3#tab=summary
9,The Hunger Games,"$677,923,379","$408,010,692","$269,912,687",60.19%,The Hunger Games,https://www.the-numbers.com/movie/Hunger-Games-The#tab=summary
10,Men in Black 3,"$654,213,485","$179,020,854","$475,192,631",27.36%,Men in Black 3,https://www.the-numbers.com/movie/Men-in-Black-3#tab=summary
11,Life of Pi,"$619,310,368","$124,987,022","$494,323,346",20.18%,Life of Pi,https://www.the-numbers.com/movie/Life-of-Pi#tab=summary
12,Ted,"$556,016,627","$218,665,740","$337,350,887",39.33%,Ted,https://www.the-numbers.com/movie/Ted-(2011)#tab=summary
13,Brave,"$554,606,532","$237,282,182","$317,324,350",42.78%,Brave,https://www.the-numbers.com/movie/Brave#tab=summary
14,Wreck-It Ralph,"$496,511,521","$189,412,677","$307,098,844",38.15%,Wreck-It Ralph,https://www.the-numbers.com/movie/Wreck-It-Ralph#tab=summary
15,Django Unchained,"$449,841,566","$162,805,434","$287,036,132",36.19%,Django Unchained,https://www.the-numbers.com/movie/Django-Unchained#tab=summary
16,Les Misérables,"$435,292,452","$149,260,140","$286,032,312",34.29%,Les Misérables,https://www.the-numbers.com/movie/Miserables-Les-(2012)#tab=summary
17,Prometheus,"$402,448,265","$126,477,084","$275,971,181",31.43%,Prometheus,https://www.the-numbers.com/movie/Prometheus#tab=summary
18,Snow White and the Huntsman,"$401,021,746","$155,136,755","$245,884,991",38.69%,Snow White and the H,https://www.the-numbers.com/movie/Snow-White-and-the-Huntsman#tab=summary
19,Taken 2,"$377,807,404","$139,854,287","$237,953,117",37.02%,Taken 2,https://www.the-numbers.com/movie/Taken-2#tab=summary
20,Hotel Transylvania,"$377,369,679","$148,313,048","$229,056,631",39.30%,Hotel Transylvania,https://www.the-numbers.com/movie/Hotel-Transylvania#tab=summary
21,Dr. Seuss’ The Lorax,"$351,097,803","$214,151,550","$136,946,253",60.99%,Dr. Seuss’ The Lorax,https://www.the-numbers.com/movie/Lorax-The#tab=summary
22,Journey 2: The Mysterious Island,"$318,146,162","$103,860,290","$214,285,872",32.65%,Journey 2: The Myste,https://www.the-numbers.com/movie/Journey-2-Mysterious-Island#tab=summary
23,Battleship,"$313,477,717","$65,233,400","$248,244,317",20.81%,Battleship,https://www.the-numbers.com/movie/Battleship#tab=summary
24,The Expendables 2,"$311,979,256","$85,028,192","$226,951,064",27.25%,The Expendables 2,https://www.the-numbers.com/movie/Expendables-2-The#tab=summary
25,Rise of the Guardians,"$306,941,670","$103,412,758","$203,528,912",33.69%,Rise of the Guardian,https://www.the-numbers.com/movie/Rise-of-the-Guardians#tab=summary
26,Wrath of the Titans,"$305,270,083","$83,670,083","$221,600,000",27.41%,Wrath of the Titans,https://www.the-numbers.com/movie/Wrath-of-the-Titans#tab=summary
27,John Carter,"$282,778,100","$73,058,679","$209,719,421",25.84%,John Carter,https://www.the-numbers.com/movie/John-Carter-of-Mars#tab=summary
28,The Bourne Legacy,"$280,355,920","$113,203,870","$167,152,050",40.38%,The Bourne Legacy,https://www.the-numbers.com/movie/Bourne-Legacy-The#tab=summary
29,Lincoln,"$273,346,281","$182,207,973","$91,138,308",66.66%,Lincoln,https://www.the-numbers.com/movie/Lincoln#tab=summary
