Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Avengers: Endgame,"$2,717,503,922","$858,373,000","$1,859,130,922",31.59%,Avengers: Endgame,https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary
2,The Lion King,"$1,661,454,403","$543,638,043","$1,117,816,360",32.72%,The Lion King,https://www.the-numbers.com/movie/Lion-King-The-(Live-Action)-(2019)#tab=summary
3,Frozen II,"$1,451,653,316","$477,373,578","$974,279,738",32.88%,Frozen II,https://www.the-numbers.com/movie/Frozen-II-(2019)#tab=summary
4,Spider-Man: Far From Home,"$1,132,298,674","$391,362,492","$740,936,182",34.56%,Spider-Man: Far From,https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)#tab=summary
5,Captain Marvel,"$1,129,576,094","$426,829,839","$702,746,255",37.79%,Captain Marvel,https://www.the-numbers.com/movie/Captain-Marvel-(2019)#tab=summary
6,Joker,"$1,078,751,311","$335,451,311","$743,300,000",31.10%,Joker,https://www.the-numbers.com/movie/Joker-(2019)#tab=summary
7,Toy Story 4,"$1,071,177,215","$434,038,008","$637,139,207",40.52%,Toy Story 4,https://www.the-numbers.com/movie/Toy-Story-4-(2019)#tab=summary
8,Star Wars: The Rise of Skywalker,"$1,069,951,814","$515,202,542","$554,749,272",48.15%,Star Wars: The Rise ,https://www.the-numbers.com/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary
9,Aladdin,"$1,042,126,107","$355,559,216","$686,566,891",34.12%,Aladdin,https://www.the-numbers.com/movie/Aladdin-(2019)#tab=summary
10,Jumanji: The Next Level,"$792,472,668","$316,831,246","$475,641,422",39.98%,Jumanji: The Next Le,https://www.the-numbers.com/movie/Jumanji-The-Next-Level#tab=summary
11,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935","$586,775,991",22.87%,Fast & Furious Prese,https://www.the-numbers.com/movie/Fast-and-Furious-Presents-Hobbs-and-Shaw-(2019)#tab=summary
