Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076","$858,614,996",22.23%,Transformers: Age of,https://www.the-numbers.com/movie/Transformers-Age-of-Extinction#tab=summary
2,The Hobbit: The Battle of the Five Armies,"$940,323,039","$255,119,788","$685,203,251",27.13%,The Hobbit: The Batt,https://www.the-numbers.com/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary
3,Guardians of the Galaxy,"$770,882,395","$333,714,112","$437,168,283",43.29%,Guardians of the Gal,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary
4,The Hunger Games: Mockingjay - Part 1,"$766,575,131","$337,135,885","$429,439,246",43.98%,The Hunger Games: Mo,https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary
5,Maleficent,"$758,536,735","$241,407,328","$517,129,407",31.83%,Maleficent,https://www.the-numbers.com/movie/Maleficent#tab=summary
6,X-Men: Days of Future Past,"$747,862,775","$233,921,534","$513,941,241",31.28%,X-Men: Days of Futur,https://www.the-numbers.com/movie/X-Men-Days-of-Future-Past#tab=summary
7,Captain America: The Winter Soldier,"$714,401,889","$259,746,958","$454,654,931",36.36%,Captain America: The,https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary
8,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589","$502,098,977",29.35%,Dawn of the Planet o,https://www.the-numbers.com/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary
9,The Amazing Spider-Man 2,"$709,672,746","$203,530,343","$506,142,403",28.68%,The Amazing Spider-M,https://www.the-numbers.com/movie/Amazing-Spider-Man-2-The#tab=summary
10,Big Hero 6,"$646,584,368","$222,527,828","$424,056,540",34.42%,Big Hero 6,https://www.the-numbers.com/movie/Big-Hero-6#tab=summary
11,Interstellar,"$641,664,128","$203,225,563","$438,438,565",31.67%,Interstellar,https://www.the-numbers.com/movie/Interstellar-(2014)#tab=summary
