Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Pirates of the Caribbean: Dead Man’s Chest,"$1,066,179,725","$423,315,812","$642,863,913",39.70%,Pirates of the Carib,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest#tab=summary
2,The Da Vinci Code,"$767,820,459","$217,536,138","$550,284,321",28.33%,The Da Vinci Code,https://www.the-numbers.com/movie/Da-Vinci-Code-The#tab=summary
3,Ice Age: The Meltdown,"$651,899,282","$195,330,621","$456,568,661",29.96%,Ice Age: The Meltdow,https://www.the-numbers.com/movie/Ice-Age-The-Meltdown#tab=summary
4,Casino Royale,"$594,420,216","$167,365,000","$427,055,216",28.16%,Casino Royale,https://www.the-numbers.com/movie/Casino-Royale-(2006)#tab=summary
5,Night at the Museum,"$579,446,407","$250,863,268","$328,583,139",43.29%,Night at the Museum,https://www.the-numbers.com/movie/Night-at-the-Museum#tab=summary
6,Cars,"$461,630,558","$244,082,982","$217,547,576",52.87%,Cars,https://www.the-numbers.com/movie/Cars#tab=summary
7,X-Men: The Last Stand,"$459,260,946","$234,362,462","$224,898,484",51.03%,X-Men: The Last Stan,https://www.the-numbers.com/movie/X-Men-The-Last-Stand#tab=summary
8,Mission: Impossible III,"$399,387,745","$133,501,348","$265,886,397",33.43%,Mission: Impossible ,https://www.the-numbers.com/movie/Mission-Impossible-III#tab=summary
9,Superman Returns,"$391,081,192","$200,120,000","$190,961,192",51.17%,Superman Returns,https://www.the-numbers.com/movie/Superman-Returns#tab=summary
10,Happy Feet,"$385,000,315","$198,000,317","$186,999,998",51.43%,Happy Feet,https://www.the-numbers.com/movie/Happy-Feet#tab=summary
11,Over the Hedge,"$343,397,247","$155,019,340","$188,377,907",45.14%,Over the Hedge,https://www.the-numbers.com/movie/Over-the-Hedge#tab=summary
12,The Devil Wears Prada,"$326,073,155","$124,740,460","$201,332,695",38.26%,The Devil Wears Prad,https://www.the-numbers.com/movie/Devil-Wears-Prada-The-(2006)#tab=summary
13,The Pursuit of Happyness,"$307,311,093","$162,586,036","$144,725,057",52.91%,The Pursuit of Happy,https://www.the-numbers.com/movie/Pursuit-of-Happyness-The#tab=summary
14,The Departed,"$289,660,619","$132,384,315","$157,276,304",45.70%,The Departed,https://www.the-numbers.com/movie/Departed-The-(2006)#tab=summary
15,Borat,"$261,443,242","$128,505,958","$132,937,284",49.15%,Borat,https://www.the-numbers.com/movie/Borat#tab=summary
16,Eragon,"$249,488,115","$75,030,163","$174,457,952",30.07%,Eragon,https://www.the-numbers.com/movie/Eragon#tab=summary
17,Click,"$237,685,089","$137,355,633","$100,329,456",57.79%,Click,https://www.the-numbers.com/movie/Click#tab=summary
18,The Break-Up,"$205,727,307","$118,703,275","$87,024,032",57.70%,The Break-Up,https://www.the-numbers.com/movie/Break-Up-The#tab=summary
19,The Holiday,"$204,920,447","$63,280,000","$141,640,447",30.88%,The Holiday,https://www.the-numbers.com/movie/Holiday-The#tab=summary
20,Open Season,"$191,932,158","$85,105,259","$106,826,899",44.34%,Open Season,https://www.the-numbers.com/movie/Open-Season-(2006)#tab=summary
21,Inside Man,"$185,798,265","$88,634,237","$97,164,028",47.70%,Inside Man,https://www.the-numbers.com/movie/Inside-Man#tab=summary
22,Poseidon,"$181,674,817","$60,674,817","$121,000,000",33.40%,Poseidon,https://www.the-numbers.com/movie/Poseidon#tab=summary
23,Déjà Vu,"$181,038,616","$64,038,616","$117,000,000",35.37%,Déjà Vu,https://www.the-numbers.com/movie/Deja-Vu-(2006)#tab=summary
24,Flushed Away,"$179,357,126","$64,665,672","$114,691,454",36.05%,Flushed Away,https://www.the-numbers.com/movie/Flushed-Away#tab=summary
