Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Avatar: The Way of Water,"$2,322,902,023","$688,809,501","$1,634,092,522",29.65%,Avatar: The Way of W,https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=summary
2,Top Gun: Maverick,"$1,452,163,362","$718,732,821","$733,430,541",49.49%,Top Gun: Maverick,https://www.the-numbers.com/movie/Top-Gun-Maverick-(2022)#tab=summary
3,Jurassic World: Dominion,"$1,004,004,592","$376,851,080","$627,153,512",37.53%,Jurassic World: Domi,https://www.the-numbers.com/movie/Jurassic-World-Dominion-(2022)#tab=summary
4,Doctor Strange in the Multiverse of Madness,"$952,224,986","$411,331,607","$540,893,379",43.20%,Doctor Strange in th,https://www.the-numbers.com/movie/Doctor-Strange-in-the-Multiverse-of-Madness-(2022)#tab=summary
5,Minions: The Rise of Gru,"$937,706,494","$370,549,695","$567,156,799",39.52%,Minions: The Rise of,https://www.the-numbers.com/movie/Minions-The-Rise-of-Gru-(2021)#tab=summary
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060","$405,379,776",52.82%,Black Panther: Wakan,https://www.the-numbers.com/movie/Black-Panther-Wakanda-Forever-(2022)#tab=summary
7,The Batman,"$772,512,903","$369,612,903","$402,900,000",47.85%,The Batman,https://www.the-numbers.com/movie/Batman-The-(2021)#tab=summary
8,Thor: Love and Thunder,"$760,928,081","$343,256,830","$417,671,251",45.11%,Thor: Love and Thund,https://www.the-numbers.com/movie/Thor-Love-and-Thunder-(2022)#tab=summary
9,Water Gate Bridge (长津湖之水门桥),"$515,456,809",,"$515,456,809",,Water Gate Bridge (长,https://www.the-numbers.com/movie/Water-Gate-Bridge-(2022-China)#tab=summary
10,Puss in Boots: The Last Wish,"$484,329,137","$186,090,535","$298,238,602",38.42%,Puss in Boots: The L,https://www.the-numbers.com/movie/Puss-in-Boots-The-Last-Wish-(2022)#tab=summary
11,Moon Man (独行月球),"$460,303,199",,"$460,303,199",,Moon Man (独行月球),https://www.the-numbers.com/movie/Moon-Man-(2022-China)#tab=summary
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844","$311,300,000",23.54%,Fantastic Beasts: Th,https://www.the-numbers.com/movie/Fantastic-Beasts-The-Secrets-of-Dumbledore-(2021)#tab=summary
13,Uncharted,"$407,141,258","$148,648,820","$258,492,438",36.51%,Uncharted,https://www.the-numbers.com/movie/Uncharted-(2022)#tab=summary
14,Sonic the Hedgehog 2,"$403,824,597","$190,872,904","$212,951,693",47.27%,Sonic the Hedgehog 2,https://www.the-numbers.com/movie/Sonic-the-Hedgehog-2-(2022)#tab=summary
15,Black Adam,"$393,583,344","$168,283,344","$225,300,000",42.76%,Black Adam,https://www.the-numbers.com/movie/Black-Adam-(2022)#tab=summary
16,Ji Su Shi Ke (这个杀手不太冷静),"$330,321,790","$185,882","$330,135,908",0.06%,Ji Su Shi Ke (这个杀手不太,https://www.the-numbers.com/movie/Ji-Su-Shi-Ke-(2022-China)#tab=summary
17,Suzume (すずめの戸締まり),"$314,992,206","$10,932,037","$304,060,169",3.47%,Suzume (すずめの戸締まり),https://www.the-numbers.com/movie/Suzume-(2022-Japan)#tab=summary
18,Elvis,"$288,116,153","$151,416,153","$136,700,000",52.55%,Elvis,https://www.the-numbers.com/movie/Elvis-(2021)#tab=summary
19,The First Slam Dunk,"$281,094,722","$1,291,869","$279,802,853",0.46%,The First Slam Dunk,https://www.the-numbers.com/movie/First-Slam-Dunk-The-(2022-Japan)#tab=summary
20,The Bad Guys,"$250,832,335","$97,459,240","$153,373,095",38.85%,The Bad Guys,https://www.the-numbers.com/movie/Bad-Guys-The#tab=summary
21,Bullet Train,"$238,534,963","$103,368,602","$135,166,361",43.33%,Bullet Train,https://www.the-numbers.com/movie/Bullet-Train-(2022)#tab=summary
22,Rénshēng dàshì (人生大事),"$236,170,943",,"$236,170,943",,Rénshēng dàshì (人生大事,https://www.the-numbers.com/movie/Rensheng-Dashii-(2022-China)#tab=summary
23,Home Coming (万里归途),"$219,150,259",,"$219,150,259",,Home Coming (万里归途),https://www.the-numbers.com/movie/Home-Coming-(2022-China)#tab=summary
24,Lightyear,"$218,878,024","$118,307,188","$100,570,836",54.05%,Lightyear,https://www.the-numbers.com/movie/Lightyear-(2022)#tab=summary
25,Smile,"$217,038,821","$105,935,048","$111,103,773",48.81%,Smile,https://www.the-numbers.com/movie/Smile-(2022)#tab=summary
26,DC League of Super Pets,"$207,557,117","$93,657,117","$113,900,000",45.12%,DC League of Super P,https://www.the-numbers.com/movie/DC-League-of-Super-Pets-(2022)#tab=summary
27,Qi Ji Nian Dai (奇迹),"$204,449,108",,"$204,449,108",,Qi Ji Nian Dai (奇迹),https://www.the-numbers.com/movie/Qi-Ji-Nian-Dai-(2022-China)#tab=summary
28,One Piece Film: Red,"$201,387,600","$12,768,073","$188,619,527",6.34%,One Piece Film: Red,https://www.the-numbers.com/movie/One-Piece-Film-Red-(2022-Japan)#tab=summary
29,The Lost City,"$191,588,189","$105,344,029","$86,244,160",54.98%,The Lost City,https://www.the-numbers.com/movie/Lost-City-The-(2022)#tab=summary
30,M3GAN,"$181,796,517","$95,159,005","$86,637,512",52.34%,M3GAN,https://www.the-numbers.com/movie/M3GAN#tab=summary
31,Nope,"$171,932,082","$123,277,080","$48,655,002",71.70%,Nope,https://www.the-numbers.com/movie/Nope-(2022)#tab=summary
32,Ticket to Paradise,"$168,576,981","$68,275,985","$100,300,996",40.50%,Ticket to Paradise,https://www.the-numbers.com/movie/Ticket-to-Paradise-(2022)#tab=summary
33,Morbius,"$162,759,437","$73,865,530","$88,893,907",45.38%,Morbius,https://www.the-numbers.com/movie/Morbius-(2020)#tab=summary
34,The Black Phone,"$161,441,914","$90,123,230","$71,318,684",55.82%,The Black Phone,https://www.the-numbers.com/movie/Black-Phone-The-(2022)#tab=summary
35,K.G.F: Chapter 2,"$159,887,058","$6,604,562","$153,282,496",4.13%,K.G.F: Chapter 2,https://www.the-numbers.com/movie/K-G-F-Chapter-2-(2022-India)#tab=summary
36,RRR,"$150,511,517","$14,473,124","$136,038,393",9.62%,RRR,https://www.the-numbers.com/movie/RRR-(2022-India)#tab=summary
