Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
74,Edge of Darkness,"$82,812,456","$43,313,890","$39,498,566",52.30%,Edge of Darkness,https://www.the-numbers.com/movie/Edge-of-Darkness#tab=summary
75,Letters to Juliet,"$82,148,538","$53,032,453","$29,116,085",64.56%,Letters to Juliet,https://www.the-numbers.com/movie/Letters-to-Juliet#tab=summary
76,Vampires Suck,"$81,424,988","$36,661,504","$44,763,484",45.02%,Vampires Suck,https://www.the-numbers.com/movie/Vampires-Suck#tab=summary
77,Diary of a Wimpy Kid,"$76,954,311","$64,003,625","$12,950,686",83.17%,Diary of a Wimpy Kid,https://www.the-numbers.com/movie/Diary-of-a-Wimpy-Kid#tab=summary
78,Easy A,"$76,200,721","$58,401,464","$17,799,257",76.64%,Easy A,https://www.the-numbers.com/movie/Easy-A#tab=summary
79,The Back-up Plan,"$75,281,179","$37,490,007","$37,791,172",49.80%,The Back-up Plan,https://www.the-numbers.com/movie/Back-up-Plan-The#tab=summary
80,Takers,"$70,587,268","$57,744,720","$12,842,548",81.81%,Takers,https://www.the-numbers.com/movie/Takers-(2010)#tab=summary
81,The Last Exorcism,"$70,165,900","$41,034,350","$29,131,550",58.48%,The Last Exorcism,https://www.the-numbers.com/movie/Last-Exorcism-The#tab=summary
82,Hubble 3D,"$68,535,491","$52,840,185","$15,695,306",77.10%,Hubble 3D,https://www.the-numbers.com/movie/Hubble-3D#tab=summary
83,Skyline,"$68,264,973","$21,416,355","$46,848,618",31.37%,Skyline,https://www.the-numbers.com/movie/Skyline#tab=summary
84,The American,"$67,950,723","$35,606,376","$32,344,347",52.40%,The American,https://www.the-numbers.com/movie/American-The#tab=summary
85,Legion,"$67,647,574","$40,168,080","$27,479,494",59.38%,Legion,https://www.the-numbers.com/movie/Legion#tab=summary
86,The Next Three Days,"$67,255,916","$21,148,651","$46,107,265",31.45%,The Next Three Days,https://www.the-numbers.com/movie/Next-Three-Days-The-(2010)#tab=summary
87,Fei Cheng Wu Rao 2,"$66,009,013","$182,517","$65,826,496",0.28%,Fei Cheng Wu Rao 2,https://www.the-numbers.com/movie/Fei-Cheng-Wu-Rao-2-(2010-China)#tab=summary
88,Hot Tub Time Machine,"$65,967,750","$50,269,859","$15,697,891",76.20%,Hot Tub Time Machine,https://www.the-numbers.com/movie/Hot-Tub-Time-Machine#tab=summary
89,The Ghost Writer,"$65,532,491","$15,541,549","$49,990,942",23.72%,The Ghost Writer,https://www.the-numbers.com/movie/Ghost-Writer-The#tab=summary
90,Haeundae,"$64,733,391",,"$64,733,391",,Haeundae,https://www.the-numbers.com/movie/Haeundae-(2009-South-Korea)#tab=summary
91,Devil,"$63,354,114","$33,679,655","$29,674,459",53.16%,Devil,https://www.the-numbers.com/movie/Devil#tab=summary
92,Why Did I Get Married Too?,"$60,831,067","$60,095,852","$735,215",98.79%,Why Did I Get Marrie,https://www.the-numbers.com/movie/Why-Did-I-Get-Married-Too#tab=summary
93,Secretariat,"$60,376,247","$59,699,513","$676,734",98.88%,Secretariat,https://www.the-numbers.com/movie/Secretariat#tab=summary
94,127 Hours,"$60,217,171","$18,335,230","$41,881,941",30.45%,127 Hours,https://www.the-numbers.com/movie/127-Hours-(2010)#tab=summary
95,Morning Glory,"$59,795,070","$31,011,732","$28,783,338",51.86%,Morning Glory,https://www.the-numbers.com/movie/Morning-Glory#tab=summary
96,Remember Me,"$56,506,120","$19,068,240","$37,437,880",33.75%,Remember Me,https://www.the-numbers.com/movie/Remember-Me#tab=summary
97,The Crazies,"$56,445,534","$39,123,589","$17,321,945",69.31%,The Crazies,https://www.the-numbers.com/movie/Crazies-The-(2010)#tab=summary
98,Cop Out,"$55,909,910","$44,875,481","$11,034,429",80.26%,Cop Out,https://www.the-numbers.com/movie/Cop-Out#tab=summary
