Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Ne Zha 2 (哪吒之魔童闹海),"$2,001,155,094","$23,251,218","$1,977,903,876",1.16%,Ne Zha 2 (哪吒之魔童闹海),https://www.the-numbers.com/movie/Ne-Zha-2-(2025-China)#tab=summary
2,Lilo & Stitch,"$1,037,928,575","$423,778,855","$614,149,720",40.83%,Lilo & Stitch,https://www.the-numbers.com/movie/Lilo-and-Stitch-(2025)#tab=summary
3,A Minecraft Movie,"$957,160,145","$423,949,195","$533,210,950",44.29%,A Minecraft Movie,https://www.the-numbers.com/movie/Minecraft-Movie-A-(2025)#tab=summary
4,Jurassic World Rebirth,"$868,819,617","$339,640,400","$529,179,217",39.09%,Jurassic World Rebir,https://www.the-numbers.com/movie/Jurassic-World-Rebirth-(2025)#tab=summary
5,Demon Slayer -Kimetsu no Yaiba- The Movie: Infi…,"$667,990,863","$133,676,559","$534,314,304",20.01%,Demon Slayer -Kimets,https://www.the-numbers.com/movie/Demon-Slayer-Kimetsu-no-Yaiba-The-Movie-Infinity-Castle-(2025-Japan)#tab=summary
6,How to Train Your Dragon,"$636,198,035","$262,958,100","$373,239,935",41.33%,How to Train Your Dr,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-(2025)#tab=summary
7,F1: The Movie,"$631,127,111","$189,527,111","$441,600,000",30.03%,F1: The Movie,https://www.the-numbers.com/movie/F1-The-Movie-(2025)#tab=summary
8,Superman,"$616,545,926","$354,184,465","$262,361,461",57.45%,Superman,https://www.the-numbers.com/movie/Superman-(2025)#tab=summary
9,Mission: Impossible—The Final Reckoning,"$591,353,074","$197,413,515","$393,939,559",33.38%,Mission: Impossible—,https://www.the-numbers.com/movie/Mission-Impossible-The-Final-Reckoning-(2025)#tab=summary
10,The Fantastic Four: First Steps,"$520,636,922","$274,286,610","$246,350,312",52.68%,The Fantastic Four: ,https://www.the-numbers.com/movie/Fantastic-Four-The-First-Steps-(2025)#tab=summary
11,The Conjuring: Last Rites,"$492,071,017","$177,703,202","$314,367,815",36.11%,The Conjuring: Last ,https://www.the-numbers.com/movie/Conjuring-The-Last-Rites-(2025)#tab=summary
12,Detective Chinatown 1900 (唐人街探案1900),"$454,950,143",,"$454,950,143",,Detective Chinatown ,https://www.the-numbers.com/movie/Detective-Chinatown-1900-(2025-China)#tab=summary
13,Captain America: Brave New World,"$413,640,021","$200,500,001","$213,140,020",48.47%,Captain America: Bra,https://www.the-numbers.com/movie/Captain-America-Brave-New-World-(2025)#tab=summary
14,Thunderbolts*,"$382,436,365","$190,274,328","$192,162,037",49.75%,Thunderbolts*,https://www.the-numbers.com/movie/Thunderbolts-(2025)#tab=summary
15,Dead To Rights (南京照相馆),"$381,818,614",,"$381,818,614",,Dead To Rights (南京照相,https://www.the-numbers.com/movie/Dead-To-Rights-(2025-China)#tab=summary
16,Sinners,"$367,697,567","$279,653,537","$88,044,030",76.06%,Sinners,https://www.the-numbers.com/movie/Sinners-(2025)#tab=summary
17,Final Destination: Bloodlines,"$315,630,814","$138,130,814","$177,500,000",43.76%,Final Destination: B,https://www.the-numbers.com/movie/Final-Destination-Bloodlines-(2025)#tab=summary
18,Weapons,"$268,040,530","$151,550,044","$116,490,486",56.54%,Weapons,https://www.the-numbers.com/movie/Weapons-(2025)#tab=summary
19,Evil Unbound (731),"$247,175,759","$410,904","$246,764,855",0.17%,Evil Unbound (731),https://www.the-numbers.com/movie/Evil-Unbound-(2025-China)#tab=summary
20,The Bad Guys 2,"$237,290,356","$82,590,470","$154,699,886",34.81%,The Bad Guys 2,https://www.the-numbers.com/movie/Bad-Guys-2-The-(2025)#tab=summary
21,Nobody (浪浪山小妖怪),"$215,095,055",,"$215,095,055",,Nobody (浪浪山小妖怪),https://www.the-numbers.com/movie/Nobody-(2025-China)#tab=summary
22,Disney’s Snow White,"$205,679,463","$87,203,963","$118,475,500",42.40%,Disney’s Snow White,https://www.the-numbers.com/movie/Disneys-Snow-White-(2025)#tab=summary
23,One Battle After Another,"$196,825,983","$69,629,424","$127,196,559",35.38%,One Battle After Ano,https://www.the-numbers.com/movie/One-Battle-After-Another-(2025)#tab=summary
24,Detective Conan: One-eyed Flashback (名探偵コナン　隻眼の…,"$162,042,074",,"$162,042,074",,Detective Conan: One,https://www.the-numbers.com/movie/Detective-Conan-One-eyed-Flashback-(2025-Japan)#tab=summary
25,Chainsaw Man — The Movie: Reze Arc (チェンソーマン レゼ篇…,"$159,339,688","$39,345,688","$119,994,000",24.69%,Chainsaw Man — The M,https://www.the-numbers.com/movie/Chainsaw-Man-The-Movie-Reze-Arc-(2025-Japan)#tab=summary
26,The Shadow’s Edge,"$158,671,350",,"$158,671,350",,The Shadow’s Edge,https://www.the-numbers.com/movie/Shadows-Edge-The-(2025-Hong-Kong)#tab=summary
27,Creation of the Gods II: Demonic Confrontation …,"$158,047,338","$1,853,487","$156,193,851",1.17%,Creation of the Gods,https://www.the-numbers.com/movie/Creation-of-the-Gods-II-Demonic-Confrontation-(2025-China)#tab=summary
28,Elio,"$154,095,336","$72,987,454","$81,107,882",47.37%,Elio,https://www.the-numbers.com/movie/Elio-(2025)#tab=summary
29,Freakier Friday,"$153,176,952","$94,186,236","$58,990,716",61.49%,Freakier Friday,https://www.the-numbers.com/movie/Freakier-Friday-(2025)#tab=summary
30,28 Years Later,"$150,006,753","$70,446,897","$79,559,856",46.96%,28 Years Later,https://www.the-numbers.com/movie/28-Years-Later-(2025)#tab=summary
31,Dog Man,"$145,601,687","$97,970,355","$47,631,332",67.29%,Dog Man,https://www.the-numbers.com/movie/Dog-Man-(2025)#tab=summary
32,Tron: Ares,"$140,248,514","$72,017,415","$68,231,099",51.35%,Tron: Ares,https://www.the-numbers.com/movie/Tron-Ares-(2025)#tab=summary
33,Mickey 17,"$133,347,147","$46,047,147","$87,300,000",34.53%,Mickey 17,https://www.the-numbers.com/movie/Mickey-17-(2025)#tab=summary
34,From the World of John Wick: Ballerina,"$131,776,374","$58,051,327","$73,725,047",44.05%,From the World of Jo,https://www.the-numbers.com/movie/From-the-World-of-John-Wick-Ballerina-(2025)#tab=summary
35,Bridget Jones: Mad About The Boy,"$130,124,479",,"$130,124,479",,Bridget Jones: Mad A,https://www.the-numbers.com/movie/Bridget-Jones-Mad-About-The-Boy-(2025)#tab=summary
36,Black Phone 2,"$122,605,116","$71,732,950","$50,872,166",58.51%,Black Phone 2,https://www.the-numbers.com/movie/Black-Phone-2-(2025)#tab=summary
37,Smurfs,"$120,621,078","$31,075,170","$89,545,908",25.76%,Smurfs,https://www.the-numbers.com/movie/Smurfs-(2025)#tab=summary
38,Karate Kid: Legends,"$114,519,291","$52,547,391","$61,971,900",45.89%,Karate Kid: Legends,https://www.the-numbers.com/movie/Karate-Kid-Legends-(2025)#tab=summary
39,Materialists,"$106,491,262","$36,503,614","$69,987,648",34.28%,Materialists,https://www.the-numbers.com/movie/Materialists-(2025)#tab=summary
40,Boonie Bears: Future Reborn (熊出没·重启未来)…,"$104,582,715",,"$104,582,715",,Boonie Bears: Future,https://www.the-numbers.com/movie/Boonie-Bears-Future-Reborn-(2025-China)#tab=summary
41,The Accountant 2,"$103,223,366","$65,523,366","$37,700,000",63.48%,The Accountant 2,https://www.the-numbers.com/movie/Accountant-2-The-(2025)#tab=summary
42,Downton Abbey: The Grand Finale,"$102,183,612","$44,996,590","$57,187,022",44.04%,Downton Abbey: The G,https://www.the-numbers.com/movie/Downton-Abbey-The-Grand-Finale-(2025-United-Kingdom)#tab=summary
43,The Naked Gun,"$102,053,805","$52,647,396","$49,406,409",51.59%,The Naked Gun,https://www.the-numbers.com/movie/Naked-Gun-The-(2025)#tab=summary
44,A Working Man,"$98,011,278","$37,000,711","$61,010,567",37.75%,A Working Man,https://www.the-numbers.com/movie/Working-Man-A-(2025)#tab=summary
45,The Amateur,"$95,953,275","$40,759,635","$55,193,640",42.48%,The Amateur,https://www.the-numbers.com/movie/Amateur-The-(2025)#tab=summary
46,Kokuho,"$95,000,000",,"$95,000,000",,Kokuho,https://www.the-numbers.com/movie/Kokuho-(2025-Japan)#tab=summary
47,Predator: Badlands,"$90,846,041","$51,592,031","$39,254,010",56.79%,Predator: Badlands,https://www.the-numbers.com/movie/Predator-Badlands-(2025)#tab=summary
48,Legends of the Condor Heroes: The Gallants (射雕英…,"$89,406,052","$671,343","$88,734,709",0.75%,Legends of the Condo,https://www.the-numbers.com/movie/Legends-of-the-Condor-Heroes-The-Gallants-(2025-China)#tab=summary
49,The Lychee Road (长安的荔枝),"$86,734,269",,"$86,734,269",,The Lychee Road (长安的,https://www.the-numbers.com/movie/Lychee-Road-The-(2025-China)#tab=summary
50,The Volunteers: Peace at Last (志愿军浴血和平)…,"$79,053,099",,"$79,053,099",,The Volunteers: Peac,https://www.the-numbers.com/movie/Volunteers-Peace-at-Last-The-(2025-China)#tab=summary
51,The King of Kings,"$77,792,660","$60,270,106","$17,522,554",77.48%,The King of Kings,https://www.the-numbers.com/movie/King-of-Kings-The-(2025-South-Korea)#tab=summary
52,Gabby’s Dollhouse: The Movie,"$77,626,500","$31,928,805","$45,697,695",41.13%,Gabby’s Dollhouse: T,https://www.the-numbers.com/movie/Gabbys-Dollhouse-The-Movie-(2025)#tab=summary
53,Regretting You,"$72,962,167","$40,562,167","$32,400,000",55.59%,Regretting You,https://www.the-numbers.com/movie/Regretting-You-(2025)#tab=summary
54,The Legend of Hei 2 (罗小黑战记2),"$67,216,848","$365,480","$66,851,368",0.54%,The Legend of Hei 2 ,https://www.the-numbers.com/movie/Legend-of-Hei-2-The-(2025-China)#tab=summary
55,The Monkey,"$63,683,002","$39,724,912","$23,958,090",62.38%,The Monkey,https://www.the-numbers.com/movie/Monkey-The-(2025)#tab=summary
56,I Know What You Did Last Summer,"$63,354,791","$32,165,634","$31,189,157",50.77%,I Know What You Did ,https://www.the-numbers.com/movie/I-Know-What-You-Did-Last-Summer-(2025)#tab=summary
57,The Long Walk,"$61,800,839","$35,163,573","$26,637,266",56.90%,The Long Walk,https://www.the-numbers.com/movie/Long-Walk-The-(2025)#tab=summary
58,Den of Thieves 2: Pantera,"$58,371,507","$36,015,016","$22,356,491",61.70%,Den of Thieves 2: Pa,https://www.the-numbers.com/movie/Den-of-Thieves-2-Pantera-(2025)#tab=summary
59,The Dumpling Queen (水饺皇后),"$52,777,038",,"$52,777,038",,The Dumpling Queen (,https://www.the-numbers.com/movie/Dumpling-Queen-The-(2025-China)#tab=summary
60,She’s Got No Name (酱园弄·悬案),"$52,327,026",,"$52,327,026",,She’s Got No Name (酱,https://www.the-numbers.com/movie/Shes-Got-No-Name-(2025-China)#tab=summary
61,The Stage (戏台),"$51,528,010",,"$51,528,010",,The Stage (戏台),https://www.the-numbers.com/movie/Stage-The-(2025-China)#tab=summary
62,The Roses,"$51,510,794","$15,298,844","$36,211,950",29.70%,The Roses,https://www.the-numbers.com/movie/Roses-The-(2025-United-Kingdom)#tab=summary
63,One of Them Days,"$51,416,122","$50,054,690","$1,361,432",97.35%,One of Them Days,https://www.the-numbers.com/movie/One-of-Them-Days-(2025)#tab=summary
64,Row to Win (浪浪人生),"$50,427,608",,"$50,427,608",,Row to Win (浪浪人生),https://www.the-numbers.com/movie/Row-to-Win-(2025-China)#tab=summary
65,Until Dawn,"$50,174,192","$20,174,192","$30,000,000",40.21%,Until Dawn,https://www.the-numbers.com/movie/Until-Dawn-(2025)#tab=summary
66,Dongji Island (东极岛),"$50,155,648","$151,957","$50,003,691",0.30%,Dongji Island (东极岛),https://www.the-numbers.com/movie/Dongji-Island-(2025-China)#tab=summary
67,Taylor Swift | The Official Release Party of a …,"$50,062,774","$34,062,774","$16,000,000",68.04%,Taylor Swift | The O,https://www.the-numbers.com/movie/Taylor-Swift-The-Official-Release-Party-of-a-Showgirl-(2025)#tab=summary
68,Operation Hadal (蛟龙行动),"$49,794,682",,"$49,794,682",,Operation Hadal (蛟龙行,https://www.the-numbers.com/movie/Operation-Hadal-(2025-China)#tab=summary
69,Flight Risk,"$48,703,174","$29,783,527","$18,919,647",61.15%,Flight Risk,https://www.the-numbers.com/movie/Flight-Risk-(2025)#tab=summary
70,A Writer’s Odyssey 2 (刺杀小说家2),"$48,205,159",,"$48,205,159",,A Writer’s Odyssey 2,https://www.the-numbers.com/movie/Writers-Odyssey-2-A-(2025-China)#tab=summary
71,Black Bag,"$43,881,673","$21,474,035","$22,407,638",48.94%,Black Bag,https://www.the-numbers.com/movie/Black-Bag-(2025)#tab=summary
72,The Phoenician Scheme,"$40,481,339","$19,555,015","$20,926,324",48.31%,The Phoenician Schem,https://www.the-numbers.com/movie/Phoenician-Scheme-The-(2025)#tab=summary
73,Nobody 2,"$40,002,715","$21,604,985","$18,397,730",54.01%,Nobody 2,https://www.the-numbers.com/movie/Nobody-2-(2025)#tab=summary
74,Springsteen: Deliver Me From Nowhere,"$39,289,935","$21,153,305","$18,136,630",53.84%,Springsteen: Deliver,https://www.the-numbers.com/movie/Springsteen-Deliver-Me-From-Nowhere-(2025)#tab=summary
75,Bring Her Back,"$39,092,854","$19,323,752","$19,769,102",49.43%,Bring Her Back,https://www.the-numbers.com/movie/Bring-Her-Back-(2025)#tab=summary
76,M3GAN 2.0,"$39,085,942","$24,101,280","$14,984,662",61.66%,M3GAN 2.0,https://www.the-numbers.com/movie/M3GAN-2-0-(2025)#tab=summary
77,Volshebnik Izumrudnogo goroda (Волшебник Изумру…,"$37,953,098",,"$37,953,098",,Volshebnik Izumrudno,https://www.the-numbers.com/movie/Volshebnik-Izumrudnogo-goroda-(2025-Russia)#tab=summary
78,A Gilded Game (猎金·游戏),"$37,341,690",,"$37,341,690",,A Gilded Game (猎金·游戏,https://www.the-numbers.com/movie/Gilded-Game-A-(2025-China)#tab=summary
