Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Captain America: Civil War,"$1,151,899,586","$408,084,349","$743,815,237",35.43%,Captain America: Civ,https://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary
2,Rogue One: A Star Wars Story,"$1,055,083,596","$533,539,991","$521,543,605",50.57%,Rogue One: A Star Wa,https://www.the-numbers.com/movie/Rogue-One-A-Star-Wars-Story#tab=summary
3,Finding Dory,"$1,025,006,125","$486,295,561","$538,710,564",47.44%,Finding Dory,https://www.the-numbers.com/movie/Finding-Dory#tab=summary
4,Zootopia,"$1,018,518,000","$341,268,248","$677,249,752",33.51%,Zootopia,https://www.the-numbers.com/movie/Zootopia-(2016)#tab=summary
5,The Jungle Book,"$950,697,998","$364,001,123","$586,696,875",38.29%,The Jungle Book,https://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary
6,The Secret Life of Pets,"$886,013,000","$369,094,830","$516,918,170",41.66%,The Secret Life of P,https://www.the-numbers.com/movie/Secret-Life-of-Pets-The#tab=summary
7,Batman v Superman: Dawn of Justice,"$874,360,194","$330,360,194","$544,000,000",37.78%,Batman v Superman: D,https://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary
8,Fantastic Beasts and Where to Find Them,"$816,037,575","$234,037,575","$582,000,000",28.68%,Fantastic Beasts and,https://www.the-numbers.com/movie/Fantastic-Beasts-and-Where-to-Find-Them#tab=summary
9,Deadpool,"$781,947,691","$363,070,709","$418,876,982",46.43%,Deadpool,https://www.the-numbers.com/movie/Deadpool#tab=summary
10,Suicide Squad,"$749,200,054","$325,100,054","$424,100,000",43.39%,Suicide Squad,https://www.the-numbers.com/movie/Suicide-Squad#tab=summary
11,Moana,"$684,357,500","$248,757,044","$435,600,456",36.35%,Moana,https://www.the-numbers.com/movie/Moana-(2016)#tab=summary
12,Doctor Strange,"$676,343,174","$232,641,920","$443,701,254",34.40%,Doctor Strange,https://www.the-numbers.com/movie/Doctor-Strange-(2016)#tab=summary
13,Sing,"$631,064,182","$270,329,045","$360,735,137",42.84%,Sing,https://www.the-numbers.com/movie/Sing-(2016)#tab=summary
14,X-Men: Apocalypse,"$542,537,546","$155,442,489","$387,095,057",28.65%,X-Men: Apocalypse,https://www.the-numbers.com/movie/X-Men-Apocalypse-(2016)#tab=summary
15,The Mermaid (美人鱼),"$523,758,236","$3,229,457","$520,528,779",0.62%,The Mermaid (美人鱼),https://www.the-numbers.com/movie/Mermaid-The-(2016-China)#tab=summary
16,Kung Fu Panda 3,"$520,189,225","$143,528,619","$376,660,606",27.59%,Kung Fu Panda 3,https://www.the-numbers.com/movie/Kung-Fu-Panda-3#tab=summary
17,La La Land,"$504,618,524","$151,101,803","$353,516,721",29.94%,La La Land,https://www.the-numbers.com/movie/La-La-Land#tab=summary
18,Warcraft,"$438,899,824","$47,365,290","$391,534,534",10.79%,Warcraft,https://www.the-numbers.com/movie/Warcraft#tab=summary
19,Jason Bourne,"$416,168,316","$162,192,920","$253,975,396",38.97%,Jason Bourne,https://www.the-numbers.com/movie/Jason-Bourne#tab=summary
20,Ice Age: Collision Course,"$402,156,682","$64,063,008","$338,093,674",15.93%,Ice Age: Collision C,https://www.the-numbers.com/movie/Ice-Age-Collision-Course#tab=summary
21,Independence Day: Resurgence,"$384,169,424","$103,144,286","$281,025,138",26.85%,Independence Day: Re,https://www.the-numbers.com/movie/Independence-Day-Resurgence#tab=summary
22,The Legend of Tarzan,"$357,243,061","$126,643,061","$230,600,000",35.45%,The Legend of Tarzan,https://www.the-numbers.com/movie/Legend-of-Tarzan-The#tab=summary
23,Your Name,"$354,753,183","$5,000,181","$349,753,002",1.41%,Your Name,https://www.the-numbers.com/movie/Your-Name-(Japan)#tab=summary
24,The Angry Birds Movie,"$352,288,341","$107,509,366","$244,778,975",30.52%,The Angry Birds Movi,https://www.the-numbers.com/movie/Angry-Birds-Movie-The#tab=summary
25,Trolls,"$342,831,709","$153,856,089","$188,975,620",44.88%,Trolls,https://www.the-numbers.com/movie/Trolls#tab=summary
26,Star Trek Beyond,"$335,673,708","$158,848,340","$176,825,368",47.32%,Star Trek Beyond,https://www.the-numbers.com/movie/Star-Trek-Beyond#tab=summary
27,The Great Wall,"$334,486,852","$45,157,105","$289,329,747",13.50%,The Great Wall,https://www.the-numbers.com/movie/Great-Wall-The#tab=summary
28,Now You See Me 2,"$328,325,007","$65,075,540","$263,249,467",19.82%,Now You See Me 2,https://www.the-numbers.com/movie/Now-You-See-Me-2#tab=summary
29,The Conjuring 2: The Enfield Poltergeist,"$321,370,008","$102,470,008","$218,900,000",31.89%,The Conjuring 2: The,https://www.the-numbers.com/movie/Conjuring-2-The-Enfield-Poltergeist-The#tab=summary
30,Resident Evil: The Final Chapter,"$314,101,190","$26,844,692","$287,256,498",8.55%,Resident Evil: The F,https://www.the-numbers.com/movie/Resident-Evil-The-Final-Chapter#tab=summary
31,Dangal,"$305,149,461","$12,391,761","$292,757,700",4.06%,Dangal,https://www.the-numbers.com/movie/Dangal-(2016-India)#tab=summary
32,Passengers,"$302,239,672","$100,014,699","$202,224,973",33.09%,Passengers,https://www.the-numbers.com/movie/Passengers-(2015)#tab=summary
33,Miss Peregrine’s Home for Peculiar Children,"$295,986,876","$87,242,834","$208,744,042",29.48%,Miss Peregrine’s Hom,https://www.the-numbers.com/movie/Miss-Peregrines-Home-for-Peculiar-Children#tab=summary
34,Alice Through the Looking Glass,"$276,928,112","$77,042,381","$199,885,731",27.82%,Alice Through the Lo,https://www.the-numbers.com/movie/Alice-Through-the-Looking-Glass#tab=summary
35,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,328,374","$82,051,601","$163,276,773",33.45%,Teenage Mutant Ninja,https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows#tab=summary
36,Sully,"$243,870,033","$125,070,033","$118,800,000",51.29%,Sully,https://www.the-numbers.com/movie/Sully#tab=summary
37,Assassin’s Creed,"$240,759,682","$54,647,948","$186,111,734",22.70%,Assassin’s Creed,https://www.the-numbers.com/movie/Assassins-Creed#tab=summary
38,Ghostbusters,"$229,008,658","$128,350,574","$100,658,084",56.05%,Ghostbusters,https://www.the-numbers.com/movie/Ghostbusters-(2016)#tab=summary
39,Hidden Figures,"$228,369,130","$169,607,287","$58,761,843",74.27%,Hidden Figures,https://www.the-numbers.com/movie/Hidden-Figures#tab=summary
40,Inferno,"$219,519,367","$34,343,574","$185,175,793",15.64%,Inferno,https://www.the-numbers.com/movie/Inferno#tab=summary
41,Central Intelligence,"$217,194,805","$127,440,871","$89,753,934",58.68%,Central Intelligence,https://www.the-numbers.com/movie/Central-Intelligence#tab=summary
42,Me Before You,"$208,445,075","$56,245,075","$152,200,000",26.98%,Me Before You,https://www.the-numbers.com/movie/Me-Before-You#tab=summary
43,Bridget Jones’s Baby,"$207,298,383","$24,139,805","$183,158,578",11.64%,Bridget Jones’s Baby,https://www.the-numbers.com/movie/Bridget-Joness-Baby#tab=summary
44,Arrival,"$202,109,476","$100,546,139","$101,563,337",49.75%,Arrival,https://www.the-numbers.com/movie/Arrival-(2016)#tab=summary
45,The BFG,"$199,646,680","$55,483,770","$144,162,910",27.79%,The BFG,https://www.the-numbers.com/movie/BFG-The-(2016)#tab=summary
46,London Has Fallen,"$195,194,085","$62,524,260","$132,669,825",32.03%,London Has Fallen,https://www.the-numbers.com/movie/London-Has-Fallen#tab=summary
47,The Monkey King 2 (西游记之孙悟空三打白骨精)…,"$194,058,503","$709,982","$193,348,521",0.37%,The Monkey King 2 (西,https://www.the-numbers.com/movie/Monkey-King-2-The-(2016-China)#tab=summary
48,Storks,"$183,679,278","$72,679,278","$111,000,000",39.57%,Storks,https://www.the-numbers.com/movie/Storks#tab=summary
49,Du cheng feng yun III,"$182,579,909",,"$182,579,909",,Du cheng feng yun II,https://www.the-numbers.com/movie/Du-cheng-feng-yun-III-(Hong-Kong)#tab=summary
50,Bad Moms,"$180,485,601","$113,257,297","$67,228,304",62.75%,Bad Moms,https://www.the-numbers.com/movie/Bad-Moms#tab=summary
51,Operation Mekong,"$174,279,252","$800,012","$173,479,240",0.46%,Operation Mekong,https://www.the-numbers.com/movie/Operation-Mekong#tab=summary
52,The Girl on the Train,"$174,278,214","$75,395,035","$98,883,179",43.26%,The Girl on the Trai,https://www.the-numbers.com/movie/Girl-on-the-Train-The-(2016)#tab=summary
53,The Divergent Series: Allegiant,"$172,022,517","$66,184,051","$105,838,466",38.47%,The Divergent Series,https://www.the-numbers.com/movie/Divergent-Series-Allegiant-The#tab=summary
54,Hacksaw Ridge,"$168,423,249","$67,209,615","$101,213,634",39.91%,Hacksaw Ridge,https://www.the-numbers.com/movie/Hacksaw-Ridge#tab=summary
55,The Huntsman: Winter’s War,"$165,149,302","$48,003,015","$117,146,287",29.07%,The Huntsman: Winter,https://www.the-numbers.com/movie/Huntsman-Winters-War-The#tab=summary
56,The Magnificent Seven,"$162,122,642","$93,432,655","$68,689,987",57.63%,The Magnificent Seve,https://www.the-numbers.com/movie/Magnificent-Seven-The-(2016)#tab=summary
57,Jack Reacher: Never Go Back,"$159,946,489","$58,697,076","$101,249,413",36.70%,Jack Reacher: Never ,https://www.the-numbers.com/movie/Jack-Reacher-Never-Go-Back#tab=summary
58,Don’t Breathe,"$158,906,350","$89,217,875","$69,688,475",56.14%,Don’t Breathe,https://www.the-numbers.com/movie/Dont-Breathe#tab=summary
59,The Accountant,"$155,560,045","$86,260,045","$69,300,000",55.45%,The Accountant,https://www.the-numbers.com/movie/Accountant-The#tab=summary
60,Lights Out,"$149,368,835","$67,268,835","$82,100,000",45.04%,Lights Out,https://www.the-numbers.com/movie/Lights-Out-(2016)#tab=summary
61,Lion,"$149,117,900","$51,739,495","$97,378,405",34.70%,Lion,https://www.the-numbers.com/movie/Lion-(Australia)#tab=summary
62,Time Raiders,"$145,974,597",,"$145,974,597",,Time Raiders,https://www.the-numbers.com/movie/Time-Raiders-(China)#tab=summary
63,Sausage Party,"$141,344,255","$97,670,358","$43,673,897",69.10%,Sausage Party,https://www.the-numbers.com/movie/Sausage-Party#tab=summary
64,Gods of Egypt,"$138,836,756","$31,153,464","$107,683,292",22.44%,Gods of Egypt,https://www.the-numbers.com/movie/Gods-of-Egypt#tab=summary
