Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Inside Out 2,"$1,698,831,782","$652,980,194","$1,045,851,588",38.44%,Inside Out 2,https://www.the-numbers.com/movie/Inside-Out-2-(2024)#tab=summary
2,Deadpool & Wolverine,"$1,338,071,348","$636,745,858","$701,325,490",47.59%,Deadpool & Wolverine,https://www.the-numbers.com/movie/Deadpool-and-Wolverine-(2024)#tab=summary
3,Moana 2,"$1,059,135,998","$460,405,297","$598,730,701",43.47%,Moana 2,https://www.the-numbers.com/movie/Moana-2-(2024)#tab=summary
4,Despicable Me 4,"$972,964,428","$361,004,205","$611,960,223",37.10%,Despicable Me 4,https://www.the-numbers.com/movie/Despicable-Me-4-(2024)#tab=summary
5,Wicked,"$755,543,504","$473,231,120","$282,312,384",62.63%,Wicked,https://www.the-numbers.com/movie/Wicked-(2024)#tab=summary
6,Mufasa: The Lion King,"$722,618,595","$254,567,693","$468,050,902",35.23%,Mufasa: The Lion Kin,https://www.the-numbers.com/movie/Mufasa-The-Lion-King-(2024)#tab=summary
7,Dune: Part Two,"$715,409,065","$282,709,065","$432,700,000",39.52%,Dune: Part Two,https://www.the-numbers.com/movie/Dune-Part-Two-(2024)#tab=summary
8,Godzilla x Kong: The New Empire,"$572,505,338","$196,805,338","$375,700,000",34.38%,Godzilla x Kong: The,https://www.the-numbers.com/movie/Godzilla-x-Kong-The-New-Empire-(2024)#tab=summary
9,Kung Fu Panda 4,"$548,046,737","$193,590,620","$354,456,117",35.32%,Kung Fu Panda 4,https://www.the-numbers.com/movie/Kung-Fu-Panda-4-(2024)#tab=summary
10,Sonic the Hedgehog 3,"$489,639,902","$236,115,100","$253,524,802",48.22%,Sonic the Hedgehog 3,https://www.the-numbers.com/movie/Sonic-the-Hedgehog-3-(2024)#tab=summary
11,Venom: The Last Dance,"$474,492,936","$139,755,882","$334,737,054",29.45%,Venom: The Last Danc,https://www.the-numbers.com/movie/Venom-The-Last-Dance-(2024)#tab=summary
12,Gladiator II,"$460,380,411","$172,438,016","$287,942,395",37.46%,Gladiator II,https://www.the-numbers.com/movie/Gladiator-II-(2024)#tab=summary
13,Beetlejuice Beetlejuice,"$452,000,435","$294,100,435","$157,900,000",65.07%,Beetlejuice Beetleju,https://www.the-numbers.com/movie/Beetlejuice-Beetlejuice-(2024)#tab=summary
14,YOLO (热辣滚烫),"$429,865,309","$2,001,584","$427,863,725",0.47%,YOLO (热辣滚烫),https://www.the-numbers.com/movie/YOLO-(2024-China)#tab=summary
15,Successor (抓娃娃),"$426,724,768",,"$426,724,768",,Successor (抓娃娃),https://www.the-numbers.com/movie/Successor-(2024-China)#tab=summary
16,Pegasus 2 (飞驰人生2),"$423,162,668",,"$423,162,668",,Pegasus 2 (飞驰人生2),https://www.the-numbers.com/movie/Pegasus-2-(2024-China)#tab=summary
17,Bad Boys: Ride or Die,"$400,526,237","$193,573,217","$206,953,020",48.33%,Bad Boys: Ride or Di,https://www.the-numbers.com/movie/Bad-Boys-Ride-or-Die-(2024)#tab=summary
