Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Barbie,"$1,447,685,476","$636,785,476","$810,900,000",43.99%,Barbie,https://www.the-numbers.com/movie/Barbie-(2023)#tab=summary
2,The Super Mario Bros. Movie,"$1,359,226,275","$574,934,330","$784,291,945",42.30%,The Super Mario Bros,https://www.the-numbers.com/movie/Super-Mario-Bros-Movie-The-(2022)#tab=summary
3,Oppenheimer,"$976,757,255","$330,078,895","$646,678,360",33.79%,Oppenheimer,https://www.the-numbers.com/movie/Oppenheimer-(2023)#tab=summary
4,Guardians of the Galaxy Vol 3,"$845,555,777","$358,995,815","$486,559,962",42.46%,Guardians of the Gal,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-3-(2023)#tab=summary
5,Fast X,"$714,375,114","$146,126,015","$568,249,099",20.46%,Fast X,https://www.the-numbers.com/movie/Fast-X-(2023)#tab=summary
6,Spider-Man: Across the Spider-Verse,"$690,824,738","$381,593,754","$309,230,984",55.24%,Spider-Man: Across t,https://www.the-numbers.com/movie/Spider-Man-Across-the-Spider-Verse-(2023)#tab=summary
7,Wonka,"$634,681,815","$218,581,815","$416,100,000",34.44%,Wonka,https://www.the-numbers.com/movie/Wonka-(2023)#tab=summary
8,Full River Red (满江红),"$581,641,120",,"$581,641,120",,Full River Red (满江红),https://www.the-numbers.com/movie/Full-River-Red-(2023-China)#tab=summary
9,The Little Mermaid,"$569,626,289","$298,172,056","$271,454,233",52.35%,The Little Mermaid,https://www.the-numbers.com/movie/Little-Mermaid-The-(2023)#tab=summary
10,Mission: Impossible Dead Reckoning Part One,"$565,394,309","$172,640,980","$392,753,329",30.53%,Mission: Impossible ,https://www.the-numbers.com/movie/Mission-Impossible-Dead-Reckoning-Part-One-(2023)#tab=summary
11,The Wandering Earth 2 (流浪地球2),"$517,096,645","$5,023,132","$512,073,513",0.97%,The Wandering Earth ,https://www.the-numbers.com/movie/Wandering-Earth-The-2-(2023-China)#tab=summary
12,No More Bets (孤注一掷),"$504,630,207",,"$504,630,207",,No More Bets (孤注一掷),https://www.the-numbers.com/movie/No-More-Bets-(2023-China)#tab=summary
13,Elemental,"$484,829,737","$154,426,697","$330,403,040",31.85%,Elemental,https://www.the-numbers.com/movie/Elemental-(2023)#tab=summary
14,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909","$261,566,271",45.06%,Ant-Man and the Wasp,https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp-Quantumania-(2023)#tab=summary
15,Lost in the Stars (消失的她),"$453,763,178","$820,000","$452,943,178",0.18%,Lost in the Stars (消,https://www.the-numbers.com/movie/Lost-in-the-Stars-(2023-China)#tab=summary
16,John Wick: Chapter 4,"$447,316,405","$187,131,806","$260,184,599",41.83%,John Wick: Chapter 4,https://www.the-numbers.com/movie/John-Wick-Chapter-4-(2023)#tab=summary
17,Aquaman and the Lost Kingdom,"$440,181,226","$124,481,226","$315,700,000",28.28%,Aquaman and the Lost,https://www.the-numbers.com/movie/Aquaman-and-the-Lost-Kingdom-(2023)#tab=summary
18,Transformers: Rise of the Beasts,"$439,241,749","$157,341,749","$281,900,000",35.82%,Transformers: Rise o,https://www.the-numbers.com/movie/Transformers-Rise-of-the-Beasts-(2023)#tab=summary
19,Meg 2: The Trench,"$398,533,033","$82,633,033","$315,900,000",20.73%,Meg 2: The Trench,https://www.the-numbers.com/movie/Meg-2-The-Trench-(2023)#tab=summary
