Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Spider-Man: No Way Home,"$1,921,206,586","$814,811,535","$1,106,395,051",42.41%,Spider-Man: No Way H,https://www.the-numbers.com/movie/Spider-Man-No-Way-Home-(2021)#tab=summary
2,"Hi, Mom (你好, 李焕英)","$839,098,445",,"$839,098,445",,"Hi, Mom (你好, 李焕英)",https://www.the-numbers.com/movie/Hi-Mom-(2021-China)#tab=summary
3,The Battle at Lake Changjin,"$808,407,908","$333,214","$808,074,694",0.04%,The Battle at Lake C,https://www.the-numbers.com/movie/Battle-at-Lake-Changjin-The-(2021-China)#tab=summary
4,No Time to Die,"$758,929,771","$160,891,007","$598,038,764",21.20%,No Time to Die,https://www.the-numbers.com/movie/No-Time-to-Die-(2021)#tab=summary
5,F9: The Fast Saga,"$719,360,068","$173,005,945","$546,354,123",24.05%,F9: The Fast Saga,https://www.the-numbers.com/movie/F9-The-Fast-Saga-(2021)#tab=summary
6,Detective Chinatown 3 (唐人街探案3),"$570,051,257",,"$570,051,257",,Detective Chinatown ,https://www.the-numbers.com/movie/Detective-Chinatown-3-(2021-China)#tab=summary
7,Venom: Let There be Carnage,"$501,546,922","$213,550,366","$287,996,556",42.58%,Venom: Let There be ,https://www.the-numbers.com/movie/Venom-Let-There-be-Carnage#tab=summary
8,Godzilla vs. Kong,"$470,116,094","$100,916,094","$369,200,000",21.47%,Godzilla vs. Kong,https://www.the-numbers.com/movie/Godzilla-vs-Kong-(2020)#tab=summary
9,Shang-Chi and the Legend of the Ten Rings,"$432,224,634","$224,543,292","$207,681,342",51.95%,Shang-Chi and the Le,https://www.the-numbers.com/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=summary
10,Dune,"$429,649,791","$111,031,267","$318,618,524",25.84%,Dune,https://www.the-numbers.com/movie/Dune-(2020)#tab=summary
11,Sing 2,"$404,534,588","$162,790,990","$241,743,598",40.24%,Sing 2,https://www.the-numbers.com/movie/Sing-2-(2021)#tab=summary
12,Eternals,"$401,731,759","$164,870,264","$236,861,495",41.04%,Eternals,https://www.the-numbers.com/movie/Eternals-(2021)#tab=summary
