Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share,trunc,link
1,Pirates of the Caribbean: At World’s End,"$960,996,492","$309,420,425","$651,576,067",32.20%,Pirates of the Carib,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary
2,Harry Potter and the Order of the Phoenix,"$937,444,235","$293,108,509","$644,335,726",31.27%,Harry Potter and the,https://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary
3,Spider-Man 3,"$896,337,268","$338,007,351","$558,329,917",37.71%,Spider-Man 3,https://www.the-numbers.com/movie/Spider-Man-3#tab=summary
4,Shrek the Third,"$807,330,936","$322,719,944","$484,610,992",39.97%,Shrek the Third,https://www.the-numbers.com/movie/Shrek-the-Third#tab=summary
5,Transformers,"$708,272,592","$319,246,193","$389,026,399",45.07%,Transformers,https://www.the-numbers.com/movie/Transformers#tab=summary
6,Ratatouille,"$626,549,695","$206,445,654","$420,104,041",32.95%,Ratatouille,https://www.the-numbers.com/movie/Ratatouille#tab=summary
7,I am Legend,"$585,532,684","$256,393,010","$329,139,674",43.79%,I am Legend,https://www.the-numbers.com/movie/I-am-Legend#tab=summary
8,The Simpsons Movie,"$527,071,022","$183,135,014","$343,936,008",34.75%,The Simpsons Movie,https://www.the-numbers.com/movie/Simpsons-Movie-The#tab=summary
9,National Treasure: Book of Secrets,"$457,325,804","$219,961,501","$237,364,303",48.10%,National Treasure: B,https://www.the-numbers.com/movie/National-Treasure-Book-of-Secrets-(2007)#tab=summary
10,300,"$454,161,935","$210,614,939","$243,546,996",46.37%,300,https://www.the-numbers.com/movie/300-(2007)#tab=summary
11,The Bourne Ultimatum,"$444,043,396","$227,471,070","$216,572,326",51.23%,The Bourne Ultimatum,https://www.the-numbers.com/movie/Bourne-Ultimatum-The#tab=summary
12,Live Free or Die Hard,"$382,288,147","$134,529,403","$247,758,744",35.19%,Live Free or Die Har,https://www.the-numbers.com/movie/Live-Free-or-Die-Hard#tab=summary
13,The Golden Compass,"$367,262,558","$70,107,728","$297,154,830",19.09%,The Golden Compass,https://www.the-numbers.com/movie/His-Dark-Materials-The-Golden-Compass#tab=summary
14,Alvin and the Chipmunks,"$362,605,033","$217,326,974","$145,278,059",59.93%,Alvin and the Chipmu,https://www.the-numbers.com/movie/Alvin-and-the-Chipmunks-(2007)#tab=summary
15,Enchanted,"$340,384,141","$127,706,877","$212,677,264",37.52%,Enchanted,https://www.the-numbers.com/movie/Enchanted#tab=summary
16,Ocean’s Thirteen,"$311,744,465","$117,144,465","$194,600,000",37.58%,Ocean’s Thirteen,https://www.the-numbers.com/movie/Oceans-Thirteen-(2007)#tab=summary
17,Fantastic Four: Rise of the Silver Surfer,"$289,480,691","$131,921,738","$157,558,953",45.57%,Fantastic Four: Rise,https://www.the-numbers.com/movie/Fantastic-Four-Rise-of-the-Silver-Surfer#tab=summary
18,Bee Movie,"$287,594,577","$126,631,277","$160,963,300",44.03%,Bee Movie,https://www.the-numbers.com/movie/Bee-Movie#tab=summary
19,American Gangster,"$267,985,456","$130,164,645","$137,820,811",48.57%,American Gangster,https://www.the-numbers.com/movie/American-Gangster-(2007)#tab=summary
20,Rush Hour 3,"$256,585,882","$140,125,968","$116,459,914",54.61%,Rush Hour 3,https://www.the-numbers.com/movie/Rush-Hour-3#tab=summary
21,Wild Hogs,"$253,555,383","$168,213,584","$85,341,799",66.34%,Wild Hogs,https://www.the-numbers.com/movie/Wild-Hogs#tab=summary
22,Mr. Bean’s Holiday,"$234,981,342","$33,302,167","$201,679,175",14.17%,Mr. Bean’s Holiday,https://www.the-numbers.com/movie/Mr-Beans-Holiday#tab=summary
23,Juno,"$231,450,102","$143,495,265","$87,954,837",62.00%,Juno,https://www.the-numbers.com/movie/Juno#tab=summary
24,Ghost Rider,"$229,545,589","$115,802,596","$113,742,993",50.45%,Ghost Rider,https://www.the-numbers.com/movie/Ghost-Rider#tab=summary
25,Knocked Up,"$219,265,952","$148,761,765","$70,504,187",67.85%,Knocked Up,https://www.the-numbers.com/movie/Knocked-Up#tab=summary
26,Hairspray,"$202,822,861","$118,871,849","$83,951,012",58.61%,Hairspray,https://www.the-numbers.com/movie/Hairspray-(2007)#tab=summary
27,Beowulf,"$195,080,579","$82,280,579","$112,800,000",42.18%,Beowulf,https://www.the-numbers.com/movie/Beowulf#tab=summary
28,I Now Pronounce You Chuck and Larry,"$185,708,462","$119,725,280","$65,983,182",64.47%,I Now Pronounce You ,https://www.the-numbers.com/movie/I-Now-Pronounce-You-Chuck-and-Larry#tab=summary
29,The Bucket List,"$174,807,445","$93,466,502","$81,340,943",53.47%,The Bucket List,https://www.the-numbers.com/movie/Bucket-List-The#tab=summary
30,Evan Almighty,"$174,131,329","$100,289,690","$73,841,639",57.59%,Evan Almighty,https://www.the-numbers.com/movie/Evan-Almighty#tab=summary
31,Meet the Robinsons,"$170,552,719","$97,822,171","$72,730,548",57.36%,Meet the Robinsons,https://www.the-numbers.com/movie/Meet-the-Robinsons#tab=summary
32,Superbad,"$169,955,142","$121,463,226","$48,491,916",71.47%,Superbad,https://www.the-numbers.com/movie/Superbad#tab=summary
33,No Country for Old Men,"$164,035,753","$74,273,505","$89,762,248",45.28%,No Country for Old M,https://www.the-numbers.com/movie/No-Country-for-Old-Men#tab=summary
34,Norbit,"$158,973,607","$95,673,607","$63,300,000",60.18%,Norbit,https://www.the-numbers.com/movie/Norbit#tab=summary
35,"P.S., I Love You","$155,769,678","$53,695,808","$102,073,870",34.47%,"P.S., I Love You",https://www.the-numbers.com/movie/P-S-I-Love-You#tab=summary
36,Sweeney Todd: The Demon Barber of Fleet Street,"$153,329,844","$52,898,073","$100,431,771",34.50%,Sweeney Todd: The De,https://www.the-numbers.com/movie/Sweeney-Todd-The-Demon-Barber-of-Fleet-Street#tab=summary
37,Resident Evil: Extinction,"$149,871,103","$50,648,679","$99,222,424",33.79%,Resident Evil: Extin,https://www.the-numbers.com/movie/Resident-Evil-Extinction#tab=summary
38,The Game Plan,"$146,590,987","$90,648,202","$55,942,785",61.84%,The Game Plan,https://www.the-numbers.com/movie/Game-Plan-The#tab=summary
39,Music and Lyrics,"$146,196,885","$50,572,589","$95,624,296",34.59%,Music and Lyrics,https://www.the-numbers.com/movie/Music-and-Lyrics#tab=summary
40,Blades of Glory,"$145,594,548","$118,594,548","$27,000,000",81.46%,Blades of Glory,https://www.the-numbers.com/movie/Blades-of-Glory#tab=summary
41,Surf’s Up,"$145,395,745","$58,867,694","$86,528,051",40.49%,Surf’s Up,https://www.the-numbers.com/movie/Surfs-Up-(2007)#tab=summary
42,Bridge to Terabithia,"$137,984,788","$82,234,139","$55,750,649",59.60%,Bridge to Terabithia,https://www.the-numbers.com/movie/Bridge-to-Terabithia-(2007)#tab=summary
43,Stardust,"$137,022,245","$38,634,938","$98,387,307",28.20%,Stardust,https://www.the-numbers.com/movie/Stardust#tab=summary
44,Saw IV,"$135,759,694","$63,300,095","$72,459,599",46.63%,Saw IV,https://www.the-numbers.com/movie/Saw-IV-(2007)#tab=summary
45,1408,"$131,263,370","$71,985,628","$59,277,742",54.84%,1408,https://www.the-numbers.com/movie/1408#tab=summary
46,Atonement,"$129,779,728","$50,980,159","$78,799,569",39.28%,Atonement,https://www.the-numbers.com/movie/Atonement#tab=summary
47,Aliens vs. Predator - Requiem,"$128,884,494","$41,797,066","$87,087,428",32.43%,Aliens vs. Predator ,https://www.the-numbers.com/movie/Aliens-vs-Predator-Requiem#tab=summary
48,The Heartbreak Kid,"$127,768,790","$36,787,257","$90,981,533",28.79%,The Heartbreak Kid,https://www.the-numbers.com/movie/Heartbreak-Kid-The-(2007)#tab=summary
49,Charlie Wilson’s War,"$119,512,771","$66,661,095","$52,851,676",55.78%,Charlie Wilson’s War,https://www.the-numbers.com/movie/Charlie-Wilsons-War-(2007)#tab=summary
50,Disturbia,"$118,537,627","$80,818,974","$37,718,653",68.18%,Disturbia,https://www.the-numbers.com/movie/Disturbia#tab=summary
51,Arthur et les Minimoys,"$113,325,743","$15,132,763","$98,192,980",13.35%,Arthur et les Minimo,https://www.the-numbers.com/movie/Arthur-et-les-Minimoys#tab=summary
52,The Water Horse: Legend of the Deep,"$103,429,755","$40,412,817","$63,016,938",39.07%,The Water Horse: Leg,https://www.the-numbers.com/movie/Water-Horse-Legend-of-the-Deep-The#tab=summary
53,Hitman,"$99,135,571","$39,687,694","$59,447,877",40.03%,Hitman,https://www.the-numbers.com/movie/Hitman#tab=summary
