link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget
https://www.the-numbers.com/movie/Moana-(2016)#tab=summary,113 minutes,Moana,Musical,Digital Animation,Kids Fiction,United States,English,"January 27, 2016","PGfor peril, some scary images and brief thematic elements.(Rating bulletin 2442 (Cert #50666), 9/14/2016)","Walt Disney Animation Studios,Walt Disney Pictures","$150,000,000"
https://www.the-numbers.com/movie/Doctor-Strange-(2016)#tab=summary,115 minutes,Marvel Cinematic UniverseDoctor Strange,Action,Animation/Live Action,Super Hero,United States,English,"October 24, 2016","PG-13for sci-fi violence and action throughout, and an intense crash sequence.(Rating bulletin 2443 (Cert #50649), 9/21/2016)",Marvel Studios,"$165,000,000"
https://www.the-numbers.com/movie/Sing-(2016)#tab=summary,108 minutes,Sing,Musical,Digital Animation,Kids Fiction,United States,English,"November 24, 2016","PGfor some rude humor and mild peril.(Rating bulletin 2440 (Cert #50642), 8/31/2016)",Illumination Entertainment,"$75,000,000"
https://www.the-numbers.com/movie/X-Men-Apocalypse-(2016)#tab=summary,136 minutes,X-Men,Action,Live Action,Super Hero,United States,English,"May 18, 2016","PG-13for sequences of violence, action and destruction, brief strong language and some suggestive images.(Rating bulletin 2423 (Cert #50091), 5/4/2016)","Twentieth Century Fox,Marvel Studios,TSG Entertainment,Bad Hat Harry Productions,Kinberg Genre,Hutch Parker,Donners’ Company","$178,000,000"
https://www.the-numbers.com/movie/Mermaid-The-(2016-China)#tab=summary,94 minutes,,Romantic Comedy,Live Action,Science Fiction,China,Mandarin,"February 07, 2016","Rfor some violence.(Rating bulletin 2412 (Cert #50252), 2/17/2016)","The Star Overseas,China Film Company,Hehe Pictures Co Ltd,Enlight Pictures,Shanghai New Culture Media Group,Zenith Culture Broadcast,Zeyue Media,Alpha Pictures Investment Co.,xxxKxx,Bingo Movie Development","$60,720,000"
https://www.the-numbers.com/movie/Kung-Fu-Panda-3#tab=summary,94 minutes,Kung Fu Panda,Adventure,Digital Animation,Kids Fiction,United States,English,"January 23, 2016","PGfor martial arts action and some mild rude humor.(Rating bulletin 2398 (Cert #50127), 11/4/2015)","DreamWorks Animation,Oriental DreamWorks,China Film Co. LTD,Zhong Ming You Ying Film","$140,000,000"
https://www.the-numbers.com/movie/La-La-Land#tab=summary,128 minutes,,Musical,Live Action,Contemporary Fiction,United States,English,"November 30, 2016","PG-13for some language.(Rating bulletin 2436 (Cert #50363), 8/3/2016)","Gilbert Films,Imposter Pictures,Summit Entertainment,Black Label Media,TIK Films,Marc Platt Productions","$30,000,000"
https://www.the-numbers.com/movie/Warcraft#tab=summary,123 minutes,,Action,Live Action,Fantasy,United States,English,"May 25, 2016","PG-13for extended sequences of intense fantasy violence.(Rating bulletin 2400 (Cert #49858), 11/18/2015)","Universal Pictures,Legendary Pictures,Blizzard Entertainment,Atlas Entertainment","$160,000,000"
https://www.the-numbers.com/movie/Jason-Bourne#tab=summary,123 minutes,Bourne,Action,Live Action,Contemporary Fiction,United States,English,"July 20, 2016","PG-13for intense sequences of violence and action, and brief strong language.(Rating bulletin 2425 (Cert #50404), 5/18/2016)","Universal Pictures,Perfect World Pictures,The Kennedy/Marshall Company,Captivate Entertainment,Pearl Street","$120,000,000"
https://www.the-numbers.com/movie/Ice-Age-Collision-Course#tab=summary,100 minutes,Ice Age,Adventure,Digital Animation,Kids Fiction,United States,English,"July 01, 2016","PGfor mild rude humor and some action/peril.(Rating bulletin 2429 (Cert #50407), 6/15/2016)","20th Century Fox Animation,Blue Sky Studios","$105,000,000"
https://www.the-numbers.com/movie/Independence-Day-Resurgence#tab=summary,119 minutes,Independence Day,Action,Live Action,Science Fiction,United States,English,"June 22, 2016","PG-13for sequences of sci-fi action and destruction, and for some language.(Rating bulletin 2428  (Cert #50311), 6/8/2016)",20th Century Fox,"$165,000,000"
https://www.the-numbers.com/movie/Legend-of-Tarzan-The#tab=summary,110 minutes,,Adventure,Live Action,Historical Fiction,United States,English,"June 27, 2016","PG-13for sequences of action and violence, some sensuality and brief rude dialogue.(Rating bulletin 2417 (Cert #50329), 3/23/2016)","Warner Bros.,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment,Jerry Weintraub,Riche-Ludwig,Beaglepug","$180,000,000"
https://www.the-numbers.com/movie/Your-Name-(Japan)#tab=summary,106 minutes,,Drama,Digital Animation,Fantasy,Japan,"Japanese,English","August 26, 2016","PGfor thematic elements, suggestive content, brief language, and smoking.(Rating bulletin 2462 (Cert #50863), 2/8/2017)",,
https://www.the-numbers.com/movie/Angry-Birds-Movie-The#tab=summary,97 minutes,Angry Birds,Adventure,Digital Animation,Kids Fiction,"United States,Finland",English,"May 11, 2016","PGfor rude humor and action.(Rating bulletin 2415 (Cert #49734), 3/9/2016)","Columbia Pictures,Rovio Animation","$73,000,000"
https://www.the-numbers.com/movie/Trolls#tab=summary,93 minutes,Trolls,Adventure,Digital Animation,Kids Fiction,United States,English,"October 12, 2016","PGfor some mild rude humor.(Rating bulletin 2439 (Cert #50621), 8/24/2016)","DreamWorks Animation,PDI,DreamWorks Pictures","$125,000,000"
https://www.the-numbers.com/movie/Star-Trek-Beyond#tab=summary,122 minutes,Star Trek,Adventure,Live Action,Science Fiction,United States,English,"July 21, 2016","PG-13for sequences of sci-fi action and violence.(Rating bulletin 2433 (Cert #50410), 7/13/2016)","Paramount Pictures,Bad Robot,Skydance Productions,Sneaky Shark,Perfect Storm Entertainment","$185,000,000"
https://www.the-numbers.com/movie/Great-Wall-The#tab=summary,104 minutes,,Action,Live Action,Historical Fiction,"United States,China","English,Mandarin","December 15, 2016","PG-13for sequences of fantasy action violence.(Rating bulletin 2445 (Cert #50707), 10/5/2016)","Legendary Pictures,Universal Pictures,Atlas Entertainment","$150,000,000"
https://www.the-numbers.com/movie/Now-You-See-Me-2#tab=summary,129 minutes,Now You See Me,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"May 27, 2016","PG-13for violence and some language.(Rating bulletin 2420 (Cert #50263), 4/13/2016)","Summit Entertainment,TIK Films,K/O Paper Products","$90,000,000"
https://www.the-numbers.com/movie/Conjuring-2-The-Enfield-Poltergeist-The#tab=summary,133 minutes,The Conjuring,Horror,Live Action,Fantasy,United States,English,"June 09, 2016","Rfor terror and horror violence.(Rating bulletin 2422 (Cert #50358), 4/27/2016)","New Line Cinema,The Safran Company,Atomic Monster,RatPac Entertainment,Dune Vision","$40,000,000"
https://www.the-numbers.com/movie/Resident-Evil-The-Final-Chapter#tab=summary,106 minutes,Resident Evil,Horror,Live Action,Science Fiction,United States,English,"December 23, 2016","Rfor sequences of violence throughout.(Rating bulletin 2456 (Cert #50102), 12/21/2016)","Screen Gems,Constantin Film,Davis Films,Impact Pictures","$40,000,000"
https://www.the-numbers.com/movie/Dangal-(2016-India)#tab=summary,201 minutes,,Action,Live Action,Dramatization,India,Hindi,"December 21, 2016",Not Rated,Aamir Khan Productions,"$9,500,000"
https://www.the-numbers.com/movie/Passengers-(2015)#tab=summary,116 minutes,,Drama,Live Action,Science Fiction,United States,English,"December 21, 2016","PG-13for sexuality, nudity and action/peril.(Rating bulletin 2448 (Cert #50101), 10/26/2016)","Columbia Pictures,LStar Capital,Village Roadshow Productions,Wanda Media,Original Film,Company Films,Start Motion Pictures","$110,000,000"
