link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget
https://www.the-numbers.com/movie/Gangnam-1970-(South-Korea)-(2015)#tab=summary,135 minutes,,Action,,,,,"January 23, 2015",,,
https://www.the-numbers.com/movie/Loucas-pra-Casar-(Brazil)(2014)#tab=summary,108 minutes,,Comedy,Live Action,Contemporary Fiction,Brazil,Portuguese,"January 09, 2015",,,
https://www.the-numbers.com/movie/Regression#tab=summary,106 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,"Spain,Canada",English,"October 01, 2015","Rfor disturbing violent and sexual content, and for language.(Rating bulletin 2405 (Cert #50198), 12/23/2015)","Mod Entertainment,Mod Producciones,Himenoptero,First Generation Films,Telefonica Studios,Regression A.I.E.","$20,000,000"
https://www.the-numbers.com/movie/Umimachi-Diary#tab=summary,126 minutes,,Drama,Live Action,Contemporary Fiction,Japan,Japanese,"June 13, 2015","PGfor thematic elements and brief language(Rating bulletin 2389, 9/2/2015)","Fuji Television Network,Shogakukan,Toho Co,GAGA Corporation,Film, Inc.",
https://www.the-numbers.com/movie/Tri-bogatyrya-Khod-konem-(Russia)-(2015)#tab=summary,74 minutes,,Adventure,Digital Animation,Kids Fiction,Russian Federation,,"October 16, 2015",,,
https://www.the-numbers.com/movie/Scouts-Guide-to-the-Zombie-Apocalypse#tab=summary,93 minutes,,Comedy,Live Action,Fantasy,United States,English,"October 29, 2015","Rfor zombie violence and gore, sexual material, graphic nudity, and language throughout.(Rating bulletin 2385, 8/4/2015)","Paramount Pictures,Broken Road","$15,000,000"
https://www.the-numbers.com/movie/Pourquoi-jai-pas-mange-mon-pere#tab=summary,101 minutes,,Adventure,Digital Animation,Kids Fiction,France,,"April 10, 2015",,,"$42,000,000"
https://www.the-numbers.com/movie/Ak-ui-yeon-dae-gi-(South-Korea)-(2015)#tab=summary,102 minutes,,,,,Republic of Korea,,"May 15, 2015",,,
https://www.the-numbers.com/movie/Tamasha#tab=summary,151 minutes,,Comedy,Live Action,Contemporary Fiction,India,Hindi,"November 25, 2015",Not Rated,"UTV Motion Pictures,Nadiadwala Grandson Entertainment",
https://www.the-numbers.com/movie/Mucize-(Turkey)-(2015)#tab=summary,136 minutes,The Miracle,Drama,Live Action,Contemporary Fiction,Turkey,Turkish,"January 02, 2015",,,
https://www.the-numbers.com/movie/Love-and-Mercy#tab=summary,120 minutes,,Drama,Live Action,Dramatization,United States,English,"June 05, 2015","PG-13for some violence and language.(Rating bulletin 2344, 10/15/2014)","River Road Entertainment,Battle Mountain Films",
https://www.the-numbers.com/movie/Vatican-Tapes-The#tab=summary,91 minutes,,Horror,Live Action,Contemporary Fiction,United States,English,"July 23, 2015","PG-13for disturbing violent content, and some sexual references.(Rating bulletin 2326, 6/11/2014)","Lakeshore Entertainment,Lionsgate","$13,000,000"
https://www.the-numbers.com/movie/Do-You-Believe#tab=summary,115 minutes,,Drama,Live Action,Contemporary Fiction,United States,English,"March 20, 2015","PG-13for thematic elements, an accident sequence and some violence.(Rating bulletin 2362, 2/25/2015)","Pure Flix,10 West Studios,Believe Entertainment","$2,300,000"
https://www.the-numbers.com/movie/Beauty-Inside-The-(Korea)#tab=summary,127 minutes,,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"August 20, 2015",Not Rated,Yong Film,
https://www.the-numbers.com/movie/Mune-le-gardien-de-la-lune#tab=summary,85 minutes,,Adventure,Digital Animation,Kids Fiction,France,French,"February 06, 2015","PGfor some mild action and rude humor.(Rating bulletin 2449 (Cert #50772), 11/2/2016)",,"$17,000,000"
https://www.the-numbers.com/movie/Haha-to-Kuraseba-(Japan)#tab=summary,130 minutes,,Drama,Live Action,Historical Fiction,Japan,Japanese,"December 11, 2015",,,
https://www.the-numbers.com/movie/Woodlawn-(2015)#tab=summary,123 minutes,,Drama,Live Action,Dramatization,United States,English,"October 16, 2015","PGfor sexual content, language throughout, some violence and drug use.(Rating bulletin 2387, 7/17/2015)","Pure Flix,Provident Films,Erwin Brothers Entertainment","$13,000,000"
https://www.the-numbers.com/movie/45-Years#tab=summary,95 minutes,,Drama,Live Action,Contemporary Fiction,United Kingdom,English,"August 28, 2015","Rfor language and brief sexuality.(Rating bulletin 2399 (Cert #50142), 11/11/2015)","Film4,BFI,Creative England,The Bureau",
