link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget,Franchise
https://www.the-numbers.com/movie/Marksman-The-(2021)#tab=summary,107 minutes,Action,Live Action,Contemporary Fiction,United States,English,"January 15, 2021","PG-13for violence, some bloody images and brief strong language.(Rating bulletin 2659 (cert #52659), 12/9/2020)","Open Road Films,Briarcliff Entertainment,Voltage Pictures,Sculpter Media,Zero Gravity Management,Stonehouse Motion Pictures","$23,000,000",
https://www.the-numbers.com/movie/Guan-Yu-Wo-Ma-De-Yi-Qie-(2021-China)#tab=summary,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"September 10, 2021",,,,
https://www.the-numbers.com/movie/Qi-Pao-(2021-China)#tab=summary,90 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"June 13, 2021",,,,
https://www.the-numbers.com/movie/Last-Night-in-Soho-(2021-United-Kingdom)#tab=summary,116 minutes,Thriller/Suspense,Live Action,Historical Fiction,"United Kingdom,United States",English,"October 27, 2021","Rfor bloody violence, sexual content, language, brief drug material and brief graphic nudity.(Rating bulletin 2700 (cert #52238), 9/29/2021)","Focus Features,Film4,Working Title Films","$43,000,000",
https://www.the-numbers.com/movie/Tie-Dao-Ying-Xiong-(2021-China)#tab=summary,124 minutes,Drama,Live Action,Dramatization,China,,"November 19, 2021",,,,
https://www.the-numbers.com/movie/Never-Stop-(2021-China)#tab=summary,98 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"June 10, 2021",,,,
https://www.the-numbers.com/movie/Island-Keeper-(2021-China)#tab=summary,125 minutes,Drama,Live Action,Dramatization,China,Mandarin,"June 11, 2021",,,,
https://www.the-numbers.com/movie/Kaamelott-Premier-volet-(2021-France)#tab=summary,120 minutes,Adventure,Live Action,Fantasy,"France,Belgium",French,"July 21, 2021",,,,Kaamelott
https://www.the-numbers.com/movie/Ruroni-Kenshin-Sai-shusho-The-Beginning-(2021-Japan)#tab=summary,137 minutes,Action,Live Action,Fantasy,Japan,Japanese,"June 04, 2021",,,,
https://www.the-numbers.com/movie/Ruroni-Kenshin-Sai-shusho-The-Beginning-(2021-Japan)#tab=summary,137 minutes,Action,Live Action,Fantasy,Japan,Japanese,"June 04, 2021",,,,
https://www.the-numbers.com/movie/Ge-Ming-Zhe-(2021-China)#tab=summary,120 minutes,Drama,Live Action,Dramatization,China,Mandarin,"June 26, 2021",,,,
https://www.the-numbers.com/movie/Eiga-Kureyon-Shin-chan-Nazo-Meki-Hana-no-Tenkasu-Gakuen-(2021-Japan)#tab=summary,112 minutes,Adventure,Digital Animation,Kids Fiction,Japan,Japanese,"July 30, 2021",,,,
https://www.the-numbers.com/movie/Ironbark-(UK)#tab=summary,111 minutes,Thriller/Suspense,Live Action,Dramatization,United Kingdom,"English,Russian","March 18, 2021","PG-13for violence, partial nudity, brief strong language, and smoking throughout.(Rating bulletin 2618 (Cert #52615), 2/26/2020)","FilmNation Entertainment,42 Sunnymarch",,
https://www.the-numbers.com/movie/loup-et-le-lion-Le-(2021-France)#tab=summary,99 minutes,Adventure,Live Action,Contemporary Fiction,"France,Canada",French,"October 14, 2021","PGfor thematic elements, language and some peril.(Rating bulletin 2706 (cert #53487), 11/10/2021)","Mai Juin Productions,StudioCanal",,
https://www.the-numbers.com/movie/Green-Knight-The#tab=summary,125 minutes,Adventure,Live Action,Fantasy,United States,English,"July 30, 2021","Rfor violence, some sexuality and graphic nudity.(Rating bulletin 2654 (cert #52678), 11/4/2020)","A24,Bron Studios,Ley Line,Wild Atlantic Pictures,Sailor Bear","$15,000,000",
https://www.the-numbers.com/movie/As-Long-As-We-Both-Shall-Live-(2021)#tab=summary,105 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"March 17, 2023",,,,
https://www.the-numbers.com/movie/After-We-Fell-(2021)#tab=summary,99 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"September 01, 2021","Rfor sexual content and language.(Rating bulletin 2687 (cert #53242), 6/30/2021)",Voltage Pictures,,After
https://www.the-numbers.com/movie/Verdens-verste-menneske-(2021-Norway)#tab=summary,127 minutes,Comedy,Live Action,Contemporary Fiction,Norway,Norwegian,"October 13, 2021","Rfor sexual content, graphic nudity, drug use and some language.(Rating bulletin 2706 (cert #53483), 11/10/2021)","Oslo Pictures,MK Productions,Film i Vast,Snowglobe,B-Reel Films,Arte France Cinema,Neon Films,Memento Films Distribution,MK2,Norwegian Film Institute,Eurimages,Danish Film Institute,Nordic Film and TV Fund,Swedish Film Institute,Aide aux Cinemas du Monde,Centre National du Cinema,Animee Institut Francais","$5,600,000",
https://www.the-numbers.com/movie/Tomorrow-War-The#tab=summary,140 minutes,Action,Live Action,Science Fiction,United States,English,"July 22, 2021","PG-13for intense sequences of sci-fi violence and action, language and some suggestive references.(Rating bulletin 2675 (cert #53019), 4/7/2021)","Skydance Productions,Phantom Four,Lit Entertainment Group,New Republic Pictures","$200,000,000",
https://www.the-numbers.com/movie/Those-Who-Wish-Me-Dead#tab=summary,100 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"United States,Canada",English,"May 05, 2021","Rfor strong violence, and language throughout.(Rating bulletin 2662 (cert #52965), 1/6/2021)","New Line Cinema,Bron Studios,Filmrights,Creative Wealth Media Finance",,
https://www.the-numbers.com/movie/Konyek-Gorbunok-(2021-Russia)#tab=summary,111 minutes,Adventure,Animation/Live Action,Fantasy,Russian Federation,Russian,"February 18, 2021","PGfor some mild violence and action.(Rating bulletin 2720 (cert #53653), 2/23/2022)",,,
https://www.the-numbers.com/movie/Kido-senshi-Gandamu-Senko-no-Hasauei-(2021-Japan)#tab=summary,95 minutes,Adventure,Digital Animation,,Japan,Japanese,"June 11, 2021",,,,
https://www.the-numbers.com/movie/Singkeuhol-(2021-South-Korea)#tab=summary,113 minutes,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"August 11, 2021",,,,
https://www.the-numbers.com/movie/Hotel-Transylvania-Transformania-(2021)#tab=summary,94 minutes,Adventure,Digital Animation,Kids Fiction,United States,English,"August 05, 2021","PGfor some action and rude humor including cartoon nudity.(Rating bulletin 2695 (cert #53260), 8/25/2021)","Columbia Pictures,Sony Pictures Animation,MRC",,Hotel Transylvania
https://www.the-numbers.com/movie/Mei-Yanfang-(2021-Hong-Kong)#tab=summary,90 minutes,Drama,Live Action,Dramatization,Hong Kong,Cantonese,"November 11, 2021",,,,
https://www.the-numbers.com/movie/Monkey-King-Reborn-(2021-China)#tab=summary,96 minutes,Action,Digital Animation,Fantasy,China,Mandarin,"April 02, 2021",,,,The Monkey King
https://www.the-numbers.com/movie/Dear-Evan-Hansen#tab=summary,131 minutes,Musical,Live Action,Contemporary Fiction,United States,English,"September 24, 2021","PG-13for thematic material involving suicide, brief strong language and some suggestive references.(Rating bulletin 2693 (cert #53298), 8/11/2021)","Marc Platt Productions,Universal Pictures,Perfect World Pictures","$28,000,000",
https://www.the-numbers.com/movie/Dry-The-(Australia)#tab=summary,118 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Australia,United States",English,"January 01, 2021","Rfor violence, and language throughout.(Rating bulletin 2675 (cert #53161), 3/7/2021)","Screen Australia,Film Victoria,Made Up Stories,Arenamedia,Pick Up Truck Pictures",,
https://www.the-numbers.com/movie/Ji-Hun-(2021-China)#tab=summary,125 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"China,Taiwan, Province of China","Mandarin,English,Southern Min","January 08, 2021",,,,
https://www.the-numbers.com/movie/Arctic-Our-Last-Great-Wilderness-The-(2021-Austria)#tab=summary,45 minutes,Documentary,Live Action,Factual,Austria,English,"May 28, 2021",,,,
https://www.the-numbers.com/movie/Spencer-(2021-United-Kingdom)#tab=summary,116 minutes,Drama,Live Action,Dramatization,"United Kingdom,Germany,United States,Chile",English,"November 04, 2021","Rfor some language.(Rating bulletin 2700 (cert #53430), 9/29/2021)","FilmNation Entertainment,Neon Films,The German Federal Film Fund,Medienboard Berlin-Brandenburg,The German Federal Film Board,Film- und Medienstiftung NRW,HessenFilm und Medien,Komplizen,Fabula,Shoebox Films,Topic Studios,Deutscher Filmfoerderfonds",,
https://www.the-numbers.com/movie/Cry-Macho-(2021)#tab=summary,104 minutes,Drama,Live Action,Historical Fiction,United States,English,"September 16, 2021","PG-13for language and thematic elements.(Rating bulletin 2677 (cert #53138), 4/21/2021)","Malpaso Productions,Warner Bros.",,
https://www.the-numbers.com/movie/Reminiscence#tab=summary,116 minutes,Thriller/Suspense,Live Action,Science Fiction,United States,English,"August 18, 2021","PG-13for strong violence, drug material throughout, sexual content and some strong language.(Rating bulletin 2654 (cert #52921), 11/4/2020)","FilmNation Entertainment,Warner Bros.,Kilter Films,Michael De Luca Productions","$67,972,729",
https://www.the-numbers.com/movie/Kua-Guo-Ya-Lu-Jiang-(2021-China)#tab=summary,154 minutes,Drama,Live Action,Dramatization,China,Mandarin,"December 17, 2021",,,,
https://www.the-numbers.com/movie/Gintama-The-Final-(2021-Japan)#tab=summary,104 minutes,Action,Hand Animation,Fantasy,Japan,Japanese,"January 08, 2021",,,,Gintama
https://www.the-numbers.com/movie/Doraibu-mai-ka-(2021-Japan)#tab=summary,179 minutes,Drama,Live Action,Contemporary Fiction,Japan,"Japanese,Korean,English,Cantonese,Mandarin,Tagalog,Indonesian,German,Malayalam","August 18, 2021",,Sideshow,,
https://www.the-numbers.com/movie/Yang-Guang-Jie-Mei-Tao-(2021-China)#tab=summary,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"May 30, 2021",,,,
https://www.the-numbers.com/movie/New-Happy-Dad-and-Son-4-(2021-China)#tab=summary,,Adventure,Digital Animation,Kids Fiction,China,Mandarin,"June 26, 2021",,,,New Happy Dad and Son
https://www.the-numbers.com/movie/Pei-Ni-Hen-Jiu-Hen-Jiu-(2019-Taiwan)#tab=summary,104 minutes,Romantic Comedy,Live Action,Contemporary Fiction,"Taiwan, Province of China",Mandarin,"September 10, 2021",,,,
https://www.the-numbers.com/movie/BAC-Nord-(2021-France)#tab=summary,105 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,France,French,"August 18, 2021",,,,
https://www.the-numbers.com/movie/Christmas-with-the-Chosen-The-Messengers-(2021)#tab=summary,124 minutes,Concert/Performance,Live Action,Contemporary Fiction,United States,English,"December 01, 2021",,,,The Chosen
https://www.the-numbers.com/movie/OSS-117-Alerte-rouge-en-Afrique-noire-(2021-France)#tab=summary,117 minutes,Action,Live Action,,"France,Belgium","French,German,Russian","August 04, 2021",,,,OSS 117
https://www.the-numbers.com/movie/Hostage-Missing-Celebrity-(2021-South-Korea)#tab=summary,94 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,Republic of Korea,Korean,"August 18, 2021",,,,
https://www.the-numbers.com/movie/Many-Saints-of-Newark-The-(2020)#tab=summary,120 minutes,Drama,Live Action,Historical Fiction,United States,English,"September 24, 2021","Rfor strong violence, pervasive language, sexual content and some nudity.(Rating bulletin 2662 (cert #53032), 1/6/2021)","New Line Cinema,HBO Entertainment,Chase Films","$50,000,000",
https://www.the-numbers.com/movie/Extinct#tab=summary,,Adventure,Digital Animation,Kids Fiction,"United States,China",English,"February 12, 2021",,Cinesite,,
https://www.the-numbers.com/movie/Character-(2021-Japan)#tab=summary,125 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,Japan,Japanese,"June 11, 2021",,,,
https://www.the-numbers.com/movie/Zhu-Zhu-Xia-Da-Dian-Ying-Kong-Long-Ri-Ji-(2021-China)#tab=summary,83 minutes,Adventure,Live Action,Kids Fiction,China,Mandarin,"May 01, 2021",,,,
https://www.the-numbers.com/movie/Master-(2021-India)#tab=summary,179 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,India,"Tamil,Hindi","January 13, 2021",,,,
https://www.the-numbers.com/movie/Di-Shi-Yi-Hui-(2019-China)#tab=summary,115 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"March 28, 2021",,,,
https://www.the-numbers.com/movie/Fable-Chapter-Two-The-(2021-Japan)#tab=summary,133 minutes,Action,Live Action,Contemporary Fiction,Japan,Japanese,"June 18, 2021",,,,The Fable
https://www.the-numbers.com/movie/Madres-paralelas-(2021-Spain)#tab=summary,123 minutes,Drama,Live Action,Contemporary Fiction,Spain,Spanish,"October 08, 2021","Rfor some sexuality.(Rating bulletin 2701 (cert #53441), 10/6/2021)","El Deseo,Remotamente Films A.I.E.",,
https://www.the-numbers.com/movie/Ainbo-Spirit-of-the-Amazon-(2021-Peru)#tab=summary,84 minutes,Adventure,Digital Animation,Dramatization,"Peru,Netherlands",English,"March 18, 2021",,,,
https://www.the-numbers.com/movie/Realm-of-Terracotta-(2021-China)#tab=summary,,Action,Hand Animation,Fantasy,China,Mandarin,"July 03, 2021","PGfor violence, action, thematic elements and some rude material.(Rating bulletin 2759 (cert #54155), 11/23/2022)",,,
https://www.the-numbers.com/movie/Knock-Knock-(2021-China)#tab=summary,107 minutes,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"October 22, 2021",,,,
https://www.the-numbers.com/movie/Ba-Yue-Wei-Yang-(2021-China)#tab=summary,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"April 16, 2021",,,,
https://www.the-numbers.com/movie/Kaiserschmarrndrama-(2020-Germany)#tab=summary,96 minutes,Comedy,Live Action,Contemporary Fiction,Germany,German,"August 05, 2021",,Constantin Film,,
