link,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget
https://www.the-numbers.com/movie/Meitantei-Conan-Goka-no-himawari-(2015-Japan)#tab=summary,,112 minutes,,Adventure,Digital Animation,Contemporary Fiction,,Japan,,"April 17, 2015",
https://www.the-numbers.com/movie/Woman-in-Gold#tab=summary,"PG-13for some thematic elements and brief strong language.(Rating bulletin 2354, 12/24/2014)",107 minutes,,Drama,Live Action,Contemporary Fiction,Origin Pictures Productions,"United States,United Kingdom",English,"April 01, 2015","$11,000,000"
https://www.the-numbers.com/movie/Dragon-Ball-Z-Resurrection-F-(2015-Japan)#tab=summary,Not Rated,93 minutes,Dragon Ball ZDragon Ball,Action,Hand Animation,Fantasy,Toei Animation,Japan,Japanese,"April 17, 2015",
https://www.the-numbers.com/movie/Sinister-2#tab=summary,"Rfor strong violence, bloody and disturbing images, and language.(Rating bulletin 2376, 6/3/2015)",97 minutes,Sinister,Horror,Live Action,Contemporary Fiction,"Focus Features,Entertainment One,IM Global,Blumhouse,Tank Caterpillar",United States,English,"August 19, 2015","$10,000,000"
https://www.the-numbers.com/movie/Eiga-Youkai-wocchi-Enma-daiou-to-5-tsu-no-monogataridanyan-(Japan)-(2015)#tab=summary,,94 minutes,Yokai Watch,Adventure,Digital Animation,Fantasy,,Japan,Japanese,"December 18, 2015",
https://www.the-numbers.com/movie/Night-Before-The#tab=summary,"Rfor drug use and language throughout, some strong sexual content and graphic nudity.(Rating bulletin 2395, 10/14/2015)",101 minutes,,Comedy,Live Action,Contemporary Fiction,"Columbia Pictures,Good Universe,LStar Capital,Point Grey",United States,English,"November 12, 2015","$25,000,000"
https://www.the-numbers.com/movie/Himalaya-(2015-South-Korea)#tab=summary,Not Rated,124 minutes,,Adventure,Live Action,Dramatization,JK Film,Republic of Korea,Korean,"December 10, 2015",
https://www.the-numbers.com/movie/Hot-Pursuit-(2015)#tab=summary,"PG-13for sexual content, violence, language and some drug material.(Rating bulletin 2367, 4/1/2015)",87 minutes,,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Metro-Goldwyn-Mayer Pictures,Pacific Standard",United States,English,"May 08, 2015","$35,000,000"
https://www.the-numbers.com/movie/Prem-Ratan-Dhan-Payo-(2015-India)#tab=summary,Not Rated,164 minutes,,Drama,Live Action,Contemporary Fiction,Rajshri Productions,India,Hindi,"November 12, 2015",
https://www.the-numbers.com/movie/Boy-and-the-Beast-The-(2015-Japan)#tab=summary,"PG-13for some violence and language.(Rating bulletin 2410 (Cert #50236), 2/3/2016)",119 minutes,,Adventure,Hand Animation,Fantasy,"Studio Chizu,Nippon Television Network",Japan,Japanese,"July 10, 2015",
https://www.the-numbers.com/movie/Entourage#tab=summary,"Rfor pervasive language, strong sexual content, nudity and some drug use.(Rating bulletin 2352, 12/10/2014)",104 minutes,,Comedy,Live Action,Contemporary Fiction,"Closest to the Hole,Leverage",United States,English,"June 03, 2015","$30,000,000"
https://www.the-numbers.com/movie/Bajirao-Mastani#tab=summary,Not Rated,158 minutes,,Drama,Live Action,Historical Fiction,SLB Films,India,Hindi,"December 17, 2015",
