link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production/Financing Companies,Production Budget,Franchise
https://www.the-numbers.com/movie/Xi-you-ji-zhi-da-sheng-gui-lai-(China)-(2015)#tab=summary,"PGfor action/peril, scary images, thematic elements and some rude humor.(Rating bulletin 2418 (Cert #50380), 3/30/2016)",89 minutes,Adventure,Digital Animation,Kids Fiction,China,English,"July 04, 2015",,,
https://www.the-numbers.com/movie/Veteran-(Korea)#tab=summary,Not Rated,123 minutes,Action,Live Action,Contemporary Fiction,Republic of Korea,Korean,"August 05, 2015",R&K,,
https://www.the-numbers.com/movie/Viy-(2015-Russia)#tab=summary,Not Rated,130 minutes,Adventure,Live Action,Fantasy,"Russian Federation,Ukraine,Czech Republic","Russian,English","August 14, 2015",,"$26,000,000",
https://www.the-numbers.com/movie/Eiga-Doraemon-Nobita-no-Takarajima-(2018-Japan)#tab=summary,,109 minutes,Adventure,Digital Animation,Science Fiction,Japan,Japanese,"March 03, 2018",,,Doraemon
https://www.the-numbers.com/movie/T34-(Russia)(2018)#tab=summary,,75 minutes,Drama,Live Action,Historical Fiction,Russian Federation,Russian,"December 27, 2018",,"$10,000,000",
https://www.the-numbers.com/movie/She-Said-(2022)#tab=summary,"Rfor language and descriptions of sexual assault.(Rating bulletin 2746 (cert #54018), 8/24/2022)",129 minutes,Drama,Live Action,Dramatization,United States,English,"November 17, 2022","Annapurna Pictures,Plan B Entertainment,Universal Pictures",,
