link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget,Franchise
https://www.the-numbers.com/movie/Birds-of-Prey-(And-the-Fantabulous-Emancipation-of-One-Harley-Quinn)-(2020)#tab=summary,"Rfor strong violence and language throughout, and some sexual and drug material.(Rating bulletin 2609 (Cert #52510), 12/18/2019)",109 minutes,Action,Live Action,Super Hero,"LuckyChap Entertainment,Kroll and Company Entertainment,Clubhouse Pictures,Warner Bros.,DC Films",United States,English,"February 05, 2020","$82,000,000",DC Extended Universe
https://www.the-numbers.com/movie/Chai-Dan-Zhuan-Jia-Er-(2020-Hong-Kong)#tab=summary,,120 minutes,Action,Live Action,Contemporary Fiction,,"Hong Kong,China","Cantonese,Mandarin","December 20, 2020",,Shock Wave
https://www.the-numbers.com/movie/Wonder-Woman-1984-(2020)#tab=summary,"PG-13for sequences of action and violence.(Rating bulletin 2626 (Cert #52443), 4/22/2020)",151 minutes,Action,Live Action,Super Hero,"Atlas Entertainment,Stone Quarry,Warner Bros.,DC Films",United States,English,"December 16, 2020","$200,000,000",Wonder WomanDC Extended Universe
https://www.the-numbers.com/movie/Jin-gang-chuan-(2020-China)#tab=summary,,122 minutes,Drama,Live Action,Dramatization,,China,Mandarin,"October 23, 2020",,
https://www.the-numbers.com/movie/Invisible-Man-The-(2020)#tab=summary,"Rfor some strong bloody violence, and language.(Rating bulletin 2611 (Cert #52535), 1/8/2020)",124 minutes,Horror,Live Action,Science Fiction,"Goalpost Pictures,Blumhouse,Nervous Tick,Universal Pictures","Australia,United States",English,"February 26, 2020","$7,000,000",
https://www.the-numbers.com/movie/Onward-(2020)#tab=summary,"PGfor action/peril and some mild thematic elements.(Rating bulletin 2616 (Cert #52400), 2/12/2020)",114 minutes,Adventure,Digital Animation,Kids Fiction,"Walt Disney Pictures,Disney-Pixar",United States,English,"February 28, 2020","$200,000,000",
https://www.the-numbers.com/movie/Warm-Hug-(2020-China)#tab=summary,,90 minutes,Romantic Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"December 27, 2020",,
https://www.the-numbers.com/movie/Zhong-Guo-Nu-Pai-(China)#tab=summary,,90 minutes,Drama,Live Action,Contemporary Fiction,,China,Mandarin,"January 24, 2020",,
https://www.the-numbers.com/movie/Soul-(2020)#tab=summary,"PGfor thematic elements and some language.(Rating bulletin 2640 (Cert #52618), 7/29/2020)",106 minutes,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,United States,English,"November 20, 2020","$200,000,000",
https://www.the-numbers.com/movie/Call-of-the-Wild-The-(2020)#tab=summary,"PGfor some violence, peril, thematic elements and mild language.(Rating bulletin 2612 (Cert #52529), 1/15/2020)",100 minutes,Adventure,Live Action,Historical Fiction,"20th Century Studios,TSG Entertainment,3 Arts Entertainment",United States,English,"January 03, 2020","$125,000,000",
https://www.the-numbers.com/movie/Xiong-Chu-Mo-Kuang-Ye-Da-Lu-(China)#tab=summary,,99 minutes,Adventure,Digital Animation,Kids Fiction,,China,Mandarin,"January 04, 2020",,Boonie Bears
https://www.the-numbers.com/movie/Chu-bao-(2020-China)#tab=summary,,95 minutes,Drama,Live Action,Contemporary Fiction,Widowmaker Films,China,Mandarin,"November 14, 2020",,
https://www.the-numbers.com/movie/Miracle-In-Cell-No-7-(2020-Philippines)#tab=summary,,120 minutes,Drama,Live Action,Contemporary Fiction,,Philippines,"Filipino,Tagalog","March 13, 2020",,
https://www.the-numbers.com/movie/Jin-Ji-Jiu-Yuan-(2020-China)#tab=summary,"REnglish Dubbed - for disaster-related bloody/disturbing images.(Rating bulletin 2613 (Cert #52560), 1/22/2020)Rfor disaster-related bloody/disturbing images.(Rating bulletin 2613 (Cert #52559), 1/22/2020)",90 minutes,Action,Live Action,Contemporary Fiction,"Film Fireworks,China Communications Press Co LTD,China Modern Film and Television Development Company Limited,Emperor Film Production,Shanghai Tencent Pictures Cultural Diffusion Company,Zhejiang Bona,Beijing Autonavi Yunmap Technology Co, LTD,Tianjin Maoyan Weying Culture Media C, LTD,Ministry of Transport of the People’s Republic of China","China,Hong Kong","Cantonese,Mandarin","January 24, 2020",,
https://www.the-numbers.com/movie/Zhong-Guo-he-huo-ren-(2013-China)#tab=summary,,112 minutes,Drama,Live Action,Contemporary Fiction,,China,Mandarin,"July 24, 2020",,
https://www.the-numbers.com/movie/Wo-Zai-Shi-Jian-Jin-Tou-Deng-Ni-(China)#tab=summary,,90 minutes,Drama,Live Action,Factual,,China,Mandarin,"February 14, 2020",,
https://www.the-numbers.com/movie/Mulan-(2020)#tab=summary,"PG-13for sequences of violence.(Rating bulletin 2617 (Cert #52546), 2/19/2020)",115 minutes,Adventure,Live Action,Historical Fiction,"Walt Disney Pictures,Benderspink Productions","United States,China",English,"July 23, 2020","$200,000,000",
https://www.the-numbers.com/movie/Yin-Yang-Master-I-(2021-China)#tab=summary,,132 minutes,Action,Live Action,Fantasy,"Hehe Pictures Co Ltd,ZUI,Thinkingdom Pictures,Shanghai Film Group,Black Ant Film",China,,"December 25, 2020",,
https://www.the-numbers.com/movie/Stand-by-Me-Doraemon-2-(2020-Japan)#tab=summary,,96 minutes,Comedy,Digital Animation,Science Fiction,,Japan,"Japanese,English,German,Korean,Spanish,Urdu,Hindi","November 20, 2020",,Doraemon
