link,Production Budget,Running Time,Genre,Production Method,Production Countries,Languages,Release Date,Production/Financing Companies
https://www.the-numbers.com/movie/Life-(2017)#tab=summary,"$58,000,000",103 minutes,Thriller/Suspense,Live Action,"United States,United Kingdom",English,"March 22, 2017","Columbia Pictures,Skydance Productions"
https://www.the-numbers.com/movie/Atomic-Blonde#tab=summary,"$30,000,000",114 minutes,Thriller/Suspense,Live Action,United States,English,"July 27, 2017","Focus Features,Sierra Films,Denver & Delilah Films,Chickie The Cop,GIM Films,87Eleven Inc."
https://www.the-numbers.com/movie/Yao-Mao-Zhuan-(China)-(2017)#tab=summary,,119 minutes,Drama,Live Action,"China,Japan,Hong Kong","Mandarin,Japanese","December 22, 2017","Huaxia Film & Distribution Coroporation,Wanda Media,Emperor Motion Picture,Emperor Film Production,New Classic Media,Kadokawa Pictures,Beijing 21st Century Shengkai Film"
https://www.the-numbers.com/movie/Chasing-the-Dragon-(Hong-Kong)#tab=summary,,128 minutes,Action,Live Action,"Hong Kong,China","Cantonese,Teochew","September 29, 2017",
https://www.the-numbers.com/movie/Taeksi-Woonjunsa-(South-Korea)#tab=summary,,137 minutes,Drama,Live Action,Republic of Korea,Korean,"July 10, 2017",
https://www.the-numbers.com/movie/Rings-(2017)#tab=summary,"$25,000,000",102 minutes,Horror,Live Action,United States,English,"February 03, 2017","Paramount Pictures,Parkes+Macdonald Productions"
https://www.the-numbers.com/movie/Once-Upon-a-Time-(China)#tab=summary,,108 minutes,Drama,Live Action,China,Mandarin,"August 03, 2017",
https://www.the-numbers.com/movie/Boonie-Bears-Entangled-Worlds-(China)(2017)#tab=summary,,91 minutes,Adventure,Digital Animation,China,English,"January 14, 2017",Viva Kids
https://www.the-numbers.com/movie/Tiger-Zinda-Hai-(India)#tab=summary,,145 minutes,Action,Live Action,India,Hindi,"December 22, 2017",Yash Raj Films
https://www.the-numbers.com/movie/Nut-Job-2-Nutty-by-Nature-The#tab=summary,"$40,000,000",91 minutes,Adventure,Digital Animation,"United States,Republic of Korea,Canada",English,"August 11, 2017","Toonbox Entertainment,Red Rover Films,Gulfstream Pictures"
https://www.the-numbers.com/movie/Feng-Ren-Ji-Yue-Dui-(2017-China)#tab=summary,,140 minutes,Musical,Live Action,China,Mandarin,"September 23, 2017",
https://www.the-numbers.com/movie/American-Assassin#tab=summary,"$63,000,000",112 minutes,Thriller/Suspense,Live Action,United States,English,"September 14, 2017","CBS Films,Lorenzo di Bonaventura,Nick Wechsler"
https://www.the-numbers.com/movie/Victoria-and-Abdul#tab=summary,"$21,000,000",112 minutes,Drama,Live Action,"United Kingdom,United States",English,"September 13, 2017","Focus Features,Perfect World Pictures,BBC Films,Working Title Films,Cross Street Films"
https://www.the-numbers.com/movie/Fack-ju-Gohte-3-(2017-Germany)#tab=summary,,118 minutes,Comedy,Live Action,Germany,German,"October 26, 2017",
https://www.the-numbers.com/movie/Meitantei-Konan-Kara-Kurenai-no-Rabu-Retta-(2017-Japan)#tab=summary,,112 minutes,Action,Digital Animation,Japan,Japanese,"April 15, 2017",
https://www.the-numbers.com/movie/47-Meters-Down#tab=summary,"$5,300,000",89 minutes,Thriller/Suspense,Live Action,United States,English,"May 26, 2017","Dimension Films,The Fyzz Facility,Dragon Root,Flexibon Films,The Tea Shop & Film Company,Lantica Pictures"
https://www.the-numbers.com/movie/Mountain-Between-Us-The#tab=summary,,104 minutes,Adventure,Live Action,United States,English,"October 06, 2017","Chernin Entertainment,Fox 2000 Pictures"
https://www.the-numbers.com/movie/Star-The#tab=summary,"$20,000,000",86 minutes,Adventure,Digital Animation,United States,English,"November 15, 2017","Sony Pictures Animation,Franklin Entertainment,Walden Media,Jim Henson Productions"
https://www.the-numbers.com/movie/How-to-Be-a-Latin-Lover#tab=summary,"$10,000,000",115 minutes,Comedy,Live Action,United States,"English,Spanish","April 28, 2017","3Pas Studios,Pantelion Films,Lionsgate,Videocine"
https://www.the-numbers.com/movie/Dvizhenie-Vverkh-(2017-Russia)#tab=summary,"$7,800,000",133 minutes,Drama,Live Action,Russian Federation,Russian,"December 28, 2017",
https://www.the-numbers.com/movie/Everything-Everything#tab=summary,"$10,000,000",96 minutes,Drama,Live Action,United States,English,"May 19, 2017","Metro-Goldwyn-Mayer Pictures,Alloy Entertainment"
https://www.the-numbers.com/movie/Snatched-(2017)#tab=summary,"$42,000,000",90 minutes,Comedy,Live Action,United States,English,"May 12, 2017","Feigco Entertainment,Chernin Entertainment,20th Century Fox"
https://www.the-numbers.com/movie/Devotion-of-Suspect-X-The-(2017-China)#tab=summary,,112 minutes,Thriller/Suspense,Live Action,China,Mandarin,"March 24, 2017",
https://www.the-numbers.com/movie/Chai-dan-zhuanjia-(2017-Hong-Kong)#tab=summary,"$23,000,000",119 minutes,Action,Live Action,Hong Kong,Cantonese,"April 27, 2017","Bona Film Group,Infinitus Entertainment"
https://www.the-numbers.com/movie/Yao-Ling-Ling-(China)-(2017)#tab=summary,,89 minutes,Comedy,Live Action,China,Mandarin,"December 29, 2017",
https://www.the-numbers.com/movie/All-the-Money-in-the-World#tab=summary,"$50,000,000",132 minutes,Thriller/Suspense,Live Action,"United States,United Kingdom",English,"December 25, 2017","Tri-Star Pictures,Imperative Entertainment,Scott Free Films,RedRum Films"
https://www.the-numbers.com/movie/Big-Sick-The-(2017)#tab=summary,"$5,000,000",119 minutes,Romantic Comedy,Live Action,United States,"English,Urdu","June 23, 2017","Amazon Studios,FilmNation Entertainment,Apatow Productions"
https://www.the-numbers.com/movie/Confidential-Assignment-(South-Korea)#tab=summary,,125 minutes,Action,Live Action,Republic of Korea,Korean,"January 10, 2017",
https://www.the-numbers.com/movie/Downsizing#tab=summary,"$68,000,000",135 minutes,Comedy,Live Action,United States,English,"December 22, 2017","Paramount Pictures,Annapurna Pictures,Ad Hominem Enterpises"
https://www.the-numbers.com/movie/I-Tonya-(2017)#tab=summary,"$11,000,000",120 minutes,Black Comedy,Live Action,United States,English,"December 08, 2017","Clubhouse Pictures,LuckyChap Entertainment,30 West,AI Film"
