link,Production Budget,Running Time,Genre,Production Method,Production Countries,Languages,Release Date,Production/Financing Companies
https://www.the-numbers.com/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary,"$262,000,000",150 minutes,Adventure,Animation/Live Action,United States,English,"December 13, 2017","Lucasfilm,Walt Disney Pictures"
https://www.the-numbers.com/movie/Despicable-Me-3#tab=summary,"$75,000,000",90 minutes,Adventure,Digital Animation,United States,English,"June 14, 2017","Illumination Entertainment,Universal Pictures"
https://www.the-numbers.com/movie/Jumanji-Welcome-to-the-Jungle#tab=summary,"$90,000,000",119 minutes,Adventure,Live Action,United States,English,"December 20, 2017","Columbia Pictures,Matt Tolmach Productions,Seven Bucks Productions"
https://www.the-numbers.com/movie/Spider-Man-Homecoming#tab=summary,"$175,000,000",133 minutes,Action,Live Action,United States,English,"June 30, 2017","Marvel Studios,Columbia Pictures,LStar Capital"
https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary,"$200,000,000",136 minutes,Action,Animation/Live Action,United States,English,"April 28, 2017",Marvel Studios
https://www.the-numbers.com/movie/Thor-Ragnarok#tab=summary,"$180,000,000",130 minutes,Action,Live Action,United States,English,"October 18, 2017",Marvel Studios
https://www.the-numbers.com/movie/Wonder-Woman-(2017)#tab=summary,"$150,000,000",141 minutes,Action,Live Action,United States,English,"May 29, 2017","Warner Bros.,Atlas Entertainment,Cruel and Unusual Films,RatPac Entertainment,Dune Entertainment,Tencent Pictures,Wanda Pictures,DC Films"
https://www.the-numbers.com/movie/Wolf-Warrior-2-(2017-China)#tab=summary,,121 minutes,Action,Live Action,China,"Mandarin,English","July 27, 2017",
https://www.the-numbers.com/movie/Justice-League-(2017)#tab=summary,"$300,000,000",121 minutes,Action,Live Action,United States,English,"November 13, 2017","DC Films,RatPac Entertainment,Atlas Entertainment,Cruel and Unusual Films"
https://www.the-numbers.com/movie/Logan-(2017)#tab=summary,"$127,000,000",135 minutes,Action,Live Action,United States,English,"February 23, 2017","Marvel Studios,TSG Entertainment,Donners’ Company"
https://www.the-numbers.com/movie/Transformers-The-Last-Knight#tab=summary,"$217,000,000",148 minutes,Action,Animation/Live Action,United States,English,"June 20, 2017","di Bonaventura Pictures,Paramount Pictures,Hasbro Studios"
https://www.the-numbers.com/movie/Dunkirk-(2017)#tab=summary,"$150,000,000",107 minutes,Action,Live Action,"United States,France,United Kingdom,Netherlands",English,"July 18, 2017","Warner Bros.,Syncopy,RatPac Entertainment,Dune Entertainment"
https://www.the-numbers.com/movie/Boss-Baby-The#tab=summary,"$125,000,000",97 minutes,Adventure,Digital Animation,United States,English,"March 17, 2017",DreamWorks Animation
https://www.the-numbers.com/movie/War-for-the-Planet-of-the-Apes#tab=summary,"$152,000,000",142 minutes,Action,Animation/Live Action,United States,English,"July 14, 2017","20th Century Fox,Chernin Entertainment"
https://www.the-numbers.com/movie/Greatest-Showman-The#tab=summary,"$84,000,000",105 minutes,Musical,Live Action,United States,English,"December 11, 2017","Chernin Entertainment,Seed Productions,Laurence Mark,TSG Entertainment,Twentieth Century Fox"
https://www.the-numbers.com/movie/Mummy-The-(2017)#tab=summary,"$195,000,000",107 minutes,Adventure,Live Action,United States,English,"June 02, 2017","Universal Pictures,Perfect World Pictures,Secret Hideout,Conspiracy Factory,Sean Daniel Company"
https://www.the-numbers.com/movie/Kingsman-The-Golden-Circle#tab=summary,"$104,000,000",141 minutes,Action,Live Action,"United Kingdom,United States",English,"September 19, 2017","20th Century Fox,MARV Films"
https://www.the-numbers.com/movie/Cars-3#tab=summary,"$175,000,000",109 minutes,Adventure,Digital Animation,United States,English,"June 16, 2017","Disney-Pixar,Walt Disney Pictures"
https://www.the-numbers.com/movie/Murder-on-the-Orient-Express-(2017)#tab=summary,"$55,000,000",114 minutes,Drama,Live Action,United States,English,"November 03, 2017","The Mark Gordon Company,Scott Free Films,Kinberg Genre,20th Century Fox"
https://www.the-numbers.com/movie/xXx-Return-of-Xander-Cage#tab=summary,"$85,000,000",110 minutes,Action,Live Action,United States,English,"January 19, 2017","Paramount Pictures,Revolution Studios,RK Films,One Race Films"
https://www.the-numbers.com/movie/Never-Say-Die-(China)#tab=summary,,100 minutes,Comedy,Live Action,China,Mandarin,"September 29, 2017",
https://www.the-numbers.com/movie/Lego-Batman-Movie-The#tab=summary,"$80,000,000",106 minutes,Adventure,Digital Animation,United States,English,"February 02, 2017","Warner Bros.,Lego Systems A/S,Lin Pictures,Lord Miller,Vertigo Entertainment,Warner Animation Group"
https://www.the-numbers.com/movie/Wonder-(2017)#tab=summary,"$20,000,000",113 minutes,Drama,Live Action,United States,English,"October 17, 2017","Participant Media,Walden Media,Mandeville Films,Lionsgate"
https://www.the-numbers.com/movie/Qian-Ren-3-Yan-Zhi-Da-Zuo-Zhan-(China)#tab=summary,,120 minutes,Romantic Comedy,Live Action,China,Mandarin,"December 26, 2017",
https://www.the-numbers.com/movie/Split-(2017)#tab=summary,"$9,000,000",116 minutes,Horror,Live Action,United States,English,"January 18, 2017","Blumhouse,Universal Pictures,Blinding Edge Pictures"
https://www.the-numbers.com/movie/Baahubali-2-The-Conclusion-(India)#tab=summary,"$30,000,000",167 minutes,Action,Live Action,India,"Telugu,Tamil","April 28, 2017","Dharma Productions,Arka Media Works,AA Films"
