link,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Running Time,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Late-Night-with-the-Devil-(2023-Australia)#tab=summary,Horror,Live Action,Historical Fiction,Australia,English,"August 17, 2023",92 minutes,,"Rfor violent content, some gore, and language including a sexual reference.(Rating bulletin 2819 (cert #54836), 1/31/2024)","Image Nation Abu Dhabi,VicScreen,AGC,Good Fiend Films,Future Pictures,Spooky Pictures",
https://www.the-numbers.com/movie/Shin-Kamen-Rider-(2023-Japan)#tab=summary,Action,Live Action,Contemporary Fiction,Japan,Japanese,"March 18, 2023",121 minutes,,,,Kamen Rider Series
https://www.the-numbers.com/movie/Tokyo-Revengers-2-Bloody-Halloween-Decisive-Battle-(2023-Japan)#tab=summary,Drama,Live Action,Science Fiction,Japan,Japanese,"June 30, 2023",,,,,Tokyo Revengers
https://www.the-numbers.com/movie/Worlds-Greatest-Dad-(2023-China)#tab=summary,Drama,Live Action,Contemporary Fiction,China,Mandarin,"October 27, 2023",120 minutes,,,,
https://www.the-numbers.com/movie/30-il-(2023-South-Korea)#tab=summary,Romantic Comedy,Live Action,Contemporary Fiction,Republic of Korea,Korean,"October 03, 2023",,,,,
https://www.the-numbers.com/movie/Joy-Ride-(2023)#tab=summary,Comedy,Live Action,Contemporary Fiction,United States,English,"July 05, 2023",94 minutes,,"Rfor strong and crude sexual content, language throughout, drug content and brief graphic nudity.(Rating bulletin 2790 (cert #53514), 7/5/2023)","Lionsgate,Point Grey,Red Mysterious Hippo",
https://www.the-numbers.com/movie/Dr-Cheon-and-Lost-Talisman-(2023-South-Korea)#tab=summary,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"September 27, 2023",98 minutes,,,,
https://www.the-numbers.com/movie/If-You-Are-the-One-3-(2023-China)#tab=summary,Romantic Comedy,Live Action,Contemporary Fiction,China,Mandarin,"December 30, 2023",,,,,
https://www.the-numbers.com/movie/If-We-Were-Lucky-(2023-China)#tab=summary,Romantic Comedy,Live Action,Contemporary Fiction,China,Mandarin,"September 09, 2023",92 minutes,,,,
https://www.the-numbers.com/movie/Zhong-Guo-Ping-Pang-(2023-China)#tab=summary,Drama,Live Action,Contemporary Fiction,China,Mandarin,"January 18, 2023",140 minutes,,,,
https://www.the-numbers.com/movie/Ocho-Apellidos-Marroquis-(2023-Spain)#tab=summary,Comedy,Live Action,Contemporary Fiction,Spain,Spanish,"December 01, 2023",,,,,
https://www.the-numbers.com/movie/Beyond-the-Clouds-(2023-China)#tab=summary,Drama,Live Action,Contemporary Fiction,China,Mandarin,"November 24, 2023",,,,,
