link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Kholop-(2019-Russia)#tab=summary,,109 minutes,Comedy,Live Action,Contemporary Fiction,Russian Federation,Russian,"December 26, 2019",,,Kholop
https://www.the-numbers.com/movie/Kingudamu-(Japan)-(2019)#tab=summary,"Rfor violence.(Rating bulletin 2587 (Cert #52251), 7/17/2019)",134 minutes,Drama,Live Action,Historical Fiction,Japan,Japanese,"April 19, 2019",,Credeus,Kingdom
https://www.the-numbers.com/movie/Uncut-Gems#tab=summary,"Rfor pervasive strong language, violence, some sexual content and brief drug use.(Rating bulletin 2597 (Cert #52348), 9/25/2019)",135 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"December 13, 2019",,,
https://www.the-numbers.com/movie/Grudge-The-(2020)#tab=summary,"Rfor disturbing violence and bloody images, terror and some language.(Rating bulletin 2600 (Cert #52323), 10/16/2019)",94 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"December 31, 2019","$10,000,000","Screen Gems,Stage 6 Films,Ghost House Pictures",Grudge
https://www.the-numbers.com/movie/Breakthrough-(2019)#tab=summary,"PGfor thematic content including peril.(Rating bulletin 2546 (Cert #51836), 9/26/2018)",116 minutes,Drama,Live Action,Dramatization,United States,English,"April 12, 2019","$14,000,000","Fox 2000 Pictures,Franklin Entertainment",
https://www.the-numbers.com/movie/Little-(2019)#tab=summary,"PG-13for some suggestive content.(Rating bulletin 2566 (Cert #52056), 2/20/2019)",109 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"April 11, 2019",,"Universal Pictures,Legendary Pictures,Perfect World Pictures,Will Packer Productions",
https://www.the-numbers.com/movie/Isnt-it-Romantic-(2019)#tab=summary,"PG-13for language, some sexual material, and a brief drug reference.(Rating bulletin 2546 (Cert #51816), 9/26/2018)",88 minutes,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,"February 13, 2019","$31,000,000","New Line Cinema,Bron Creative,Broken Road,Little Engine",
https://www.the-numbers.com/movie/Queen-and-Slim-(2019)#tab=summary,"Rfor violence, some strong sexuality, nudity, pervasive language, and brief drug use.(Rating bulletin 2588 (Cert #52310), 7/24/2019)",132 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"November 27, 2019","$20,000,000","Makeready,3Blackdot,Bron Creative,De La Revolucion Films,Hillman Grad Productions,Universal Pictures,Entertainment One",
https://www.the-numbers.com/movie/Shaun-the-Sheep-Movie-Farmageddon-(UK)-(2019)#tab=summary,"G(Rating bulletin 2612 (Cert #52520), 1/15/2020)",86 minutes,Adventure,Digital Animation,Kids Fiction,"United Kingdom,United States,France",English,"September 26, 2019",,"StudioCanal,Aardman Animations,Anton Capital Entertainment",Shaun the Sheep
https://www.the-numbers.com/movie/47-Meters-Down-Uncaged-(2019)#tab=summary,"PG-13for creature related violence and terror, some bloody images and brief rude gestures.(Rating bulletin 2587 (Cert #52279), 7/17/2019)",89 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"United Kingdom,United States",English,"August 15, 2019","$12,000,000","The Fyzz Facility,Entertainment Studios Motion Pictures",47 Meters Down
https://www.the-numbers.com/movie/Midsommar-(2019)#tab=summary,"Rfor disturbing ritualistic violence and grisly images, strong sexual content, graphic nudity, drug use and language.(Rating bulletin 2584 (Cert #52245), 6/26/2019)",147 minutes,Horror,Live Action,Contemporary Fiction,"United States,Sweden","English,Swedish","July 03, 2019","$9,000,000","Square Peg,B-Reel Films,A24",
https://www.the-numbers.com/movie/Zhui-Long-2-Zhui-Ji-Da-Fu-Hao-(Hong-Kong)-(2019)#tab=summary,Not Rated,100 minutes,Action,Live Action,Dramatization,Hong Kong,Cantonese,"June 05, 2019",,"Bona Film Group,Alibaba Pictures,Mega-Vision Pictures",Chasing the Dragon
https://www.the-numbers.com/movie/Judy-(2019)#tab=summary,"PG-13for substance abuse, thematic content, some strong language, and smoking.(Rating bulletin 2576 (Cert #51854), 5/1/2019)",118 minutes,Drama,Live Action,Dramatization,United Kingdom,English,"September 27, 2019",,"LD Entertainment,Roadside Attractions,Pathe,BBC Films,Ingenious Media,Calamity Films",
https://www.the-numbers.com/movie/Richard-Jewell#tab=summary,"Rfor language including some sexual references, and brief bloody images.(Rating bulletin 2604 (Cert #52441), 11/3/2019)",129 minutes,Drama,Live Action,Dramatization,United States,English,"December 13, 2019","$45,000,000","Appian Way,75 Year Plan,Misher Films,Malpaso Productions,Warner Bros.",
https://www.the-numbers.com/movie/Harriet-(2019)#tab=summary,"PG-13for thematic content throughout, violent material and language including racial epithets.(Rating bulletin 2598 (Cert #52136), 10/2/2019)",125 minutes,Drama,Live Action,Dramatization,United States,English,"November 01, 2019","$17,000,000","Martin Chase Productions,Stay Gold Features,Focus Features,Perfect World Pictures",
