link,Production Budget,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary,"$115,000,000",PG-13for sci-fi violence and some intense images,139 minutes,Star Wars,Adventure,Animation/Live Action,Science Fiction,Lucasfilm,United States,English,"May 18, 2005"
https://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary,"$150,000,000",PG-13for sequences of fantasy violence and frightening images.,150 minutes,Harry Potter,Adventure,Animation/Live Action,Fantasy,"Warner Bros.,Heyday Films","United Kingdom,United States",English,"November 18, 2005"
https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary,"$180,000,000",PGfor battle sequences and frightening moments.,140 minutes,Chronicles of Narnia,Adventure,Animation/Live Action,Fantasy,"Walt Disney Pictures,Walden Media,Mark Johnson","United States,United Kingdom",English,"December 09, 2005"
https://www.the-numbers.com/movie/War-of-the-Worlds#tab=summary,"$132,000,000",PG-13for frightening sequences of sci-fi violence and disturbing images.,116 minutes,,Action,Animation/Live Action,Science Fiction,"Paramount Pictures,DreamWorks Pictures,Amblin Entertainment,Cruise-Wagner",United States,English,"June 24, 2005"
https://www.the-numbers.com/movie/King-Kong-(2005)#tab=summary,"$207,000,000",PG-13for frightening adventure violence and some disturbing images.,189 minutes,King Kong,Adventure,Animation/Live Action,Fantasy,Wingnut Films,"New Zealand,United States",English,"December 14, 2005"
https://www.the-numbers.com/movie/Madagascar#tab=summary,"$75,000,000","PGfor mild language, crude humor and some thematic elements",86 minutes,Madagascar,Adventure,Digital Animation,Kids Fiction,"DreamWorks Animation,PDI",United States,English,"May 27, 2005"
https://www.the-numbers.com/movie/Mr-and-Mrs-Smith#tab=summary,"$110,000,000","PG-13for sequences of violence, intense action, sexual content and brief strong language.",120 minutes,,Action,Live Action,Contemporary Fiction,"Regency Enterprises,New Regency,Summit Entertainment,Weed Road Pictures",United States,English,"June 10, 2005"
https://www.the-numbers.com/movie/Charlie-and-the-Chocolate-Factory-(2005)#tab=summary,"$150,000,000","PGfor quirky situations, action and mild language.",115 minutes,Charlie and the Chocolate Factory,Adventure,Live Action,Kids Fiction,"Village Roadshow Productions,Warner Bros.,Zancuk Company,Plan B Entertainment",United States,English,"July 15, 2005"
https://www.the-numbers.com/movie/Hitch#tab=summary,"$55,000,000",PG-13for language and some strong sexual references,117 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,"Columbia Pictures,Overbrook Entertainment",United States,English,"February 11, 2005"
https://www.the-numbers.com/movie/Batman-Begins#tab=summary,"$150,000,000","PG-13for intense action violence, disturbing images and some thematic elements.",140 minutes,BatmanDark Knight Trilogy,Action,Live Action,Super Hero,Legendary Pictures,United States,English,"June 15, 2005"
https://www.the-numbers.com/movie/Fantastic-Four-(2005)#tab=summary,"$87,500,000","PG-13for sequences of intense action, and some suggestive content.",106 minutes,Fantastic Four,Action,Live Action,Super Hero,"20th Century Fox,Constantin Film,Marvel Studios,1492 Pictures,Bernd Eichinger",United States,English,"July 08, 2005"
https://www.the-numbers.com/movie/Chicken-Little#tab=summary,"$150,000,000",G,82 minutes,,Adventure,Digital Animation,Kids Fiction,Walt Disney Animation Studios,United States,English,"November 04, 2005"
https://www.the-numbers.com/movie/Wedding-Crashers#tab=summary,"$40,000,000",Rfor sexual content/nudity and language.,119 minutes,,Comedy,Live Action,Contemporary Fiction,Tapestry Films,United States,English,"July 15, 2005"
https://www.the-numbers.com/movie/Robots#tab=summary,"$80,000,000",PGfor some brief language and suggestive humor.,90 minutes,,Adventure,Digital Animation,Kids Fiction,"20th Century Fox Animation,Blue Sky Studios",United States,English,"March 11, 2005"
https://www.the-numbers.com/movie/Constantine#tab=summary,"$75,000,000",Rfor violence and demonic images.,121 minutes,John Constantine,Action,Live Action,Contemporary Fiction,"Weed Road Pictures,Village Roadshow Productions","United States,Germany",English,"February 18, 2005"
https://www.the-numbers.com/movie/Kingdom-of-Heaven#tab=summary,"$110,000,000",Rfor strong violence and epic warfare,148 minutes,,Action,Live Action,Historical Fiction,Twentieth Century Fox,United States,English,"May 06, 2005"
https://www.the-numbers.com/movie/Flightplan#tab=summary,"$55,000,000",PG-13for violence and some intense plot material.,98 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,"Touchstone Pictures,Imagine Entertainment,Brian Grazer Productions",United States,English,"September 23, 2005"
https://www.the-numbers.com/movie/Fun-with-Dick-And-Jane-(2005)#tab=summary,"$140,000,000","PG-13for brief language, some sexual humor and occasional humorous drug references.",90 minutes,,Black Comedy,Live Action,Contemporary Fiction,"Columbia Pictures,Imagine Entertainment,Brian Grazer Productions,JC 23 Entertainment,Bart/Palevsky",United States,English,"December 21, 2005"
https://www.the-numbers.com/movie/Pacifier-The#tab=summary,"$56,000,000","PGfor action violence, language and rude humor.",95 minutes,,Comedy,Live Action,Contemporary Fiction,"Walt Disney Pictures,Spyglass Entertainment,Birnbaum/Barber","United States,Canada",English,"March 04, 2005"
https://www.the-numbers.com/movie/Wallace-and-Gromit-The-Curse-of-the-Were-Rabbit#tab=summary,"$30,000,000",G,85 minutes,Wallace and Gromit,Adventure,Stop-Motion Animation,Kids Fiction,"Aardman Animations,DreamWorks Animation",United States,English,"September 15, 2005"
https://www.the-numbers.com/movie/Longest-Yard-The-(2005)#tab=summary,"$82,000,000","PG-13for crude and sexual humor, violence, language and drug references.",113 minutes,,Comedy,Live Action,Contemporary Fiction,"Paramount Pictures,Columbia Pictures,Happy Madison,MTV Films,Callahan Filmworks",United States,English,"May 27, 2005"
https://www.the-numbers.com/movie/Walk-the-Line#tab=summary,"$29,000,000","PG-13for some language, thematic material and depiction of drug dependency.",136 minutes,,Drama,Live Action,Dramatization,"Fox 2000 Pictures,Tree Line Film,Catfish",United States,English,"November 18, 2005"
https://www.the-numbers.com/movie/Brokeback-Mountain#tab=summary,"$13,900,000","Rfor sexuality, nudity, language and some violence.",134 minutes,,Drama,Live Action,Historical Fiction,River Road Entertainment,United States,English,"December 09, 2005"
https://www.the-numbers.com/movie/40-Year-old-Virgin-The#tab=summary,"$26,000,000","Rfor pervasive sexual content, language and some drug use",116 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,"Judd Apatow,Universal Pictures",United States,English,"August 19, 2005"
https://www.the-numbers.com/movie/Island-The-(2005)#tab=summary,"$120,000,000","PG-13for intense sequences of violence and action, some sexuality and language.",136 minutes,,Action,Live Action,Science Fiction,Parkes+Macdonald Productions,United States,English,"July 22, 2005"
https://www.the-numbers.com/movie/Interpreter-The-(2005)#tab=summary,"$90,000,000","PG-13for violence, some sexual content and brief strong language.",128 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,"Universal Pictures,Working Title Films",United Kingdom,English,"April 15, 2005"
https://www.the-numbers.com/movie/Ring-Two-The-(2005)#tab=summary,"$50,000,000","PG-13for violence/terror, disturbing images, thematic elements and some language.",109 minutes,Ring,Horror,Live Action,Contemporary Fiction,Parkes+Macdonald Productions,United States,English,"March 18, 2005"
https://www.the-numbers.com/movie/Memoirs-of-a-Geisha#tab=summary,"$85,000,000",PG-13for mature subject matter and some sexual content.,137 minutes,,Drama,Live Action,Historical Fiction,"Columbia Pictures,DreamWorks Pictures,Spyglass Entertainment",United States,English,"December 09, 2005"
