link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies
https://www.the-numbers.com/movie/X-(2022-Horror)#tab=summary,105 minutes,X (Mia Goth),Horror,Live Action,Historical Fiction,United States,English,"March 17, 2022","$1,000,000","Rfor strong bloody violence and gore, strong sexual content, graphic nudity, drug use, and language.(Rating bulletin 2712 (cert #53557), 12/22/2021)","A24,Bron Creative"
https://www.the-numbers.com/movie/Doraemon-the-Movie-Nobitas-Little-Star-Wars-2021-(2022-Japan)#tab=summary,108 minutes,,Adventure,Digital Animation,Kids Fiction,Japan,Japanese,"May 28, 2022",,,
https://www.the-numbers.com/movie/Glass-Onion-A-Knives-Out-Mystery-(2022)#tab=summary,139 minutes,Knives Out,Drama,Live Action,Contemporary Fiction,United States,English,"November 23, 2022",,"PG-13for strong language, some violence, sexual material and drug content.(Rating bulletin 2736 (cert #53766), 6/15/2022)","T-Street,Media Rights Capital,Lionsgate"
https://www.the-numbers.com/movie/Serdtse-parmy-(2022-Russia)#tab=summary,,,Action,Live Action,Historical Fiction,Russian Federation,,"October 06, 2022",,,
https://www.the-numbers.com/movie/Bros-(2022)#tab=summary,115 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,"September 30, 2022","$22,000,000","Rfor strong sexual content, language throughout and some drug use.(Rating bulletin 2728 (cert #53747), 4/20/2022)","Apatow Productions,Universal Pictures"
https://www.the-numbers.com/movie/Chosen-The-Season-3-Episodes-1-and-2-(2022)#tab=summary,150 minutes,The Chosen,Drama,Live Action,Dramatization,United States,English,"November 18, 2022",,,Angel Studios
https://www.the-numbers.com/movie/6-45-(2022-South-Korea)#tab=summary,113 minutes,,Comedy,Live Action,Contemporary Fiction,Republic of Korea,Korean,"August 24, 2022",,,
https://www.the-numbers.com/movie/Duke-The-(2020-UK)#tab=summary,96 minutes,,Comedy,Live Action,Dramatization,United Kingdom,English,"December 10, 2021",,"Rfor language and brief sexuality.(Rating bulletin 2670 (cert #53106), 3/3/2021)","Pathe,Ingenious Media,Screen Yorkshire,Neon Films"
https://www.the-numbers.com/movie/Bodies-Bodies-Bodies#tab=summary,95 minutes,,Horror,Live Action,Contemporary Fiction,United States,English,"August 05, 2022",,"Rfor violence, bloody images, drug use, sexual references and pervasive language.(Rating bulletin 2726 (cert #53668), 4/6/2022)","A24,2AM"
https://www.the-numbers.com/movie/Moonage-Daydream-(2022)#tab=summary,,,Documentary,Live Action,Factual,"Germany,United States",English,"September 14, 2022",,"PG-13for some sexual images/nudity, brief strong language and smoking.(Rating bulletin 2744 (cert #53979), 8/10/2022)","HBO Documentary Films,IMAX Documentary Films Capital"
https://www.the-numbers.com/movie/Good-Luck-to-You-Leo-Grande-(2022-United-Kingdom)#tab=summary,97 minutes,,Comedy,Live Action,Contemporary Fiction,United Kingdom,English,"June 17, 2022","$4,000,000","Rfor sexual content, graphic nudity and some language.(Rating bulletin 2722 (cert #53641), 3/9/2022)","Genesius Pictures,Cornerstone Films,CAA Media Finance"
https://www.the-numbers.com/movie/Easter-Sunday-(2022)#tab=summary,,,Comedy,Live Action,Contemporary Fiction,United States,English,"August 04, 2022","$17,000,000","PG-13for some strong language, and suggestive references.(Rating bulletin 2736 (cert #53811), 6/15/2022)",DreamWorks Pictures
https://www.the-numbers.com/movie/Memory-(Dir-Martin-Campbell)#tab=summary,114 minutes,,Action,Live Action,Contemporary Fiction,United States,English,"April 29, 2022",,"Rfor violence, some bloody images and language throughout.(Rating bulletin 2719 (cert #53548), 2/16/2022)","Black Bear,Welle Entertainment,Briarcliff Entertainment,Open Road Films,Saville Productions,Arthur Sarkissian"
https://www.the-numbers.com/movie/After-Ever-Happy-(2022)#tab=summary,,After,Drama,Live Action,Contemporary Fiction,United States,English,"August 24, 2022",,"Rfor language throughout, some sexual content and brief drug material.(Rating bulletin 2743 (cert #53599), 8/3/2022)",Voltage Pictures
https://www.the-numbers.com/movie/Living-(2022-United-Kingdom)#tab=summary,102 minutes,,Drama,Live Action,Historical Fiction,United Kingdom,English,"November 04, 2022",,"PG-13for some suggestive material and smoking.(Rating bulletin 2742 (cert #53935), 7/27/2022)","Film 4,County Hall Arts,Lip Sync,Rocket Science,Kurosawa Productions,Stephen Woolley,Elizabeth Karlsen,Number 9 Films,Filmgate Films,Film i Vast,CAA Media Finance"
https://www.the-numbers.com/movie/wigyein-1bu-(2022-South-Korea)#tab=summary,143 minutes,,Action,Live Action,Science Fiction,Republic of Korea,Korean,"July 20, 2022",,,
https://www.the-numbers.com/movie/beurokeo-(2022-South-Korea)#tab=summary,129 minutes,,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"June 08, 2022",,"Rfor some language.(Rating bulletin 2759 (cert #54148), 11/23/2022)",
https://www.the-numbers.com/movie/Turning-Red-(2022)#tab=summary,100 minutes,,Adventure,Digital Animation,Science Fiction,"United States,Canada",English,"March 10, 2022","$175,000,000","PGfor thematic material, suggestive content and language.(Rating bulletin 2708 (cert #53432), 11/24/2021)",Disney-Pixar
https://www.the-numbers.com/movie/New-Happy-Dad-and-Son-5-My-Alien-Friend-(2022-China)#tab=summary,81 minutes,,Comedy,Digital Animation,Contemporary Fiction,China,Mandarin,"October 01, 2022",,,
https://www.the-numbers.com/movie/Men-(2022-United-Kingdom)#tab=summary,100 minutes,,Horror,Live Action,Contemporary Fiction,United Kingdom,English,"May 20, 2022","$6,500,000","Rfor disturbing and violent content, graphic nudity, grisly images and language.(Rating bulletin 2724 (cert #53581), 2/23/2022)",DNA Films
https://www.the-numbers.com/movie/Octonauts-and-the-Caves-of-Sac-Actun-(2020-United-Kingdom)#tab=summary,,,Adventure,Digital Animation,Kids Fiction,United Kingdom,,"February 17, 2022",,,
https://www.the-numbers.com/movie/Empire-of-Light-(2022)#tab=summary,119 minutes,,Drama,Live Action,Historical Fiction,"United States,United Kingdom",English,"December 09, 2022",,"Rfor sexual content, language and brief violence.(Rating bulletin 2741 (cert #53918), 7/20/2022)",
https://www.the-numbers.com/movie/Wunderschon-(2020-Germany)#tab=summary,,Beautiful,,Live Action,,Germany,German,"February 03, 2022",,,
https://www.the-numbers.com/movie/Song-of-Spring-(2022-China)#tab=summary,109 minutes,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"September 09, 2022",,,
https://www.the-numbers.com/movie/Till-(2022)#tab=summary,130 minutes,,Drama,Live Action,Dramatization,United States,English,"October 14, 2022",,"PG-13for thematic content involving racism, strong disturbing images and racial slurs.(Rating bulletin 2748 (Cert #53730), 9/7/2022)","Orion Pictures,Metro-Goldwyn-Mayer Pictures"
https://www.the-numbers.com/movie/Even-if-This-Love-Disappears-from-the-World-Tonight-(2022-Japan)#tab=summary,,,Drama,Live Action,Contemporary Fiction,Japan,Japanese,"July 29, 2022",,,
https://www.the-numbers.com/movie/Ma-Ma-(2022-China)#tab=summary,109 minutes,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"September 10, 2022",,,
https://www.the-numbers.com/movie/otto-montagne-Le-(2022-Italy)#tab=summary,147 minutes,,Drama,Live Action,Contemporary Fiction,"Italy,Belgium",Italian,"December 21, 2022",,,Sideshow
https://www.the-numbers.com/movie/Pearl-(2022-Horror)#tab=summary,102 minutes,X (Mia Goth),Horror,Live Action,Historical Fiction,United States,English,"September 16, 2022",,"Rfor some strong violence, gore, strong sexual content and graphic nudity.(Rating bulletin 2740 (cert #53733), 7/13/2022)",Little Lamb Productions
https://www.the-numbers.com/movie/Barbie-(2023)#tab=summary,114 minutes,Barbie,Comedy,Live Action,Contemporary Fiction,United States,English,"July 19, 2023","$145,000,000","PG-13for suggestive references and brief language.(Rating bulletin 2787 (cert #54383), 6/14/2023)","LuckyChap Entertainment,Mattel Entertainment,Parkes+Macdonald Productions,Playground Productions,Warner Bros.,Heyday Films"
https://www.the-numbers.com/movie/Super-Mario-Bros-Movie-The-(2022)#tab=summary,92 minutes,Mario,Adventure,Digital Animation,Kids Fiction,"United States,Japan",English,"April 04, 2023","$100,000,000","PGfor action and mild violence.(Rating bulletin 2754 (cert #54090), 10/19/2022)","Universal Pictures,Nintendo,Illumination Entertainment"
https://www.the-numbers.com/movie/Oppenheimer-(2023)#tab=summary,180 minutes,,Drama,Live Action,Dramatization,"United States,United Kingdom",English,"July 19, 2023","$100,000,000","Rfor some sexuality, nudity and language.(Rating bulletin 2786 (cert #54143), 6/7/2023)",Syncopy
https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-3-(2023)#tab=summary,150 minutes,Marvel Cinematic UniverseGuardians of the Galaxy,Action,Animation/Live Action,Super Hero,United States,English,"May 03, 2023","$250,000,000","PG-13for intense sequences of violence and action, strong language, suggestive/drug references and thematic elements.(Rating bulletin 2774 (cert #54328), 3/15/2023)",Marvel Studios
https://www.the-numbers.com/movie/Fast-X-(2023)#tab=summary,141 minutes,Fast and the Furious,Action,Live Action,Contemporary Fiction,United States,English,"May 17, 2023","$340,000,000","PG-13for intense sequences of violence and action, language and some suggestive material.(Rating bulletin 2778 (cert #54373), 4/12/2023)","Universal Pictures,Original Film,One Race Films,Roth Films,Roth Kirschenbaum Films,Perfect Storm Entertainment"
https://www.the-numbers.com/movie/Spider-Man-Across-the-Spider-Verse-(2023)#tab=summary,140 minutes,Spider-ManSony’s Marvel Universe,Adventure,Digital Animation,Super Hero,United States,English,"May 31, 2023","$100,000,000","PGfor sequences of animated action violence, some language and thematic elements.(Rating bulletin 2784 (cert #53500), 5/24/2023)","Sony Pictures Animation,Columbia Pictures,Marvel Studios,Lord Miller,Pascal Pictures,Arad Productions"
https://www.the-numbers.com/movie/Wonka-(2023)#tab=summary,116 minutes,Charlie and the Chocolate Factory,Musical,Live Action,Kids Fiction,"United States,United Kingdom",English,"December 06, 2023","$125,000,000","PGfor some violence, mild language and thematic elements.(Rating bulletin 2803 (cert #54411), 10/4/2023)","Warner Bros.,Village Roadshow Productions,Heyday Films,Domain Entertainment"
https://www.the-numbers.com/movie/Full-River-Red-(2023-China)#tab=summary,159 minutes,,Drama,Live Action,Historical Fiction,China,Mandarin,"January 22, 2023",,,
https://www.the-numbers.com/movie/Little-Mermaid-The-(2023)#tab=summary,135 minutes,The Little Mermaid,Musical,Animation/Live Action,Kids Fiction,United States,English,"May 24, 2023","$250,000,000","PGfor action/peril and some scary images.(Rating bulletin 2764 (cert #54208), 1/4/2023)","Walt Disney Pictures,Marc Platt Productions,Lucamar"
https://www.the-numbers.com/movie/Mission-Impossible-Dead-Reckoning-Part-One-(2023)#tab=summary,163 minutes,Mission: Impossible,Action,Live Action,Contemporary Fiction,United States,English,"July 11, 2023","$290,000,000","PG-13for intense sequences of violence and action, some language and suggestive material.(Rating bulletin 2789 (cert #54216), 6/28/2023)","Paramount Pictures,Skydance Productions,Tom Cruise Productions"
https://www.the-numbers.com/movie/Wandering-Earth-The-2-(2023-China)#tab=summary,173 minutes,The Wandering Earth,Action,Live Action,Science Fiction,China,Mandarin,"January 22, 2023",,,
https://www.the-numbers.com/movie/No-More-Bets-(2023-China)#tab=summary,130 minutes,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"August 08, 2023",,,
https://www.the-numbers.com/movie/Elemental-(2023)#tab=summary,102 minutes,,Adventure,Digital Animation,Kids Fiction,United States,English,"June 14, 2023","$200,000,000","PGfor some peril, thematic elements and brief language.(Rating bulletin 2783 (cert #54249), 5/17/2023)","Walt Disney Pictures,Disney-Pixar"
https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp-Quantumania-(2023)#tab=summary,124 minutes,Ant-ManMarvel Cinematic Universe,Action,Animation/Live Action,Super Hero,United States,English,"February 15, 2023","$200,000,000","PG-13for violence/action, and language.(Rating bulletin 2767 (cert #54236), 1/25/2023)","Marvel Studios,Kevin Feige"
https://www.the-numbers.com/movie/Lost-in-the-Stars-(2023-China)#tab=summary,122 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,China,Mandarin,"June 22, 2023",,,
https://www.the-numbers.com/movie/John-Wick-Chapter-4-(2023)#tab=summary,169 minutes,John Wick,Action,Live Action,Contemporary Fiction,United States,English,"March 22, 2023","$100,000,000","Rfor pervasive strong violence and some language.(Rating bulletin 2774 (cert #53513), 3/15/2023)","Lionsgate,Thunder Road Film,87Eleven Inc."
https://www.the-numbers.com/movie/Aquaman-and-the-Lost-Kingdom-(2023)#tab=summary,124 minutes,DC Extended UniverseAquaman,Action,Live Action,Super Hero,United States,English,"December 20, 2023","$205,000,000","PG-13for sci-fi violence and some language.(Rating bulletin 2803 (cert #54649), 10/4/2023)","Atomic Monster,The Safran Company,DC Films,Warner Bros."
https://www.the-numbers.com/movie/Transformers-Rise-of-the-Beasts-(2023)#tab=summary,127 minutes,Transformers,Action,Animation/Live Action,Science Fiction,United States,English,"June 06, 2023","$195,000,000","PG-13for intense sequences of sci-fi action and violence, and language.(Rating bulletin 2785 (cert #54226), 5/31/2023)","Entertainment One,Hasbro Studios,Paramount Animation,Skydance Productions"
https://www.the-numbers.com/movie/Meg-2-The-Trench-(2023)#tab=summary,116 minutes,The Meg,Action,Live Action,Science Fiction,"United States,China",English,"July 29, 2023","$129,000,000","PG-13for action/violence, some bloody images, language and brief suggestive material.(Rating bulletin 2783 (cert #54394), 5/17/2023)","Warner Bros.,di Bonaventura Pictures,BCDF Pictures,Apelles Entertainment,CMC Pictures"
https://www.the-numbers.com/movie/Indiana-Jones-and-the-Dial-of-Destiny-(2023)#tab=summary,142 minutes,Indiana Jones,Adventure,Live Action,Historical Fiction,United States,English,"June 28, 2023","$300,000,000","PG-13for sequences of violence and action, language and smoking.(Rating bulletin 2773 (cert #54321), 3/8/2023)","Lucasfilm,Walt Disney Pictures,Paramount Pictures"
https://www.the-numbers.com/movie/Hunger-Games-The-The-Ballad-of-Songbirds-and-Snakes-(2023)#tab=summary,157 minutes,Hunger Games,Action,Live Action,Science Fiction,United States,English,"November 15, 2023","$100,000,000","PG-13for strong violent content and disturbing material.(Rating bulletin 2804 (cert #54361), 10/11/2023)",Color Force
https://www.the-numbers.com/movie/Creation-of-the-Gods-I-Kindom-of-Storms-(2023-China)#tab=summary,148 minutes,,Adventure,Live Action,Fantasy,China,Mandarin,"July 20, 2023",,,Beijing Jingxi Culture and Tourism Company
https://www.the-numbers.com/movie/Ba-Jiao-Long-Zhong-(2023-China)#tab=summary,,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"July 02, 2023",,,
https://www.the-numbers.com/movie/Migration-(2023)#tab=summary,,,Adventure,Digital Animation,Kids Fiction,United States,English,"December 06, 2023","$72,000,000","PGfor action/peril and mild rude humor.(Rating bulletin 2780 (cert #54401), 4/26/2023)",Illumination Entertainment
https://www.the-numbers.com/movie/Five-Nights-at-Freddys-(2023)#tab=summary,109 minutes,Five Nights at Freddys,Horror,Live Action,Contemporary Fiction,United States,English,"October 25, 2023","$20,000,000","PG-13for strong violent content, bloody images and language.(Rating bulletin 2793 (cert #54564), 7/26/2023)",Blumhouse
https://www.the-numbers.com/movie/Boy-and-the-Heron-The-(2023-Japan)#tab=summary,125 minutes,,Adventure,Hand Animation,Kids Fiction,Japan,Japanese,"July 14, 2023",,"PG-13for some violent content/bloody images and smoking.(Rating bulletin 2805 (cert #54691), 10/18/2023)","Studio Ghibli,GKIDS"
https://www.the-numbers.com/movie/Creed-III-(2023)#tab=summary,116 minutes,RockyCreed,Drama,Live Action,Contemporary Fiction,United States,English,"March 01, 2023","$75,000,000","PG-13for intense sports action, violence and some strong language.(Rating bulletin 2765 (cert #54179), 1/11/2023)","Chartoff Productions, Inc.,Winkler Films,Metro-Goldwyn-Mayer Pictures,Proximity Media,Outlier Productions"
https://www.the-numbers.com/movie/Flash-The#tab=summary,144 minutes,DC Extended UniverseThe FlashBatmanSupergirl,Action,Live Action,Super Hero,United States,English,"June 13, 2023","$200,000,000","PG-13for sequences of violence and action, some strong language and partial nudity.(Rating bulletin 2775 (cert #54094), 3/22/2023)","Warner Bros.,Double Dream,The Disco Factory,DC Films"
https://www.the-numbers.com/movie/Nun-II-The-(2023)#tab=summary,,The NunThe Conjuring,Horror,Live Action,Contemporary Fiction,United States,English,"September 06, 2023","$38,000,000","Rfor violent content and some terror.(Rating bulletin 2796 (cert #54526), 8/16/2023)","Atomic Monster,New Line Cinema,The Safran Company"
https://www.the-numbers.com/movie/Taylor-Swift-The-Eras-Tour-(2023)#tab=summary,168 minutes,,Concert/Performance,Live Action,Factual,United States,English,"October 13, 2023","$15,000,000","PG-13for some strong language and suggestive materials(Rating bulletin 2804 (cert #54680), 10/11/2023)",
