link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget,Franchise
https://www.the-numbers.com/movie/When-in-Rome-(2010)#tab=summary,"PG-13For some suggestive content(Rating bulletin 2074 (Cert #45475), 6/17/2009)",91 minutes,Romantic Comedy,Live Action,Contemporary Fiction,Touchstone Pictures,United States,English,"January 29, 2010",,
https://www.the-numbers.com/movie/Going-the-Distance-(2010)#tab=summary,"Rfor sexual content including dialogue, language throughout, some drug use and brief nudity(Rating bulletin 2116, 4/14/2010)",109 minutes,Romantic Comedy,Live Action,Contemporary Fiction,Offspring Entertainment,United States,English,"September 03, 2010","$32,000,000",
https://www.the-numbers.com/movie/My-Name-is-Khan#tab=summary,"PG-13for some violence, sexual content and language.(Rating bulletin 2108, 2/17/2010)PG-13for some violence, sexual content and language.(Rating bulletin 2132, 8/4/2010)",161 minutes,Drama,Live Action,Contemporary Fiction,,"India,United States","Hindi,English","February 12, 2010","$8,470,000",
https://www.the-numbers.com/movie/Joheunnom-nabbeunnom-isanghannom-(2008-South-Korea)#tab=summary,"RFor nonstop violence and some drug use(Rating bulletin 2123, 6/2/2010)",139 minutes,Action,Live Action,Historical Fiction,,Republic of Korea,Korean,"April 23, 2010","$10,000,000",
https://www.the-numbers.com/movie/Luftslottet-som-sprangdes#tab=summary,"Rfor strong violence, some sexual material, and brief language.(Rating bulletin 2137, 9/8/2010)",146 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Yellow Bird,ZDF,SVT,Nordisk Film,Filmpool Stockholm,Malardalen,Film i Vast","Sweden,Denmark,Germany",Swedish,"April 30, 2010",,Millenium
https://www.the-numbers.com/movie/Di-Renjie#tab=summary,"PG-13for violence, disturbing images and some sexuality.(Rating bulletin 2175, 6/8/2011)",122 minutes,Thriller/Suspense,Live Action,Historical Fiction,"Film Workshop Company,Huayi Brothers Corp.,Zhejiang Hengdian World Studios",China,Mandarin,"September 29, 2010",,Detective Dee
https://www.the-numbers.com/movie/Ajeossi-(2010-South-Korea)#tab=summary,"Rfor strong bloody violence, pervasive language, drug content and brief nudity.(Rating bulletin 2154, 1/12/2011)",119 minutes,Action,Live Action,Contemporary Fiction,,,,"August 04, 2010",,
https://www.the-numbers.com/movie/secreto-de-sus-ojos-El-(2009)#tab=summary,"Rfor a rape scene, violent images, some graphic nudity and language(Rating bulletin 2108, 2/17/2010)",127 minutes,Drama,Live Action,Historical Fiction,,Argentina,Spanish,"April 16, 2010","$3,500,000",
https://www.the-numbers.com/movie/Furry-Vengeance#tab=summary,"PGfor some rude humor, mild language and brief smoking(Rating bulletin 2103, 1/13/2010)",91 minutes,Comedy,Live Action,Kids Fiction,Participant Media,United States,English,"April 30, 2010","$35,000,000",
https://www.the-numbers.com/movie/Brooklyns-Finest#tab=summary,"Rfor bloody violence throughout, strong sexuality, nudity, drug content and pervasive language.",133 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Millennium Films,Thunder Road Film,Nu Image,Langley Films Inc",United States,English,"March 05, 2010","$17,000,000",
https://www.the-numbers.com/movie/Agora-(2009-Spain)#tab=summary,"Rfor some violence(Rating bulletin 2137, 9/8/2010)",126 minutes,Drama,Live Action,Historical Fiction,,Spain,English,"May 28, 2010","$70,000,000",
https://www.the-numbers.com/movie/Warlords-The-(2010-China)#tab=summary,RFor sequences of strong violence,127 minutes,Action,Live Action,Historical Fiction,,China,Mandarin,"April 02, 2010","$4,000,000",
https://www.the-numbers.com/movie/You-Will-Meet-a-Tall-Dark-Stranger#tab=summary,"RFor some language.(Rating bulletin 2123, 6/2/2010)",98 minutes,Drama,Live Action,Contemporary Fiction,"Mediapro,Versatil Cinema,Antena 3 Films,Antena 3 TV,Gravier Productions,Dippermouth","United States,United Kingdom,Spain",English,"September 22, 2010","$15,000,000",
https://www.the-numbers.com/movie/For-Colored-Girls-Who-Have-Considered-Suicide-When-the-Rainbow-is-Enuf#tab=summary,"Rfor some disturbing violence including a rape, sexual content and language.(Rating bulletin 2142, 10/13/2010)",134 minutes,Drama,Live Action,Contemporary Fiction,"34th Street Films,Lionsgate",United States,English,"November 05, 2010","$21,000,000",
https://www.the-numbers.com/movie/Bayside-Shakedown-3-Set-the-Guys-Loose-(Japan)-(2010)#tab=summary,,141 minutes,Action,Live Action,Contemporary Fiction,,Japan,Japanese,,,
https://www.the-numbers.com/movie/Kids-Are-All-Right-The#tab=summary,"Rfor strong sexual content, nudity, language and some teen drug and alcohol use(Rating bulletin 2113 (Cert #46022), 3/24/2010)",106 minutes,Comedy,Live Action,Contemporary Fiction,"Antidote Films,Mandalay Vision,Gilbert Films",United States,English,"July 09, 2010","$4,000,000",
