link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget,Franchise
https://www.the-numbers.com/movie/Grand-Prix-of-Europe-(2025-Germany)#tab=summary,90 minutes,Adventure,Digital Animation,Kids Fiction,"Germany,United Kingdom",German,"July 18, 2025","PGfor some mild action and thematic elements.(Rating bulletin 2889 (cert #55539), 6/11/2025)","Warner Bros Animation,Mack Magic",,
https://www.the-numbers.com/movie/Hi-Five-(2025-South-Korea)#tab=summary,119 minutes,Action,Live Action,Science Fiction,Republic of Korea,Korean,"May 30, 2025",Not Rated(Rated 6/23/2025),,,
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-2-(2025)#tab=summary,,Drama,Live Action,Dramatization,,,"April 04, 2025",Not Rated,,,The Chosen
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-2-(2025)#tab=summary,,Drama,Live Action,Dramatization,,,"April 04, 2025",Not Rated,,,The Chosen
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-2-(2025)#tab=summary,,Drama,Live Action,Dramatization,,,"April 04, 2025",Not Rated,,,The Chosen
https://www.the-numbers.com/movie/Penguin-Lessons-The-(2025)#tab=summary,110 minutes,Drama,Live Action,Dramatization,"United States,Spain","English,Spanish","March 28, 2025","PG-13for strong language, some sexual references and thematic elements.(Rating bulletin 2871 (cert #55374), 2/5/2025)","42,Rocket Science,Rolling Dice,Intake Films,Nostromo Pictures,Aperture Entertainment",,
https://www.the-numbers.com/movie/Fox-Hunt-(2025-China)#tab=summary,105 minutes,Action,Live Action,Contemporary Fiction,China,Mandarin,"April 04, 2025",,,,
https://www.the-numbers.com/movie/Noise-(2025-South-Korea)#tab=summary,93 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,Republic of Korea,Korean,"June 25, 2025",,,,
https://www.the-numbers.com/movie/Sons-of-the-Neon-Night-(2025-Hong-Kong)#tab=summary,132 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,Hong Kong,,"October 01, 2025",,,,
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-3-(2025)#tab=summary,,Drama,Live Action,Dramatization,"United States,Canada",English,"April 11, 2025",Not Rated,,,The Chosen
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-3-(2025)#tab=summary,,Drama,Live Action,Dramatization,"United States,Canada",English,"April 11, 2025",Not Rated,,,The Chosen
https://www.the-numbers.com/movie/Chosen-The-Last-Supper-Part-3-(2025)#tab=summary,,Drama,Live Action,Dramatization,"United States,Canada",English,"April 11, 2025",Not Rated,,,The Chosen
https://www.the-numbers.com/movie/Life-of-Chuck-The-(2025)#tab=summary,110 minutes,Drama,Live Action,Science Fiction,United States,English,"June 05, 2025","Rfor language.(Rating bulletin 2877 (cert #55248), 3/19/2025)","Neon Films,Intrepid Pictures,Red Room Pictures",,
https://www.the-numbers.com/movie/Colorful-Stage-The-Movie-A-Miku-Who-Cant-Sing-(2025-Japan)#tab=summary,105 minutes,Musical,Digital Animation,Fantasy,Japan,Japanese,"January 17, 2025","PGfor thematic elements, brief action/peril and language.(Rating bulletin 2876 (cert #55431), 3/12/2025)",,,
https://www.the-numbers.com/movie/Dark-Nuns-(2025-South-Korea)#tab=summary,114 minutes,Horror,Live Action,Contemporary Fiction,Republic of Korea,"Korean,English","January 24, 2025",Not Rated,,,
https://www.the-numbers.com/movie/You-Are-The-Best-(2025-China)#tab=summary,144 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"July 18, 2025",,,,
https://www.the-numbers.com/movie/Cang-Mang-De-Tian-Ya-Shi-Wo-De-Ai-(2025-China)#tab=summary,,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"May 01, 2025",,,,
https://www.the-numbers.com/movie/Three-Kingdoms-Starlit-Heroes-(2025-China)#tab=summary,,Drama,Digital Animation,Contemporary Fiction,China,Mandarin,"October 01, 2025",,,,
https://www.the-numbers.com/movie/Presence-(2025)#tab=summary,85 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"January 23, 2025","Rfor violence, drug material, language, sexuality and teen drinking.(Rating bulletin 2826 (cert #54899), 3/20/2024)",Neon Films,"$2,000,000",
https://www.the-numbers.com/movie/Sketch-(2025)#tab=summary,92 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"August 06, 2025","PGfor scary action, some violence, thematic elements, language and rude humor.(Rating bulletin 2884 (cert #55496), 5/7/2025)","Morphan Time,Angel Studios","$3,000,000",
https://www.the-numbers.com/movie/Return-of-the-Lame-Hero-The-(2025-China)#tab=summary,124 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"October 01, 2025",,,,
https://www.the-numbers.com/movie/Hotline-Beijing-(2025-China)#tab=summary,88 minutes,Documentary,Live Action,Factual,China,Mandarin,"February 18, 2025",,,,
https://www.the-numbers.com/movie/Alto-Knights-The-(2025)#tab=summary,123 minutes,Drama,Live Action,Dramatization,United States,English,"March 19, 2025","Rfor violence and pervasive language.(Rating bulletin 2828 (cert #54916), 4/3/2024)","Warner Bros.,Domain Entertainment","$45,000,000",
https://www.the-numbers.com/movie/Io-Sono-La-Fine-Del-Mondo-(2025-Italy)#tab=summary,,Comedy,Live Action,Contemporary Fiction,Italy,Italian,"January 09, 2025",,,,
https://www.the-numbers.com/movie/Na-derevnyu-dedushke-(2025-Russia)#tab=summary,,Comedy,Live Action,Contemporary Fiction,Russian Federation,Russian,"June 12, 2025",,,,
https://www.the-numbers.com/movie/Red-Silk-(2025-Russia)#tab=summary,,Action,Live Action,Historical Fiction,Russian Federation,Russian,"February 20, 2025",,,,
