link,Running Time,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Train-to-Busan-(2016-South-Korea)#tab=summary,118 minutes,"Set in South Korea,Zombies,Trains,Action Horror",Original Screenplay,Horror,Live Action,Science Fiction,"Next Entertainment,Redpeter Film",Republic of Korea,Korean,"June 30, 2016"
https://www.the-numbers.com/movie/Money-Monster#tab=summary,98 minutes,"TV Industry,White Collar Crime,Corporate Malfeasance,Hostage,Media Circus,Crime Thriller,Strike",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Tri-Star Pictures,LStar Capital,Smokehouse Pictures,Allegiance Theater",United States,English,"May 12, 2016"
https://www.the-numbers.com/movie/My-Big-Fat-Greek-Wedding-2#tab=summary,94 minutes,"Legacy Sequel,Relationships Gone Wrong,Romantic Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Universal Pictures,Gold Circle Entertainment,HBO Films,Playtone",United States,English,"March 23, 2016"
https://www.the-numbers.com/movie/Ben-Hur-(2016)#tab=summary,123 minutes,"Remake,Religious,Adopted Family,Dysfunctional Family,Falsely Accused,Slavery,Revenge,Miscellaneous Racing,Ancient Rome,Bible Epic,3-D,3-D - Post-production Conversion,IMAX: DMR,Heroic Adventure",Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,"Paramount Pictures,Metro-Goldwyn-Mayer Pictures,Sean Daniel Company,Lightworkers Media,Timur Bekmambetov",United States,English,"June 30, 2016"
https://www.the-numbers.com/movie/Line-Walker-(Hong-Kong)#tab=summary,109 minutes,"Undercover,Organized Crime,Bodyguard,Betrayal,Drug Dealer,Car Chase,Action Thriller",Based on TV,Action,Live Action,Contemporary Fiction,"Shaw Brothers Pictures,J.Q. Pictures Limited,Media Asia Films,One Cool Film","Hong Kong,China","Cantonese,Mandarin","August 10, 2016"
https://www.the-numbers.com/movie/Collateral-Beauty#tab=summary,96 minutes,"Set in New York City,Advertising and Marketing,Death of a Son or Daughter,Depression,Ensemble,Romantic Drama,Romance,Cancer,Dysfunctional Family,Infidelity,Terminal Illness,Unconventional Pregnancies",Original Screenplay,Drama,Live Action,Contemporary Fiction,"PalmStar Media,Likely Story,New Line Cinema,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment,Anonymous Content,Overbrook Entertainment",United States,English,"December 16, 2016"
https://www.the-numbers.com/movie/War-Dogs#tab=summary,114 minutes,"2000s,War Profiteers,Afghanistan War,Black Comedy",Based on Factual Book/Article,Black Comedy,Live Action,Dramatization,"Warner Bros.,Joint Effort,The Mark Gordon Company",United States,English,"August 19, 2016"
https://www.the-numbers.com/movie/Da-Yu-Hai-Tang-(China)#tab=summary,105 minutes,"Chinese Mythology,Animal Lead,Reincarnation,Family Adventure,Coming of Age",Based on Folk Tale/Legend/Fairytale,Adventure,Digital Animation,Fantasy,"Beijing Enlight Pictures,Bi An Tian (Beijing) Culture Co., Ltd.,Horgos Coloroom Pictures Co., Ltd.",China,"Mandarin,English","July 08, 2016"
https://www.the-numbers.com/movie/Nerve#tab=summary,96 minutes,"Internet,Reality TV,Techno-Thriller,Romance,Death of a Sibling,Dares,Faked Death,Surprise Twist,Hackers",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,"Lionsgate,TIK Films,Allison Shearmur,Keep Your Head",United States,English,"July 27, 2016"
https://www.the-numbers.com/movie/Ouija-Origin-of-Evil#tab=summary,99 minutes,"Supernatural,Possessed,Prequel,1960s,Set in Los Angeles,Widow/Widower,Single Parent,Fake Psychics,Supernatural Horror",Based on Game,Horror,Live Action,Historical Fiction,"Blumhouse,Universal Pictures,Platinum Dunes,Allspark Pictures,Hasbro Studios",United States,English,"October 20, 2016"
https://www.the-numbers.com/movie/Underworld-Blood-Wars#tab=summary,91 minutes,"Vampire,Werewolf,Monster,Betrayal,Urban Gothic,3-D,3-D - Post-production Conversion,Action Horror",Original Screenplay,Action,Live Action,Fantasy,"Lakeshore Entertainment,Screen Gems",United States,English,"November 25, 2016"
https://www.the-numbers.com/movie/Shin-Godzilla-(2016-Japan)#tab=summary,119 minutes,"Monster,Kaiju,Set in Japan,Reboot,Motion Capture Performance,IMAX: DMR,Action Adventure",Based on Fiction Book/Short Story,Action,Animation/Live Action,Science Fiction,"Cine Bazar,Toho Co",Japan,Japanese,"July 29, 2016"
https://www.the-numbers.com/movie/Boss-The#tab=summary,99 minutes,"Riches to Rags,Life on the Outside,White Collar Crime,Single Parent,Comeback,Bad Role Models,Screenplay Written By the Star,Family Affair,Farcical / Slapstick Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Gary Sanchez Productions,On The Day Productions,Universal Pictures",United States,English,"April 07, 2016"
