link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies
https://www.the-numbers.com/movie/Outlaws-The-(2017-South-Korea)#tab=summary,121 minutes,The Roundup,Action,Live Action,Contemporary Fiction,Republic of Korea,Korean,"September 18, 2017",,,
https://www.the-numbers.com/movie/1987-When-the-Day-Comes-(2017-South-Korea)#tab=summary,129 minutes,,Drama,Live Action,Dramatization,Republic of Korea,Korean,"December 18, 2017",,,
https://www.the-numbers.com/movie/Logan-Lucky#tab=summary,119 minutes,,Comedy,Live Action,Contemporary Fiction,United States,English,"August 18, 2017","$29,000,000","PG-13for language and some crude comments.(Rating bulletin 2474 (Cert #51012), 5/3/2017)","FilmNation Entertainment,Trans-Radial Pictures,Free Association"
https://www.the-numbers.com/movie/Kong-tian-lie-(2017-China)#tab=summary,118 minutes,,Action,Live Action,Contemporary Fiction,China,Mandarin,"September 29, 2017",,,
https://www.the-numbers.com/movie/Tyler-Perrys-Boo-2-A-Madea-Halloween#tab=summary,100 minutes,Madea Cinematic Universe,Comedy,Live Action,Contemporary Fiction,United States,English,"October 20, 2017","$20,000,000","PG-13for sexual references, drug content, language and some horror images.(Rating bulletin 2488 (Cert #51190), 8/9/2017)","Lionsgate,Tyler Perry Studios"
https://www.the-numbers.com/movie/Ji-Qi-Zhi-Xue-(2017-China)#tab=summary,110 minutes,,Action,Live Action,Fantasy,"China,Hong Kong","Mandarin,English","December 21, 2017",,"Rfor violence and some language.(Rating bulletin 2519 (Cert #51522), 3/21/2018)","Heyi Pictures,Perfect Village Entertainment,Wanda Media,Jetsen Cultural Industry Group Co,Beijing Tus Film and Television Media Co,Dadi Century Co,Tianjin Funhigh Film Co"
https://www.the-numbers.com/movie/Phantom-Thread#tab=summary,130 minutes,,Drama,Live Action,Historical Fiction,United States,English,"December 25, 2017","$35,000,000","Rfor language.(Rating bulletin 2499 (Cert #51134), 10/25/2017)","Annapurna Pictures,Ghoulardi Film Company,Focus Features,Perfect World Pictures"
https://www.the-numbers.com/movie/Rough-Night-(2017)#tab=summary,101 minutes,,Black Comedy,Live Action,Contemporary Fiction,United States,English,"June 14, 2017","$20,000,000","Rfor crude sexual content, language throughout, drug use and brief bloody images.(Rating bulletin 2479 (Cert #50626), 6/7/2017)","Columbia Pictures,Matt Tolmach Productions,Paulilu"
https://www.the-numbers.com/movie/Thousand-Faces-of-Dunjia-The-(2017-China)#tab=summary,113 minutes,,Action,Live Action,Fantasy,"China,Hong Kong",Cantonese,"December 09, 2017",,Not Rated,
https://www.the-numbers.com/movie/Er-Dai-Yao-Jing-(2017-China)#tab=summary,90 minutes,,Romantic Comedy,Multiple Production Methods,Fantasy,China,Mandarin,"December 28, 2017",,,
https://www.the-numbers.com/movie/Gunhamdo-(2017-South-Korea)#tab=summary,132 minutes,,Drama,Live Action,Historical Fiction,Republic of Korea,Korean,"July 17, 2017",,Not Rated,
https://www.the-numbers.com/movie/Gintama-(2017-Japan)#tab=summary,130 minutes,Gintama,Action,Live Action,Science Fiction,Japan,Japanese,"July 14, 2017",,,
https://www.the-numbers.com/movie/Guilty-of-Mind-(2017-China)#tab=summary,110 minutes,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"August 11, 2017",,,
https://www.the-numbers.com/movie/Circle-The-(2016)#tab=summary,110 minutes,,Thriller/Suspense,Live Action,Science Fiction,United States,English,"April 28, 2017","$18,000,000","PG-13for a sexual situation, brief strong language and some thematic elements including drug use.(Rating bulletin 2470 (Cert #50937), 4/5/2017)","Image Nation Abu Dhabi,Playtone,Likely Story,IM Global,Parkes+Macdonald Productions,Route One,1978 Films,EuropaCorp"
https://www.the-numbers.com/movie/Flatliners-(2017)#tab=summary,110 minutes,Flatliners,Horror,Live Action,Science Fiction,United States,English,"September 27, 2017","$20,000,000","PG-13for violence and terror, sexual content, language, thematic material, and some drug references.(Rating bulletin 2493 (Cert #50627), 9/13/2017)","Columbia Pictures,Further Films,Laurence Mark,Cross Creek Pictures,The Safran Company"
https://www.the-numbers.com/movie/Wind-River-(2017)#tab=summary,107 minutes,Wind River,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"June 16, 2017","$11,000,000","Rfor strong violence, a rape, disturbing images, and language.(Rating bulletin 2457 (Cert #50837), 1/4/2017)","Acacia Entertainment,Synergics Films,The Fyzz Facility,Riverstone Pictures,Voltage Pictures,Wild Bunch,Star Thrower Entertainment,Tunica-Biloxi Tribe of Louisiana,Savvy Media Holdings,Thunder Road Film,Film 44"
https://www.the-numbers.com/movie/Mother-(2017)#tab=summary,108 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"September 15, 2017","$30,000,000","Rfor strong disturbing violent content, some sexuality, nudity and language.(Rating bulletin 2492 (Cert #51211), 9/6/2017)","Paramount Pictures,Protozoa Pictures"
https://www.the-numbers.com/movie/Loving-Vincent#tab=summary,95 minutes,,Drama,Animation/Live Action,Dramatization,United Kingdom,English,"July 12, 2017","$5,500,000","PG-13for mature thematic elements, some violence, sexual material and smoking.(Rating bulletin 2484 (Cert #51135), 7/12/2017)","Breakthru Films,Trademark Films"
https://www.the-numbers.com/movie/Namiya-zakkaten-no-kiseki-(2017-Japan)#tab=summary,129 minutes,,Drama,Live Action,Fantasy,Japan,Japanese,"September 22, 2017",,,
https://www.the-numbers.com/movie/Jiyi-dashi-(2017-China)#tab=summary,119 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,China,Mandarin,"April 24, 2017","$20,000,000",Not Rated,
https://www.the-numbers.com/movie/Golmaal-Again-(2017-India)#tab=summary,151 minutes,Golmaal,Comedy,Live Action,Contemporary Fiction,India,Hindi,"October 20, 2017",,Not Rated,
https://www.the-numbers.com/movie/Snowman-The-(UK)#tab=summary,142 minutes,The Snowman,Thriller/Suspense,Live Action,Contemporary Fiction,United Kingdom,English,"October 11, 2017","$35,000,000","Rfor grisly images, violence, some language, sexuality and brief nudity.(Rating bulletin 2495 (Cert #50560), 9/27/2017)","Working Title Films,Perfect World Pictures,Another Park Film,Universal Pictures"
https://www.the-numbers.com/movie/Hindi-Medium-(2017-India)#tab=summary,132 minutes,,Drama,Live Action,Contemporary Fiction,India,Hindi,"May 19, 2017",,,
https://www.the-numbers.com/movie/Bad-Genius-(2017-Thailand)#tab=summary,130 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,Thailand,Thai,"September 28, 2017",,,
https://www.the-numbers.com/movie/T2-Trainspotting-(2016-UK)#tab=summary,117 minutes,Trainspotting,Black Comedy,Live Action,Contemporary Fiction,United Kingdom,English,"January 27, 2017","$18,000,000","Rfor drug use, language throughout, strong sexual content, graphic nudity and some violence.(Rating bulletin 2459 (Cert #50338), 1/18/2017)","Decibel Films,Cloud Eight,Tri-Star Pictures,Film4,Creative Scotland,DNA Films"
https://www.the-numbers.com/movie/Meari-to-majo-no-hana-(Japan)#tab=summary,103 minutes,,Adventure,Hand Animation,Kids Fiction,Japan,Japanese,"July 07, 2017",,"PGfor some action and thematic elements.(Rating bulletin 2499 (Cert #51296), 10/25/2017)",Studio Ponoc
https://www.the-numbers.com/movie/Papita-2da-Base-(2017-Venezuela)#tab=summary,150 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,Bolivarian Republic of Venezuela,Spanish,"December 15, 2017",,,
https://www.the-numbers.com/movie/Toilet-Ek-Prem-Katha-(2017-India)#tab=summary,155 minutes,,Comedy,Live Action,Contemporary Fiction,India,Hindi,"August 11, 2017",,Not Rated,
https://www.the-numbers.com/movie/Call-Me-by-Your-Name-(2017)#tab=summary,131 minutes,,Drama,Live Action,Historical Fiction,"Italy,United States,Brazil,France","English,Italian,French,German","October 27, 2017","$3,500,000","Rfor sexual content, nudity and some language.(Rating bulletin 2463 (Cert #50920), 2/15/2017)","RT Features,Frenesy Film,La Cinefacture"
