link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Carnage#tab=summary,79 minutes,Black Comedy,Live Action,Contemporary Fiction,"France,Germany,Poland,Spain",English,"December 16, 2011","$25,000,000","Rfor language.(Rating bulletin 2191, 9/28/2011)","Said Ben Said,SBS Productions,Constantin Film,SPI Film Studio,Versatil Cinema,Zanagar Films,France 2 Cinema,Canal Plus,Cinecinema,France Television,Centropolis Entertainment,Polish Film Institute,ARD/Degeto,Filmfermsehfonds Bayem,Wild Bunch",
https://www.the-numbers.com/movie/Beastly#tab=summary,86 minutes,Drama,Live Action,Fantasy,United States,English,"March 04, 2011","$17,000,000","PG-13for language including some crude comments, drug references and brief violence(Rating bulletin 2107, 2/10/2010)PG-13for language including crude comments, brief violence and some thematic material.(Rating bulletin 2156, 1/26/2011)",Storefront Pictures,
https://www.the-numbers.com/movie/Very-Harold-and-Kumar-Christmas-A#tab=summary,89 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"November 04, 2011","$20,000,000","Rfor strong crude and sexual content, graphic nudity, pervasive language, drug use and some violence.(Rating bulletin 2179, 7/6/2011)","New Line Cinema,Mandate Pictures,Kingsgate Films",Harold & Kumar
https://www.the-numbers.com/movie/Courageous#tab=summary,129 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"September 30, 2011","$2,000,000","PG-13for some violence and drug content.(Rating bulletin 2176, 6/15/2011)PG-13for some violence and drug material.(Rating bulletin 2663 (cert #53048) (20th Anniversary Edition), 1/13/2021)","Tri-Star Pictures,Sherwood Pictures,Provident Films,Affirm Films,Kendrick Brothers Productions",
https://www.the-numbers.com/movie/Welle-Die-(2007-Germany)#tab=summary,107 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,Germany,German,"May 27, 2011","$7,250,000",,"Rat Pack,Constantin Film,Medienboard Berlin-Brandenburg",
https://www.the-numbers.com/movie/Shaolin-(2011-China)#tab=summary,131 minutes,Action,Live Action,Historical Fiction,China,"Cantonese,Mandarin","September 09, 2011",,"Rfor violence.(Rating bulletin 2181, 7/20/2011)","Emperor Classic Films,China Film Group,Huayi Brothers Corp.,Beijing Silver Moon Productions,Shaolin Temple Culture Communications Co.",
https://www.the-numbers.com/movie/Na-xie-nian-wo-men-yi-qi-zhui-de-nv-hai-(2011-Taiwan)#tab=summary,109 minutes,Romantic Comedy,Live Action,Historical Fiction,"Taiwan, Province of China",Mandarin,"August 19, 2011",,,"Sony Music Entertainment Legacy,Star Ritz Productions Co",
https://www.the-numbers.com/movie/My-Week-with-Marilyn#tab=summary,99 minutes,Drama,Live Action,Historical Fiction,United Kingdom,English,"November 23, 2011","$10,000,000","Rfor mature thematic material.(Rating bulletin 2193, 10/12/2011)","Weinstein Company,BBC Films,Trademark Films",
https://www.the-numbers.com/movie/Potiche-(2010-France)#tab=summary,103 minutes,Comedy,Live Action,Historical Fiction,France,French,"March 25, 2011",,"Rfor some sexuality(Rating bulletin 2158, 2/9/2011)",Mandarin Cinema,
https://www.the-numbers.com/movie/Don-2#tab=summary,148 minutes,Action,Live Action,Contemporary Fiction,India,Hindi,"December 22, 2011",,Not Rated,,Don
