link,Production Budget,Running Time,Genre,Production Method,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Dolphins-and-Whales-Tribes-of-the-Ocean-3D#tab=summary,"$6,000,000",42 minutes,Documentary,Live Action,"3D Entertainment Films,McKinney Underwater Productions","United Kingdom,Bahamas",English,"February 15, 2008"
https://www.the-numbers.com/movie/Dasavatharam#tab=summary,,185 minutes,Action,Live Action,,India,Tamil,
https://www.the-numbers.com/movie/Bikur-Ha-Tizmoret-(2008)#tab=summary,"$750,000",89 minutes,Comedy,Live Action,,Israel,Hebrew,"February 08, 2008"
https://www.the-numbers.com/movie/In-the-Name-of-the-King-A-Dungeon-Siege-Tale#tab=summary,"$60,000,000",127 minutes,Action,Live Action,"Boll KG Productions,Brightlight Pictures,Herold Productions","United States,Germany,United Kingdom",English,"January 11, 2008"
https://www.the-numbers.com/movie/Cash-(2008)#tab=summary,"$13,700,000",100 minutes,Comedy,Live Action,,France,"French,English",
https://www.the-numbers.com/movie/Avatar#tab=summary,"$237,000,000",162 minutes,Action,Animation/Live Action,"Dune Entertainment,20th Century Fox,Ingenious Film Partners",United States,"English,Na'vi","December 17, 2009"
https://www.the-numbers.com/movie/Transformers-Revenge-of-the-Fallen#tab=summary,"$210,000,000",149 minutes,Action,Animation/Live Action,"DreamWorks Pictures,Paramount Pictures,Hasbro Studios,di Bonaventura Pictures,Tom DeSanto,Don Murphy",United States,English,"June 24, 2009"
https://www.the-numbers.com/movie/Its-Complicated#tab=summary,"$85,000,000",118 minutes,Romantic Comedy,Live Action,"Universal Pictures,Relativity Media,Waverly Films,Scott Rudin Productions",United States,English,"December 25, 2009"
https://www.the-numbers.com/movie/Public-Enemies-(2009)#tab=summary,"$102,500,000",140 minutes,Drama,Live Action,"Universal Pictures,Relativity Media,Forward Pass,Misher Films,Tribeca Film,Appian Way",United States,English,"July 01, 2009"
https://www.the-numbers.com/movie/Did-You-Hear-About-the-Morgans#tab=summary,"$58,000,000",103 minutes,Romantic Comedy,Live Action,"Columbia Pictures,Relativity Media,Castle Rock Entertainment,Banter Films",United States,English,"December 18, 2009"
https://www.the-numbers.com/movie/Crank-2-High-Voltage#tab=summary,"$20,000,000",96 minutes,Thriller/Suspense,Live Action,Lakeshore Entertainment,United States,English,"April 17, 2009"
https://www.the-numbers.com/movie/Straw-Dogs#tab=summary,"$25,000,000",110 minutes,Thriller/Suspense,Live Action,"Screen Gems,Battleplan",United States,English,"September 16, 2011"
https://www.the-numbers.com/movie/Prometheus#tab=summary,"$125,000,000",124 minutes,Thriller/Suspense,Live Action,"20th Century Fox,Dune Entertainment,Scott Free Films,Brandywine",United States,English,"May 30, 2012"
https://www.the-numbers.com/movie/Fault-in-Our-Stars-The#tab=summary,"$12,000,000",125 minutes,Drama,Live Action,20th Century Fox,"United States,Canada,United Kingdom",English,"June 04, 2014"
https://www.the-numbers.com/movie/Other-Woman-The-(2014)#tab=summary,"$40,000,000",109 minutes,Comedy,Live Action,LBI Entertainment,United States,English,"April 23, 2014"
https://www.the-numbers.com/movie/Xi-you-ji-Da-nao-tian-gong#tab=summary,,90 minutes,Adventure,Live Action,,"China,Hong Kong",Mandarin,"January 31, 2014"
https://www.the-numbers.com/movie/Seventh-Son#tab=summary,"$95,000,000",102 minutes,Adventure,Live Action,"Legendary Pictures,Thunder Road Film,Wigram Productions",United States,English,"December 19, 2014"
https://www.the-numbers.com/movie/Million-Ways-to-Die-in-the-West-A#tab=summary,"$40,000,000",115 minutes,Western,Live Action,Bluegrass Films,United States,English,"May 28, 2014"
https://www.the-numbers.com/movie/John-Wick#tab=summary,"$30,000,000",96 minutes,Action,Live Action,"Thunder Road Film,87Eleven Inc.,MJW Films,Defynite Films",United States,"English,Russian","October 24, 2014"
https://www.the-numbers.com/movie/Asterix-Le-Domaine-des-dieux-(2014-France)#tab=summary,,85 minutes,Adventure,Digital Animation,,France,French,"November 28, 2014"
https://www.the-numbers.com/movie/Water-Diviner-The#tab=summary,"$22,500,000",112 minutes,Drama,Live Action,"Hopscotch Features,Fear of God Films","Australia,United States,Turkey",English,"December 26, 2014"
https://www.the-numbers.com/movie/Island-of-Lemurs-Madagascar#tab=summary,,39 minutes,Documentary,Live Action,"Warner Bros.,IMAX Corporation",United States,English,"April 04, 2014"
https://www.the-numbers.com/movie/Himalaya-(2015-South-Korea)#tab=summary,,124 minutes,Adventure,Live Action,JK Film,Republic of Korea,Korean,"December 10, 2015"
https://www.the-numbers.com/movie/Suddenly-Seventeen-(China)#tab=summary,,109 minutes,Romantic Comedy,Live Action,,China,,"November 26, 2016"
https://www.the-numbers.com/movie/Neerja#tab=summary,,122 minutes,Drama,Live Action,"Bling Unplugged,Fox Star Studios",India,Hindi,"February 18, 2016"
https://www.the-numbers.com/movie/Chocolat-(2015)#tab=summary,,110 minutes,Drama,Live Action,,France,French,"February 03, 2016"
