link,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget
https://www.the-numbers.com/movie/Maxxxine-(2024)#tab=summary,"Rfor strong violence, gore, sexual content, graphic nudity, language and drug use.(Rating bulletin 2829 (cert #54935), 4/10/2024)",104 minutes,X (Mia Goth),Horror,Live Action,Historical Fiction,"A24,Motel Mojave,Access Entertainment",United States,English,"July 04, 2024",
https://www.the-numbers.com/movie/Crisis-Negotiators-(2024-China)#tab=summary,,,,Drama,Live Action,Contemporary Fiction,,"China,Hong Kong",,"June 08, 2024",
https://www.the-numbers.com/movie/Never-Let-Go-(2024)#tab=summary,"Rfor strong violent content and grisly images.(Rating bulletin 2849 (cert #54905), 8/28/2024)",101 minutes,,Horror,Live Action,Science Fiction,"21 Laps Entertainment,Lionsgate,Media Capital Technologies,HalleHolly",United States,English,"September 18, 2024","$20,000,000"
https://www.the-numbers.com/movie/Room-Next-Door-The-(2024-Spain)#tab=summary,"PG-13for thematic content, strong language, and some sexual references.(Rating bulletin 2853 (cert #55182), 9/25/2024)",107 minutes,,Drama,Live Action,Contemporary Fiction,"El Deseo,Sony Pictures Classics",Spain,English,"October 18, 2024",
https://www.the-numbers.com/movie/Unsung-Hero-(2024)#tab=summary,"PGfor thematic elements.(Rating bulletin 2808 (cert #54635), 11/8/2023)",112 minutes,,Drama,Live Action,Dramatization,"Kingdom Story Company,Candy Rock,Lionsgate,For King & Country",United States,English,"April 26, 2024","$6,000,000"
https://www.the-numbers.com/movie/Lyod-3-(2024-Russia)#tab=summary,,,Lyod,Drama,Live Action,Contemporary Fiction,,Russian Federation,Russian,"February 14, 2024",
https://www.the-numbers.com/movie/Homestead-(2024)#tab=summary,"PG-13for some violence and thematic elements.(Rating bulletin 2847 (cert #55130), 8/14/2024)",110 minutes,,Drama,Live Action,Contemporary Fiction,"Angel Studios,Skies Fall Entertainment,Radiate Films,10 Ton Productions,2521 Entertainment",United States,English,"December 20, 2024",
https://www.the-numbers.com/movie/Unseen-Sister-The-(2024-China)#tab=summary,,,,Thriller/Suspense,Live Action,Contemporary Fiction,,China,Mandarin,"October 26, 2024",
https://www.the-numbers.com/movie/Lord-of-the-Rings-The-The-War-of-the-Rohirrim-(2024)#tab=summary,"PG-13for strong violence.(Rating bulletin 2857 (cert #55198), 10/23/2024)",150 minutes,Peter Jackson's Lord of the Rings,Adventure,Digital Animation,Fantasy,"New Line Cinema,Warner Bros Animation,Sola Media,Wingnut Films,Domain Entertainment","United States,Japan",English,"December 05, 2024","$30,000,000"
https://www.the-numbers.com/movie/Lord-of-the-Rings-The-The-War-of-the-Rohirrim-(2024)#tab=summary,"PG-13for strong violence.(Rating bulletin 2857 (cert #55198), 10/23/2024)",150 minutes,Peter Jackson's Lord of the Rings,Adventure,Digital Animation,Fantasy,"New Line Cinema,Warner Bros Animation,Sola Media,Wingnut Films,Domain Entertainment","United States,Japan",English,"December 05, 2024","$30,000,000"
