link,Production Budget,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Fantastic-Four-Rise-of-the-Silver-Surfer#tab=summary,"$120,000,000","PGfor sequences of action violence, some mild language and innuendo",91 minutes,Fantastic Four,Action,Live Action,Super Hero,"20th Century Fox,Constance Marks Productions,Marvel Studios,1492 Pictures,Bernd Eichinger",United States,English,"June 15, 2007"
https://www.the-numbers.com/movie/Bee-Movie#tab=summary,"$150,000,000",PGfor mild suggestive humor,90 minutes,,Adventure,Digital Animation,Kids Fiction,"DreamWorks Animation,Columbus 81 Productions",United States,English,"November 02, 2007"
https://www.the-numbers.com/movie/American-Gangster-(2007)#tab=summary,"$100,000,000","Rfor violence, pervasive drug content and language, nudity and sexuality.",157 minutes,,Drama,Live Action,Dramatization,"Relativity Media,Imagine Entertainment",United States,English,"November 02, 2007"
https://www.the-numbers.com/movie/Rush-Hour-3#tab=summary,"$180,000,000","PG-13for sequences of action violence, sexual content, nudity and language",91 minutes,Rush Hour,Action,Live Action,Contemporary Fiction,"New Line Cinema,Arthur Sarkissian,Roger Birnbaum",United States,"English,Cantonese,French,Japanese","August 10, 2007"
https://www.the-numbers.com/movie/Wild-Hogs#tab=summary,"$60,000,000","PG-13for crude and sexual content, and some violence.",99 minutes,,Comedy,Live Action,Contemporary Fiction,"Touchstone Pictures,Tollin/Robbins",United States,English,"March 02, 2007"
https://www.the-numbers.com/movie/Mr-Beans-Holiday#tab=summary,"$25,000,000","G(edited version, originally rated PG)",90 minutes,Bean,Adventure,Live Action,Contemporary Fiction,"Universal Pictures,StudioCanal,Working Title Films,Tiger Aspect Pictures,Motion Picture Alpha Produktionsgesellschaft",United Kingdom,English,"August 24, 2007"
https://www.the-numbers.com/movie/Juno#tab=summary,"$7,000,000","PG-13for mature thematic material, sexual content and language",96 minutes,,Comedy,Live Action,Contemporary Fiction,"Mandate Pictures,Mr. Mudd",United States,English,"December 05, 2007"
https://www.the-numbers.com/movie/Ghost-Rider#tab=summary,"$120,000,000",PG-13for horror violence and disturbing images.,110 minutes,Ghost Rider,Action,Live Action,Super Hero,"Relativity Media,Columbia Pictures,Crystal Sky Pictures",United States,English,"February 16, 2007"
https://www.the-numbers.com/movie/Knocked-Up#tab=summary,"$27,500,000","Rfor sexual content, drug use and language",132 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,"Universal Pictures,Judd Apatow",United States,English,"June 01, 2007"
https://www.the-numbers.com/movie/Hairspray-(2007)#tab=summary,"$75,000,000","PGfor language, some suggestive content and momentary teen smoking",115 minutes,,Musical,Live Action,Historical Fiction,"New Line Cinema,Ingenious Film Partners,Zadan/Meron",United States,English,"July 20, 2007"
