link,Production Budget,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Gintama-2-Okite-wa-Yaburu-tame-ni-koso-Aru-(2018-Japan)#tab=summary,,,134 minutes,Gintama,Action,Live Action,Contemporary Fiction,,Japan,Japanese,"August 17, 2018"
https://www.the-numbers.com/movie/Hichki-(2018-India)#tab=summary,,Not Rated,106 minutes,,Drama,Live Action,Contemporary Fiction,Yash Raj Films,India,Hindi,"February 23, 2018"
https://www.the-numbers.com/movie/Mirai-no-Mirai-(Japan)-(2018)#tab=summary,,"PGfor thematic elements including some scary images.(Rating bulletin 2545 (Cert #51826), 9/19/2018)",98 minutes,,Adventure,Digital Animation,Kids Fiction,,Japan,Japanese,"July 20, 2018"
https://www.the-numbers.com/movie/Meng-Chong-Guo-Jiang-(China)#tab=summary,,,100 minutes,,Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"June 15, 2018"
https://www.the-numbers.com/movie/Kler-(Poland)-(2018)#tab=summary,,,133 minutes,,Drama,Live Action,Dramatization,,Poland,"Polish,Italian,Czech","September 28, 2018"
https://www.the-numbers.com/movie/Amsusalin-(South-Korea)-(2018)#tab=summary,,,110 minutes,,Drama,Live Action,Contemporary Fiction,,Republic of Korea,,"October 03, 2018"
https://www.the-numbers.com/movie/Lyod-(Russia)#tab=summary,,,,,Multiple Genres,Live Action,Contemporary Fiction,,Russian Federation,Russian,"February 14, 2018"
https://www.the-numbers.com/movie/Hunter-Killer-(2018)#tab=summary,"$40,000,000","Rfor violence and some language.(Rating bulletin 2510 (Cert #51417), 1/17/2018)",121 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,"Original Film,Millennium Films,G-Base,Relativity Media,Millennium Media",United States,English,"October 19, 2018"
https://www.the-numbers.com/movie/Stan-and-Ollie-(2018)#tab=summary,"$10,000,000","PGfor some language, and for smoking.(Rating bulletin 2553 (Cert #51909), 11/14/2018)",98 minutes,,Drama,Live Action,Dramatization,"BBC Films,Fable House Productions,Entertainment One","United Kingdom,United States",English,"December 28, 2018"
https://www.the-numbers.com/movie/Padman-(India)#tab=summary,,"PG-13for thematic material.(Rating bulletin 2510 (Cert #51416), 1/17/2018)",140 minutes,,Comedy,Live Action,Dramatization,,India,Hindi,"February 08, 2018"
https://www.the-numbers.com/movie/Free-Solo-(Documentary)-(2018)#tab=summary,,"PG-13for brief strong language.(Rating bulletin 2546 (Cert #51833), 9/26/2018)",100 minutes,,Documentary,Live Action,Factual,"National Geographic Documentary Films,Little Monster Films,Itinerant Media,Parkes+Macdonald Productions,Image Nation",United States,English,"September 28, 2018"
https://www.the-numbers.com/movie/Gukgabudoui-Nal-(South-Korea)-(2018)#tab=summary,,,114 minutes,,Drama,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"November 28, 2018"
https://www.the-numbers.com/movie/Boku-no-Hero-Academia-the-Movie-(Japan)-(2018)#tab=summary,,"PG-13for some violent material/bloody images.(Rating bulletin 2572 (Cert #52132), 4/3/2019)",96 minutes,My Hero Academia,Adventure,Digital Animation,Kids Fiction,,Japan,Japanese,"August 03, 2018"
https://www.the-numbers.com/movie/Happytime-Murders-The#tab=summary,"$40,000,000","Rfor strong crude and sexual content and language throughout, and some drug material.(Rating bulletin 2536 (Cert #51709), 7/18/2018)",91 minutes,,Black Comedy,Live Action,Fantasy,"STX Entertainment,On The Day Productions,Henson Alternative,Huayi Brothers Pictures Ltd,Black Bear",United States,English,"August 24, 2018"
https://www.the-numbers.com/movie/Politseyskiy-s-Rublyovki-Novogodniy-bespredel-(Russia)-(2018)#tab=summary,,,90 minutes,,Comedy,Live Action,Contemporary Fiction,,Russian Federation,Russian,"December 20, 2018"
https://www.the-numbers.com/movie/Midnight-Sun-(2018)#tab=summary,"$2,800,000","PG-13for some teen partying and sensuality.(Rating bulletin 2486 (Cert #50552), 7/26/2017)",91 minutes,,Drama,Live Action,Contemporary Fiction,"Mister Smith Entertainment,Rickard Pictures,Wrigley Pictures,Boies/Schiller",United States,English,"March 22, 2018"
https://www.the-numbers.com/movie/Zu-Zong-Shi-Jiu-Dai-(China)-(2018)#tab=summary,,,90 minutes,,Comedy,Live Action,Fantasy,,China,Mandarin,"February 15, 2018"
https://www.the-numbers.com/movie/Kamera-o-tomeru-na-(Japan)-(2018)#tab=summary,,Not Rated,96 minutes,,Horror,Live Action,Historical Fiction,,Japan,Japanese,"June 22, 2018"
https://www.the-numbers.com/movie/Paul-Apostle-of-Christ#tab=summary,"$5,000,000","PG-13for some violent content and disturbing images.(Rating bulletin 2512 (Cert #51100), 1/31/2018)",113 minutes,,Drama,Live Action,Dramatization,"Affirm Films,Giving Films,Outside Da Box Films,Mandalay Pictures",United States,English,"March 22, 2018"
https://www.the-numbers.com/movie/Kensatsu-gawa-no-zainin-(Japan)-(2018)#tab=summary,,,123 minutes,,Drama,Live Action,Contemporary Fiction,Toho Co,Japan,Japanese,"August 24, 2018"
https://www.the-numbers.com/movie/White-Boy-Rick#tab=summary,"$30,000,000","Rfor language throughout, drug content, violence, some sexual references, and brief nudity.(Rating bulletin 2543 (Cert #51433), 9/5/2018)",111 minutes,,Drama,Live Action,Dramatization,"Protozoa Pictures,Studio 8,LBI Entertainment,Columbia Pictures,Le Grisbi",United States,English,"September 14, 2018"
https://www.the-numbers.com/movie/Rangasthalam-(India)#tab=summary,,,170 minutes,,Drama,Live Action,Contemporary Fiction,,India,Telugu,"March 30, 2018"
https://www.the-numbers.com/movie/Zimna-wojna-(Poland)-(2018)#tab=summary,"$4,800,000","Rfor some sexual content, nudity and language.(Rating bulletin 2547 (Cert #51668), 10/3/2018)",84 minutes,,Drama,Live Action,Historical Fiction,"Opus Film,Polish Film Institute,MK2,Film 4,British Film Institute,Apocalypso Pictures,Protagonist Pictures","Poland,France,United Kingdom","Polish,French","June 08, 2018"
https://www.the-numbers.com/movie/Geugeotmani-Nae-Sesang-(S-Korea)#tab=summary,,Not Rated,120 minutes,,Comedy,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"January 10, 2018"
https://www.the-numbers.com/movie/Manyeo-(South-Korea)#tab=summary,,Not Rated,126 minutes,The Witch,Action,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"June 27, 2018"
https://www.the-numbers.com/movie/Natsume-s-Book-of-Friends-The-Movie-Tied-to-the-Temporal-World-(Japan)-(2018)#tab=summary,,,104 minutes,,Adventure,Digital Animation,,,Japan,Japanese,"September 28, 2018"
https://www.the-numbers.com/movie/Tamjeong-2-(South-Korea)-(2018)#tab=summary,,,116 minutes,The Accidental Detective,Comedy,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"June 13, 2018"
https://www.the-numbers.com/movie/Inori-no-maku-ga-oriru-toki-(Japan)#tab=summary,,,119 minutes,,Thriller/Suspense,,,,Japan,,"January 26, 2018"
https://www.the-numbers.com/movie/Wont-You-Be-My-Neighbor-(Documentary)-(2018)#tab=summary,,"PG-13for some thematic elements and language.(Rating bulletin 2528 (Cert# 51346), 5/23/2018)",94 minutes,,Documentary,Live Action,Factual,"Tremolo Productions,Impact Partners,Independent Lens,PBS,Focus Features",United States,English,"June 08, 2018"
https://www.the-numbers.com/movie/Gekijouban-Poketto-monsuta-Minna-no-Monogatari-(Japan)#tab=summary,,Not Rated,112 minutes,,Adventure,Digital Animation,,,Japan,Japanese,"July 13, 2018"
https://www.the-numbers.com/movie/Ba-Li-Gong-Lue-(Hong-Kong)#tab=summary,,,130 minutes,,Comedy,Live Action,Contemporary Fiction,,Hong Kong,Cantonese,"August 17, 2018"
https://www.the-numbers.com/movie/Yun-Nan-Chong-Gu-Yunnan-Valley-(China)-(2018)#tab=summary,,Not Rated,110 minutes,Mojin,Action,Live Action,Fantasy,"Dream Author Pictures,Huayi Brothers International,Tencent Penguin Pictures Co Ltd",China,Mandarin,"December 28, 2018"
https://www.the-numbers.com/movie/Tout-le-monde-debout-(France)#tab=summary,,,107 minutes,,Comedy,Live Action,Contemporary Fiction,,"France,Belgium",French,"March 16, 2018"
