link,Production Budget,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Franchise
https://www.the-numbers.com/movie/ParaNorman-(2012)#tab=summary,"$60,000,000","PGfor scary action and images, thematic elements, some rude humor and language.(Rating bulletin 2225, 5/30/2012)",96 minutes,Adventure,Stop-Motion Animation,Kids Fiction,"Focus Features,Laika",United States,English,"August 03, 2012",
https://www.the-numbers.com/movie/Campaign-The#tab=summary,"$95,000,000","Rfor crude sexual content, language and brief nudity.(Rating bulletin 2233, 7/25/2012)Rfor crude sexual content, language and brief nudity.(Rating bulletin 2240, 9/12/2012)",85 minutes,Comedy,Live Action,Contemporary Fiction,"Warner Bros.,Gary Sanchez Productions,Everyman Pictures",United States,English,"August 10, 2012",
https://www.the-numbers.com/movie/Project-X-(2011)#tab=summary,"$12,000,000","Rfor crude and sexual content throughout, nudity, drugs, drinking, pervasive language, reckless behavior and mayhem - all involving teens.(Rating bulletin 2193, 10/12/2011)Ror violence, sexual content and pervasive language.(Rating bulletin 2221, 5/4/2012)",87 minutes,Comedy,Live Action,Contemporary Fiction,"Warner Bros.,Silver Pictures,Green Hat Films",United States,English,"March 01, 2012",Project X
https://www.the-numbers.com/movie/Devil-Inside-The#tab=summary,"$1,000,000","Rfor disturbing violent content and grisly images, and for language including some sexual references.(Rating bulletin 2203, 12/21/2012)",83 minutes,Horror,Live Action,Historical Fiction,"Insurge Pictures,Prototype","United States,Romania,Italy",English,"January 06, 2012",
https://www.the-numbers.com/movie/Contraband#tab=summary,"$25,000,000","Rfor violence, pervasive language and brief drug use.(Rating bulletin 2182, 7/27/2011)",109 minutes,Action,Live Action,Contemporary Fiction,"Relativity Media,Working Title Films,Blueeyes,Leverage,Closest to the Hole,Universal Pictures",United States,English,"January 13, 2012",
https://www.the-numbers.com/movie/Jin-ling-shi-san-chai#tab=summary,"$100,000,000","Rfor strong violence including a sexual assault, disturbing images, and brief strong language.(Rating bulletin 2202, 12/14/2011)",141 minutes,Drama,Live Action,Historical Fiction,"Wrekin Hill Entertainment,Beijing New Pictures Film Co",China,"Mandarin,English,Japanese,Shanghainese","December 21, 2011",
https://www.the-numbers.com/movie/Lucky-One-The#tab=summary,"$25,000,000","PG-13for some sexuality and violence.(Rating bulletin 2174, 6/1/2011)",81 minutes,Drama,Live Action,Contemporary Fiction,"Warner Bros.,Village Roadshow Productions,Di Novi Pictures",United States,English,"April 19, 2012",
https://www.the-numbers.com/movie/Gwanghae-Wangyidoen-namja#tab=summary,,Not Rated,131 minutes,Drama,Live Action,Dramatization,,Republic of Korea,Korean,"September 21, 2012",
https://www.the-numbers.com/movie/This-is-40#tab=summary,"$35,000,000","Rfor sexual content, crude humor, pervasive language and some drug material.(Rating bulletin 2217, 4/4/2012)",134 minutes,Comedy,Live Action,Contemporary Fiction,"Universal Pictures,Judd Apatow",United States,English,"December 20, 2012",
https://www.the-numbers.com/movie/What-to-Expect-When-Your-Expecting#tab=summary,"$37,500,000","PG-13for crude and sexual content, thematic elements and language.(Rating bulletin 2216, 3/28/2012)",109 minutes,Romantic Comedy,Live Action,Contemporary Fiction,"Lionsgate,Alcon Entertainment,Phoenix Pictures",United States,English,"May 17, 2012",
https://www.the-numbers.com/movie/Brave-Hearts-Umizaru#tab=summary,,,116 minutes,Action,Live Action,Contemporary Fiction,,Japan,Japanese,"July 13, 2012",Umizaru
https://www.the-numbers.com/movie/Sinister#tab=summary,"$3,000,000","Rfor disturbing violent images and some terror.(Rating bulletin 2210, 2/15/2012)",110 minutes,Horror,Live Action,Contemporary Fiction,"Blumhouse,Automatik,Summit Entertainment,Alliance Films,IM Global",United States,English,"October 05, 2012",Sinister
https://www.the-numbers.com/movie/Dodookdeul#tab=summary,,Not Rated,136 minutes,Action,Live Action,Contemporary Fiction,,Republic of Korea,"Korean,Japanese,Mandarin,Cantonese,English","July 25, 2012",
https://www.the-numbers.com/movie/Inbetweeners-Movie-The#tab=summary,"$5,700,000","Rfor strong crude and sexual content, some graphic nudity, language, alcohol and brief drug use.(Rating bulletin 2230, 7/4/2012)",96 minutes,Comedy,Live Action,Contemporary Fiction,"Film 4,Young Bwark",United Kingdom,English,"September 07, 2012",The Inbetweeners
https://www.the-numbers.com/movie/Flying-Swords-of-Dragon-Gate-(2011-China)#tab=summary,,"Rfor some violence.(Rating bulletin 2229, 6/27/2012)",122 minutes,Action,Live Action,Historical Fiction,"Bona Film Group,China Film Company,SMG Pictures,Shine Show Interactive Media Company,Bona Entertainment Company,Film Workshop Company",China,Mandarin,"August 31, 2012",
https://www.the-numbers.com/movie/Possession-The-(2011)#tab=summary,"$14,000,000","PG-13for mature thematic material involving violence and disturbing sequences.(Rating bulletin 2205, 1/11/2012)",93 minutes,Horror,Live Action,Fantasy,"Lionsgate,Ghost House Pictures,Ole Bornedal",United States,English,"August 31, 2012",
https://www.the-numbers.com/movie/Savages#tab=summary,"$45,000,000","Rfor strong brutal and grisly violence, some graphic sexuality, nudity, drug use and language throughout.(Rating bulletin 2218, 4/11/2012)",130 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Universal Pictures,Relativity Media,Moritz Borman",United States,English,"July 06, 2012",
https://www.the-numbers.com/movie/Act-of-Valor#tab=summary,"$12,000,000","Rfor strong violence including some torture, and for language.(Rating bulletin 2201, 12/14/2011)",101 minutes,Action,Live Action,Contemporary Fiction,Bandito Brothers,United States,English,"February 24, 2012",
https://www.the-numbers.com/movie/Grey-The#tab=summary,"$25,000,000","Rfor violence/disturbing content including bloody images, and for pervasive language.(Rating bulletin 2203, 12/21/2011)",117 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Open Road Films,Inferno,LD Entertainment,Scott Free Films,Chambara Pictures",United States,English,"January 27, 2012",
