Movie,trunc,Share Of Number One Market,Number One Market
Captain America: Civil War,Captain America: Civ,24.3%,China
Zootopia,Zootopia,32.0%,China
The Jungle Book,The Jungle Book,25.6%,China
Fantastic Beasts and Where to Find Them,Fantastic Beasts and,14.8%,China
Batman v Superman: Dawn of Justice,Batman v Superman: D,17.6%,China
Finding Dory,Finding Dory,12.2%,Japan
Rogue One: A Star Wars Story,Rogue One: A Star Wa,17.0%,United Kingdom
Mei Ren Yu,Mei Ren Yu,95.3%,China
The Secret Life of Pets,The Secret Life of P,11.3%,China
Doctor Strange,Doctor Strange,24.9%,China
Moana,Moana,10.5%,Japan
Suicide Squad,Suicide Squad,10.4%,United Kingdom
Deadpool,Deadpool,12.9%,United Kingdom
Warcraft,Warcraft,54.5%,China
X-Men: Apocalypse,X-Men: Apocalypse,31.2%,China
Kung Fu Panda 3,Kung Fu Panda 3,36.7%,China
Sing,Sing,12.7%,Japan
La La Land,La La Land,10.8%,China
Kimi no na wa,Kimi no na wa,63.9%,Japan
Ice Age: Collision Course,Ice Age: Collision C,19.5%,China
Dangal,Dangal,65.9%,China
The Great Wall,The Great Wall,59.0%,China
Resident Evil: The Final Chapter,Resident Evil: The F,56.2%,China
Independence Day: Resurgence,Independence Day: Re,26.8%,China
Now You See Me 2,Now You See Me 2,36.9%,China
Jason Bourne,Jason Bourne,26.1%,China
The Angry Birds Movie,The Angry Birds Movi,31.0%,China
The Legend of Tarzan,The Legend of Tarzan,20.0%,China
The Conjuring 2: The Enfield Poltergeist,The Conjuring 2: The,9.3%,Mexico
Miss Peregrine’s Home for Peculiar Children,Miss Peregrine’s Hom,9.6%,France
Passengers,Passengers,22.4%,China
Alice Through the Looking Glass,Alice Through the Lo,29.5%,China
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,Xi You Ji zhi Sun Wu,95.9%,China
Trolls,Trolls,16.0%,United Kingdom
Assassin’s Creed,Assassin’s Creed,12.5%,China
Inferno,Inferno,10.9%,China
Bridget Jones’s Baby,Bridget Jones’s Baby,32.9%,United Kingdom
Du cheng feng yun III,Du cheng feng yun II,94.3%,China
Star Trek Beyond,Star Trek Beyond,36.9%,China
Operation Mekong,Operation Mekong,99.7%,China
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja,36.1%,China
Me Before You,Me Before You,13.6%,Brazil
Time Raiders,Time Raiders,99.8%,China
The BFG,The BFG,28.0%,United Kingdom
London Has Fallen,London Has Fallen,39.4%,China
Skiptrace,Skiptrace,98.3%,China
Sully,Sully,10.1%,Japan
I Belonged to You,I Belonged to You,99.5%,China
The Huntsman: Winter’s War,The Huntsman: Winter,14.5%,China
Finding Mr Right 2,Finding Mr Right 2,98.3%,China
Storks,Storks,10.3%,China
Gods of Egypt,Gods of Egypt,33.1%,China
The Divergent Series: Allegiant,The Divergent Series,17.6%,China
Mechanic: Resurrection,Mechanic: Resurrecti,47.1%,China
Cold War 2,Cold War 2,98.3%,China
Railroad Tigers,Railroad Tigers,99.9%,China
Arrival,Arrival,15.6%,China
Jack Reacher: Never Go Back,Jack Reacher: Never ,9.7%,United Kingdom
Hacksaw Ridge,Hacksaw Ridge,61.4%,China
Ghostbusters,Ghostbusters,14.1%,United Kingdom
The Girl on the Train,The Girl on the Trai,29.8%,United Kingdom
Lion,Lion,23.5%,Australia
Some Like It Hot,Some Like It Hot,100.0%,China
Busanhaeng,Busanhaeng,86.1%,South Korea
Central Intelligence,Central Intelligence,12.8%,Australia
Line Walker (使徒行者),Line Walker (),98.2%,China
Dà Yú Hǎi Táng,Dà Yú Hǎi Táng,99.4%,China
Lights Out,Lights Out,9.6%,South Korea
Allied,Allied,11.3%,Australia
The 5th Wave,The 5th Wave,9.4%,France
Ballerina,Ballerina,17.6%,France
Quo Vado?,Quo Vado?,95.7%,Italy
Shin Godjira,Shin Godjira,99.7%,Japan
Tunnel,Tunnel,72.7%,South Korea
I Am not Madame Bovary,I Am not Madame Bova,99.7%,China
See You Tomorrow,See You Tomorrow,100.0%,China
Sultan,Sultan,87.4%,India
Don’t Breathe,Don’t Breathe,10.9%,South Korea
Dirty Grandpa,Dirty Grandpa,16.8%,Germany
The Accountant,The Accountant,9.5%,United Kingdom
The Magnificent Seven,The Magnificent Seve,11.5%,United Kingdom
Bad Moms,Bad Moms,17.7%,Australia
Geomsawejeon,Geomsawejeon,99.7%,South Korea
Meitantei Konan: Junkoku no naitomea,Meitantei Konan: Jun,6.7%,China
The Harry Potter IMAX Marathon,The Harry Potter IMA,100.0%,United Kingdom
How to be Single,How to be Single,13.1%,United Kingdom
One Piece Film: Gold,One Piece Film: Gold,72.9%,Japan
Ben-Hur,Ben-Hur,14.9%,South Korea
The Shallows,The Shallows,23.6%,China
Pete’s Dragon,Pete’s Dragon,11.1%,United Kingdom
Deepwater Horizon,Deepwater Horizon,17.3%,China
Office Christmas Party,Office Christmas Par,7.9%,Russia (CIS)
Hidden Figures,Hidden Figures,18.6%,Australia
Chongqing Hot Pot,Chongqing Hot Pot,99.1%,China
Collateral Beauty,Collateral Beauty,17.3%,Italy
Why Him?,Why Him?,14.9%,Australia
L.O.R.D: Legend of Ravaging Dynasties,L.O.R.D: Legend of R,99.5%,China
Les Visiteurs: La Révolution,Les Visiteurs: La Ré,31.0%,France
The Age of Shadows (밀정),The Age of Shadows (,94.4%,South Korea
Neighbors 2: Sorority Rising,Neighbors 2: Sororit,17.3%,United Kingdom
A Chinese Odyssey: Part Three,A Chinese Odyssey: P,99.8%,China
Money Monster,Money Monster,12.7%,France
Wo de te gong ye ye,Wo de te gong ye ye,94.3%,China
Ekipazh,Ekipazh,46.5%,Russia (CIS)
Leokki,Leokki,99.7%,South Korea
Eiga Doraemon: Shin Nobita no Nippon tanjou,Eiga Doraemon: Shin ,67.6%,Japan
Underworld: Blood Wars,Underworld: Blood Wa,9.6%,Brazil
Goksung,Goksung,99.1%,South Korea
Master,Master,99.7%,South Korea
So Young 2: Never Gone,So Young 2: Never Go,99.9%,China
Operation Chromite,Operation Chromite,99.9%,South Korea
Nerve,Nerve,13.8%,Germany
Ouija: Origin of Evil,Ouija: Origin of Evi,11.2%,Mexico
Boonie Bears III,Boonie Bears III,99.2%,China
Sausage Party,Sausage Party,23.4%,United Kingdom
War Dogs,War Dogs,9.9%,Russia (CIS)
Feng Shen Bang,Feng Shen Bang,98.6%,China
A Monster Calls,A Monster Calls,66.0%,Spain
Love O2O,Love O2O,99.9%,China
The Purge: Election Year,The Purge: Election ,14.5%,Germany
The Last Princess,The Last Princess,99.9%,South Korea
Minha Mãe é uma Peça 2: O Filme,Minha Mãe é uma Peça,100.0%,Brazil
Sherlock: The Abominable Bride,Sherlock: The Abomin,62.4%,China
"Crouching Tiger, Hidden Dragon: Sword of Destiny","Crouching Tiger, Hid",99.5%,China
Nine Lives,Nine Lives,44.1%,China
The Boy,The Boy,13.0%,Mexico
Mission Milano,Mission Milano,99.8%,China
Moonlight,Moonlight,14.5%,United Kingdom
A Ga ssi,A Ga ssi,90.1%,South Korea
10 Cloverfield Lane,10 Cloverfield Lane,20.9%,United Kingdom
Nobunaga Concerto: The Movie,Nobunaga Concerto: T,100.0%,Japan
Les Tuche 2 - Le rêve américain,Les Tuche 2 - Le rêv,92.4%,France
