Movie,trunc,Share Of Number One Market,Number One Market
The Avengers,The Avengers,9.3%,China
Skyfall,Skyfall,19.6%,United Kingdom
Ice Age: Continental Drift,Ice Age: Continental,9.3%,Germany
The Hobbit: An Unexpected Journey,The Hobbit: An Unexp,12.5%,Germany
The Dark Knight Rises,The Dark Knight Rise,14.3%,United Kingdom
"The Twilight Saga: Breaking Dawn, Part 2",The Twilight Saga: B,10.8%,United Kingdom
Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe,,
The Amazing Spider-Man,The Amazing Spider-M,6.9%,United Kingdom
Life of Pi,Life of Pi,9.2%,United Kingdom
Men in Black 3,Men in Black 3,16.0%,China
Ted,Ted,14.5%,United Kingdom
Brave,Brave,11.0%,United Kingdom
Wreck-It Ralph,Wreck-It Ralph,19.2%,France
Django Unchained,Django Unchained,17.7%,Germany
Les Misérables,Les Misérables,11.2%,South Korea
Prometheus,Prometheus,14.2%,United Kingdom
The Hunger Games,The Hunger Games,13.8%,United Kingdom
Battleship,Battleship,7.3%,Japan
Snow White and the Huntsman,Snow White and the H,10.0%,United Kingdom
Taken 2,Taken 2,15.9%,United Kingdom
Hotel Transylvania,Hotel Transylvania,11.2%,Japan
The Expendables 2,The Expendables 2,7.6%,Russia (CIS)
Wrath of the Titans,Wrath of the Titans,8.0%,Mexico
Journey 2: The Mysterious Island,Journey 2: The Myste,5.0%,United Kingdom
John Carter,John Carter,5.8%,Mexico
Ren zai jiong tu zhi tai jiong,Ren zai jiong tu zhi,92.9%,China
Rise of the Guardians,Rise of the Guardian,12.4%,France
Resident Evil: Retribution,Resident Evil: Retri,22.8%,Japan
American Reunion,American Reunion,14.4%,United Kingdom
Shi Er Sheng Xiao,Shi Er Sheng Xiao,,China
The Bourne Legacy,The Bourne Legacy,,
Dark Shadows,Dark Shadows,16.3%,Japan
Total Recall,Total Recall,,
The Impossible,The Impossible,36.2%,Spain
Jack Reacher,Jack Reacher,10.7%,United Kingdom
Dr. Seuss’ The Lorax,Dr. Seuss’ The Lorax,11.3%,Australia
Kari gurashi no Arietti,Kari gurashi no Arie,0.3%,Australia
Step Up Revolution,Step Up Revolution,9.7%,Germany
Sap ji sang ciu,Sap ji sang ciu,100.0%,China
The Dictator,The Dictator,14.8%,United Kingdom
Hua Pi 2,Hua Pi 2,1.1%,Taiwan
Mirror Mirror,Mirror Mirror,11.0%,United Kingdom
The Pirates! Band of Misfits,The Pirates! Band of,24.8%,United Kingdom
Silver Linings Playbook,Silver Linings Playb,13.7%,Australia
Looper,Looper,15.9%,United Kingdom
Cloud Atlas,Cloud Atlas,16.4%,Russia (CIS)
This Means War,This Means War,7.2%,Japan
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vam,28.6%,Australia
Underworld: Awakening,Underworld: Awakenin,,
Jin líng shí san chai,Jin líng shí san cha,,
Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit ,74.7%,Japan
Lincoln,Lincoln,14.6%,United Kingdom
Argo,Argo,13.4%,United Kingdom
"Gwanghae, Wangyidoen namja","Gwanghae, Wangyidoen",,
Paranormal Activity 4,Paranormal Activity ,10.8%,United Kingdom
Brave Hearts Umizaru,Brave Hearts Umizaru,,Japan
The Best Exotic Marigold Hotel,The Best Exotic Mari,36.1%,United Kingdom
Dodookdeul,Dodookdeul,92.9%,South Korea
The Inbetweeners,The Inbetweeners,,
The Iron Lady,The Iron Lady,8.8%,Australia
Long men fei jia,Long men fei jia,,
Safe House,Safe House,8.3%,Spain
Thermae Romae,Thermae Romae,97.8%,Japan
The Woman in Black,The Woman in Black,3.6%,Germany
The Vow,The Vow,9.3%,Spain
One Piece Film Z,One Piece Film Z,96.7%,Japan
Odoru Daisôsasen the Final: Aratanaru kibô,Odoru Daisôsasen the,,Japan
Hope Springs,Hope Springs,32.7%,Russia (CIS)
Secret of the Wings,Secret of the Wings,,
Flight,Flight,13.8%,Japan
21 Jump Street,21 Jump Street,24.9%,United Kingdom
Astérix et Obélix: Au service de Sa Majesté,Astérix et Obélix: A,,Belgium
Ek Tha Tiger,Ek Tha Tiger,76.4%,India
Chronicle,Chronicle,2.3%,Germany
Anna Karenina,Anna Karenina,15.0%,United Kingdom
To Rome with Love,To Rome with Love,17.8%,Italy
Evangelion Shin Gekijôban: Kyu,Evangelion Shin Geki,0.1%,South Korea
Magic Mike,Magic Mike,23.2%,United Kingdom
Yi jiu si er,Yi jiu si er,,
ParaNorman,ParaNorman,18.9%,United Kingdom
Pitch Perfect,Pitch Perfect,25.5%,Australia
Las aventuras de Tadeo Jones,Las aventuras de Tad,0.2%,New Zealand
The Devil Inside,The Devil Inside,5.7%,Italy
Les petits mouchoirs,Les petits mouchoirs,,
Project X,Project X,6.1%,Australia
What to Expect When You're Expecting,What to Expect When ,15.3%,Australia
Frankenweenie,Frankenweenie,15.9%,France
Cold War,Cold War,12.2%,Hong Kong
Neuk-dae-so-nyeon,Neuk-dae-so-nyeon,,
Wolf Children (おおかみこどもの雨と雪),Wolf Children (),4.2%,South Korea
