Movie,trunc,Share Of Number One Market,Number One Market
Jupiter Ascending,Jupiter Ascending,30.3%,China
Ted 2,Ted 2,15.3%,Japan
Fack ju Gohte 2,Fack ju Gohte 2,56.2%,Germany
Spy!,Spy!,13.3%,South Korea
Tian jiang xiong shi,Tian jiang xiong shi,88.7%,China
The Intern,The Intern,20.4%,South Korea
The Peanuts Movie,The Peanuts Movie,15.7%,United Kingdom
Lang Tu Teng,Lang Tu Teng,87.3%,China
Pan,Pan,11.6%,United Kingdom
Tang ren jie tan an,Tang ren jie tan an,99.7%,China
Bajrangi Bhaijaan,Bajrangi Bhaijaan,55.8%,India
Focus,Focus,9.8%,United Kingdom
Tomorrowland,Tomorrowland,17.0%,China
Fantastic Four,Fantastic Four,9.2%,Mexico
Point Break,Point Break,34.2%,China
The Last Witch Hunter,The Last Witch Hunte,26.5%,China
Pitch Perfect 2,Pitch Perfect 2,26.2%,United Kingdom
The Little Prince,The Little Prince,22.5%,China
Jiu ceng yao ta,Jiu ceng yao ta,100.0%,China
E gun tian shi,E gun tian shi,100.0%,China
The Hateful Eight,The Hateful Eight,13.6%,Germany
Assassination,Assassination,92.5%,South Korea
Sha po long 2,Sha po long 2,96.5%,China
Daddy’s Home,Daddy’s Home,27.7%,United Kingdom
Bridge of Spies,Bridge of Spies,13.4%,United Kingdom
Veteran,Veteran,99.6%,South Korea
Shaun the Sheep,Shaun the Sheep,25.3%,United Kingdom
Our Times,Our Times,63.8%,China
Zhan Lang,Zhan Lang,99.8%,China
N.L.L: Yeonpyeong Haejeon,N.L.L: Yeonpyeong Ha,49.9%,South Korea
Baahubali: The Beginning,Baahubali: The Begin,98.3%,India
Tiny Times 4.0,Tiny Times 4.0,100.0%,China
Goosebumps,Goosebumps,16.5%,United Kingdom
Zuo Er,Zuo Er,91.0%,China
Chappie,Chappie,20.6%,China
In the Heart of the Sea,In the Heart of the ,9.1%,Mexico
Insidious Chapter 3,Insidious Chapter 3,9.3%,United Kingdom
Benpao Ba! Xiongdi,Benpao Ba! Xiongdi,95.4%,China
He Yi Sheng Xiao Mo,He Yi Sheng Xiao Mo,76.5%,China
Dao shi xia shan,Dao shi xia shan,99.9%,China
The Man From U.N.C.L.E.,The Man From U.N.C.L,15.1%,United Kingdom
Creed,Creed,17.9%,France
Bai tuan da zhan,Bai tuan da zhan,100.0%,China
Zhong Kui fu mo: Xue yao mo ling,Zhong Kui fu mo: Xue,93.2%,China
Inside Men,Inside Men,99.7%,South Korea
The Big Short,The Big Short,13.6%,United Kingdom
Bai Fa Mo Nu Zhuan Zhi Ming Yue Tian Guo,Bai Fa Mo Nu Zhuan Z,,
Meitantei Conan: Goka no himawari,Meitantei Conan: Gok,59.8%,Japan
Hitman: Agent 47,Hitman: Agent 47,7.7%,France
Paranormal Activity: The Ghost Dimension,Paranormal Activity:,10.3%,Germany
Magic Mike XXL,Magic Mike XXL,18.6%,United Kingdom
The Danish Girl,The Danish Girl,19.2%,United Kingdom
The Second Best Exotic Marigold Hotel,The Second Best Exot,43.4%,United Kingdom
The Transporter Refueled,The Transporter Refu,34.2%,China
Paper Towns,Paper Towns,12.4%,United Kingdom
Eiga Youkai wocchi: Enma daiou to 5-tsu no mono…,Eiga Youkai wocchi: ,85.1%,Japan
Hollywood Adventures,Hollywood Adventures,98.7%,China
The Walk,The Walk,26.8%,China
Himalaya,Himalaya,99.7%,South Korea
Doragon bôru Z: Fukkatsu no 'F',Doragon bôru Z: Fukk,59.8%,Japan
Surprise: Journey to the West,Surprise: Journey to,99.6%,China
Bakemono no ko,Bakemono no ko,95.3%,Japan
Poltergeist,Poltergeist,12.7%,United Kingdom
Prem Ratan Dhan Payo,Prem Ratan Dhan Payo,85.8%,India
Xiong Chu Mei Zhi Xue Ling Xiong Feng,Xiong Chu Mei Zhi Xu,91.3%,China
Spotlight,Spotlight,19.1%,United Kingdom
Vacation,Vacation,10.9%,Russia (CIS)
Zan men jie hun ba,Zan men jie hun ba,91.6%,China
Hero,Hero,82.4%,Japan
Run All Night,Run All Night,8.3%,Mexico
You yi ge di fang zhi you wo men zhi dao,You yi ge di fang zh,91.1%,China
The Dead End,The Dead End,98.0%,China
Joy,Joy,16.6%,United Kingdom
Crimson Peak,Crimson Peak,13.5%,Mexico
Forever Young,Forever Young,99.8%,China
Bajirao Mastani,Bajirao Mastani,92.9%,India
Southpaw,Southpaw,32.4%,United Kingdom
Sado,Sado,99.8%,South Korea
Straight Outta Compton,Straight Outta Compt,30.7%,United Kingdom
Legend,Legend,69.1%,United Kingdom
Ocho apellidos catalanes,Ocho apellidos catal,99.3%,Spain
Dilwale,Dilwale,77.2%,India
Geomeun Sajedeul,Geomeun Sajedeul,100.0%,South Korea
Black Mass,Black Mass,13.1%,United Kingdom
Sicario,Sicario,20.3%,United Kingdom
Qian Ren 2：Bei Tai Fan Ji Zhan,Qian Ren 2：Bei Tai F,99.5%,China
Paul Blart: Mall Cop 2,Paul Blart: Mall Cop,16.9%,Germany
Arthur and the War of Two Worlds,Arthur and the War o,1.0%,South Korea
Les nouvelles aventures d'Aladin,Les nouvelles aventu,86.6%,France
Doraemon: Nobita and the Space Heroes,Doraemon: Nobita and,91.6%,Japan
Viy,Viy,0.0%,Brazil
Shi gu,Shi gu,91.5%,China
The Visit,The Visit,16.1%,Spain
Chek dou,Chek dou,91.4%,China
Ba Ba Qu Na Er 2,Ba Ba Qu Na Er 2,100.0%,China
The Lady in the Van,The Lady in the Van,60.3%,United Kingdom
Unfriended,Unfriended,18.6%,Germany
Wo shi zheng ren,Wo shi zheng ren,99.5%,China
Tanu Weds Manu Returns,Tanu Weds Manu Retur,96.3%,India
Trainwreck,Trainwreck,31.8%,Australia
Heidi,Heidi,26.4%,Germany
Mortdecai,Mortdecai,21.0%,Japan
Carol,Carol,13.6%,United Kingdom
Jie jiu wu xian sheng,Jie jiu wu xian shen,97.3%,China
Birigyaru,Birigyaru,78.6%,Japan
Shingeki no kyojin,Shingeki no kyojin,91.2%,Japan
Detective K: Secret of the Lost Island,Detective K: Secret ,99.9%,South Korea
Dügün Dernek 2: Sünnet,Dügün Dernek 2: Sünn,89.7%,Turkey
Sinister 2,Sinister 2,19.9%,United Kingdom
The Longest Ride,The Longest Ride,21.8%,Germany
The Age of Adaline,The Age of Adaline,23.8%,Italy
Orange,Orange,100.0%,Japan
Triumph in the Skies,Triumph in the Skies,88.4%,China
Victor Frankenstein,Victor Frankenstein,20.4%,Mexico
Er ist wieder da,Er ist wieder da,85.8%,Germany
Woman in Gold,Woman in Gold,19.5%,Australia
Bride Wars,Bride Wars,100.0%,China
Irrational Man,Irrational Man,25.3%,France
Les Profs 2,Les Profs 2,91.9%,France
To the Fore,To the Fore,83.2%,China
Babysitting,Babysitting,0.4%,Spain
Babysitting 2,Babysitting 2,90.4%,France
Bou Chau Mai Sing,Bou Chau Mai Sing,95.4%,China
Ooops! Noah is Gone,Ooops! Noah is Gone,20.0%,United Kingdom
Criminal,Criminal,65.5%,China
Brooklyn,Brooklyn,36.1%,United Kingdom
Solace,Solace,28.0%,France
Peng ran xin dong,Peng ran xin dong,99.7%,China
Burnt,Burnt,10.7%,France
Still Alice,Still Alice,15.7%,United Kingdom
The Dressmaker,The Dressmaker,67.0%,Australia
Seumool,Seumool,99.3%,South Korea
Love Live! The School Idol Movie,Love Live! The Schoo,94.3%,Japan
El Clan,El Clan,78.4%,Argentina
Pokémon the Movie XY: Ring no Chomajin Hoopa,Pokémon the Movie XY,91.8%,Japan
Room,Room,25.7%,United Kingdom
Wan Wu Sheng Zhang,Wan Wu Sheng Zhang,100.0%,China
Papa ou maman,Papa ou maman,92.4%,France
Get Hard,Get Hard,37.1%,United Kingdom
Self/Less,Self/Less,25.3%,China
Youth,Youth,32.1%,Italy
Atrapa la bandera,Atrapa la bandera,59.1%,Spain
Der 7bte Zwerg,Der 7bte Zwerg,18.2%,China
The Gallows,The Gallows,12.0%,Mexico
Crayon Shinchan Vol. 23,Crayon Shinchan Vol.,95.0%,Japan
Le tout nouveau testament,Le tout nouveau test,29.8%,France
Sheng Tang Wei Ji,Sheng Tang Wei Ji,99.8%,China
Geukbisusa,Geukbisusa,100.0%,South Korea
Hiroin shikkaku,Hiroin shikkaku,100.0%,Japan
Krampus,Krampus,14.3%,Venezuela
Sisters,Sisters,47.3%,Australia
Unfair the End,Unfair the End,100.0%,Japan
The Woman in Black 2: Angel of Death,The Woman in Black 2,39.8%,United Kingdom
Palmeras en la nieve,Palmeras en la nieve,99.3%,Spain
Love the Coopers,Love the Coopers,20.4%,United Kingdom
Steve Jobs,Steve Jobs,19.0%,United Kingdom
The Accidental Detective,The Accidental Detec,99.7%,South Korea
Far from the Madding Crowd,Far from the Madding,54.6%,United Kingdom
The Boy Next Door,The Boy Next Door,13.9%,Germany
Si accettano miracoli,Si accettano miracol,100.0%,Italy
Brothers,Brothers,62.8%,India
Hot Pursuit,Hot Pursuit,15.0%,Mexico
Un gallo con muchos huevos,Un gallo con muchos ,57.7%,Mexico
Emperor Holidays,Emperor Holidays,100.0%,China
Entourage,Entourage,33.0%,Australia
Boruto: Naruto the Movie,Boruto: Naruto the M,91.9%,China
Ich bin dann mal weg,Ich bin dann mal weg,91.0%,Germany
"Belle et Sébastien, l'aventure continue","Belle et Sébastien, ",71.1%,France
Fei Fa Cao Zuo,Fei Fa Cao Zuo,100.0%,China
The 33,The 33,30.7%,Chile
Gangnam 1970,Gangnam 1970,99.0%,South Korea
Loucas pra Casar,Loucas pra Casar,100.0%,Brazil
American Ultra,American Ultra,19.0%,China
Concussion,Concussion,28.2%,Mexico
Regression,Regression,63.6%,Spain
The Wedding Ringer,The Wedding Ringer,20.3%,United Kingdom
Tri bogatyrya: Khod konem,Tri bogatyrya: Khod ,100.0%,Russia (CIS)
No Escape,No Escape,15.6%,United Kingdom
Pourquoi j'ai pas mangé mon père,Pourquoi j'ai pas ma,96.9%,France
Amy,Amy,37.3%,United Kingdom
Ak-ui yeon-dae-gi,Ak-ui yeon-dae-gi,100.0%,South Korea
Mucize,Mucize,100.0%,Turkey
Umimachi Diary,Umimachi Diary,84.9%,Japan
The Gift,The Gift,19.1%,United Kingdom
Selma,Selma,32.5%,United Kingdom
"Mune, le gardien de la lune","Mune, le gardien de ",20.7%,France
The Beauty Inside,The Beauty Inside,98.8%,South Korea
Haha to Kuraseba,Haha to Kuraseba,100.0%,Japan
Ricki and the Flash,Ricki and the Flash,15.4%,Australia
Der Nanny,Der Nanny,100.0%,Germany
Traumfrauen,Traumfrauen,100.0%,Germany
The Gunman,The Gunman,9.6%,United Kingdom
Snowden,Snowden,24.7%,France
Toshokan Sensoi The Last Mission,Toshokan Sensoi The ,99.9%,Japan
Bakuman,Bakuman,99.4%,Japan
Oneului yeonae,Oneului yeonae,100.0%,South Korea
Listy do M. 2,Listy do M. 2,100.0%,Poland
Tamasha,Tamasha,91.7%,India
The Vatican Tapes,The Vatican Tapes,21.3%,Mexico
Three Heroes: Horseback,Three Heroes: Horseb,100.0%,Russia (CIS)
Ex Machina,Ex Machina,29.8%,United Kingdom
Fasandræberne,Fasandræberne,0.9%,Poland
Kiseijuu: Kanketsuhen,Kiseijuu: Kanketsuhe,90.0%,Japan
The Lazarus Effect,The Lazarus Effect,25.0%,Mexico
Mr. Holmes,Mr. Holmes,31.9%,United Kingdom
Secret in Their Eyes,Secret in Their Eyes,14.9%,Mexico
Yi Nian Tian Tang,Yi Nian Tian Tang,100.0%,China
Macbeth,Macbeth,36.2%,United Kingdom
Scouts Guide to the Zombie Apocalypse,Scouts Guide to the ,17.1%,Mexico
Ryûzô to 7 nin no kobun tachi,Ryûzô to 7 nin no ko,99.8%,Japan
Blackhat,Blackhat,8.3%,Germany
C'est Si Bon,C'est Si Bon,100.0%,South Korea
Perdiendo el norte,Perdiendo el norte,100.0%,Spain
Little Boy,Little Boy,85.9%,Mexico
Daeho,Daeho,99.6%,South Korea
Taxi,Taxi,12.2%,Germany
Hei Mao Jing Zhang Zhi Fei Cui Zhi Xing,Hei Mao Jing Zhang Z,100.0%,China
Vai que Cola: O Filme,Vai que Cola: O Film,100.0%,Brazil
Xiao shi de xiong shou,Xiao shi de xiong sh,98.8%,China
Samyy luchshiy den!,Samyy luchshiy den!,100.0%,Russia (CIS)
Luo Ke Wang Guo 4,Luo Ke Wang Guo 4,100.0%,China
Shinjuku suwan,Shinjuku suwan,100.0%,Japan
Di san zhong ai qing,Di san zhong ai qing,99.7%,China
Cìkè Niè Yinniáng,Cìkè Niè Yinniáng,81.0%,China
Cha-i-na-ta-un,Cha-i-na-ta-un,100.0%,South Korea
Mia madre,Mia madre,34.2%,Italy
Project Almanac,Project Almanac,17.0%,United Kingdom
Deo Pon,Deo Pon,100.0%,South Korea
Até que a Sorte nos Separe 3: A Falência Final,Até que a Sorte nos ,100.0%,Brazil
On-Drakon,On-Drakon,84.3%,China
Inishiêshon rabu,Inishiêshon rabu,97.0%,Japan
Oddball,Oddball,77.0%,Australia
Galaxy Kaidô,Galaxy Kaidô,99.5%,Japan
Bis,Bis,100.0%,France
Yokokuhan,Yokokuhan,100.0%,Japan
Nian Nian You Ai,Nian Nian You Ai,100.0%,China
Meu Passado Me Condena 2,Meu Passado Me Conde,100.0%,Brazil
Du La La Sheng Zhi Ji 2,Du La La Sheng Zhi J,70.3%,China
Nihon no ichiban nagai hi ketteiban,Nihon no ichiban nag,99.1%,Japan
45 Years,45 Years,26.3%,United Kingdom
