Movie,trunc,Share Of Number One Market,Number One Market
Furious 7,Furious 7,33.6%,China
Star Wars Ep. VII: The Force Awakens,Star Wars Ep. VII: T,14.4%,United Kingdom
Jurassic World,Jurassic World,20.2%,China
Avengers: Age of Ultron,Avengers: Age of Ult,25.6%,China
Minions,Minions,8.9%,United Kingdom
Spectre,Spectre,20.9%,United Kingdom
Mission: Impossible—Rogue Nation,Mission: Impossible—,25.7%,China
Inside Out,Inside Out,12.1%,United Kingdom
The Martian,The Martian,20.1%,China
Fifty Shades of Grey,Fifty Shades of Grey,13.0%,United Kingdom
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mo,12.1%,United Kingdom
The Revenant,The Revenant,16.8%,China
Terminator: Genisys,Terminator: Genisys,30.8%,China
Cinderella,Cinderella,19.1%,China
Zhuo yao ji,Zhuo yao ji,98.8%,China
Ant-Man,Ant-Man,31.2%,China
San Andreas,San Andreas,28.8%,China
Hotel Transylvania 2,Hotel Transylvania 2,10.3%,United Kingdom
Kingsman: The Secret Service,Kingsman: The Secret,25.7%,China
The Ghouls,The Ghouls,94.9%,China
Taken 3,Taken 3,12.4%,China
Gang jiong,Gang jiong,99.3%,China
Maze Runner: The Scorch Trials,Maze Runner: The Sco,13.5%,China
Mad Max: Fury Road,Mad Max: Fury Road,11.9%,United Kingdom
Xia Luo Te Fan Nao,Xia Luo Te Fan Nao,99.7%,China
The Good Dinosaur,The Good Dinosaur,10.7%,United Kingdom
Home,Home,18.4%,United Kingdom
Everest,Everest,9.0%,China
Jian Bing Man,Jian Bing Man,99.8%,China
Xi you ji zhi da sheng gui lai,Xi you ji zhi da she,83.0%,China
The Divergent Series: Insurgent,The Divergent Series,9.7%,France
Pixels,Pixels,9.4%,China
Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmu,14.6%,United Kingdom
Yip Man 3,Yip Man 3,80.3%,China
The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie:,10.3%,Mexico
Du Cheng Feng Yun 2,Du Cheng Feng Yun 2,97.5%,China
Gun dan ba! Zhong liu jun,Gun dan ba! Zhong li,54.4%,China
Lao pao er,Lao pao er,99.6%,China
