Movie,trunc,Share Of Number One Market,Number One Market
Transformers: Age of Extinction,Transformers: Age of,5.2%,Russia (CIS)
The Hobbit: The Battle of the Five Armies,The Hobbit: The Batt,16.4%,China
Maleficent,Maleficent,8.9%,Mexico
X-Men: Days of Future Past,X-Men: Days of Futur,8.9%,United Kingdom
The Amazing Spider-Man 2,The Amazing Spider-M,8.0%,United Kingdom
Dawn of the Planet of the Apes,Dawn of the Planet o,5.8%,South Korea
Captain America: The Winter Soldier,Captain America: The,6.2%,Brazil
Interstellar,Interstellar,29.3%,China
How to Train Your Dragon 2,How to Train Your Dr,9.5%,United Kingdom
Guardians of the Galaxy,Guardians of the Gal,19.8%,China
The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mo,10.9%,United Kingdom
Big Hero 6,Big Hero 6,18.0%,China
Rio 2,Rio 2,7.9%,Brazil
Lucy,Lucy,4.2%,Australia
Godzilla,Godzilla,8.8%,United Kingdom
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja,5.2%,Australia
Penguins of Madagascar,Penguins of Madagasc,6.6%,Mexico
Edge of Tomorrow,Edge of Tomorrow,13.1%,South Korea
The Taking of Tiger Mountain,The Taking of Tiger ,50.4%,China
Noah,Noah,13.5%,Russia (CIS)
The Maze Runner,The Maze Runner,5.8%,Australia
Night at the Museum: Secret of the Tomb,Night at the Museum:,19.8%,China
300: Rise of an Empire,300: Rise of an Empi,3.0%,Italy
The Lego Movie,The Lego Movie,27.2%,United Kingdom
Exodus: Gods and Kings,Exodus: Gods and Kin,11.1%,Brazil
Gone Girl,Gone Girl,10.6%,Australia
American Sniper,American Sniper,10.8%,France
Paddington,Paddington,25.8%,United Kingdom
Xin Hua Lu Fang,Xin Hua Lu Fang,,
RoboCop,RoboCop,,
The Fault in Our Stars,The Fault in Our Sta,16.7%,Brazil
Annabelle,Annabelle,3.6%,South Korea
Hercules,Hercules,6.6%,Russia (CIS)
The Expendables 3,The Expendables 3,2.3%,Australia
Xi you ji: Da nao tian gong,Xi you ji: Da nao ti,65.7%,China
Dracula Untold,Dracula Untold,3.1%,Australia
Mr. Peabody & Sherman,Mr. Peabody & Sherma,6.0%,Spain
Need for Speed,Need for Speed,2.3%,Brazil
Stand By Me Doraemon,Stand By Me Doraemon,52.5%,China
22 Jump Street,22 Jump Street,22.2%,United Kingdom
The Imitation Game,The Imitation Game,18.1%,United Kingdom
Non-Stop,Non-Stop,,
Myeong-ryang,Myeong-ryang,,
Divergent,Divergent,5.2%,Brazil
Fury,Fury,6.2%,Australia
Neighbors,Neighbors,0.5%,Venezuela
Qu'est ce qu'on a fait au bon dieu,Qu'est ce qu'on a fa,29.2%,Germany
Where Are We Going Dad?,Where Are We Going D,,
The Other Woman,The Other Woman,14.1%,United Kingdom
The Breakup Guru,The Breakup Guru,0.0%,New Zealand
The Grand Budapest Hotel,The Grand Budapest H,17.8%,United Kingdom
Into the Storm,Into the Storm,4.4%,Australia
Hou hui wu qi,Hou hui wu qi,,China
Gukjesijang,Gukjesijang,99.1%,South Korea
Planes: Fire and Rescue,Planes: Fire and Res,4.7%,Australia
Cong cong na nian,Cong cong na nian,92.4%,China
The Equalizer,The Equalizer,10.1%,Germany
Seventh Son,Seventh Son,27.4%,China
P.K.,P.K.,74.0%,India
Sex Tape,Sex Tape,7.8%,Australia
The Theory of Everything,The Theory of Everyt,36.5%,United Kingdom
gugjesijang (국제시장),gugjesijang (),100.0%,South Korea
Pompeii,Pompeii,3.9%,Spain
Ao men feng yun,Ao men feng yun,,China
Into the Woods,Into the Woods,22.9%,Japan
La famille Bélier,La famille Bélier,67.7%,France
Blended,Blended,14.0%,Mexico
Yi bu zhi yao,Yi bu zhi yao,92.9%,China
Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Re,0.1%,Egypt
The Monuments Men,The Monuments Men,1.3%,Japan
Transcendence,Transcendence,8.1%,France
Ocho Apellidos Vascos,Ocho Apellidos Vasco,99.2%,Spain
Xiao shi dai 3,Xiao shi dai 3,,China
The Pirate Fairy,The Pirate Fairy,3.6%,Australia
Tong zhuo de ni,Tong zhuo de ni,,China
Dumb and Dumber To,Dumb and Dumber To,13.0%,United Kingdom
Honig im Kipf,Honig im Kipf,100.0%,Germany
Bei Jing Ai Qing Gu Shi,Bei Jing Ai Qing Gu ,,
Jing Cheng 81 Hao,Jing Cheng 81 Hao,,China
Step Up All In,Step Up All In,8.2%,Russia (CIS)
Pirates,Pirates,,
Thunder and the House of Magic,Thunder and the Hous,10.6%,China
The Boxtrolls,The Boxtrolls,9.3%,Australia
Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unex,14.4%,United Kingdom
Paranormal Activity: The Marked Ones,Paranormal Activity:,4.3%,Australia
The Nut Job,The Nut Job,9.0%,China
Chong fan 20 sui,Chong fan 20 sui,90.5%,China
The Inbetweeners 2,The Inbetweeners 2,11.1%,Australia
Deliver Us from Evil,Deliver Us from Evil,23.4%,South Korea
