Movie,trunc,Share Of Number One Market,Number One Market
The Fate of the Furious,The Fate of the Furi,38.7%,China
Wolf Warrior 2 (战狼2),Wolf Warrior 2 (2),96.8%,China
Despicable Me 3,Despicable Me 3,19.8%,China
Beauty and the Beast,Beauty and the Beast,14.7%,Japan
Star Wars Ep. VIII: The Last Jedi,Star Wars Ep. VIII: ,15.3%,United Kingdom
Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Carib,27.7%,China
Coco,Coco,30.4%,China
Jumanji: Welcome to the Jungle,Jumanji: Welcome to ,13.7%,China
Spider-Man: Homecoming,Spider-Man: Homecomi,21.8%,China
Thor: Ragnarok,Thor: Ragnarok,20.9%,China
Guardians of the Galaxy Vol 2,Guardians of the Gal,20.7%,China
Transformers: The Last Knight,Transformers: The La,48.4%,China
Justice League,Justice League,24.1%,China
Wonder Woman,Wonder Woman,21.7%,China
Kong: Skull Island,Kong: Skull Island,41.8%,China
Logan,Logan,27.3%,China
It,It,11.3%,United Kingdom
The Boss Baby,The Boss Baby,10.7%,United Kingdom
War for the Planet of the Apes,War for the Planet o,32.8%,China
Dunkirk,Dunkirk,22.7%,United Kingdom
Never Say Die,Never Say Die,99.8%,China
The Mummy,The Mummy,27.7%,China
Kingsman: The Golden Circle,Kingsman: The Golden,23.0%,China
Qian Ren 3: Yan Zhi Da Zuo Zhan,Qian Ren 3: Yan Zhi ,99.9%,China
xXx: Return of Xander Cage,xXx: Return of Xande,54.7%,China
Fifty Shades Darker,Fifty Shades Darker,12.3%,Germany
Gong fu yu jia,Gong fu yu jia,99.6%,China
The Greatest Showman,The Greatest Showman,26.0%,United Kingdom
Murder on the Orient Express,Murder on the Orient,14.2%,China
Xi You Fu Yao Pian,Xi You Fu Yao Pian,97.1%,China
Baahubali 2: The Conclusion,Baahubali 2: The Con,91.2%,India
Cars 3,Cars 3,9.0%,China
Fang Hua,Fang Hua,99.7%,China
Ferdinand,Ferdinand,12.2%,China
Annabelle: Creation,Annabelle: Creation,9.1%,Mexico
Geostorm,Geostorm,34.4%,China
Paddington 2,Paddington 2,29.5%,United Kingdom
Wonder,Wonder,16.9%,China
Valerian and the City of a Thousand Planets,Valerian and the Cit,35.5%,China
Blade Runner 2049,Blade Runner 2049,15.0%,United Kingdom
Alien: Covenant,Alien: Covenant,28.0%,China
Smurfs: The Lost Village,Smurfs: The Lost Vil,16.5%,China
Cheng feng po lang,Cheng feng po lang,99.9%,China
Split,Split,9.9%,United Kingdom
A Dog’s Purpose,A Dog’s Purpose,63.5%,China
The Lego Batman Movie,The Lego Batman Movi,24.5%,United Kingdom
The Shape of Water,The Shape of Water,12.7%,China
The Emoji Movie,The Emoji Movie,15.0%,United Kingdom
Secret Superstar,Secret Superstar,91.6%,China
Ghost in the Shell,Ghost in the Shell,23.0%,China
Baby Driver,Baby Driver,14.4%,United Kingdom
Baywatch,Baywatch,15.6%,Germany
