Movie,trunc,Share Of Number One Market,Number One Market
The Foreigner,The Foreigner,73.2%,China
King Arthur: Legend of the Sword,King Arthur: Legend ,11.1%,Russia (CIS)
Buddies in India,Buddies in India,99.9%,China
The Hitman’s Bodyguard,The Hitman’s Bodygua,19.6%,China
"Three Billboards Outside Ebbing, Missouri",Three Billboards Out,19.7%,United Kingdom
Along With The Gods: The Two Worlds,Along With The Gods:,99.5%,South Korea
Wukong,Wukong,99.8%,China
The Post,The Post,13.5%,United Kingdom
Yao Mao Zhuan,Yao Mao Zhuan,86.7%,China
Darkest Hour,Darkest Hour,34.4%,United Kingdom
Chasing the Dragon,Chasing the Dragon,99.7%,China
Taeksi Woonjunsa,Taeksi Woonjunsa,99.7%,South Korea
American Made,American Made,8.8%,United Kingdom
Once Upon a Time,Once Upon a Time,99.9%,China
Pitch Perfect 3,Pitch Perfect 3,25.4%,United Kingdom
John Wick: Chapter Two,John Wick: Chapter T,9.6%,Germany
Sha Po Lang: Tan Lang,Sha Po Lang: Tan Lan,100.0%,China
Boonie Bears: Entangled Worlds,Boonie Bears: Entang,99.4%,China
Daddy’s Home 2,Daddy’s Home 2,25.0%,United Kingdom
Get Out,Get Out,19.0%,South Korea
Life,Life,27.5%,China
Tiger Zinda Hai,Tiger Zinda Hai,94.2%,India
Happy Death Day,Happy Death Day,14.4%,South Korea
Feng Ren Ji Yue Dui,Feng Ren Ji Yue Dui,100.0%,China
Jigsaw,Jigsaw,10.2%,United Kingdom
Fack ju Göhte 3,Fack ju Göhte 3,94.7%,Germany
Meitantei Konan: Kara Kurenai no Rabu Retta,Meitantei Konan: Kar,95.8%,Japan
The Lego Ninjago Movie,The Lego Ninjago Mov,20.3%,United Kingdom
The Dark Tower,The Dark Tower,14.1%,Russia (CIS)
Dvizhenie Vverkh,Dvizhenie Vverkh,75.1%,Russia (CIS)
Eiga Doraemon: Nobita no nankyoku kachikochi da…,Eiga Doraemon: Nobit,62.7%,Japan
The Founding of an Army,The Founding of an A,100.0%,China
Chāi dàn zhuānjiā,Chāi dàn zhuānjiā,99.8%,China
The Devotion of Suspect X,The Devotion of Susp,99.6%,China
Yao Ling Ling,Yao Ling Ling,99.9%,China
Power Rangers,Power Rangers,10.6%,United Kingdom
Confidential Assignment,Confidential Assignm,99.8%,South Korea
A Bad Moms Christmas,A Bad Moms Christmas,19.5%,United Kingdom
Rings,Rings,12.3%,Brazil
Captain Underpants: The First Epic Movie,Captain Underpants: ,20.5%,United Kingdom
Bareilly Ki Barfi,Bareilly Ki Barfi,99.7%,India
The Outlaws,The Outlaws,99.7%,South Korea
1987: When the Day Comes,1987: When the Day C,99.8%,South Korea
Kōng tiān liè,Kōng tiān liè,99.8%,China
Ji Qi Zhi Xue,Ji Qi Zhi Xue,99.5%,China
Atomic Blonde,Atomic Blonde,10.3%,United Kingdom
Er Dai Yao Jing,Er Dai Yao Jing,100.0%,China
Qi Man Dun Jia,Qi Man Dun Jia,99.9%,China
Victoria and Abdul,Victoria and Abdul,30.3%,United Kingdom
Gintama,Gintama,72.7%,Japan
Xin Li Zui,Xin Li Zui,100.0%,China
Gunhamdo,Gunhamdo,99.7%,South Korea
Namiya Zakkaten no Kiseki,Namiya Zakkaten no K,78.8%,China
The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty,14.7%,France
Jìyì dàshī,Jìyì dàshī,99.4%,China
Hindi Medium,Hindi Medium,76.6%,China
Golmaal Again,Golmaal Again,97.6%,India
Bad Genius,Bad Genius,97.3%,China
Papita 2da Base,Papita 2da Base,,
Toilet: Ek Prem Katha,Toilet: Ek Prem Kath,64.1%,India
Going in Style,Going in Style,9.5%,United Kingdom
The King,The King,99.8%,South Korea
xiu chun dao II: xiu luo zhan chang,xiu chun dao II: xiu,99.8%,China
Cheongnyeon Gyeongchal,Cheongnyeon Gyeongch,99.8%,South Korea
T2: Trainspotting,T2: Trainspotting,54.6%,United Kingdom
Meari to majo no hana,Meari to majo no han,69.8%,Japan
The Shack,The Shack,60.3%,Brazil
My Little Pony: The Movie,My Little Pony: The ,18.7%,China
Loving Vincent,Loving Vincent,29.0%,China
The Adventurers,The Adventurers,99.7%,China
The Snowman,The Snowman,12.7%,Germany
Raid Dingue,Raid Dingue,91.6%,France
Kimi no Suizo wo Tabetai,Kimi no Suizo wo Tab,82.3%,Japan
Namiya,Namiya,99.9%,China
Destiny: Kamakura Monogatari,Destiny: Kamakura Mo,78.1%,Japan
Xin Li Zui Zhi Cheng Shi Zhi Guang,Xin Li Zui Zhi Cheng,99.8%,China
Gekijouban Poketto monsutâ: Kimi ni kimeta!,Gekijouban Poketto m,86.5%,Japan
Gangcheolbi,Gangcheolbi,100.0%,South Korea
Tadeo Jones 2: El Secreto del Rey Midas,Tadeo Jones 2: El Se,67.0%,Spain
Jing Cheng 81 Hao 2,Jing Cheng 81 Hao 2,99.9%,China
The Mountain Between Us,The Mountain Between,12.0%,Australia
American Assassin,American Assassin,7.8%,Australia
All the Money in the World,All the Money in the,14.0%,United Kingdom
Le Sens de la Fête,Le Sens de la Fête,75.2%,France
Gekijo-ban Sword Art Online: Ordinal Scale,Gekijo-ban Sword Art,55.0%,Japan
The Son of Bigfoot,The Son of Bigfoot,26.9%,China
Perfectos Desconocidos,Perfectos Desconocid,82.7%,Spain
Lady Bird,Lady Bird,24.2%,United Kingdom
Happy Family,Happy Family,9.9%,Germany
Posledniy bogatyr,Posledniy bogatyr,99.1%,Russia (CIS)
Contratiempo,Contratiempo,84.4%,China
This Is Not What I Expected,This Is Not What I E,100.0%,China
How to Be a Latin Lover,How to Be a Latin Lo,81.9%,Mexico
Downsizing,Downsizing,15.7%,France
Raees,Raees,92.4%,India
Ni Shi Ying Jiu,Ni Shi Ying Jiu,100.0%,China
The Swindlers,The Swindlers,99.3%,South Korea
Namhansanseong,Namhansanseong,100.0%,South Korea
Alibi.com,Alibi.com,95.0%,France
Recep Ivedik 5,Recep Ivedik 5,84.1%,Turkey
Flatliners,Flatliners,15.0%,Russia (CIS)
"Everything, Everything","Everything, Everythi",14.7%,Italy
Judwaa 2,Judwaa 2,96.3%,India
mother!,mother!,11.8%,United Kingdom
Phantom Thread,Phantom Thread,17.6%,Italy
"Uchiage Hanabi, Shita Kara Miru ka? Yoko Kara M…","Uchiage Hanabi, Shit",49.1%,Japan
Love off the Cuff,Love off the Cuff,98.3%,China
What Happened to Monday?,What Happened to Mon,56.2%,France
Tubelight,Tubelight,94.7%,India
Girls Trip,Girls Trip,45.4%,United Kingdom
Twenty-Two,Twenty-Two,99.8%,China
Badrinath Ki Dulhania,Badrinath Ki Dulhani,97.2%,India
The Circle,The Circle,14.5%,Germany
Rough Night,Rough Night,15.6%,Germany
Molly’s Game,Molly’s Game,21.2%,United Kingdom
8-nengoshi no hanayome,8-nengoshi no hanayo,98.2%,Japan
Jolly LLB 2,Jolly LLB 2,97.5%,India
"I, Tonya","I, Tonya",28.2%,Australia
Call Me by Your Name,Call Me by Your Name,17.7%,Italy
Extraordinary Mission,Extraordinary Missio,99.8%,China
Épouse-moi mon pote,Épouse-moi mon pote,88.3%,France
Ai Kaen Seupikeu,Ai Kaen Seupikeu,99.8%,South Korea
The Star,The Star,16.8%,France
Mom,Mom,74.7%,China
The Prison,The Prison,99.8%,South Korea
Logan Lucky,Logan Lucky,20.3%,United Kingdom
Ayla,Ayla,64.8%,Turkey
22 nenme no Kokuhaku: Watashi ga Satsujinhan desu,22 nenme no Kokuhaku,96.2%,Japan
Shiwan Ge Lengxiaohua 2,Shiwan Ge Lengxiaohu,100.0%,China
Hirugao,Hirugao,88.9%,Japan
Dieses bescheuerte Herz,Dieses bescheuerte H,96.2%,Germany
Prityazhenie,Prityazhenie,92.0%,Russia (CIS)
Sekigahara,Sekigahara,100.0%,Japan
Memoir of a Murderer,Memoir of a Murderer,99.9%,South Korea
Fu zi xiong bing,Fu zi xiong bing,100.0%,China
Jojakdwen doshi,Jojakdwen doshi,98.8%,South Korea
Lipstick Under My Burka,Lipstick Under My Bu,99.9%,India
Santa & Cie,Santa & Cie,87.2%,France
Listy Do M3,Listy Do M3,96.2%,Poland
Yôkai Watch 4,Yôkai Watch 4,94.2%,Japan
Zhui bu,Zhui bu,87.9%,China
Big Baker's Unlucky Bear,Big Baker's Unlucky ,100.0%,China
47 Meters Down,47 Meters Down,32.0%,China
Boangwan,Boangwan,100.0%,South Korea
Ao Jiao & Pian Jian,Ao Jiao & Pian Jian,100.0%,China
Shinobi no kuni,Shinobi no kuni,100.0%,Japan
Backkom Bear: Agent 008,Backkom Bear: Agent ,100.0%,China
Jue zhan shi shen,Jue zhan shi shen,99.6%,China
The Beguiled,The Beguiled,15.7%,France
Jiao Zhu Chuan,Jiao Zhu Chuan,99.8%,China
Fate Stay/night: Heaven’s Feel I. Presage Flower,Fate Stay/night: Hea,70.3%,Japan
Bullyparade: Der Film,Bullyparade: Der Fil,100.0%,Germany
Jaesim,Jaesim,100.0%,South Korea
Salyut-7,Salyut-7,82.8%,Russia (CIS)
Shi Ba Dong Cun,Shi Ba Dong Cun,100.0%,China
A Cure for Wellness,A Cure for Wellness,22.0%,Russia (CIS)
Parkyeol,Parkyeol,100.0%,South Korea
Fukrey Returns,Fukrey Returns,99.0%,India
Au revoir là-haut,Au revoir là-haut,95.8%,France
Qi Shi Qi Tian,Qi Shi Qi Tian,100.0%,China
Seer Movie 6: Invincible Puni,Seer Movie 6: Invinc,100.0%,China
Yolki novye,Yolki novye,99.1%,Russia (CIS)
Aile Arasında,Aile Arasında,99.9%,Turkey
Teiichi no kuni,Teiichi no kuni,100.0%,Japan
Loving Pablo,Loving Pablo,26.1%,Italy
Woody Woodpecker,Woody Woodpecker,43.7%,Brazil
Kureyon Shinchan: Shūrai! Uchūjin Shiriri,Kureyon Shinchan: Sh,86.0%,Japan
Mix,Mix,80.6%,Japan
North East: Past Po Ma Zhang Fei,North East: Past Po ,100.0%,China
Partners: The Movie IV,Partners: The Movie ,100.0%,Japan
Jue Shi Gao Shou,Jue Shi Gao Shou,100.0%,China
L'école buissonnière,L'école buissonnière,99.3%,France
The Game Changer,The Game Changer,100.0%,China
Diary of a Wimpy Kid: The Long Haul,Diary of a Wimpy Kid,46.4%,United Kingdom
Botoks,Botoks,92.6%,Poland
Snatched,Snatched,38.2%,Australia
Tri Bogatyrya i Printsessa Egipta,Tri Bogatyrya i Prin,99.8%,Russia (CIS)
Drôles de petites bêtes,Drôles de petites bê,80.6%,China
The Big Sick,The Big Sick,25.1%,Australia
Un sac de billes,Un sac de billes,64.9%,France
The Missing,The Missing,100.0%,China
Shen Mo Dao Ji Gong,Shen Mo Dao Ji Gong,100.0%,China
Nomoohyeonibnida,Nomoohyeonibnida,99.9%,South Korea
A Stork's Journey,A Stork's Journey,38.0%,France
Sandome no satsujin,Sandome no satsujin,91.9%,Japan
Da Hu Fa,Da Hu Fa,100.0%,China
Boolhandang: Nabbeun Nomdeului Sesang,Boolhandang: Nabbeun,54.4%,South Korea
Sleepless,Sleepless,13.0%,France
Meri Pyaari Bindu,Meri Pyaari Bindu,99.4%,India
The Death of Stalin,The Death of Stalin,58.6%,United Kingdom
Wonder Wheel,Wonder Wheel,28.6%,Italy
El Secreto de Marrowbone,El Secreto de Marrow,71.0%,Spain
Gifted,Gifted,27.0%,Mexico
Earth: One Amazing Day,Earth: One Amazing D,59.8%,China
Mubarakan,Mubarakan,89.1%,India
Outrage Coda,Outrage Coda,99.9%,Japan
"Fala Sério, Mãe!","Fala Sério, Mãe!",100.0%,Brazil
Xue Zhan Xiang Jiang,Xue Zhan Xiang Jiang,100.0%,China
Come Un Gatto in Tangenziale,Come Un Gatto in Tan,97.7%,Italy
Les As de la Jungle,Les As de la Jungle,47.3%,France
Overdrive,Overdrive,27.3%,France
Es Por Tu Bien,Es Por Tu Bien,100.0%,Spain
Wind River,Wind River,19.8%,France
Kiseki: Anohi no sobito,Kiseki: Anohi no sob,100.0%,Japan
Xin Yong Bu Xiao Shi De Dian Bo,Xin Yong Bu Xiao Shi,100.0%,China
The King’s Case Note,The King’s Case Note,99.9%,South Korea
Yuen Loeng Taa 77 Chi,Yuen Loeng Taa 77 Ch,100.0%,China
L'Ora Legale,L'Ora Legale,97.8%,Italy
Hazlo Como Hombre,Hazlo Como Hombre,100.0%,Mexico
High & Low The Movie 2 / End of Sky,High & Low The Movie,100.0%,Japan
Le brio,Le brio,84.1%,France
Buradeo,Buradeo,100.0%,South Korea
Viceroy’s House,Viceroy’s House,48.9%,United Kingdom
The Lost City of Z,The Lost City of Z,24.0%,France
Mister Felicità,Mister Felicità,99.9%,Italy
Ajin,Ajin,98.8%,Japan
Baadshaho,Baadshaho,96.8%,India
Kolovrat,Kolovrat,99.7%,Russia (CIS)
High Society,High Society,50.7%,South Korea
Deep,Deep,24.7%,China
Home Again,Home Again,16.4%,Mexico
Kamen Raidâ Heisei Jenerêshonzu Fainaru: Birudo…,Kamen Raidâ Heisei J,100.0%,Japan
Fan Zhuan Ren Sheng,Fan Zhuan Ren Sheng,100.0%,China
Kuang Shou,Kuang Shou,100.0%,China
Their Finest,Their Finest,51.8%,United Kingdom
Bibi & Tina: Tohuwabohu total,Bibi & Tina: Tohuwab,100.0%,Germany
