Movie,trunc,Share Of Number One Market,Number One Market
Demon Slayer: Kimetsu no Yaiba—The Movie: Mugen…,Demon Slayer: Kimets,84.9%,Japan
The Eight Hundred (八佰),The Eight Hundred (),99.8%,China
Wo He Wo De Jia Xiang,Wo He Wo De Jia Xian,99.9%,China
Tenet,Tenet,21.7%,China
Legend of Deification (姜子牙),Legend of Deificatio,99.8%,China
Song Ni Yi Duo Xiao Hong Hua,Song Ni Yi Duo Xiao ,100.0%,China
Bad Boys For Life,Bad Boys For Life,9.1%,United Kingdom
Chai Dan Zhuan Jia Er,Chai Dan Zhuan Jia E,99.4%,China
Dolittle,Dolittle,11.9%,United Kingdom
Jin gang chuan,Jin gang chuan,100.0%,China
Sonic The Hedgehog,Sonic The Hedgehog,16.3%,United Kingdom
The Croods: A New Age,The Croods: A New Ag,35.0%,China
Wen Nuan De Bao Bao,Wen Nuan De Bao Bao,99.9%,China
Zhong Guo Nu Pai,Zhong Guo Nu Pai,99.1%,China
Wonder Woman 1984,Wonder Woman 1984,20.8%,China
Birds of Prey (And the Fantabulous Emancipation…,Birds of Prey (And t,9.5%,United Kingdom
Soul,Soul,48.1%,China
Xiong Chu Mo: Kuang Ye Da Lu,Xiong Chu Mo: Kuang ,99.5%,China
Chu bao,Chu bao,99.9%,China
Miracle In Cell No. 7,Miracle In Cell No. ,97.2%,South Korea
Jin Ji Jiu Yuan,Jin Ji Jiu Yuan,99.9%,China
Zhong Guo he huo ren,Zhong Guo he huo ren,100.0%,China
The Invisible Man,The Invisible Man,11.9%,United Kingdom
Wo Zai Shi Jian Jin Tou Deng Ni,Wo Zai Shi Jian Jin ,100.0%,China
Onward,Onward,14.4%,China
Mulan,Mulan,58.2%,China
Yin-Yang Master I,Yin-Yang Master I,100.0%,China
Stand by Me Doraemon 2,Stand by Me Doraemon,64.4%,China
Mu Yu Zhi Wang,Mu Yu Zhi Wang,100.0%,China
Tolo Tolo,Tolo Tolo,100.0%,Italy
Ru Guo Sheng Yin Bu Ji De,Ru Guo Sheng Yin Bu ,100.0%,China
Trolls: World Tour,Trolls: World Tour,15.6%,France
I’m From Today!,I’m From Today!,99.9%,Japan
Yi Dian Jiu Dao Jia,Yi Dian Jiu Dao Jia,99.9%,China
Ji Xian Feng,Ji Xian Feng,98.5%,China
The Call of the Wild,The Call of the Wild,23.2%,France
Eiga Doraemon: Nobita no shin kyôryû,Eiga Doraemon: Nobit,72.6%,Japan
After We Collided,After We Collided,23.3%,Germany
Greenland,Greenland,12.8%,China
Namsaneui Bujangdeul,Namsaneui Bujangdeul,100.0%,South Korea
The Father,The Father,14.0%,France
Peninsula,Peninsula,83.5%,South Korea
Daman Akeseo Guhasoseo,Daman Akeseo Guhasos,99.3%,South Korea
Feng sheng,Feng sheng,96.7%,China
Monster Hunter,Monster Hunter,34.4%,Japan
The Witches,The Witches,15.4%,Australia
Soul Snatcher,Soul Snatcher,99.8%,China
Scoob!,Scoob!,20.7%,France
The War with Grandpa,The War with Grandpa,30.7%,Australia
Lyod 2,Lyod 2,99.7%,Russia (CIS)
The New Mutants,The New Mutants,13.2%,France
Fantasy Island,Fantasy Island,13.2%,France
Digimon Adventure: Last Evolution Kizuna,Digimon Adventure: L,87.4%,China
New Interpretations Records of the Three Kingdoms,New Interpretations ,100.0%,Japan
Druk,Druk,16.6%,France
Jiko Bukken: Kowai Madori,Jiko Bukken: Kowai M,100.0%,Japan
Eiga Entotsu Machi no Poupelle,Eiga Entotsu Machi n,99.1%,Japan
Yarn,Yarn,99.9%,Japan
Yi miao zhong,Yi miao zhong,99.0%,China
Gekijouban Violet Evergarden,Gekijouban Violet Ev,93.7%,Japan
Gekijouban Fate/Stay Night: Heaven’s Feel — III…,Gekijouban Fate/Stay,95.1%,Japan
Honest Thief,Honest Thief,16.6%,Netherlands
"Ensemble, c’est tout","Ensemble, c’est tout",0.1%,South Korea
Kaiji: Fainaru gêmu,Kaiji: Fainaru gêmu,100.0%,Japan
Emma.,Emma.,57.9%,United Kingdom
The Story of Xi Bao,The Story of Xi Bao,100.0%,China
Adieu les cons,Adieu les cons,97.3%,France
Hiteumaen,Hiteumaen,100.0%,South Korea
Unhinged,Unhinged,18.4%,Australia
Red Dog,Red Dog,88.5%,Australia
Padre no hay más que uno 2: La llegada de la su…,Padre no hay más que,100.0%,Spain
Takizawa Enbujo Zero,Takizawa Enbujo Zero,100.0%,Japan
Ogon,Ogon,99.2%,Russia (CIS)
Nightlife,Nightlife,99.1%,Germany
Dam bo,Dam bo,99.6%,South Korea
#salaissda,#salaissda,100.0%,South Korea
Gekijouban Poketto monsutâ: koko,Gekijouban Poketto m,60.2%,China
Jeongsang hoidam,Jeongsang hoidam,100.0%,South Korea
Feng ping lang jing,Feng ping lang jing,100.0%,China
The Personal History of David Copperfield,The Personal History,66.5%,United Kingdom
Samjingeurup yeongeotoikban,Samjingeurup yeongeo,100.0%,South Korea
Minari,Minari,71.0%,South Korea
Dogol,Dogol,100.0%,South Korea
Promising Young Woman,Promising Young Woma,28.8%,Australia
Agent Backkom: King’s Bear,Agent Backkom: King’,98.8%,China
Ducobu 3,Ducobu 3,100.0%,France
Kureyon Shinchan: Gekitotsu Rakugakingudamu to …,Kureyon Shinchan: Ge,87.7%,Japan
Jungjikhan Hoobo,Jungjikhan Hoobo,100.0%,South Korea
Wotaku ni Koi wa Muzukashii,Wotaku ni Koi wa Muz,100.0%,Japan
Inunaki Mura,Inunaki Mura,100.0%,Japan
Almost Love,Almost Love,100.0%,China
30 jours max,30 jours max,99.6%,France
Eltilerin Savasi,Eltilerin Savasi,99.9%,Turkey
Tsumi no Koe,Tsumi no Koe,100.0%,Japan
Find Your Voice,Find Your Voice,98.8%,China
Ming Tian Ni Shi Fou Yi Ran Ai Wo,Ming Tian Ni Shi Fou,99.5%,China
Bigfoot Family,Bigfoot Family,32.7%,France
Me contro Te - Il film - La vendetta del Signor S,Me contro Te - Il fi,100.0%,Italy
Asada-ke,Asada-ke,99.7%,Japan
10 jours sans maman,10 jours sans maman,96.9%,France
