Movie,trunc,Share Of Number One Market,Number One Market
Harry Potter and the Goblet of Fire,Harry Potter and the,15.7%,Japan
Star Wars Ep. III: Revenge of the Sith,Star Wars Ep. III: R,10.6%,United Kingdom
"The Chronicles of Narnia: The Lion, the Witch a…",The Chronicles of Na,0.0%,New Zealand
War of the Worlds,War of the Worlds,3.5%,Australia
Madagascar,Madagascar,5.0%,Australia
King Kong,King Kong,0.0%,New Zealand
Mr. and Mrs. Smith,Mr. and Mrs. Smith,4.9%,Australia
Charlie and the Chocolate Factory,Charlie and the Choc,17.3%,United Kingdom
Hitch,Hitch,5.8%,Australia
Fantastic Four,Fantastic Four,3.2%,Australia
Chicken Little,Chicken Little,,
Kingdom of Heaven,Kingdom of Heaven,6.0%,United Kingdom
Batman Begins,Batman Begins,14.9%,United Kingdom
Constantine,Constantine,5.6%,South Korea
Wallace & Gromit: The Curse of the Were-Rabbit,Wallace & Gromit: Th,0.1%,United Kingdom
Robots,Robots,7.9%,Australia
The Island,The Island,,
Flightplan,Flightplan,,
Memoirs of a Geisha,Memoirs of a Geisha,,
The Legend of Zorro,The Legend of Zorro,,
Brokeback Mountain,Brokeback Mountain,1.4%,South Korea
Fun With Dick And Jane,Fun With Dick And Ja,,
The Interpreter,The Interpreter,6.0%,Australia
Pride & Prejudice,Pride & Prejudice,0.8%,Mexico
Der Untergang,Der Untergang,1.8%,Australia
The Ring Two,The Ring Two,4.9%,Australia
The Pacifier,The Pacifier,9.8%,Australia
Sin City,Sin City,1.7%,Australia
Munich,Munich,,
Herbie: Fully Loaded,Herbie: Fully Loaded,8.2%,Australia
Wedding Crashers,Wedding Crashers,,
Monster-in-Law,Monster-in-Law,,
Hide and Seek,Hide and Seek,4.8%,Australia
The Exorcism of Emily Rose,The Exorcism of Emil,,
Walk the Line,Walk the Line,0.0%,Portugal
Bewitched,Bewitched,7.7%,Australia
The Brothers Grimm,The Brothers Grimm,,
The 40 Year-old Virgin,The 40 Year-old Virg,,
Saw II,Saw II,,
Match Point,Match Point,1.1%,South Korea
Corpse Bride,Corpse Bride,10.6%,United Kingdom
La marche de l'empereur,La marche de l'emper,0.1%,Italy
Wangeui Namja,Wangeui Namja,100.0%,South Korea
Sahara,Sahara,7.8%,Australia
Miss Congeniality 2: Armed and Fabulous,Miss Congeniality 2:,11.7%,Australia
The Constant Gardener,The Constant Gardene,0.0%,Australia
Cheaper by the Dozen 2,Cheaper by the Dozen,,
Just Like Heaven,Just Like Heaven,,
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Gui,13.1%,Australia
In Her Shoes,In Her Shoes,,
Welcome to Dongmakgol,Welcome to Dongmakgo,,
Rumor Has It,Rumor Has It,,
The Transporter 2,The Transporter 2,,
Crash,Crash,3.2%,Australia
Valiant,Valiant,,
Prime,Prime,,
The Skeleton Key,The Skeleton Key,,
Stealth,Stealth,,
XXX: State of the Union,XXX: State of the Un,5.5%,Australia
The Amityville Horror,The Amityville Horro,6.9%,Australia
Cinderella Man,Cinderella Man,,
Hostage,Hostage,3.2%,Australia
Son of the Mask,Son of the Mask,2.6%,Australia
Syriana,Syriana,,
Racing Stripes,Racing Stripes,16.6%,Australia
Be Cool,Be Cool,8.7%,Australia
Red Eye,Red Eye,,
House of Wax,House of Wax,1.5%,Australia
Pooh's Heffalump Movie,Pooh's Heffalump Mov,3.5%,Australia
