Movie,trunc,Share Of Number One Market,Number One Market
Harry Potter and the Deathly Hallows: Part II,Harry Potter and the,10.5%,United Kingdom
Pirates of the Caribbean: On Stranger Tides,Pirates of the Carib,,
Transformers: Dark of the Moon,Transformers: Dark o,,
Kung Fu Panda 2,Kung Fu Panda 2,,
Mission: Impossible—Ghost Protocol,Mission: Impossible—,0.1%,Egypt
Les Intouchables,Les Intouchables,1.0%,Australia
The Smurfs,The Smurfs,0.5%,Turkey
Fast Five,Fast Five,4.0%,Australia
Puss in Boots,Puss in Boots,5.4%,Spain
"The Twilight Saga: Breaking Dawn, Part 1",The Twilight Saga: B,8.2%,Brazil
Cars 2,Cars 2,4.5%,Brazil
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A G,0.1%,Serbia and Montenegro
Rio,Rio,10.1%,Brazil
The Hangover Part II,The Hangover Part II,,
The Adventures of Tintin,The Adventures of Ti,4.6%,Spain
Rise of the Planet of the Apes,Rise of the Planet o,,
Thor,Thor,4.5%,Brazil
Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmu,11.0%,United Kingdom
X-Men: First Class,X-Men: First Class,,
Captain America: The First Avenger,Captain America: The,0.0%,Australia
Real Steel,Real Steel,4.6%,Brazil
Johnny English Reborn,Johnny English Rebor,,
The Girl with the Dragon Tattoo,The Girl with the Dr,11.5%,Japan
Super 8,Super 8,,
The Green Hornet,The Green Hornet,,
Battle: Los Angeles,Battle: Los Angeles,,
Immortals,Immortals,,
In Time,In Time,0.1%,Slovakia
Rango,Rango,0.1%,Lithuania
Mr. Poppers's Penguins,Mr. Poppers's Pengui,,
Bridesmaids,Bridesmaids,17.4%,Australia
The Three Musketeers,The Three Musketeers,,
Bad Teacher,Bad Teacher,,
Final Destination 5,Final Destination 5,0.1%,Nigeria
Just Go With It,Just Go With It,,
Hugo,Hugo,9.0%,Italy
Midnight in Paris,Midnight in Paris,2.0%,South Korea
Paranormal Activity 3,Paranormal Activity ,5.0%,Brazil
Green Lantern,Green Lantern,,
Arthur Christmas,Arthur Christmas,28.1%,United Kingdom
Horrible Bosses,Horrible Bosses,0.0%,India
Happy Feet Two,Happy Feet Two,0.2%,Bulgaria
Gnomeo and Juliet,Gnomeo and Juliet,,
The Descendants,The Descendants,12.7%,Australia
New Year’s Eve,New Year’s Eve,,
I am Number Four,I am Number Four,0.3%,Central America
Friends with Benefits,Friends with Benefit,,
Zookeeper,Zookeeper,,
Rien à déclarer,Rien à déclarer,0.1%,Portugal
Sanctum,Sanctum,,
Source Code,Source Code,,
The Artist,The Artist,18.6%,United Kingdom
Hop,Hop,11.3%,Australia
No Strings Attached,No Strings Attached,,
War Horse,War Horse,0.2%,Peru
Jack and Jill,Jack and Jill,15.6%,Brazil
Limitless,Limitless,,
Cowboys and Aliens,Cowboys and Aliens,,
Unknown,Unknown,,
Tower Heist,Tower Heist,2.6%,Venezuela
The Muppets,The Muppets,36.8%,United Kingdom
Season of the Witch,Season of the Witch,,
The Adjustment Bureau,The Adjustment Burea,,
Tropa de Elite 2: O Inimigo Agora É Outro,Tropa de Elite 2: O ,,
The Rite,The Rite,,
Paul,Paul,,
"Crazy, Stupid, Love","Crazy, Stupid, Love",12.9%,Australia
Contagion,Contagion,5.7%,Australia
Jiàn Dǎng Wěi Yè,Jiàn Dǎng Wěi Yè,90.9%,China
Abduction,Abduction,,
Water for Elephants,Water for Elephants,,
Scream 4,Scream 4,0.2%,Ecuador
Tinker Tailor Soldier Spy,Tinker Tailor Soldie,1.1%,South Korea
Priest,Priest,,
Shi Lian 33 Tian,Shi Lian 33 Tian,83.6%,China
Red Riding Hood,Red Riding Hood,,
Sucker Punch,Sucker Punch,,
Choi-jong-byeong-gi-hwal,Choi-jong-byeong-gi-,,South Korea
Gekijouban Pokketo monsutâ Besuto wisshu: Pikut…,Gekijouban Pokketo m,,
Ip Man: Legend of the Grand Master,Ip Man: Legend of th,,
Bodyguard,Bodyguard,75.1%,India
Arthur et la vengeance de Maltazard,Arthur et la vengean,,Canada
The Tree of Life,The Tree of Life,0.0%,New Zealand
Sutekina kanashibari,Sutekina kanashibari,,Japan
Sunny,Sunny,86.7%,South Korea
J. Edgar,J. Edgar,0.5%,Venezuela
