Movie,trunc,Share Of Number One Market,Number One Market
Inside Out 2,Inside Out 2,9.8%,Mexico
Deadpool & Wolverine,Deadpool & Wolverine,10.7%,United Kingdom
Despicable Me 4,Despicable Me 4,10.2%,United Kingdom
Moana 2,Moana 2,10.7%,France
Mufasa: The Lion King,Mufasa: The Lion Kin,9.5%,France
Dune: Part Two,Dune: Part Two,11.4%,United Kingdom
YOLO (热辣滚烫),YOLO (),99.8%,China
Successor (抓娃娃),Successor (),99.8%,China
Pegasus 2 (飞驰人生2),Pegasus 2 (2),99.9%,China
Godzilla x Kong: The New Empire,Godzilla x Kong: The,35.7%,China
Kung Fu Panda 4,Kung Fu Panda 4,14.8%,China
Article 20 (第二十条),Article 20 (),99.9%,China
Venom: The Last Dance,Venom: The Last Danc,28.3%,China
Gladiator II,Gladiator II,15.1%,United Kingdom
Wicked,Wicked,28.1%,United Kingdom
Boonie Bears: Time Twist (熊出没·逆转时空),Boonie Bears: Time T,99.9%,China
Sonic the Hedgehog 3,Sonic the Hedgehog 3,13.4%,United Kingdom
Alien: Romulus,Alien: Romulus,44.9%,China
Kingdom of the Planet of the Apes,Kingdom of the Plane,12.7%,China
Bad Boys: Ride or Die,Bad Boys: Ride or Di,7.5%,Mexico
It Ends With Us,It Ends With Us,14.0%,United Kingdom
A Place Called Silence (默杀),A Place Called Silen,99.9%,China
The Wild Robot,The Wild Robot,10.7%,Mexico
The Volunteers: The Battle of Life and Death (志…,The Volunteers: The ,100.0%,China
The Garfield Movie,The Garfield Movie,15.9%,China
Beetlejuice Beetlejuice,Beetlejuice Beetleju,21.1%,United Kingdom
Detective Conan: The Million-Dollar Pentagram,Detective Conan: The,69.9%,Japan
Joker: Folie à Deux,Joker: Folie à Deux,8.9%,United Kingdom
Paddington in Peru,Paddington in Peru,34.2%,United Kingdom
Pushpa: The Rule — Part 2,Pushpa: The Rule — P,73.2%,India
The Prosecutor (误判),The Prosecutor (),99.9%,China
A Quiet Place: Day One,A Quiet Place: Day O,14.9%,China
Octopus with Broken Arms (误杀3),Octopus with Broken ,99.9%,China
Desperate for Money at the End of the Road (末路狂…,Desperate for Money ,100.0%,China
Kalki 2898-AD,Kalki 2898-AD,96.2%,India
Furiosa: A Mad Max Saga,Furiosa: A Mad Max S,11.2%,South Korea
Twisters,Twisters,18.5%,United Kingdom
Haikyu!! The Movie: Decisive Battle at the Garb…,Haikyu!! The Movie: ,73.0%,Japan
Stree 2,Stree 2,1.5%,Australia
Big World (小小的我),Big World (),100.0%,China
Her Story (好东西),Her Story (),99.6%,China
"The Pig, the Snake and the Pigeon (周处除三害)…","The Pig, the Snake a",100.0%,China
Red One,Red One,11.4%,United Kingdom
The Fall Guy,The Fall Guy,17.5%,United Kingdom
Twilight of the Warriors: Walled In (九龙城寨之围城)…,Twilight of the Warr,99.2%,China
Ghostbusters: Frozen Empire,Ghostbusters: Frozen,22.4%,United Kingdom
Nosferatu,Nosferatu,18.9%,United Kingdom
The Beekeeper,The Beekeeper,18.3%,China
Exhuma (파묘),Exhuma (),97.7%,South Korea
Bob Marley: One Love,Bob Marley: One Love,29.1%,United Kingdom
The Roundup: Punishment (범죄도시4),The Roundup: Punishm,99.3%,South Korea
IF,IF,21.7%,United Kingdom
Formed Police Unit (维和防暴队),Formed Police Unit (,100.0%,China
Moments We Shared (云边有个小卖部),Moments We Shared (),100.0%,China
Conclave,Conclave,18.6%,United Kingdom
Transformers One,Transformers One,30.3%,China
Smile 2,Smile 2,11.8%,United Kingdom
A Complete Unknown,A Complete Unknown,23.5%,United Kingdom
GO FOR BROKE (重生),GO FOR BROKE (),99.9%,China
Tiger Wolf Rabbit (浴火之路),Tiger Wolf Rabbit (),99.9%,China
Honey Money Phony (骗骗喜欢你),Honey Money Phony (),99.9%,China
The Substance,The Substance,15.8%,Mexico
Civil War,Civil War,13.6%,United Kingdom
Madame Web,Madame Web,9.5%,United Kingdom
White Snake: Afloat (白蛇：浮生),White Snake: Afloat ,100.0%,China
Kingdom 4: Return of the Great General (キングダム 大…,Kingdom 4: Return of,100.0%,Japan
"I, The Executioner (베테랑2)","I, The Executioner (",99.8%,South Korea
Bureau 749 (749局),Bureau 749 (749),100.0%,China
Longlegs,Longlegs,19.8%,United Kingdom
Argylle,Argylle,14.7%,United Kingdom
Upstream (逆行人生),Upstream (),99.9%,China
Doraemon the Movie: Nobita’s Earth Symphony (映画…,Doraemon the Movie: ,59.8%,Japan
Decoded (解密),Decoded (),99.8%,China
Challengers,Challengers,17.6%,United Kingdom
Back to Black,Back to Black,35.2%,United Kingdom
Kholop 2 (Холоп 2),Kholop 2 (Холоп 2),100.0%,Russia (CIS)
Panda Plan (熊猫计划),Panda Plan (),100.0%,China
High Forces (危机航线),High Forces (),99.9%,China
Trap,Trap,12.2%,United Kingdom
Crayon Shinchan: Our Dinosaur Diary ( 映画 クレヨンしん…,Crayon Shinchan: Our,43.6%,China
Speak No Evil,Speak No Evil,17.4%,United Kingdom
Last Mile (ラストマイル),Last Mile (),96.9%,Japan
Viva La Vida (我们一起摇太阳),Viva La Vida (),99.9%,China
Anora,Anora,9.8%,United Kingdom
B for Busy (爱情神话),B for Busy (),100.0%,China
Cesium Fallout (焚城),Cesium Fallout (),100.0%,China
Babygirl,Babygirl,17.9%,Netherlands
Mobile Suit Gundam SEED Freedom (機動戦士ガンダムSEED F…,Mobile Suit Gundam S,98.0%,Japan
Kraven the Hunter,Kraven the Hunter,11.0%,Mexico
The Brutalist,The Brutalist,14.7%,United Kingdom
The First Omen,The First Omen,17.1%,Mexico
Bremenskiye muzykanty (Бременские музыканты)…,Bremenskiye muzykant,99.9%,Russia (CIS)
Stand By Me (野孩子),Stand By Me (),100.0%,China
Lahn mah,Lahn mah,52.7%,China
A Strange House (変な家),A Strange House (),99.5%,Japan
Rob n Roll (临时劫案),Rob n Roll (),99.9%,China
Demon Slayer: Kimetsu no Yaiba—To the Hashira T…,Demon Slayer: Kimets,45.7%,Japan
We Live in Time,We Live in Time,34.9%,United Kingdom
Harbin (하얼빈),Harbin (),99.6%,South Korea
Mean Girls,Mean Girls,36.9%,United Kingdom
Pilot (파일럿),Pilot (),99.6%,South Korea
Heretic,Heretic,24.5%,United Kingdom
Tarot,Tarot,9.9%,Mexico
Chantal im Märchenland,Chantal im Märchenla,97.1%,Germany
I Lost You (被我弄丢的你),I Lost You (),100.0%,China
Ainda Estou Aqui,Ainda Estou Aqui,66.6%,Brazil
Be My Friend (我才不要和你做朋友呢),Be My Friend (),100.0%,China
To Gather Around (胜券在握),To Gather Around (),99.9%,China
Devara Part 1,Devara Part 1,2.6%,United Kingdom
The Last Dance (破。地獄),The Last Dance (),95.3%,China
Juror #2,Juror #2,15.7%,Italy
Master i Margarita (Мастер и Маргарита)…,Master i Margarita (,98.2%,Russia (CIS)
Walk The Line (扫黑·决不放弃),Walk The Line (·),100.0%,China
"Flow, le chat qui n’avait plus peur de l’eau","Flow, le chat qui n’",24.8%,Mexico
Firefighters (소방관),Firefighters (),99.8%,South Korea
Die Schule der magischen Tiere 3,Die Schule der magis,99.6%,Germany
UNTOUCHABLE (逆鳞),UNTOUCHABLE (),100.0%,China
Blink Twice,Blink Twice,17.2%,United Kingdom
Look Back,Look Back,57.5%,Japan
Terrifier 3,Terrifier 3,19.2%,United Kingdom
Night Swim,Night Swim,11.2%,Mexico
Crisis Negotiators (谈判专家),Crisis Negotiators (,99.8%,China
Lyod 3 (ЛЕД 3),Lyod 3 (ЛЕД 3),100.0%,Russia (CIS)
Wicked Little Letters,Wicked Little Letter,58.3%,United Kingdom
The Unseen Sister (乔妍的心事),The Unseen Sister (),99.9%,China
The Hedgehog (刺猬),The Hedgehog (),100.0%,China
Golden Kamuy (ゴールデンカムイ),Golden Kamuy (),100.0%,Japan
Diamanti,Diamanti,98.9%,Italy
The Room Next Door,The Room Next Door,13.4%,Spain
My Hero Academia the Movie: You’re Next,My Hero Academia the,88.0%,Japan
Customs Frontline,Customs Frontline,99.8%,China
Better Man,Better Man,46.6%,United Kingdom
Escape (탈주),Escape (),99.7%,South Korea
Yuanyang Lou (鸳鸯楼·惊魂),Yuanyang Lou (·),100.0%,China
Blue Lock The Movie -Episode Nagi- (劇場版ブルーロック -…,Blue Lock The Movie ,64.5%,Japan
Sto let tomu vpered (Сто лет тому вперед)…,Sto let tomu vpered ,99.9%,Russia (CIS)
Fly Me to the Moon,Fly Me to the Moon,12.2%,United Kingdom
Borderlands,Borderlands,14.8%,France
Abigail,Abigail,12.4%,United Kingdom
Dwelling by the West Lake (草木人间),Dwelling by the West,100.0%,China
The Traveller (异人之下),The Traveller (),100.0%,China
A Real Pain,A Real Pain,27.0%,United Kingdom
Jung Kook: I Am Still (정국: 아이 엠 스틸),Jung Kook: I Am Stil,28.8%,Japan
Evacuate from the 21st Century (从21世纪安全撤离)…,Evacuate from the 21,100.0%,China
Imaginary,Imaginary,16.1%,United Kingdom
The Untold Story (那个不为人知的故事),The Untold Story (),100.0%,China
National Theatre Live: Prima Facie,National Theatre Liv,68.4%,United Kingdom
Like A Rolling Stone (出走的决心),Like A Rolling Stone,100.0%,China
Follow Bear to Adventure (动物园里有什么?),Follow Bear to Adven,100.0%,China
The Bikeriders,The Bikeriders,33.7%,United Kingdom
Padre No Hay Más Que Uno 4,Padre No Hay Más Que,100.0%,Spain
The Victims (黄雀在后！),The Victims (！),100.0%,China
Gold or Shit (走走停停),Gold or Shit (),100.0%,China
The Watchers,The Watchers,8.8%,United Kingdom
Burning Star (孤星计划),Burning Star (),100.0%,China
Remember Me (灿烂的她),Remember Me (),100.0%,China
A Frozen Rage (一雪前耻),A Frozen Rage (),100.0%,China
The Movie Emperor (红毯先生),The Movie Emperor (),99.6%,China
Yolki 11 (Ёлки 11),Yolki 11 (Ёлки 11),100.0%,Russia (CIS)
Pleasant Goat and Grey Wolf 9 (喜羊羊与灰太狼之守护)…,Pleasant Goat and Gr,100.0%,China
Letuchiy Korabl (Летучий корабль),Letuchiy Korabl (Лет,100.0%,Russia (CIS)
Lee,Lee,46.4%,United Kingdom
Hijack 1971 (하이재킹),Hijack 1971 (),100.0%,South Korea
HOVERING BLADE (彷徨之刃),HOVERING BLADE (),99.9%,China
The Strangers: Chapter 1,The Strangers: Chapt,18.4%,United Kingdom
Handsome Guys (핸섬가이즈),Handsome Guys (),99.7%,South Korea
Mrs. Green Apple // The White Lounge in Cinema …,Mrs. Green Apple // ,99.4%,Japan
Maria,Maria,27.2%,Italy
Ognivo (Огниво),Ognivo (Огниво),100.0%,Russia (CIS)
Citizen of a Kind (시민덕희 ),Citizen of a Kind ( ,100.0%,South Korea
The Lord of the Rings: The War of the Rohirrim,The Lord of the Ring,9.0%,United Kingdom
Cells at Work! ( はたらく細胞),Cells at Work! ( ),100.0%,Japan
Le Comte de Monte-Cristo,Le Comte de Monte-Cr,49.1%,Russia (CIS)
Never Let Go,Never Let Go,7.4%,Mexico
Le Dernier Jaguar,Le Dernier Jaguar,76.9%,Germany
Kinds of Kindness,Kinds of Kindness,12.6%,United Kingdom
Article 370,Article 370,86.3%,India
La Infiltrada,La Infiltrada,99.8%,Spain
A Legend (传说),A Legend (),99.3%,China
All About Suomi,All About Suomi,100.0%,Japan
Eine Million Minuten,Eine Million Minuten,99.3%,Germany
Domovyonok Kuzya (Домовёнок Кузя),Domovyonok Kuzya (До,100.0%,Russia (CIS)
Maharaja,Maharaja,98.4%,China
Muroi Shinji: Ikitsuzukeru Mono (室井慎次　生き続ける者)…,Muroi Shinji: Ikitsu,100.0%,Japan
I Am What I Am 2 (雄狮少年2),I Am What I Am 2 (2),100.0%,China
Alienoid: The Return to the Future,Alienoid: The Return,100.0%,South Korea
Il Ragazzo dai Pantaloni Rosa,Il Ragazzo dai Panta,99.9%,Italy
Monkey Man,Monkey Man,31.2%,United Kingdom
Land of Broken Hearts (负负得正),Land of Broken Heart,99.9%,China
