Movie,trunc,Share Of Number One Market,Number One Market
Spider-Man: No Way Home,Spider-Man: No Way H,11.5%,United Kingdom
"Hi, Mom (你好, 李焕英)","Hi, Mom (, )",91.4%,China
The Battle at Lake Changjin,The Battle at Lake C,93.4%,China
No Time to Die,No Time to Die,21.4%,United Kingdom
Detective Chinatown 3 (唐人街探案3),Detective Chinatown ,99.8%,China
F9: The Fast Saga,F9: The Fast Saga,39.4%,China
Godzilla vs. Kong,Godzilla vs. Kong,46.1%,China
Dune,Dune,11.4%,China
Venom: Let There be Carnage,Venom: Let There be ,12.9%,Russia (CIS)
Sing 2,Sing 2,18.3%,United Kingdom
Eternals,Eternals,11.2%,South Korea
Nou fo,Nou fo,98.4%,China
Wo He Wo De Fu Be,Wo He Wo De Fu Be,100.0%,China
Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Le,14.1%,United Kingdom
Free Guy,Free Guy,47.2%,China
Chinese Doctors,Chinese Doctors,100.0%,China
Black Widow,Black Widow,13.0%,United Kingdom
Xuan Ya Zhi Shang (悬崖之上),Xuan Ya Zhi Shang (),99.5%,China
Wusha 2 (误杀2),Wusha 2 (2),100.0%,China
Chuan Guo Han Dong Yong Bao Ni (穿过寒冬拥抱你)…,Chuan Guo Han Dong Y,100.0%,China
Yang Ming Li Wan (扬名立万),Yang Ming Li Wan (),100.0%,China
Ci Sha Xiao Shuo Jia,Ci Sha Xiao Shuo Jia,99.6%,China
The Conjuring: The Devil Made Me Do It,The Conjuring: The D,12.6%,France
Jujutsu Kaisen 0,Jujutsu Kaisen 0,70.3%,Japan
Cruella,Cruella,17.3%,China
A Quiet Place: Part II,A Quiet Place: Part ,28.3%,China
Encanto,Encanto,17.9%,France
Wo de jie jie,Wo de jie jie,99.9%,China
The Matrix Resurrections,The Matrix Resurrect,11.3%,China
My Love (你的婚礼),My Love (),97.1%,China
Ren Chao Xiong Yong,Ren Chao Xiong Yong,99.9%,China
Peter Rabbit 2: The Runaway,Peter Rabbit 2: The ,26.3%,China
The Suicide Squad,The Suicide Squad,17.3%,United Kingdom
PAW Patrol: The Movie,PAW Patrol: The Movi,11.7%,China
Meitantei Konan Hiiro no Dangan,Meitantei Konan Hiir,65.1%,Japan
Fan Tan Feng Bao (G風暴),Fan Tan Feng Bao (G),99.9%,China
House of Gucci,House of Gucci,13.9%,United Kingdom
Jungle Cruise,Jungle Cruise,18.6%,United Kingdom
Space Jam: A New Legacy,Space Jam: A New Leg,19.0%,United Kingdom
Tom and Jerry,Tom and Jerry,18.0%,China
Bai She 2: Qing She jie qi (白蛇2：青蛇劫起)…,Bai She 2: Qing She ,100.0%,China
Evangelion: 3.0+1.01 Thrice Upon a Time (シン・エヴァ…,Evangelion: 3.0+1.01,99.6%,Japan
The Boss Baby: Family Business,The Boss Baby: Famil,18.5%,Russia (CIS)
The King’s Man,The King’s Man,12.6%,United Kingdom
Wrath of Man,Wrath of Man,33.6%,China
1921,1921,99.6%,China
Ghostbusters: Afterlife,Ghostbusters: Afterl,21.2%,United Kingdom
New Gods: Nezha Reborn,New Gods: Nezha Rebo,99.9%,China
Gu Dong Ju Zhong Ju (古董局中局),Gu Dong Ju Zhong Ju ,100.0%,China
Wu Xian Shen Du,Wu Xian Shen Du,100.0%,China
Clifford the Big Red Dog,Clifford the Big Red,19.3%,United Kingdom
The Addams Family 2,The Addams Family 2,21.7%,United Kingdom
Sao Hei Jue Zhan,Sao Hei Jue Zhan,100.0%,China
Raya and the Last Dragon,Raya and the Last Dr,31.8%,China
Sheng xia wei lai,Sheng xia wei lai,100.0%,China
Belle (竜とそばかすの姫),Belle (),93.7%,Japan
Wo Yao Wo Men Zai Yi Qi,Wo Yao Wo Men Zai Yi,99.7%,China
Dang Nan Ren Lian Ai Shi,Dang Nan Ren Lian Ai,75.1%,China
Luca,Luca,27.6%,China
I Fell in Love Like a Flower Bouquet,I Fell in Love Like ,69.7%,Japan
Rurôni Kenshin: Sai shûshô - The Final,Rurôni Kenshin: Sai ,100.0%,Japan
Mortal Kombat,Mortal Kombat,26.8%,Russia (CIS)
Old,Old,17.3%,Russia (CIS)
Belfast,Belfast,48.4%,United Kingdom
Xiong Shi Shao Nian (雄狮少年),Xiong Shi Shao Nian ,100.0%,China
Tokyo Revengers (東京リベンジャーズ),Tokyo Revengers (),99.6%,Japan
Halloween Kills,Halloween Kills,17.8%,United Kingdom
Jin Qian Di Guo Zhui: Hu Qin Long,Jin Qian Di Guo Zhui,98.7%,China
Men Suo (门锁),Men Suo (),100.0%,China
Ai Qing Shen Hua (爱情神话),Ai Qing Shen Hua (),100.0%,China
Yi Nian Wei Dan Wei De Lian Ai (以年为单位的恋爱)…,Yi Nian Wei Dan Wei ,100.0%,China
West Side Story,West Side Story,28.8%,United Kingdom
Da Hong Bao,Da Hong Bao,100.0%,China
