Movie,trunc,Share Of Number One Market,Number One Market
Avatar: The Way of Water,Avatar: The Way of W,15.1%,China
Top Gun: Maverick,Top Gun: Maverick,14.2%,Japan
Jurassic World: Dominion,Jurassic World: Domi,25.2%,China
Minions: The Rise of Gru,Minions: The Rise of,10.0%,United Kingdom
Doctor Strange in the Multiverse of Madness,Doctor Strange in th,9.6%,United Kingdom
Water Gate Bridge (长津湖之水门桥),Water Gate Bridge (),100.0%,China
Moon Man (独行月球),Moon Man (),85.2%,China
Thor: Love and Thunder,Thor: Love and Thund,10.8%,United Kingdom
Black Panther: Wakanda Forever,Black Panther: Wakan,10.1%,United Kingdom
The Batman,The Batman,13.3%,United Kingdom
Ji Su Shi Ke (这个杀手不太冷静),Ji Su Shi Ke (),100.0%,China
Fantastic Beasts: The Secrets of Dumbledore,Fantastic Beasts: Th,10.3%,Japan
Suzume (すずめの戸締まり),Suzume (),37.5%,China
Puss in Boots: The Last Wish,Puss in Boots: The L,10.8%,United Kingdom
The First Slam Dunk,The First Slam Dunk,41.9%,Japan
Uncharted,Uncharted,12.2%,Russia (CIS)
Rénshēng dàshì (人生大事),Rénshēng dàshì (),100.0%,China
Black Adam,Black Adam,10.7%,United Kingdom
Home Coming (万里归途),Home Coming (),99.9%,China
Sonic the Hedgehog 2,Sonic the Hedgehog 2,15.1%,United Kingdom
Qi Ji Nian Dai (奇迹),Qi Ji Nian Dai (),100.0%,China
One Piece Film: Red,One Piece Film: Red,81.8%,Japan
The Bad Guys,The Bad Guys,32.6%,China
K.G.F: Chapter 2,K.G.F: Chapter 2,79.5%,India
Boonie Bears: Back to Earth (熊出没·重返地球)…,Boonie Bears: Back t,99.2%,China
Elvis,Elvis,22.4%,United Kingdom
RRR,RRR,83.9%,India
Bullet Train,Bullet Train,9.0%,United Kingdom
DC League of Super Pets,DC League of Super P,16.5%,United Kingdom
Smile,Smile,12.7%,United Kingdom
Shen Tan Da Zhan (神探大战),Shen Tan Da Zhan (),100.0%,China
The Roundup (범죄도시2),The Roundup (2),99.6%,South Korea
Ming ri zhan ji,Ming ri zhan ji,100.0%,China
Lightyear,Lightyear,17.2%,Mexico
Ticket to Paradise,Ticket to Paradise,11.3%,Germany
Zui Leng De Qiang (狙击手),Zui Leng De Qiang (),100.0%,China
Morbius,Morbius,9.1%,Mexico
M3GAN,M3GAN,11.0%,Mexico
The Lost City,The Lost City,15.0%,United Kingdom
Nian Qing De Gu Shi (四海),Nian Qing De Gu Shi ,99.9%,China
Death on the Nile,Death on the Nile,13.3%,Russia (CIS)
New Gods: Yang Jian (新神榜：杨戬),New Gods: Yang Jian ,100.0%,China
"Ge, ni hao (哥，你好)","Ge, ni hao (，)",100.0%,China
Li Mao Huan Tai Zi (李茂换太子),Li Mao Huan Tai Zi (,100.0%,China
The Black Phone,The Black Phone,23.3%,Mexico
Everything Everywhere All At Once,Everything Everywher,10.9%,United Kingdom
Dragon Ball Super: Super Hero (ラゴンボール超 スーパーヒーロー…,Dragon Ball Super: S,26.2%,Japan
Xiang Jian Ni (想见你),Xiang Jian Ni (),95.4%,China
"Lyle, Lyle, Crocodile","Lyle, Lyle, Crocodil",25.8%,United Kingdom
Scream,Scream,17.7%,United Kingdom
Where the Crawdads Sing,Where the Crawdads S,17.3%,United Kingdom
Hansan Yongeui Chulhyeon (한산: 용의 출현),Hansan Yongeui Chulh,99.7%,South Korea
gongjo 2 inteonaesyeonal (공조2:인터내셔날),gongjo 2 inteonaesye,100.0%,South Korea
Jué Wàng Zhǔ Fū (绝望主夫),Jué Wàng Zhǔ Fū (),93.0%,China
Nope,Nope,19.3%,United Kingdom
Downton Abbey: A New Era,Downton Abbey: A New,34.6%,United Kingdom
Babylon,Babylon,24.1%,France
A Man Called Otto,A Man Called Otto,13.9%,United Kingdom
"Don’t Worry, Darling","Don’t Worry, Darling",29.0%,United Kingdom
The Banshees of Inisherin,The Banshees of Inis,32.1%,United Kingdom
Halloween Ends,Halloween Ends,13.1%,United Kingdom
The Menu,The Menu,12.1%,United Kingdom
Brahmastra Part 1: Shiva,Brahmastra Part 1: S,93.8%,India
Orphan: First Kill,Orphan: First Kill,16.5%,Mexico
Moonfall,Moonfall,59.2%,China
Roald Dahl’s Matilda The Musical,Roald Dahl’s Matilda,100.0%,United Kingdom
The Whale,The Whale,27.1%,Mexico
The Northman,The Northman,17.4%,United Kingdom
Whitney Houston: I Wanna Dance With Somebody,Whitney Houston: I W,38.5%,United Kingdom
Strange World,Strange World,13.2%,United Kingdom
Duan . Qiao (断·桥),Duan . Qiao (·),100.0%,China
Detective Conan: The Bride of Halloween,Detective Conan: The,88.3%,China
Wai tai kong de mo zha te,Wai tai kong de mo z,100.0%,China
Píng Fán Yīng Xióng (平凡英雄),Píng Fán Yīng Xióng ,100.0%,China
heonteu (헌트),heonteu (),99.8%,South Korea
Tadeo Jones 3: la maldición de la momia,Tadeo Jones 3: la ma,43.0%,Spain
Ambulance,Ambulance,9.5%,Saudi Arabia
Triangle of Sadness,Triangle of Sadness,11.9%,Netherlands
Dú Shé Dà Zhuàng (毒舌大状),Dú Shé Dà Zhuàng (),98.9%,China
Beast,Beast,10.0%,Mexico
The Woman King,The Woman King,16.8%,United Kingdom
Olppaemi (올빼미),Olppaemi (),100.0%,South Korea
Violent Night,Violent Night,17.3%,United Kingdom
Shi Nian Yi Pin Wen Ru Yan (十年一品温如言),Shi Nian Yi Pin Wen ,100.0%,China
Marry Me,Marry Me,10.8%,United Kingdom
The Fabelmans,The Fabelmans,26.4%,France
Sǎo Hēi Xíng Dòng (扫黑行动),Sǎo Hēi Xíng Dòng (),100.0%,China
BTS Permission to Dance on Stage Seoul — Live V…,BTS Permission to Da,4.6%,United Kingdom
Youngwoong (영웅),Youngwoong (),100.0%,South Korea
Xi yang yang yu hui tai lang zhi kuang chu wei …,Xi yang yang yu hui ,100.0%,China
Bian Yuan Xing Zhe (边缘行者),Bian Yuan Xing Zhe (,99.9%,China
Wo Shi Zhen De Tao Yan Yi Di Lian (我是真的讨厌异地恋)…,Wo Shi Zhen De Tao Y,100.0%,China
Prey for the Devil,Prey for the Devil,11.6%,France
Dog,Dog,18.7%,United Kingdom
TÁR,TÁR,15.9%,Germany
Paws of Fury: The Legend of Hank,Paws of Fury: The Le,17.9%,Russia (CIS)
Manyeo 2 (마녀 2),Manyeo 2 ( 2),100.0%,South Korea
Operation Fortune: Ruse de guerre,Operation Fortune: R,41.3%,Russia (CIS)
Bergen,Bergen,99.8%,Turkey
Mrs. Harris Goes to Paris,Mrs. Harris Goes to ,29.0%,United Kingdom
Ju sheng huai nan (暗恋),Ju sheng huai nan (),100.0%,China
Fragments of the Last Will (ラーゲリより愛を込めて)…,Fragments of the Las,100.0%,Japan
One Week Friends (週的朋友),One Week Friends (),100.0%,China
Decision to Leave (헤어질 결심),Decision to Leave ( ,80.5%,South Korea
Yǐn rù chényān (隐入尘烟),Yǐn rù chényān (),98.8%,China
jackass forever,jackass forever,47.7%,United Kingdom
Padre no hay más que uno 3,Padre no hay más que,100.0%,Spain
Hǎo Xiǎng Qù Nǐ De Shì Jiè Ài Nǐ (好想去你的世界爱你)…,Hǎo Xiǎng Qù Nǐ De S,100.0%,China
bisangseongeon (비상선언),bisangseongeon (),90.8%,South Korea
Operation Mincemeat,Operation Mincemeat,41.2%,United Kingdom
Gāng Tiě Yì Zhì (钢铁意志),Gāng Tiě Yì Zhì (),100.0%,China
Table for Six (还是觉得你最好),Table for Six (),98.3%,China
Ladybug & Cat Noir: The Movie,Ladybug & Cat Noir: ,65.7%,Russia (CIS)
Doraemon the Movie: Nobita’s Little Star Wars 2…,Doraemon the Movie: ,97.9%,China
Serdtse parmy (Сердце пармы),Serdtse parmy (Сердц,100.0%,Russia (CIS)
Fall,Fall,27.0%,China
6/45,6/45,100.0%,South Korea
Amsterdam,Amsterdam,13.3%,United Kingdom
"Good Luck to You, Leo Grande","Good Luck to You, Le",17.0%,Australia
Three Thousand Years of Longing,Three Thousand Years,32.2%,Russia (CIS)
The Duke,The Duke,51.6%,United Kingdom
Xīn Dà Tóu Ér Zi Hé Xiǎo Tóu Bà Ba Wǒ De Wài Xī…,Xīn Dà Tóu Ér Zi Hé ,100.0%,China
wigyein 1bu (외계+인 1부),wigyein 1bu (+ 1),99.9%,South Korea
Octonauts and the Caves of Sac Actun,Octonauts and the Ca,98.3%,China
Wunderschön,Wunderschön,88.8%,Germany
Song of Spring (妈妈!),Song of Spring (!),100.0%,China
After Ever Happy,After Ever Happy,28.5%,Russia (CIS)
Even if This Love Disappears from the World Ton…,Even if This Love Di,78.4%,South Korea
beurokeo (브로커),beurokeo (),85.1%,South Korea
See How They Run,See How They Run,48.9%,United Kingdom
The Amazing Maurice,The Amazing Maurice,35.4%,Russia (CIS)
Turning Red,Turning Red,27.8%,Poland
Mā Mā (妈妈！),Mā Mā (！),100.0%,China
Empire of Light,Empire of Light,45.0%,United Kingdom
Le otto montagne,Le otto montagne,65.4%,Italy
