Movie,trunc,Share Of Number One Market,Number One Market
Ne Zha 2 (哪吒之魔童闹海),Ne Zha 2 (),98.6%,China
Lilo & Stitch,Lilo & Stitch,11.0%,Mexico
A Minecraft Movie,A Minecraft Movie,14.3%,United Kingdom
Jurassic World Rebirth,Jurassic World Rebir,13.6%,China
Demon Slayer -Kimetsu no Yaiba- The Movie: Infi…,Demon Slayer -Kimets,45.3%,Japan
Tang Tan 1900 (唐探1900),Tang Tan 1900 (1900),99.7%,China
F1: The Movie,F1: The Movie,12.9%,China
Mission: Impossible—The Final Reckoning,Mission: Impossible—,14.7%,China
Dead To Rights (南京照相馆),Dead To Rights (),99.8%,China
How to Train Your Dragon,How to Train Your Dr,10.1%,Mexico
The Conjuring: Last Rites,The Conjuring: Last ,10.2%,Mexico
Superman,Superman,14.5%,United Kingdom
The Fantastic Four: First Steps,The Fantastic Four: ,12.9%,United Kingdom
Captain America: Brave New World,Captain America: Bra,10.7%,United Kingdom
Nobody (浪浪山小妖怪),Nobody (),100.0%,China
Sakura in the Night (731),Sakura in the Night ,99.9%,China
Thunderbolts*,Thunderbolts*,11.2%,United Kingdom
Final Destination: Bloodlines,Final Destination: B,13.8%,China
Detective Conan: One-eyed Flashback (名探偵コナン　隻眼の…,Detective Conan: One,61.2%,Japan
Creation of the Gods II: Demonic Confrontation …,Creation of the Gods,99.5%,China
The Shadow’s Edge,The Shadow’s Edge,99.5%,China
The Bad Guys 2,The Bad Guys 2,20.4%,China
Bridget Jones: Mad About The Boy,Bridget Jones: Mad A,48.5%,United Kingdom
Disney’s Snow White,Disney’s Snow White,13.2%,United Kingdom
Weapons,Weapons,13.8%,United Kingdom
Boonie Bears: Future Reborn (熊出没·重启未来)…,Boonie Bears: Future,99.8%,China
Kokuho,Kokuho,,
Smurfs,Smurfs,14.3%,France
Legends of the Condor Heroes: The Gallants (射雕英…,Legends of the Condo,99.8%,China
Sinners,Sinners,24.6%,United Kingdom
Mickey 17,Mickey 17,23.9%,South Korea
Chang An De Li Zhi (长安的荔枝),Chang An De Li Zhi (,99.8%,China
One Battle After Another,One Battle After Ano,13.4%,United Kingdom
Elio,Elio,11.7%,France
28 Years Later,28 Years Later,26.4%,United Kingdom
From the World of John Wick: Ballerina,From the World of Jo,10.0%,China
Materialists,Materialists,7.5%,United Kingdom
The Legend of Hei 2 (罗小黑战记2),The Legend of Hei 2 ,99.9%,China
Karate Kid: Legends,Karate Kid: Legends,13.2%,Mexico
A Working Man,A Working Man,9.0%,China
Chainsaw Man — The Movie: Reze Arc (チェンソーマン レゼ篇…,Chainsaw Man — The M,23.4%,South Korea
Freakier Friday,Freakier Friday,20.5%,United Kingdom
The Amateur,The Amateur,10.8%,United Kingdom
The Dumpling Queen (水饺皇后),The Dumpling Queen (,99.8%,China
She’s Got No Name (酱园弄),She’s Got No Name (),100.0%,China
Downton Abbey: The Grand Finale,Downton Abbey: The G,43.6%,United Kingdom
The Stage (戏台),The Stage (),100.0%,China
Dongji Island (东极岛),Dongji Island (),99.7%,China
Operation Hadal (蛟龙行动),Operation Hadal (),100.0%,China
The Naked Gun,The Naked Gun,20.4%,United Kingdom
Dog Man,Dog Man,35.9%,United Kingdom
Volshebnik Izumrudnogo goroda (Волшебник Изумру…,Volshebnik Izumrudno,100.0%,Russia (CIS)
The Accountant 2,The Accountant 2,12.0%,Mexico
A Gilded Game (猎金·游戏),A Gilded Game (·),99.9%,China
My Daughter is a Zombie (좀비딸),My Daughter is a Zom,100.0%,South Korea
The Roses,The Roses,38.2%,United Kingdom
Malice (恶意),Malice (),99.9%,China
I Know What You Did Last Summer,I Know What You Did ,10.7%,United Kingdom
Finist. Pervyy bogatyr (Финист: Первый богатырь…,Finist. Pervyy bogat,100.0%,Russia (CIS)
Liao Zhai Lan Re Si (聊斋：兰若寺),Liao Zhai Lan Re Si ,100.0%,China
Until Dawn,Until Dawn,8.1%,United Kingdom
We Girls (向阳·花),We Girls (·),99.9%,China
Tron: Ares,Tron: Ares,12.9%,Mexico
Endless Journey of Love (时间之子),Endless Journey of L,100.0%,China
The Monkey,The Monkey,16.6%,United Kingdom
Yadang: The Snitch (야당),Yadang: The Snitch (,99.8%,South Korea
Qi Yu (奇遇),Qi Yu (),100.0%,China
Black Bag,Black Bag,23.1%,United Kingdom
Den of Thieves 2: Pantera,Den of Thieves 2: Pa,7.8%,Germany
Gabby’s Dollhouse: The Movie,Gabby’s Dollhouse: T,13.5%,Australia
Follemente,Follemente,96.7%,Italy
The Phoenician Scheme,The Phoenician Schem,20.3%,United Kingdom
Batya 2. Ded (Батя 2: Дед),Batya 2. Ded (Батя 2,100.0%,Russia (CIS)
Adventure Island (潜艇总动员：冒险岛),Adventure Island (：),100.0%,China
Prorok Istoriya Aleksandra Pushkina (Пророк. Ис…,Prorok Istoriya Alek,99.7%,Russia (CIS)
Bring Her Back,Bring Her Back,11.4%,United Kingdom
Flight Risk,Flight Risk,16.0%,United Kingdom
Attack on Titan the Movie: THE LAST ATTACK,Attack on Titan the ,49.3%,Japan
Mumu (不说话的爱),Mumu (),100.0%,China
No Other Choice,No Other Choice,100.0%,South Korea
Nobody 2,Nobody 2,8.4%,United Kingdom
The Salt Path,The Salt Path,62.5%,United Kingdom
The Open Door (人生开门红),The Open Door (),100.0%,China
The King of Kings,The King of Kings,51.6%,South Korea
Hitman 2 (히트맨 2),Hitman 2 ( 2),99.9%,South Korea
The Volunteers: Peace at Last (志愿军浴血和平)…,The Volunteers: Peac,100.0%,China
Companion,Companion,15.6%,United Kingdom
The Official Release Party of a Showgirl,The Official Release,29.2%,United Kingdom
Padre No Hay Más Que Uno 5,Padre No Hay Más Que,100.0%,Spain
M3GAN 2.0,M3GAN 2.0,16.4%,Mexico
Doraemon: Nobita’s Art World Tales (映画ドラえもん のび太…,Doraemon: Nobita’s A,95.3%,China
The Match (승부),The Match (),100.0%,South Korea
Wolf Man,Wolf Man,18.9%,Russia (CIS)
Kraken (Кракен),Kraken (Кракен),100.0%,Russia (CIS)
Boseu (보스),Boseu (),100.0%,South Korea
Novocaine,Novocaine,11.6%,Mexico
A Big Bold Beautiful Journey,A Big Bold Beautiful,11.0%,Mexico
The Long Walk,The Long Walk,45.9%,United Kingdom
Hi-Five (하이파이브),Hi-Five (),99.8%,South Korea
Fox Hunt (猎狐·行动),Fox Hunt (·),100.0%,China
Drop,Drop,12.7%,United Kingdom
Noise (노이즈),Noise (),101.1%,South Korea
Ni Xing! Ni Shang! (你行！你上！),Ni Xing! Ni Shang! (,100.0%,China
Dark Nuns (검은 수녀들),Dark Nuns ( ),98.3%,South Korea
Cang Mang De Tian Ya Shi Wo De Ai (苍茫的天涯是我的爱)…,Cang Mang De Tian Ya,100.0%,China
Together,Together,18.0%,Russia (CIS)
Hotline Beijing (您的声音),Hotline Beijing (),100.0%,China
Io Sono La Fine Del Mondo,Io Sono La Fine Del ,100.0%,Italy
Na derevnyu dedushke (На деревню дедушке)…,Na derevnyu dedushke,100.0%,Russia (CIS)
Dracula: A Love Tale,Dracula: A Love Tale,87.2%,Russia (CIS)
Red Silk (Красный шелк),Red Silk (Красный ше,82.4%,Russia (CIS)
