Movie,trunc,Share Of Number One Market,Number One Market
Pirates of the Caribbean: Dead Man’s Chest,Pirates of the Carib,13.1%,Japan
The Da Vinci Code,The Da Vinci Code,7.5%,United Kingdom
Ice Age: The Meltdown,Ice Age: The Meltdow,,
Casino Royale,Casino Royale,2.4%,United Kingdom
Night at the Museum,Night at the Museum,0.0%,Australia
Mission: Impossible III,Mission: Impossible ,0.0%,Australia
X-Men: The Last Stand,X-Men: The Last Stan,,
Cars,Cars,9.5%,United Kingdom
The Devil Wears Prada,The Devil Wears Prad,6.0%,Australia
Superman Returns,Superman Returns,,
Over the Hedge,Over the Hedge,,
Happy Feet,Happy Feet,0.0%,New Zealand
Eragon,Eragon,,
The Departed,The Departed,1.7%,South Korea
The Pursuit of Happyness,The Pursuit of Happy,2.4%,South Korea
The Holiday,The Holiday,11.6%,United Kingdom
Borat,Borat,,
Perfume: The Story of a Murderer,Perfume: The Story o,3.8%,South Korea
Poseidon,Poseidon,,
Garfield: A Tail of Two Kitties,Garfield: A Tail of ,,
Déjà Vu,Déjà Vu,,
Flushed Away,Flushed Away,,
Blood Diamond,Blood Diamond,,
Open Season,Open Season,,
Miami Vice,Miami Vice,0.0%,New Zealand
Click,Click,,
Babel,Babel,,Australia
Inside Man,Inside Man,,
The Fast and the Furious: Tokyo Drift,The Fast and the Fur,0.0%,New Zealand
World Trade Center,World Trade Center,,
Scary Movie 4,Scary Movie 4,,
The Break-Up,The Break-Up,,
Rocky Balboa,Rocky Balboa,,
Les Bronzés 3: amis pour la vie,Les Bronzés 3: amis ,,
Saw III,Saw III,,
Nanny McPhee,Nanny McPhee,,
The Pink Panther,The Pink Panther,,
Volver,Volver,0.0%,Russia (CIS)
The Queen,The Queen,6.0%,Germany
Man cheng jin dai huang jin jia,Man cheng jin dai hu,,
Apocalypto,Apocalypto,,
Gedo Senki (Tales from Earthsea),Gedo Senki (Tales fr,1.1%,Japan
Monster House,Monster House,,
Big Momma's House 2,Big Momma's House 2,,
The Omen,The Omen,,
The Lake House,The Lake House,,
The Wild,The Wild,,
Umizaru 2: Limit of Love,Umizaru 2: Limit of ,,
Charlotte's Web,Charlotte's Web,11.1%,Australia
V for Vendetta,V for Vendetta,3.6%,South Korea
Final Destination 3,Final Destination 3,,
Hoodwinked,Hoodwinked,,
"You, Me and Dupree","You, Me and Dupree",,
Letters from Iwo Jima,Letters from Iwo Jim,,
The Sinking of Japan,The Sinking of Japan,,
Dreamgirls,Dreamgirls,7.5%,South Korea
The Prestige,The Prestige,,
Underworld: Evolution,Underworld: Evolutio,,
El Laberinto del Fauno,El Laberinto del Fau,5.1%,South Korea
Silent Hill,Silent Hill,,
United 93,United 93,,
Barnyard: The Original Party Animals,Barnyard: The Origin,,
Step Up,Step Up,,
Marie Antoinette,Marie Antoinette,0.0%,New Zealand
The Illusionist,The Illusionist,,
Little Man,Little Man,,
Huo Yuan Jia,Huo Yuan Jia,,
The Sentinel,The Sentinel,,
Deep Sea 3D,Deep Sea 3D,0.0%,Malaysia
Little Miss Sunshine,Little Miss Sunshine,0.0%,New Zealand
The Good Shepherd,The Good Shepherd,,
The Guardian,The Guardian,,
Failure to Launch,Failure to Launch,,
Eight Below,Eight Below,,
My Super Ex-Girlfriend,My Super Ex-Girlfrie,,
Dhoom 2,Dhoom 2,,
Date Movie,Date Movie,,
Wu ji,Wu ji,,
Hostel,Hostel,,
A Good Year,A Good Year,,
